column,feature_block,measurement_level,grain,source_dataset,source_column,model_default_active,notes
admits_n,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,admits_n,True,candidate_feature_or_context
enrolled_students_n,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,enrolled_students_n,True,candidate_feature_or_context
leave_students_n,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,leave_students_n,True,candidate_feature_or_context
graduates_n,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,graduates_n,True,candidate_feature_or_context
fulltime_faculty_n,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,fulltime_faculty_n,True,candidate_feature_or_context
nonfulltime_faculty_n,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,nonfulltime_faculty_n,True,candidate_feature_or_context
international_students_n,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,international_students_n,True,candidate_feature_or_context
female_students_n,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,female_students_n,True,candidate_feature_or_context
masters_students_n,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,masters_students_n,True,candidate_feature_or_context
doctoral_students_n,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,doctoral_students_n,True,candidate_feature_or_context
competition_ratio,Q,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,competition_ratio,True,candidate_feature_or_context
admission_yield_ratio,Q,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,admission_yield_ratio,True,candidate_feature_or_context
admit_per_applicant_ratio,Q,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,admit_per_applicant_ratio,True,candidate_feature_or_context
leave_rate_pct,B,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,leave_rate_pct,True,candidate_feature_or_context
female_student_share_pct,B,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,female_student_share_pct,True,candidate_feature_or_context
international_student_share_pct,B,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,international_student_share_pct,True,candidate_feature_or_context
student_faculty_ratio,B,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,student_faculty_ratio,True,candidate_feature_or_context
fulltime_faculty_share_pct,B,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,fulltime_faculty_share_pct,True,candidate_feature_or_context
log_enrolled_students,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,log_enrolled_students,True,candidate_feature_or_context
log_graduates,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,log_graduates,True,candidate_feature_or_context
major_group_7,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,major_group_7,True,candidate_feature_or_context
ctx24_reference_sample_n,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,reference_sample_n,True,candidate_feature_or_context
ctx24_mean_income_10kkrw,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,mean_income_10kkrw,True,candidate_feature_or_context
ctx24_median_income_10kkrw,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,median_income_10kkrw,True,candidate_feature_or_context
ctx24_income_300plus_pct,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,income_300plus_pct,True,candidate_feature_or_context
ctx24_income_400plus_pct,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,income_400plus_pct,True,candidate_feature_or_context
ctx24_large_company_pct,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,large_company_pct,True,candidate_feature_or_context
ctx24_mid_company_pct,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,mid_company_pct,True,candidate_feature_or_context
ctx24_small_company_pct,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,small_company_pct,True,candidate_feature_or_context
ctx24_large_mid_company_pct,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,large_mid_company_pct,True,candidate_feature_or_context
ctx24_public_nonprofit_pct,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,public_nonprofit_pct,True,candidate_feature_or_context
ctx24_cert_rate_pct,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,cert_rate_pct,True,candidate_feature_or_context
ctx24_cert_per_person,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,cert_per_person,True,candidate_feature_or_context
ctx24_log10_mean_income,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,log10_mean_income,True,candidate_feature_or_context
ctx24_industry_top3_pct,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,industry_top3_pct,False,All-null in candidate handoff; disabled by feature registry.
ctx24_industry_hhi,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D04_v2,industry_hhi,False,All-null in candidate handoff; disabled by feature registry.
goms_profile_start_year,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,profile_start_year,True,candidate_feature_or_context
goms_profile_end_year,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,profile_end_year,True,candidate_feature_or_context
goms_profile_years_n,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,profile_years_n,True,candidate_feature_or_context
goms_aggregation_method,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,aggregation_method,True,candidate_feature_or_context
goms_recent_employment_rate_pct,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,recent_employment_rate_pct,True,candidate_feature_or_context
goms_recent_firm_300plus_pct,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,recent_firm_300plus_pct,True,candidate_feature_or_context
goms_recent_public_nonprofit_pct,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,recent_public_nonprofit_pct,True,candidate_feature_or_context
goms_recent_permanent_pct,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,recent_permanent_pct,True,candidate_feature_or_context
goms_recent_unstable_pct,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,recent_unstable_pct,True,candidate_feature_or_context
goms_recent_self_employed_pct,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,recent_self_employed_pct,True,candidate_feature_or_context
goms_recent_industry_hhi,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,recent_industry_hhi,True,candidate_feature_or_context
goms_recent_industry_top3_pct,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,recent_industry_top3_pct,True,candidate_feature_or_context
goms_recent_professional_highskill_pct,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,recent_professional_highskill_pct,True,candidate_feature_or_context
goms_recent_mean_income_10kkrw,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,recent_mean_income_10kkrw,True,candidate_feature_or_context
goms_recent_weekly_work_hours,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,recent_weekly_work_hours,True,candidate_feature_or_context
goms_recent_hourly_income_proxy,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,recent_hourly_income_proxy,True,candidate_feature_or_context
goms_income_trend_per_year,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,income_trend_per_year,True,candidate_feature_or_context
goms_hours_trend_per_year,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,hours_trend_per_year,True,candidate_feature_or_context
goms_firm_300plus_trend_per_year,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,firm_300plus_trend_per_year,True,candidate_feature_or_context
goms_permanent_trend_per_year,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,permanent_trend_per_year,True,candidate_feature_or_context
goms_latest_2019_mean_income_10kkrw,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,latest_2019_mean_income_10kkrw,True,candidate_feature_or_context
goms_latest_2019_weekly_work_hours,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,latest_2019_weekly_work_hours,True,candidate_feature_or_context
goms_latest_2019_firm_300plus_pct,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,latest_2019_firm_300plus_pct,True,candidate_feature_or_context
goms_latest_2019_permanent_pct,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,latest_2019_permanent_pct,True,candidate_feature_or_context
goms_source_years_observed,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,source_years_observed,False,identifier_label_or_qa_metadata
goms_year_over_year_review_flag,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,year_over_year_review_flag,False,identifier_label_or_qa_metadata
goms_mapping_confidence,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,mapping_confidence,True,candidate_feature_or_context
goms_row_qa_status,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D07_HANDOFF,row_qa_status,True,candidate_feature_or_context
