missingness_variable,dimension,group,rows,observed_n,missing_n,observed_pct
has_structure_context,region_sido,,1681,0,1681,0.0
has_structure_context,match_status,auto_high_confidence,8561,8561,0,100.0
has_structure_context,match_status,manual_pending,1316,0,1316,0.0
has_structure_context,match_status,unmatched,365,0,365,0.0
has_employment,split,test,1199,856,343,71.39282735613011
has_employment,split,train,7529,5494,2035,72.97117811130296
has_employment,split,val,1514,1127,387,74.43857331571995
has_employment,major_group_7,ART,1566,1122,444,71.64750957854406
has_employment,major_group_7,EDU,728,671,57,92.17032967032966
has_employment,major_group_7,ENG,2642,1784,858,67.52460257380773
has_employment,major_group_7,HUM,1108,839,269,75.72202166064982
has_employment,major_group_7,MED,632,486,146,76.89873417721519
has_employment,major_group_7,NAT,1258,938,320,74.56279809220986
has_employment,major_group_7,SOC,2165,1549,616,71.54734411085451
has_employment,major_group_7,,143,88,55,61.53846153846154
has_employment,school_type,각종대학(대학),29,28,1,96.55172413793103
has_employment,school_type,교육대학,123,123,0,100.0
has_employment,school_type,대학교,8324,6051,2273,72.69341662662183
has_employment,school_type,방송통신대학교,27,27,0,100.0
has_employment,school_type,산업대학,58,41,17,70.6896551724138
has_employment,school_type,,1681,1207,474,71.80249851279001
has_employment,region_sido,강원,497,312,185,62.776659959758554
has_employment,region_sido,경기,1081,762,319,70.49028677150785
has_employment,region_sido,경남,413,264,149,63.922518159806295
has_employment,region_sido,경북,687,452,235,65.79330422125183
has_employment,region_sido,광주,361,285,76,78.94736842105263
has_employment,region_sido,대구,219,136,83,62.10045662100456
has_employment,region_sido,대전,489,376,113,76.89161554192229
has_employment,region_sido,부산,895,605,290,67.59776536312849
has_employment,region_sido,서울,1629,1319,310,80.96992019643953
has_employment,region_sido,세종,1,0,1,0.0
has_employment,region_sido,울산,92,73,19,79.34782608695652
has_employment,region_sido,인천,199,156,43,78.39195979899498
has_employment,region_sido,전남,245,192,53,78.36734693877551
has_employment,region_sido,전북,413,324,89,78.4503631961259
has_employment,region_sido,제주,105,82,23,78.0952380952381
has_employment,region_sido,충남,702,546,156,77.77777777777779
has_employment,region_sido,충북,533,386,147,72.42026266416511
has_employment,region_sido,,1681,1207,474,71.80249851279001
has_employment,match_status,auto_high_confidence,8561,6270,2291,73.23910758089008
has_employment,match_status,manual_pending,1316,986,330,74.92401215805471
has_employment,match_status,unmatched,365,221,144,60.54794520547945
has_progression,split,test,1199,874,325,72.89407839866556
has_progression,split,train,7529,5566,1963,73.92748040908486
has_progression,split,val,1514,1147,367,75.75957727873184
has_progression,major_group_7,ART,1566,1129,437,72.09450830140486
has_progression,major_group_7,EDU,728,682,46,93.68131868131869
has_progression,major_group_7,ENG,2642,1789,853,67.71385314155943
has_progression,major_group_7,HUM,1108,904,204,81.58844765342961
has_progression,major_group_7,MED,632,486,146,76.89873417721519
has_progression,major_group_7,NAT,1258,942,316,74.88076311605724
has_progression,major_group_7,SOC,2165,1566,599,72.33256351039262
has_progression,major_group_7,,143,89,54,62.23776223776224
has_progression,school_type,각종대학(대학),29,29,0,100.0
has_progression,school_type,교육대학,123,123,0,100.0
has_progression,school_type,대학교,8324,6146,2178,73.83469485824124
has_progression,school_type,방송통신대학교,27,27,0,100.0
has_progression,school_type,산업대학,58,41,17,70.6896551724138
has_progression,school_type,,1681,1221,460,72.63533610945866
has_progression,region_sido,강원,497,316,181,63.581488933601605
has_progression,region_sido,경기,1081,784,297,72.52543940795559
has_progression,region_sido,경남,413,265,148,64.16464891041163
has_progression,region_sido,경북,687,459,228,66.8122270742358
has_progression,region_sido,광주,361,293,68,81.16343490304709
has_progression,region_sido,대구,219,140,79,63.926940639269404
has_progression,region_sido,대전,489,382,107,78.11860940695297
has_progression,region_sido,부산,895,607,288,67.82122905027933
has_progression,region_sido,서울,1629,1335,294,81.95211786372008
has_progression,region_sido,세종,1,1,0,100.0
has_progression,region_sido,울산,92,75,17,81.52173913043478
has_progression,region_sido,인천,199,161,38,80.90452261306532
has_progression,region_sido,전남,245,195,50,79.59183673469387
has_progression,region_sido,전북,413,329,84,79.66101694915254
has_progression,region_sido,제주,105,82,23,78.0952380952381
has_progression,region_sido,충남,702,553,149,78.77492877492878
has_progression,region_sido,충북,533,389,144,72.98311444652909
has_progression,region_sido,,1681,1221,460,72.63533610945866
has_progression,match_status,auto_high_confidence,8561,6366,2195,74.36047190748745
has_progression,match_status,manual_pending,1316,999,317,75.91185410334347
has_progression,match_status,unmatched,365,222,143,60.82191780821918
