family,actual_column,source,grain,dtype,non_null_n,zero_n,min,max,semantic_evidence,numerator_or_denominator,usable_for_count_model,usage_note
PROGRESSION,graduates_n,D03,source_native,Int32,8561.0,2130.0,0.0,3259.0,"D03 column name matched: graduates_n; structural headcount graduate count, not contracted as progression-rate denominator",candidate_denominator_or_count,False,Candidate count only; not sufficient by itself.
PROGRESSION,log_graduates,D03,source_native,Float32,8561.0,2130.0,0.0,8.089482307434082,D03 column name matched: log_graduates,candidate_denominator_or_count,False,Candidate count only; not sufficient by itself.
GRADE,A비율,P2_G2_정시입결_raw,source_native,float64,10242.0,319.0,0.0,100.0,P2_G2_정시입결_raw column name matched: A비율,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
EMPLOYMENT,전체취업률,P2_G2_정시입결_raw,source_native,float64,7477.0,78.0,0.0,100.0,P2_G2_정시입결_raw column name matched: 전체취업률,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
EMPLOYMENT,건보가입취업률,P2_G2_정시입결_raw,source_native,float64,7477.0,136.0,0.0,100.0,P2_G2_정시입결_raw column name matched: 건보가입취업률,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,전체진학률,P2_G2_정시입결_raw,source_native,float64,7587.0,3098.0,0.0,100.0,P2_G2_정시입결_raw column name matched: 전체진학률,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,전문대학진학률,P2_G2_정시입결_raw,source_native,float64,7587.0,7339.0,0.0,50.0,P2_G2_정시입결_raw column name matched: 전문대학진학률,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,대학진학률,P2_G2_정시입결_raw,source_native,float64,7587.0,7077.0,0.0,25.0,P2_G2_정시입결_raw column name matched: 대학진학률,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,대학원진학률,P2_G2_정시입결_raw,source_native,float64,7587.0,3343.0,0.0,100.0,P2_G2_정시입결_raw column name matched: 대학원진학률,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,국내진학률,P2_G2_정시입결_raw,source_native,float64,7587.0,3119.0,0.0,100.0,P2_G2_정시입결_raw column name matched: 국내진학률,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
