label,path,relative_path,exists,size_bytes,sha256,mtime,shape,row_count,column_count,shape_error,manifest_hash,manifest_shape,hash_match,shape_match,modified_after_manifest
headcount_grain_definition,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/dim_headcount_grain_definition.csv,workbook/p2/p2_3/p4_handoff_candidate/local1/dim_headcount_grain_definition.csv,True,496,76857c3cebefbbcc9b3df77ea067c44f7cee0a4fe7517acf7fc946c5c3681a7e,2026-07-12T21:47:51.438167,"[6, 3]",6,3.0,,,,,,False
local1_p4_manifest,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/P4_HANDOFF_MANIFEST.json,workbook/p2/p2_3/p4_handoff_candidate/local1/P4_HANDOFF_MANIFEST.json,True,67404,b9ea9528b24630f15be8913012b40df81692d16e849120bb825f29ef35c01661,2026-07-12T21:47:51.873354,"[29, None]",29,,,43efe85d7379b752d166efdc80c64886b758af7d50067e5e435883e53849d621,,False,,False
shared_p4_manifest,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/P4_HANDOFF_MANIFEST.json,workbook/p2/p2_3/p4_handoff_candidate/shared/P4_HANDOFF_MANIFEST.json,True,67404,b9ea9528b24630f15be8913012b40df81692d16e849120bb825f29ef35c01661,2026-07-12T21:47:51.874951,"[29, None]",29,,,,,,,False
candidate_lock,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/P4_CANDIDATE_HANDOFF_LOCK.json,workbook/p2/p2_3/p4_handoff_candidate/P4_CANDIDATE_HANDOFF_LOCK.json,True,3646,ebc866cca7c8b22ab7b800759e4e916b9f6f53747af1c7cbc289b71842e23af7,2026-07-12T21:47:25.093733,"[4, None]",4,,,,,,,False
local2_manifest,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/shared_handoff/LOCAL2_HANDOFF_MANIFEST.json,workbook/p2/p2_3/shared_handoff/LOCAL2_HANDOFF_MANIFEST.json,True,4012,24609ead002563288af769758e91bf26b82f972e0be7e14c2b2ea607b707df6a,2026-07-12T21:38:43.343630,"[15, None]",15,,,24609ead002563288af769758e91bf26b82f972e0be7e14c2b2ea607b707df6a,,True,,False
raw_excel,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/final/data/2024년 고등 학교별X학과별 입학정원 지원 입학 학생 외국인학생 졸업 교원_240912H.xlsx,workbook/p2/p2_2/final/data/2024년 고등 학교별X학과별 입학정원 지원 입학 학생 외국인학생 졸업 교원_240912H.xlsx,True,21218132,c767832c42fb2be505c4d9bb8ae0bc39891091f86c6ae8762d5b1cd2eed0a190,2026-07-12T16:54:55.410789,"[35444, 129]",35444,129.0,,c767832c42fb2be505c4d9bb8ae0bc39891091f86c6ae8762d5b1cd2eed0a190,,True,,False
outcome_spine_raw,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/P2_G2_정시입결.csv,workbook/p2/p2_3/P2_G2_정시입결.csv,True,1810159,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,2026-07-12T19:12:08.942132,"[10242, 17]",10242,17.0,,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,True,,False
wage_reference_raw,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/P2_G2_임금분류_학부대학원.CSV,workbook/p2/p2_3/P2_G2_임금분류_학부대학원.CSV,True,12461,90f94f0b781d88a45a168a3b60095b16537a532de1dbee0b54dfb3d1cf3efb85,2026-07-12T19:12:08.802481,"[14, 66]",14,66.0,,90f94f0b781d88a45a168a3b60095b16537a532de1dbee0b54dfb3d1cf3efb85,,True,,False
wage_quartile_reference_raw,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/P2_G2_임금분류_학부대학원_사분위기준.CSV,workbook/p2/p2_3/P2_G2_임금분류_학부대학원_사분위기준.CSV,True,7434,c46a158b418c8ec114af62a95d978692cc75890ff550064db9333d6b91848ddf,2026-07-12T19:12:08.546189,"[23, 10]",23,10.0,,c46a158b418c8ec114af62a95d978692cc75890ff550064db9333d6b91848ddf,,True,,False
wage_column_contract_raw,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/P2_G2_임금분류_학부대학원_컬럼설명.CSV,workbook/p2/p2_3/P2_G2_임금분류_학부대학원_컬럼설명.CSV,True,21866,2431de62f6b0b8d3276b603d64f94c7cbdeaa4450aa79f549dd7ff43a4eaa491,2026-07-12T19:12:08.675853,"[66, 10]",66,10.0,,2431de62f6b0b8d3276b603d64f94c7cbdeaa4450aa79f549dd7ff43a4eaa491,,True,,False
job_cert_bridge_raw,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/P2_G2_직무별_자격증매핑.CSV,workbook/p2/p2_3/P2_G2_직무별_자격증매핑.CSV,True,15660,e88fe083e07430f96f5549071cde674021048c3f482f69d2981c02b9f882c471,2026-07-12T19:12:09.201620,"[24, 26]",24,26.0,,e88fe083e07430f96f5549071cde674021048c3f482f69d2981c02b9f882c471,,True,,False
national,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p3_2/goms_national_year_benchmark.parquet,workbook/p2/p2_3/p3_2/goms_national_year_benchmark.parquet,True,30585,2bb79134d30ab77e33bd65b854deed2ca077a51e81eaa9b1cbef2a975b1f05d0,2026-07-12T21:38:43.233451,"[13, 45]",13,45.0,,2bb79134d30ab77e33bd65b854deed2ca077a51e81eaa9b1cbef2a975b1f05d0,,True,,False
topic_axis_registry,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/shared_handoff/goms_topic_axis_registry.csv,workbook/p2/p2_3/shared_handoff/goms_topic_axis_registry.csv,True,11935,1d60b4f5a324179ff17c5c070e6155d3cb0cf59199c8b4efee38cf4039f57d0d,2026-07-12T21:38:43.235031,"[39, 14]",39,14.0,,1d60b4f5a324179ff17c5c070e6155d3cb0cf59199c8b4efee38cf4039f57d0d,,True,,False
goms_column_registry,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/shared_handoff/goms_column_registry.csv,workbook/p2/p2_3/shared_handoff/goms_column_registry.csv,True,14133,c81793185fa785f8991f80e3cfcce510facf77ca47a7b1a1a151f6ec9468fe56,2026-07-12T21:38:43.300840,"[74, 9]",74,9.0,,c81793185fa785f8991f80e3cfcce510facf77ca47a7b1a1a151f6ec9468fe56,,True,,False
distribution_sum_check,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/qa/goms_distribution_sum_check.csv,workbook/p2/p2_3/qa/goms_distribution_sum_check.csv,True,42645,d4a54eb25f682571b95357fc67ffe89d7a53d170c37d9687b97049d1aeedff22,2026-07-12T21:38:43.304664,"[572, 9]",572,9.0,,d4a54eb25f682571b95357fc67ffe89d7a53d170c37d9687b97049d1aeedff22,,True,,False
occupation_crosswalk_review,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/qa/goms_occupation_crosswalk_review.csv,workbook/p2/p2_3/qa/goms_occupation_crosswalk_review.csv,True,1298,1ca8fb9f705d77313a864c175465cda7da96bea20dacf41e065f7f3a21c60693,2026-07-12T21:38:43.306885,"[8, 9]",8,9.0,,1ca8fb9f705d77313a864c175465cda7da96bea20dacf41e065f7f3a21c60693,,True,,False
goms_run_manifest,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/shared_handoff/goms_run_manifest.json,workbook/p2/p2_3/shared_handoff/goms_run_manifest.json,True,8501,e58cb64a06511c4a0aa4ced236beb44467172396802bc417a4ae1f5493f8a83d,2026-07-12T21:38:43.317863,"[18, None]",18,,,e58cb64a06511c4a0aa4ced236beb44467172396802bc417a4ae1f5493f8a83d,,True,,False
