dept_uid,headcount_uid,parent_program_count,classification,repeated_structure_columns,context_feature_allowed,sum_denominator_weight_allowed,outcome_row_ids,school_names,campus_names,outcome_dept_names,match_methods,candidate_count_max,outcome_row_id,school,campus,outcome_dept_name,headcount_dept_name,match_method,match_score,candidate_count
DEP_dffa1a933d14,HCG_0192587acded,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_01643|OC2024_01706,고려대학교,unknown|분교,영어영문학과|영어영문학과,exact_strict,1,OC2024_01643,고려대학교,unknown,영어영문학과,영어영문학과,exact_strict,1.0,1
DEP_dffa1a933d14,HCG_0192587acded,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_01643|OC2024_01706,고려대학교,unknown|분교,영어영문학과|영어영문학과,exact_strict,1,OC2024_01706,고려대학교,분교,영어영문학과,영어영문학과,exact_strict,1.0,1
DEP_eb13903b31fd,,2,TRUE_DUPLICATE,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,False,,OC2024_08822|OC2024_08823,충남대학교,unknown,미생물분자생명과학과|미생물분자생명과학과,manual_pending,2,OC2024_08822,충남대학교,unknown,미생물분자생명과학과,미생물분자생명과학과 | 미생물?분자생명과학과,manual_pending,1.0,2
DEP_eb13903b31fd,,2,TRUE_DUPLICATE,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,False,,OC2024_08822|OC2024_08823,충남대학교,unknown,미생물분자생명과학과|미생물분자생명과학과,manual_pending,2,OC2024_08823,충남대학교,unknown,미생물분자생명과학과,미생물분자생명과학과 | 미생물?분자생명과학과,manual_pending,1.0,2
DEP_0e4cb5dc34e5,HCG_9f837d621322,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_03092|OC2024_03093,단국대학교,제2캠퍼스,뉴뮤직학부|뉴뮤직과,exact_strict|exact_token_unique,1,OC2024_03092,단국대학교,제2캠퍼스,뉴뮤직학부,뉴뮤직과,exact_token_unique,1.0,1
DEP_0e4cb5dc34e5,HCG_9f837d621322,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_03092|OC2024_03093,단국대학교,제2캠퍼스,뉴뮤직학부|뉴뮤직과,exact_strict|exact_token_unique,1,OC2024_03093,단국대학교,제2캠퍼스,뉴뮤직과,뉴뮤직과,exact_strict,1.0,1
DEP_b18217983866,,2,TRUE_DUPLICATE,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,False,,OC2024_06719|OC2024_06721,연세대학교,unknown,문화미디어전공|문화미디어전공,manual_pending,2,OC2024_06719,연세대학교,unknown,문화미디어전공,문화?미디어전공 | 문화미디어전공,manual_pending,1.0,2
DEP_b18217983866,,2,TRUE_DUPLICATE,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,False,,OC2024_06719|OC2024_06721,연세대학교,unknown,문화미디어전공|문화미디어전공,manual_pending,2,OC2024_06721,연세대학교,unknown,문화미디어전공,문화?미디어전공 | 문화미디어전공,manual_pending,1.0,2
DEP_31efbd40bac2,HCG_16ee4115f587,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_06769|OC2024_06841,연세대학교,unknown|분교,의예과|의예과,exact_strict,1,OC2024_06769,연세대학교,unknown,의예과,의예과,exact_strict,1.0,1
DEP_31efbd40bac2,HCG_16ee4115f587,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_06769|OC2024_06841,연세대학교,unknown|분교,의예과|의예과,exact_strict,1,OC2024_06841,연세대학교,분교,의예과,의예과,exact_strict,1.0,1
DEP_40fc3d69b657,HCG_a6a6846c3f22,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_06708|OC2024_06804,연세대학교,unknown|분교,국어국문학과|국어국문학과,exact_strict,1,OC2024_06708,연세대학교,unknown,국어국문학과,국어국문학과,exact_strict,1.0,1
DEP_40fc3d69b657,HCG_a6a6846c3f22,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_06708|OC2024_06804,연세대학교,unknown|분교,국어국문학과|국어국문학과,exact_strict,1,OC2024_06804,연세대학교,분교,국어국문학과,국어국문학과,exact_strict,1.0,1
DEP_6c08d0a64880,HCG_d6e87d47c2bd,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_06701|OC2024_06803,연세대학교,unknown|분교,경제학전공|경제학전공,exact_strict,1,OC2024_06701,연세대학교,unknown,경제학전공,경제학전공,exact_strict,1.0,1
DEP_6c08d0a64880,HCG_d6e87d47c2bd,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_06701|OC2024_06803,연세대학교,unknown|분교,경제학전공|경제학전공,exact_strict,1,OC2024_06803,연세대학교,분교,경제학전공,경제학전공,exact_strict,1.0,1
DEP_93160d823e93,HCG_e53e660c25b6,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_06699|OC2024_06801,연세대학교,unknown|분교,경영학과|경영학부,exact_strict|exact_token_unique,1,OC2024_06699,연세대학교,unknown,경영학과,경영학과,exact_strict,1.0,1
DEP_93160d823e93,HCG_e53e660c25b6,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_06699|OC2024_06801,연세대학교,unknown|분교,경영학과|경영학부,exact_strict|exact_token_unique,1,OC2024_06801,연세대학교,분교,경영학부,경영학과,exact_token_unique,1.0,1
DEP_b7d3235210f4,HCG_e76b724fb0fa,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_06783|OC2024_06846,연세대학교,unknown|분교,철학과|철학전공,exact_strict|exact_token_unique,1,OC2024_06783,연세대학교,unknown,철학과,철학과,exact_strict,1.0,1
DEP_b7d3235210f4,HCG_e76b724fb0fa,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_06783|OC2024_06846,연세대학교,unknown|분교,철학과|철학전공,exact_strict|exact_token_unique,1,OC2024_06846,연세대학교,분교,철학전공,철학과,exact_token_unique,1.0,1
DEP_bacbfde4e8ca,HCG_20cff7139a22,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_06767|OC2024_06837,연세대학교,unknown|분교,의학과|의학과,exact_strict,1,OC2024_06767,연세대학교,unknown,의학과,의학과,exact_strict,1.0,1
DEP_bacbfde4e8ca,HCG_20cff7139a22,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_06767|OC2024_06837,연세대학교,unknown|분교,의학과|의학과,exact_strict,1,OC2024_06837,연세대학교,분교,의학과,의학과,exact_strict,1.0,1
DEP_f35d2a4b373a,HCG_f0da1f8eedcb,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_06740|OC2024_06831,연세대학교,unknown|분교,수학과|수학전공,exact_strict|exact_token_unique,1,OC2024_06740,연세대학교,unknown,수학과,수학과,exact_strict,1.0,1
DEP_f35d2a4b373a,HCG_f0da1f8eedcb,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_06740|OC2024_06831,연세대학교,unknown|분교,수학과|수학전공,exact_strict|exact_token_unique,1,OC2024_06831,연세대학교,분교,수학전공,수학과,exact_token_unique,1.0,1
DEP_a6fa296a6e7e,,2,TRUE_DUPLICATE,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,False,,OC2024_07093|OC2024_07094,우석대학교,unknown,건축인테리어디자인학과|건축인테리어디자인학과,manual_pending,2,OC2024_07093,우석대학교,unknown,건축인테리어디자인학과,건축?인테리어디자인학과 | 건축인테리어디자인학과,manual_pending,1.0,2
DEP_a6fa296a6e7e,,2,TRUE_DUPLICATE,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,False,,OC2024_07093|OC2024_07094,우석대학교,unknown,건축인테리어디자인학과|건축인테리어디자인학과,manual_pending,2,OC2024_07094,우석대학교,unknown,건축인테리어디자인학과,건축?인테리어디자인학과 | 건축인테리어디자인학과,manual_pending,1.0,2
DEP_1e8ebec67414,,2,CAMPUS_CONFLICT,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,False,,OC2024_09486|OC2024_09487,한남대학교,unknown,토목환경공학전공|토목환경공학전공,manual_pending,3,OC2024_09486,한남대학교,unknown,토목환경공학전공,토목환경공학전공 | 토목?환경공학전공 | 토목환경공학전공,manual_pending,1.0,3
DEP_1e8ebec67414,,2,CAMPUS_CONFLICT,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,False,,OC2024_09486|OC2024_09487,한남대학교,unknown,토목환경공학전공|토목환경공학전공,manual_pending,3,OC2024_09487,한남대학교,unknown,토목환경공학전공,토목환경공학전공 | 토목?환경공학전공 | 토목환경공학전공,manual_pending,1.0,3
