univ_name_std,raw_rows,raw_score_nonnull,raw_score_0_100,raw_score_gt100,raw_units,crosswalk_rows,crosswalk_score_nonnull,valid_primary,exact,alias,unmatched,absent,loose,broad,final_rows,final_admission_nonnull,final_coverage_pct
대구가톨릭대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0.0
대구경북과학기술원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0
대구교육대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0.0
대구대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0.0
대구예술대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0.0
대구한의대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0.0
대신대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0
대전가톨릭대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
대전대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0.0
대전신학대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
대진대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0.0
동국대학교(WISE)_분교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0.0
동덕여자대학교,86,0,0,0,35,0,0,0,0,0,0,0,0,0,80,0,0.0
동명대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0.0
동서대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0.0
동신대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0.0
동아대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0.0
동양대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0.0
동의대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,0,0.0
루터대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0
명지대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0.0
목원대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0.0
목포가톨릭대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0
배재대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0.0
백석대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0.0
부산가톨릭대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0.0
부산교육대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0.0
부산외국어대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0.0
부산장신대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0
상명대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0.0
상지대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0.0
서울교육대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0.0
서울기독대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.0
서울시립대학교,40,0,0,0,38,0,0,0,0,0,0,0,0,0,49,0,0.0
서울신학대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0.0
서울장신대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0
서울한영대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.0
서원대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0.0
선문대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0.0
성결대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0.0
성공회대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0.0
세명대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0.0
세한대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0.0
송원대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0.0
수원가톨릭대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
숙명여자대학교,42,0,0,0,40,0,0,0,0,0,0,0,0,0,56,0,0.0
순복음총회신학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0
순천향대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0.0
신경주대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0.0
신라대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0.0
신한대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0
신한대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0.0
아신대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.0
안양대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0.0
안양대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0.0
연세대학교(미래)_분교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0.0
영남대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0.0
영남신학대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0
영산대학교(양산)_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0.0
영산대학교(해운대),0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0.0
영산선학대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
예수대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0
예원예술대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0.0
예원예술대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0
용인대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0.0
우석대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0.0
우송대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0.0
울산과학기술원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0.0
울산대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0.0
원광대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0.0
위덕대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0.0
유원대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0.0
을지대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.0
을지대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0.0
을지대학교_제3캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.0
인제대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0.0
인천가톨릭대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
인천가톨릭대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.0
장로회신학대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0
전남대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0.0
전주교육대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0
전주대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0.0
제주국제대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0.0
제주대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0.0
조선대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0.0
중부대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0.0
중앙대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0.0
중앙승가대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0
중원대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0.0
진주교육대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0
차의과학대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0.0
창신대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0.0
청운대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0.0
청주교육대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0
청주대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0.0
초당대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0.0
총신대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.0
추계예술대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.0
춘천교육대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0
칼빈대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.0
평택대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0.0
포항공과대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0
한경국립대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0.0
한국과학기술원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0.0
한국교원대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0.0
한국기술교육대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.0
한국방송통신대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0.0
한국성서대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0
한국에너지공과대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
한국예술종합학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0.0
한국전통문화대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0
한국체육대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0.0
한국침례신학대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.0
한남대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0.0
한동대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0
한라대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0.0
한림대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0.0
한서대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0.0
한세대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0.0
한신대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0.0
한양대학교(ERICA)_분교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0.0
한일장신대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0
협성대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0.0
호남대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0.0
호남신학대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.0
호서대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0.0
호원대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0.0
홍익대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0.0
화성의과학대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0.0
연세대학교,249,14,14,0,79,14,14,2,1,1,2,9,0,1,102,2,1.9607843137254901
가톨릭대학교,38,18,18,0,9,18,18,1,0,1,0,0,0,17,40,1,2.5
서울과학기술대학교,41,41,41,0,3,41,41,18,0,18,23,0,0,0,39,1,2.564102564102564
한국외국어대학교,144,144,144,0,3,72,72,43,0,43,0,0,29,0,115,3,2.608695652173913
세종대학교,31,31,31,0,14,31,31,9,0,9,7,0,0,15,88,4,4.545454545454546
이화여자대학교,24,24,24,0,24,24,24,13,8,5,0,1,8,2,103,17,16.50485436893204
명지대학교,22,22,22,0,22,22,22,5,0,5,6,8,1,2,35,6,17.142857142857142
한성대학교,15,15,15,0,15,15,15,0,0,0,3,0,12,0,30,8,26.666666666666668
상명대학교,29,29,29,0,29,29,29,11,3,8,11,7,0,0,40,11,27.500000000000004
수원대학교,56,54,54,0,33,43,43,43,0,43,0,0,0,0,79,22,27.848101265822784
강원대학교,62,62,61,1,62,61,61,46,11,35,10,2,1,2,154,47,30.519480519480517
성균관대학교,30,30,30,0,30,30,30,20,3,17,0,1,5,4,71,23,32.3943661971831
국민대학교,62,62,62,0,62,62,62,36,1,35,24,1,1,0,89,37,41.57303370786517
경기대학교,56,53,53,0,33,53,53,33,1,32,5,15,0,0,56,26,46.42857142857143
서강대학교,27,27,27,0,21,19,19,14,0,14,1,2,2,0,33,16,48.484848484848484
성신여자대학교,56,56,56,0,46,37,37,23,10,13,0,0,12,2,59,29,49.152542372881356
삼육대학교,67,54,46,8,19,48,46,45,1,44,3,0,0,0,30,16,53.333333333333336
가천대학교,60,60,60,0,60,60,60,43,2,41,9,5,1,2,80,43,53.75
서울대학교,91,89,89,0,70,67,67,57,21,36,4,1,0,5,94,57,60.63829787234043
단국대학교,78,78,78,0,78,78,78,28,5,23,21,26,3,0,48,30,62.5
숭실대학교,41,41,41,0,41,41,41,36,0,36,2,0,2,1,56,37,66.07142857142857
전북대학교,121,101,101,0,104,96,96,78,11,67,7,0,11,0,126,84,66.66666666666666
홍익대학교,50,50,50,0,50,50,50,26,9,17,1,14,3,6,42,29,69.04761904761905
건국대학교,50,50,50,0,50,50,50,48,3,45,1,1,0,0,68,48,70.58823529411765
경희대학교,85,85,85,0,85,85,85,70,2,68,5,0,6,4,102,73,71.56862745098039
한국공학대학교,80,78,78,0,20,78,78,70,0,70,0,0,8,0,18,13,72.22222222222221
인천대학교,55,55,55,0,55,55,55,55,8,47,0,0,0,0,76,55,72.36842105263158
전남대학교,108,102,102,0,104,108,102,77,15,62,5,25,0,1,95,69,72.63157894736842
충북대학교,83,82,82,0,79,82,82,79,14,65,1,1,0,1,104,76,73.07692307692307
서울여자대학교,41,41,41,0,41,41,41,35,0,35,0,0,0,6,47,35,74.46808510638297
한양대학교,89,89,89,0,87,89,89,54,4,50,2,31,2,0,71,53,74.64788732394366
인하대학교,56,56,56,0,56,56,56,54,5,49,0,0,1,1,73,55,75.34246575342466
부산대학교,109,97,97,0,105,97,97,85,15,70,8,1,3,0,107,84,78.50467289719626
충남대학교,126,125,125,0,104,99,99,84,11,73,0,0,15,0,103,89,86.40776699029125
아주대학교,37,37,37,0,37,37,37,34,0,34,1,1,1,0,38,34,89.47368421052632
중앙대학교,60,60,60,0,60,60,60,31,3,28,9,3,17,0,44,41,93.18181818181817
부경대학교,61,54,54,0,61,54,54,0,0,0,53,0,0,1,0,0,
