학과_계열,universities,rows,admission_non_null,a_rate_mean,cd_rate_mean,f_rate_mean,employment_rate_mean,advancement_rate_mean
전기공,39,39,25,39.11111995142733,22.19388922325015,2.71040401415003,63.95943688553316,6.736341346273875
화학공,39,39,27,41.94804053743411,19.348018603085404,4.4802587272615,62.05222250996631,20.4824268939065
물리,37,37,24,45.088380308571544,17.10352343337539,2.719051776155101,51.014015581235405,37.949974758549594
약,37,37,29,37.60253529037044,22.30748862383185,3.191186826619494,90.44852532590208,4.44241287182719
의,37,37,3,37.19846129655375,21.25674938366612,9.054907950081121,57.35035397416613,0.2151391785825748
철,37,37,22,43.986191997255304,17.955653432506338,3.9931005382728952,57.64342431005569,10.95046568686184
신,36,36,17,43.18636735052523,16.787154027158092,2.898146516297348,65.0,39.12137086938062
미디어커뮤니케이션,35,35,25,43.20956254773821,18.207185321614443,2.1641259777046926,63.27391683791511,1.9082783556535032
소프트웨어,35,35,16,42.216292659141956,18.5172648347216,3.886157085049399,53.68671149170714,7.687638524097276
정치외교,35,35,25,46.727934886848715,16.888695398813923,2.0765594403675602,56.0256061927922,7.773885072578768
사회,33,33,21,44.21826233058971,20.434422692429873,2.1451298547490896,58.91782623875166,5.635172267416532
체육,33,33,12,42.34884484312694,17.108895032612992,3.86283127341118,76.64702681073156,4.970606471262813
산업디자인,32,32,9,49.09220833721463,12.722984174089087,4.106927166909607,61.08889234517113,6.141015125760335
작업치료,32,32,14,39.17578261301935,20.421254614755068,1.8858466005005907,82.26837205381935,1.4645340955254893
중어중문,32,32,20,48.425033936148814,15.883545455742894,2.679479996624663,64.11380064974179,4.122598187440034
환경공,32,32,19,40.726603526737094,20.756908956982613,2.3251067321302155,54.38686965757859,10.378279368112654
스포츠과,31,31,12,40.39095988600917,16.90817874160969,5.025220360778381,75.09652928489461,5.8327270850323165
체육교육과,31,31,14,48.56908304973642,12.708320190877455,1.1364988986300335,49.81483875328756,2.6050581373782866
토목공,31,31,15,37.6180428470948,22.885171914568257,3.236396912024214,67.71888710321402,3.6269172260939686
경영학,29,29,3,34.56566191773748,25.59151867432628,5.47209806043754,60.72184701786447,0.9888728395997747
문헌정보,29,29,16,44.64133186983091,18.74856921590205,1.8036753744447167,52.76041509618167,5.402929061428062
심리,29,29,18,43.43384145059331,19.89434261018163,2.544788986909116,52.00106508623362,23.12514523512982
의예과,29,29,24,35.62022280374229,11.284946641554756,36.96809119857924,,
치위생,29,29,14,36.74462492587113,21.507485681566084,1.7098317943035184,87.14188874260324,1.336590220175427
디자인,28,28,7,46.410544202614126,10.575661028469087,7.216220858828968,58.575916888808685,3.7216920265718865
관광경영,27,27,14,42.445061766040965,16.86201391807908,2.043321520495747,67.47675731432206,0.626946258093799
정보통신공,27,27,13,39.42980304245552,20.26296001329027,3.061992433098913,56.27714204198719,6.556611751005594
상담심리,26,26,8,39.6247088811023,17.714757866158084,4.0695697904139285,51.41273796298791,17.429289028996127
인공지능,26,26,11,38.970498892692056,17.691351367450093,6.208147819112401,,
임상병리,26,26,19,41.764649968719155,18.661240048528967,0.8530459758435449,68.05165151366087,2.226637042453
컴퓨터공학,26,26,2,35.57372023768365,22.003655352008675,3.4974362151162715,49.629103107808675,5.495982386724147
건축공학,25,25,1,40.63442833650725,24.567337721431254,2.176167257512505,67.41002065573956,7.84471979464576
건축학,25,25,1,40.468172192356214,18.581625135543646,3.540399468854553,69.16532070493825,8.899235353931205
시각디자인,25,25,6,46.14326013062023,11.823120733507622,4.861916218898019,57.71229072807529,1.104558572108896
응급구조,25,25,12,36.90234751166999,21.606922923238784,2.5473646268916297,73.6794945384308,0.6507387126225929
패션디자인,24,24,11,44.61958123373972,15.180143486527967,4.395521129290544,59.43250432413663,1.9670479386157262
산업경영공,23,23,10,39.363859494370075,22.861879681058287,2.3428797622905986,68.33338910831444,9.13173603677748
회계,23,23,11,38.46363684410555,22.690917137944997,2.2614034620441394,55.338872658898644,0.8835377004964089
역사교육과,22,22,18,44.95286861123614,16.666870354561635,0.7189536263947871,33.179854949136725,2.5349432702373877
일어일문,22,22,12,41.245515794848465,21.14485440657481,3.0390803250877996,53.96080019956319,2.533509322095444
특수교육과,22,22,13,37.25623368419678,16.69463371370347,0.9414231902394671,52.75781775543438,1.097002301374118
항공서비스,22,22,6,49.90959759658633,10.537368686452432,2.0879453628087257,67.30844882469162,1.5467940049583053
광고홍보,21,21,11,43.13254590329062,18.1440371847264,2.2724034725673055,62.874652284726736,0.8359574125019902
국제통상,21,21,8,41.54101081687614,15.507927956656378,3.578842053367801,62.150649046041735,1.2321374016154842
무역,21,21,12,40.2145600693014,20.503391941617615,3.327035339256992,62.773462527200834,1.0909058917671586
미술,21,21,3,54.5225727434066,11.264430887788578,2.8993477037340516,57.579656109003594,11.600545881977006
식품공,21,21,13,39.4159224152325,20.547457445682344,1.4730385484660464,58.90603056292429,18.689310777790677
윤리교육과,21,21,15,43.6618748428759,17.5849651205073,1.2003249195835166,56.705530973277554,1.1967750062988158
국제,20,20,6,36.800501327871096,18.660613635242854,5.226021719898563,64.39462233982782,4.5963256484929556
글로벌비즈니스,20,20,5,40.06833199872973,19.095175178590544,5.173155616397277,65.24693744427942,2.762192377186607
데이터사이언스,20,20,9,44.58407370244745,17.264803714067533,4.044283883261955,45.01799370220423,27.88909503195217
독어독문,20,20,10,53.04474411809086,14.552200440325171,1.2992290841029908,54.27827820493968,5.978564405337861
방사선,20,20,15,37.68790965180442,19.816105267738205,6.549738026838149,75.61883258647886,2.9028931210899245
사회복지학,20,20,1,41.17315600209997,23.50583275166945,1.674596770353725,51.30480373535929,9.254176385054555
전기전자공,20,20,10,31.824241634094612,25.492680672048206,7.1995134609179985,59.37301312360285,13.356199122599897
통계,20,20,13,44.052921164011636,16.02315966538624,1.7427830713377965,53.33104398220491,20.132376647462884
군사,19,19,4,39.40838146342418,18.378722854968267,2.29721319339641,98.90601503759399,0.18018018018018014
불어불문,19,19,12,50.10683930588207,18.506004058573698,1.3352401699401848,59.59772598069452,6.807189981754015
도시공,18,18,16,39.001449761453536,19.71612427653924,3.020851379447583,67.98177327033831,10.900313892042009
식품생명공,18,18,9,42.17836837754893,18.801612277028557,1.316191829068664,73.3740462622365,19.554506984938183
실용음악,18,18,0,48.0760461783451,12.569128937639725,4.769975100934457,62.50853933268289,4.808558558558558
영어,18,18,1,38.888619478810654,23.293129192380704,3.682279902282682,53.3000812590996,2.3931094243594244
중국,18,18,12,47.17578280166759,21.137376085032297,1.7708184817034234,60.4920250676996,0.38506137556221887
경영정보,17,17,7,38.52480738462613,21.993205315531295,2.616225283855183,67.34345324744694,2.1618194839348686
생명공,17,17,10,40.70694849328472,20.10527700902398,4.250073225707837,55.851526119383266,28.181475857889684
아동,17,17,7,41.911221724489444,18.549751662524404,2.2502538803085166,81.62787065411655,9.158607914629746
건설환경공,16,16,9,38.8285769760171,21.39053139371608,4.161539489652093,67.66300066824775,16.834014211405425
경찰,16,16,8,37.1500581365197,20.232463119551902,9.397663092018037,47.9250240537746,1.0933378711818258
글로벌경영,16,16,6,41.43522059915458,25.91129053819964,1.7031400510969088,63.876995562160616,1.2416600055121279
무용,16,16,1,64.63001909284615,7.655808584107044,5.926156698961305,67.12103032632106,13.300473382826324
문화콘텐츠,16,16,8,36.51254118499348,19.63955402696784,7.997036837123902,61.747706983681745,2.2990786829626018
반도체공,16,16,9,41.72084302588477,14.856783940792095,8.7699303765895,68.16770186335404,11.37544922629125
산업공,16,16,11,42.315076108445574,21.209612037861273,1.8942597365956093,66.34127984242193,19.220655844333823
의류,16,16,12,43.3421907873515,18.293807205257917,1.6247249093478453,67.23522878088096,1.6093966420053376
조경,16,16,9,38.36267680850186,18.51785878161173,1.7365351490145609,58.1936044634428,5.874442897012508
지리교육과,16,16,14,49.41569120407756,13.20103558994815,0.7359782607410197,39.060327834837636,4.115011014208474
