crawl_priority,univ_name_raw,univ_name_std,campus_name_std,univ_id,adiga_univ_code,adiga_label,target_institution_flag,manual_review_required,seed_note,source_registry_exists,raw_html_exists,http_status,parse_status,parse_note,raw_rows,raw_tables,recruitment_unit_nonnull,raw_score_70cut_nonnull,raw_score_max_nonnull,raw_percentile_70cut_nonnull,raw_percentile_0_100,raw_percentile_gt100,v1_any_score_field_nonnull,v2_metric_nonnull,v2_percentile_rows,v2_score_ratio_rows,v2_missing_or_unusable,v2_header_rows,gate1_fetched,gate1_raw_rows_ok,crawl_v1_semantic_score_ok,v2_metric_ok,verification_status,raw_file_path
20,아주대,아주대학교,본교/미구분,U0000146,146,아주대학교[본교],True,False,,True,True,200,success,result_tables=1,37,1,37,37,37,37,37,0,37,37,37,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000146_2025.html
21,서울과기대,서울과학기술대학교,본교/미구분,U0000036,36,서울과학기술대학교[본교],True,False,,True,True,200,success,result_tables=2,41,2,41,41,41,41,41,0,41,41,41,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000036_2025.html
22,경북대,경북대학교,본교/미구분,U0000005,5,경북대학교[본교],True,False,,True,True,200,success,result_tables=1,108,1,108,108,108,108,0,105,108,105,0,105,3,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000005_2025.html
23,인하대,인하대학교,본교/미구분,U0000169,169,인하대학교[본교],True,False,,True,True,200,success,result_tables=1,56,1,56,56,56,56,56,0,56,56,56,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000169_2025.html
24,성신여대,성신여자대학교,본교/미구분,U0000136,136,성신여자대학교[본교],True,False,,True,True,200,success,result_tables=4,56,4,56,56,56,56,56,0,56,56,56,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000136_2025.html
25,단국대,단국대학교,죽전,U0000082,82,단국대학교[본교],True,False,,True,True,200,success,result_tables=1,35,1,35,35,35,35,35,0,35,35,35,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000082_2025.html
26,광운대,광운대학교,본교/미구분,U0000074,74,광운대학교[본교],True,False,,True,True,200,success,result_tables=4,65,4,57,0,0,0,0,0,0,57,57,0,0,8,True,True,False,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000074_2025.html
27,항공대,한국항공대학교,본교/미구분,U0000194,194,한국항공대학교[본교],True,False,,True,True,200,success,result_tables=3,35,3,35,35,35,35,28,0,35,28,28,0,7,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000194_2025.html
28,한양대에리카,한양대학교,본교/미구분,U0000204,204,한양대학교(ERICA)[분교],True,False,,True,True,200,success,result_tables=1,36,1,36,36,36,36,36,0,36,36,36,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000204_2025.html
29,상명대,상명대학교,본교/미구분,U0000117,117,상명대학교[본교],True,False,,True,True,200,success,result_tables=1,29,1,29,29,29,29,29,0,29,29,29,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000117_2025.html
30,가톨릭대,가톨릭대학교,본교/미구분,U0000046,46,가톨릭대학교[본교],True,False,,True,True,200,success,result_tables=1,38,1,38,38,38,38,18,0,38,38,18,20,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000046_2025.html
31,명지대,명지대학교,본교/미구분,U0000109,109,명지대학교[본교],True,False,,True,True,200,success,result_tables=1,22,1,22,22,22,22,22,0,22,22,22,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000109_2025.html
32,전남대,전남대학교,본교/미구분,U0000023,23,전남대학교[본교],True,False,,True,True,200,success,result_tables=2,108,2,108,108,108,108,102,0,108,108,108,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000023_2025.html
33,인천대,인천대학교,본교/미구분,U0002660,2660,인천대학교[본교],True,False,,True,True,200,success,result_tables=1,55,1,55,55,55,55,55,0,55,55,55,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0002660_2025.html
34,가천대,가천대학교,본교/미구분,U0000063,63,가천대학교[본교],True,False,,True,True,200,success,result_tables=1,60,1,60,60,60,60,60,0,60,60,60,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000063_2025.html
35,덕성여대,덕성여자대학교,본교/미구분,U0000099,99,덕성여자대학교[본교],True,False,,True,True,200,success,result_tables=1,7,1,7,7,7,7,0,7,7,7,0,7,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000099_2025.html
36,동덕여대,동덕여자대학교,본교/미구분,U0000102,102,동덕여자대학교[본교],True,False,,True,True,200,success,result_tables=5,86,5,76,0,0,0,0,0,0,76,76,0,0,10,True,True,False,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000102_2025.html
37,경기대,경기대학교,본교/미구분,U0000056,56,경기대학교[본교],True,False,,True,True,200,success,result_tables=4,56,4,56,56,56,56,53,0,56,56,53,3,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000056_2025.html
38,한국외대(글캠),한국외국어대학교,본교/미구분,U0000192,192,한국외국어대학교[본교],False,True,"adiga에 별도 캠퍼스 코드 없음 — U0000192와 동일 페이지, 중복크롤링 방지 위해 크롤링 대상에서 제외",True,True,200,success,result_tables=1,72,1,72,72,72,72,72,0,72,72,72,0,0,0,False,False,False,False,target_excluded,data/crawl_2024_admission/raw_html/0000192_2025.html
39,서울여대,서울여자대학교,본교/미구분,U0000126,126,서울여자대학교[본교],True,False,,True,True,200,success,result_tables=1,41,1,41,41,41,41,41,0,41,41,41,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000126_2025.html
40,충남대,충남대학교,본교/미구분,U0000029,29,충남대학교[본교],True,False,,True,True,200,success,result_tables=1,126,1,126,125,126,125,125,0,125,125,125,0,1,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000029_2025.html
41,한성대,한성대학교,본교/미구분,U0000200,200,한성대학교[본교],True,False,,True,True,200,success,result_tables=1,15,1,15,15,15,15,15,0,15,15,15,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000200_2025.html
42,충북대,충북대학교,본교/미구분,U0000030,30,충북대학교[본교],True,False,,True,True,200,success,result_tables=2,83,2,83,83,83,83,82,0,83,82,82,0,1,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000030_2025.html
43,삼육대,삼육대학교,본교/미구분,U0000116,116,삼육대학교[본교],True,False,,True,True,200,success,result_tables=1,67,1,67,67,67,67,46,8,67,67,48,19,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000116_2025.html
44,서경대,서경대학교,본교/미구분,U0000121,121,서경대학교[본교],True,False,,True,True,200,success,result_tables=1,43,1,43,43,43,43,40,0,43,40,40,0,3,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000121_2025.html
45,부경대,부경대학교,본교/미구분,U0000013,13,국립부경대학교[본교],True,False,,True,True,200,success,result_tables=1,61,1,61,61,61,61,54,0,61,54,54,0,7,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000013_2025.html
46,전북대,전북대학교,본교/미구분,U0000025,25,전북대학교[본교],True,False,,True,True,200,success,result_tables=1,121,1,121,121,121,121,101,0,121,101,101,0,20,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000025_2025.html
47,단국대,단국대학교,천안,U0002726,2726,단국대학교[제2캠퍼스],True,False,,True,True,200,success,result_tables=1,43,1,43,43,43,43,43,0,43,43,43,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0002726_2025.html
48,강원대,강원대학교,본교/미구분,U0000003,3,강원대학교[본교],True,False,,True,True,200,success,result_tables=1,62,1,62,62,62,62,61,1,62,62,61,1,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000003_2025.html
49,연세대(원주캠),연세대학교,본교/미구분,U0000150,150,연세대학교(미래)[분교],True,False,,True,True,200,success,result_tables=1,14,1,14,14,14,14,14,0,14,14,14,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000150_2025.html
50,고려대(세종캠),고려대학교,본교/미구분,U0000070,70,고려대학교(세종)[분교],True,False,,True,True,200,success,result_tables=1,24,1,24,24,24,24,24,0,24,24,24,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000070_2025.html
51,수원대,수원대학교,본교/미구분,U0000140,140,수원대학교[본교],True,False,,True,True,200,success,result_tables=4,56,4,56,56,56,54,54,0,56,55,54,1,1,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000140_2025.html
52,한국공대,한국공학대학교,본교/미구분,U0000247,247,한국공학대학교[본교],True,False,,True,True,200,success,result_tables=4,80,4,80,80,80,80,78,0,80,78,78,0,2,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000247_2025.html
