학교명,final_grade_department_labels,raw_rows,raw_metric_nonnull,final_matched_source_rows,final_admission_department_labels,admission_label_coverage_pct,zero_coverage_detail_reason,zero_coverage_major_reason
진주교육대학교,12,3,3,0,0,0.0,metric_exists_but_department_unmatched,crawled_but_zero_coverage
춘천교육대학교,12,4,4,0,0,0.0,metric_exists_but_department_unmatched,crawled_but_zero_coverage
포항공과대학교,12,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
한동대학교,12,3,3,0,0,0.0,metric_exists_but_department_unmatched,crawled_but_zero_coverage
국립강릉원주대학교_제2캠퍼스(폐교),11,0,0,0,0,0.0,not_crawled_or_scope_excluded,not_crawled_or_scope_excluded
광주과학기술원,10,0,0,0,0,0.0,not_crawled_or_scope_excluded,not_crawled_or_scope_excluded
서울기독대학교,9,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
인천가톨릭대학교_제2캠퍼스,9,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
광신대학교,7,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
신한대학교,7,1,1,0,0,0.0,metric_exists_but_department_unmatched,crawled_but_zero_coverage
한국전통문화대학교,7,0,0,0,0,0.0,not_crawled_or_scope_excluded,not_crawled_or_scope_excluded
대신대학교,6,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
한일장신대학교,6,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
서울장신대학교,5,2,2,0,0,0.0,metric_exists_but_department_unmatched,crawled_but_zero_coverage
영남신학대학교,5,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
예원예술대학교_제2캠퍼스,5,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
중앙승가대학교,5,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
을지대학교_제3캠퍼스,4,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
가톨릭대학교_제2캠퍼스,3,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
대구경북과학기술원,2,0,0,0,0,0.0,not_crawled_or_scope_excluded,not_crawled_or_scope_excluded
부산장신대학교,2,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
순복음총회신학교,2,0,0,0,0,0.0,not_crawled_or_scope_excluded,not_crawled_or_scope_excluded
을지대학교,2,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
가톨릭대학교_제3캠퍼스,1,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
광주가톨릭대학교,1,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
수원가톨릭대학교,1,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
영산선학대학교,1,1,0,0,0,0.0,raw_fetched_but_no_usable_metric,crawled_but_zero_coverage
인천가톨릭대학교,1,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
한국에너지공과대학교,1,0,0,0,0,0.0,not_crawled_or_scope_excluded,not_crawled_or_scope_excluded
