outcome_row_id,school_name_raw,campus_name_raw_x,dept_name_raw,dept_name_std,major_group_7,match_status,match_method,unmatched_reason,row_qa_status,review_needed,headcount_match_flag,campus_conflict_flag,major7_mapping_method,major7_mapping_confidence,major7_review_needed,graduates_n,enrolled_students_n,applicants_n,a_rate_pct,cd_rate_pct,f_rate_pct,selectivity_proxy_pct,health_employment_rate_pct,graduate_school_progression_rate_pct,employment_rate_pct,progression_rate_pct,drop_structure_unresolved,drop_campus_conflict,drop_major7_unresolved,drop_d08_key_duplicate,drop_normalized_name_duplicate,drop_core_identity_missing,target_extreme_small_denom__a_rate_pct,target_extreme_small_denom__cd_rate_pct,target_extreme_small_denom__f_rate_pct,target_extreme_small_denom__selectivity_proxy_pct,target_extreme_small_denom__health_employment_rate_pct,target_extreme_small_denom__graduate_school_progression_rate_pct,target_extreme_small_denom__employment_rate_pct,target_extreme_small_denom__progression_rate_pct,drop_rate_extreme_small_denominator,strict_drop,strict_keep,drop_reasons,rate_extreme_targets
OC2024_00025,가천대학교,,경찰행정학과,경찰행정학과,SOC,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,0,421,969,55.94389,19.168097,1.0183276,83.7,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00026,가천대학교,,관광경영학과,관광경영학과,SOC,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,92,565,1265,44.818943,24.952066,3.5097458,81.5,67.741936,0.0,72.58064,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00027,가천대학교,,글로벌경영학전공,글로벌경영학전공,SOC,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,0,443,0,58.418095,13.375518,4.1518025,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00028,가천대학교,,금융・빅데이터학부 | 금융・빅데이터학부(금융수학전공) | 금융・빅데이터학부(금융수학전공) | 금융・빅데이터학부(빅데이터경영전공),금융빅데이터학부금융빅데이터학부금융수학전공금융빅데이터학부금융수학전공금융빅데이터학부빅데이터경영전공,NAT,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,0,116,1500,34.705883,18.82353,14.705882,83.6,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00029,가천대학교,,금융수학과,금융수학과,NAT,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,52,248,0,51.684036,19.78058,2.3355215,,56.862743,1.9230769,62.7451,1.9230769,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00030,가천대학교,,기계・스마트・산업공학부(기계공학전공) | 기계・스마트・산업공학부(산업공학전공) | 기계・스마트・산업공학부(스마트팩토리전공),기계스마트산업공학부기계공학전공기계스마트산업공학부산업공학전공기계스마트산업공학부스마트팩토리전공,ENG,manual_pending,manual_pending,multiple_candidates,manual_match_pending,True,False,False,keyword_rule,medium,False,,,,54.775883,17.48733,2.029867,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,structure_unresolved,
OC2024_00031,가천대학교,,기계공학과,기계공학과,ENG,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,85,161,0,63.664577,10.418748,0.330033,,56.52174,16.470589,60.869564,16.470589,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00032,가천대학교,,도시계획・조경학부,도시계획조경학부,SOC,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,0,108,1287,20.0,6.6666665,66.666664,82.77,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00033,가천대학교,,도시계획학전공,도시계획학전공,SOC,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,47,253,0,64.24271,7.413485,1.8389797,,53.333332,4.255319,64.44444,4.255319,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00034,가천대학교,,동양어문학과,동양어문학과,HUM,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,96,359,0,57.47782,14.272506,2.4437582,,44.444443,2.0833333,53.333332,3.125,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
