univ_id,univ_name_std,source_id,source_url,raw_html_exists,csat_reflection_ratio,english_korean_history,minimum_standard,other,score_conversion,selection_element,snippet_csat_reflection_ratio,snippet_english_korean_history,snippet_minimum_standard,snippet_score_conversion,snippet_selection_element,high_priority_rule_table_n,guide_link_candidate_n,quality_status,raw_row_n,parser_anomaly_row_n,tier_a_row_n,tier_b_row_n,tier_c_row_n,tier_d_row_n,percentile_70cut_available_rate,univ_score_70cut_available_rate,univ_score_ratio_available_rate,crosswalk_difficulty_score,crosswalk_priority,has_csat_rule_candidate,has_score_rule_candidate,has_guide_link_candidate,rule_cache_status,manual_priority_score,gate2_action
U0000192,한국외국어대학교,SRC_0000192_2025_0012,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000192,True,15,0,0,1,2,9,4,4,4,4,4,8,2,WARN,288,0,0,288,0,0,1.0,1.0,1.0,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000069,고려대학교,SRC_0000069_2025_0003,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000069,True,13,0,0,0,3,7,4,4,4,4,4,9,2,PASS,176,0,0,116,0,60,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.1960227272727273,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000029,충남대학교,SRC_0000029_2025_0039,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000029,True,15,0,1,0,0,6,4,4,4,4,4,9,2,PASS,126,0,0,125,0,1,0.992063492063492,0.992063492063492,0.992063492063492,0.1547619047619047,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000025,전북대학교,SRC_0000025_2025_0045,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000025,True,22,0,0,0,1,7,4,4,4,4,4,14,2,PASS,121,0,0,101,0,20,0.8347107438016529,0.8347107438016529,0.8347107438016529,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000014,부산대학교,SRC_0000014_2025_0018,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000014,True,14,0,0,1,2,5,4,4,4,4,4,12,2,WARN,109,0,0,97,6,6,0.8899082568807339,0.944954128440367,0.944954128440367,0.0412844036697247,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000005,경북대학교,SRC_0000005_2025_0022,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000005,True,10,0,3,0,2,4,4,4,4,4,4,9,2,WARN,108,0,0,105,0,3,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.0462962962962962,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000023,전남대학교,SRC_0000023_2025_0032,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000023,True,15,0,0,0,1,7,4,4,4,4,4,12,2,WARN,108,0,0,108,0,0,1.0,1.0,1.0,0.0231481481481481,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000019,서울대학교,SRC_0000019_2025_0001,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019,True,31,0,0,0,0,3,4,4,4,4,4,18,2,WARN,91,0,67,22,0,2,0.978021978021978,0.978021978021978,0.0,0.2692307692307692,medium,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000066,경희대학교,SRC_0000066_2025_0010,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000066,True,13,1,0,1,2,7,4,4,4,4,4,16,2,PASS,85,0,0,85,0,0,1.0,1.0,1.0,0.1352941176470588,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000030,충북대학교,SRC_0000030_2025_0041,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000030,True,13,0,0,0,0,9,4,4,4,4,4,10,2,WARN,83,0,0,82,0,1,0.9879518072289156,0.9879518072289156,0.9879518072289156,0.0301204819277108,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000247,한국공학대학교,SRC_0000247_2025_0051,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000247,True,10,0,0,5,2,6,4,4,4,4,4,10,2,WARN,80,0,0,78,0,2,0.975,0.975,0.975,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000116,삼육대학교,SRC_0000116_2025_0042,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000116,True,13,0,0,3,1,6,4,4,4,4,4,10,2,WARN,67,0,0,62,5,0,0.9253731343283582,1.0,1.0,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000078,국민대학교,SRC_0000078_2025_0017,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000078,True,13,2,1,1,1,7,4,4,4,4,4,11,2,PASS,62,0,0,62,0,0,1.0,1.0,1.0,0.0241935483870967,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000003,강원대학교,SRC_0000003_2025_0047,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000003,True,17,0,0,0,0,8,4,4,4,4,4,16,2,WARN,62,0,0,62,0,0,1.0,1.0,1.0,0.0806451612903225,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000175,중앙대학교,SRC_0000175_2025_0007,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000175,True,25,0,1,0,0,5,4,4,4,4,4,15,2,PASS,60,0,0,60,0,0,1.0,1.0,1.0,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000063,가천대학교,SRC_0000063_2025_0034,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000063,True,19,0,0,0,0,9,4,4,4,4,4,16,2,PASS,60,0,0,60,0,0,1.0,1.0,1.0,0.2,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000169,인하대학교,SRC_0000169_2025_0023,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000169,True,19,0,0,0,1,6,4,4,4,4,4,11,2,PASS,56,0,0,56,0,0,1.0,1.0,1.0,0.0446428571428571,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000136,성신여자대학교,SRC_0000136_2025_0024,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000136,True,17,0,0,2,1,8,4,4,4,4,4,14,2,PASS,56,0,37,19,0,0,1.0,1.0,1.0,0.3660714285714286,medium,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000056,경기대학교,SRC_0000056_2025_0037,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000056,True,29,1,0,0,0,5,4,4,4,4,4,17,2,WARN,56,0,0,53,3,0,0.9464285714285714,1.0,1.0,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000140,수원대학교,SRC_0000140_2025_0050,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000140,True,20,1,0,0,0,6,4,4,4,4,4,11,2,PASS,56,0,0,54,1,1,0.9642857142857144,0.9821428571428572,0.9821428571428572,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0002660,인천대학교,SRC_0002660_2025_0033,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0002660,True,17,2,0,0,0,7,4,4,4,4,4,17,2,PASS,55,0,0,55,0,0,1.0,1.0,1.0,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000203,한양대학교,SRC_0000203_2025_0005,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000203,True,27,1,0,0,0,10,4,4,4,4,4,21,2,PASS,53,0,0,53,0,0,1.0,1.0,1.0,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000100,동국대학교,SRC_0000100_2025_0013,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000100,True,17,0,0,2,0,6,4,4,4,4,4,16,2,WARN,52,0,0,52,0,0,1.0,0.0,0.0,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000052,건국대학교,SRC_0000052_2025_0011,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000052,True,11,1,1,0,0,7,4,4,4,4,4,11,2,PASS,50,0,0,50,0,0,1.0,1.0,1.0,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000212,홍익대학교,SRC_0000212_2025_0014,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000212,True,21,0,1,4,1,3,4,4,4,4,4,14,2,PASS,50,0,0,50,0,0,1.0,1.0,1.0,0.3,medium,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000121,서경대학교,SRC_0000121_2025_0043,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000121,True,10,0,0,0,0,6,4,4,2,4,4,11,2,WARN,43,0,0,40,0,3,0.9302325581395348,0.9302325581395348,0.9302325581395348,0.4534883720930232,medium,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0002726,단국대학교,SRC_0002726_2025_0046,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0002726,True,22,0,0,0,2,5,4,4,4,4,4,19,2,PASS,43,0,0,43,0,0,1.0,1.0,1.0,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000143,숭실대학교,SRC_0000143_2025_0015,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000143,True,30,0,0,0,2,6,4,4,4,4,4,26,2,PASS,41,0,0,41,0,0,1.0,1.0,1.0,0.0609756097560975,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000126,서울여자대학교,SRC_0000126_2025_0038,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000126,True,11,1,0,0,0,10,4,4,4,4,4,13,2,PASS,41,0,0,41,0,0,1.0,1.0,1.0,0.4146341463414634,medium,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000146,아주대학교,SRC_0000146_2025_0020,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000146,True,17,0,0,1,0,7,4,4,4,4,4,13,2,PASS,37,0,0,37,0,0,1.0,1.0,1.0,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000204,한양대학교,SRC_0000204_2025_0028,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000204,True,10,0,0,0,1,11,4,4,4,4,4,13,2,PASS,36,0,0,36,0,0,1.0,1.0,1.0,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000082,단국대학교,SRC_0000082_2025_0025,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000082,True,22,0,1,0,3,4,4,4,4,4,4,14,2,PASS,35,0,0,35,0,0,1.0,1.0,1.0,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000194,한국항공대학교,SRC_0000194_2025_0027,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000194,True,12,0,2,2,1,4,4,4,4,4,4,11,2,WARN,35,0,0,35,0,0,1.0,1.0,1.0,0.1428571428571428,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000133,성균관대학교,SRC_0000133_2025_0004,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000133,True,18,0,1,0,0,6,4,4,4,4,4,9,2,PASS,30,0,0,30,0,0,1.0,1.0,1.0,0.2666666666666666,medium,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000117,상명대학교,SRC_0000117_2025_0029,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000117,True,13,1,0,0,2,9,4,4,4,4,4,12,2,PASS,29,0,0,29,0,0,1.0,1.0,1.0,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000120,서강대학교,SRC_0000120_2025_0006,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000120,True,15,1,1,0,2,6,4,4,4,4,4,10,2,PASS,27,0,0,27,0,0,1.0,1.0,1.0,0.5925925925925926,medium,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000163,이화여자대학교,SRC_0000163_2025_0008,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000163,True,11,0,1,1,1,3,4,4,4,4,4,6,2,PASS,24,0,0,24,0,0,1.0,1.0,1.0,0.2916666666666666,medium,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000070,고려대학교,SRC_0000070_2025_0049,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000070,True,7,0,0,3,3,4,4,4,4,4,4,11,2,PASS,24,0,0,24,0,0,1.0,1.0,1.0,0.0,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000109,명지대학교,SRC_0000109_2025_0031,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000109,True,13,2,0,0,2,12,4,4,0,4,4,13,2,PASS,22,0,0,22,0,0,1.0,1.0,1.0,0.2727272727272727,medium,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000200,한성대학교,SRC_0000200_2025_0040,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000200,True,8,0,1,1,0,4,4,4,4,4,4,7,2,PASS,15,0,0,15,0,0,1.0,1.0,1.0,0.2,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
U0000150,연세대학교,SRC_0000150_2025_0048,https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000150,True,12,0,1,2,1,5,4,4,4,4,4,14,2,PASS,14,0,0,14,0,0,1.0,1.0,1.0,0.1428571428571428,low,True,True,True,CACHE_RULE_CANDIDATES,0,캐시 후보에서 반영규칙 후보 추출
