univ_id,univ_name_std,source_id,anchor_index,anchor_text,href,candidate_type,keyword_hit_json
U0000136,성신여자대학교,SRC_0000136_2025_0024,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000082,단국대학교,SRC_0000082_2025_0025,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000082,단국대학교,SRC_0000082_2025_0025,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000074,광운대학교,SRC_0000074_2025_0026,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000074,광운대학교,SRC_0000074_2025_0026,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000194,한국항공대학교,SRC_0000194_2025_0027,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000194,한국항공대학교,SRC_0000194_2025_0027,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000204,한양대학교,SRC_0000204_2025_0028,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000204,한양대학교,SRC_0000204_2025_0028,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000117,상명대학교,SRC_0000117_2025_0029,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000117,상명대학교,SRC_0000117_2025_0029,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000046,가톨릭대학교,SRC_0000046_2025_0030,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000046,가톨릭대학교,SRC_0000046_2025_0030,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000109,명지대학교,SRC_0000109_2025_0031,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000109,명지대학교,SRC_0000109_2025_0031,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000023,전남대학교,SRC_0000023_2025_0032,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000023,전남대학교,SRC_0000023_2025_0032,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0002660,인천대학교,SRC_0002660_2025_0033,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0002660,인천대학교,SRC_0002660_2025_0033,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000063,가천대학교,SRC_0000063_2025_0034,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000063,가천대학교,SRC_0000063_2025_0034,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000099,덕성여자대학교,SRC_0000099_2025_0035,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000099,덕성여자대학교,SRC_0000099_2025_0035,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000102,동덕여자대학교,SRC_0000102_2025_0036,75,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000102,동덕여자대학교,SRC_0000102_2025_0036,76,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000056,경기대학교,SRC_0000056_2025_0037,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000056,경기대학교,SRC_0000056_2025_0037,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000126,서울여자대학교,SRC_0000126_2025_0038,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000126,서울여자대학교,SRC_0000126_2025_0038,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000029,충남대학교,SRC_0000029_2025_0039,77,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000029,충남대학교,SRC_0000029_2025_0039,78,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000200,한성대학교,SRC_0000200_2025_0040,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
