topic_id,topic_name,year,subgroup,share_sum,qa_status
GOMS_005,취업자의 학교유형별 산업 분포,2015,4년제,99.0,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2015,교육대,99.8,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2015,전문대,99.2,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2015,전체,99.4,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2016,4년제,99.1,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2016,교육대,99.8,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2016,전문대,99.0,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2016,전체,99.1,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2017,4년제,98.9,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2017,교육대,99.89999999999999,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2017,전문대,99.10000000000001,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2017,전체,99.1,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2018,4년제,99.1,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2018,교육대,99.7,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2018,전문대,99.2,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2018,전체,98.9,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2019,4년제,99.0,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2019,교육대,99.89999999999999,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2019,전문대,99.0,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2019,전체,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2007,공학,98.9,PASS
GOMS_006,취업자의 전공별 산업 분포,2007,교육,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2007,사회,98.8,PASS
GOMS_006,취업자의 전공별 산업 분포,2007,예체능,98.9,PASS
GOMS_006,취업자의 전공별 산업 분포,2007,의약,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2007,인문,99.10000000000001,PASS
GOMS_006,취업자의 전공별 산업 분포,2007,자연,98.9,PASS
GOMS_006,취업자의 전공별 산업 분포,2007,전체,98.9,PASS
GOMS_006,취업자의 전공별 산업 분포,2008,공학,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2008,교육,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2008,사회,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2008,예체능,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2008,의약,99.4,PASS
GOMS_006,취업자의 전공별 산업 분포,2008,인문,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2008,자연,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2008,전체,98.9,PASS
GOMS_006,취업자의 전공별 산업 분포,2009,공학,99.3,PASS
GOMS_006,취업자의 전공별 산업 분포,2009,교육,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2009,사회,98.9,PASS
GOMS_006,취업자의 전공별 산업 분포,2009,예체능,98.9,PASS
GOMS_006,취업자의 전공별 산업 분포,2009,의약,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2009,인문,98.89999999999999,PASS
GOMS_006,취업자의 전공별 산업 분포,2009,자연,99.10000000000001,PASS
GOMS_006,취업자의 전공별 산업 분포,2009,전체,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2010,공학,98.89999999999999,PASS
GOMS_006,취업자의 전공별 산업 분포,2010,교육,99.3,PASS
GOMS_006,취업자의 전공별 산업 분포,2010,사회,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2010,예체능,98.8,PASS
GOMS_006,취업자의 전공별 산업 분포,2010,의약,99.19999999999999,PASS
GOMS_006,취업자의 전공별 산업 분포,2010,인문,98.89999999999999,PASS
GOMS_006,취업자의 전공별 산업 분포,2010,자연,99.3,PASS
GOMS_006,취업자의 전공별 산업 분포,2010,전체,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2011,공학,99.0,PASS
GOMS_006,취업자의 전공별 산업 분포,2011,교육,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2011,사회,98.8,PASS
GOMS_006,취업자의 전공별 산업 분포,2011,예체능,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2011,의약,99.10000000000001,PASS
GOMS_006,취업자의 전공별 산업 분포,2011,인문,98.9,PASS
GOMS_006,취업자의 전공별 산업 분포,2011,자연,98.9,PASS
GOMS_006,취업자의 전공별 산업 분포,2011,전체,98.8,PASS
GOMS_006,취업자의 전공별 산업 분포,2012,공학,99.2,PASS
GOMS_006,취업자의 전공별 산업 분포,2012,교육,99.10000000000001,PASS
GOMS_006,취업자의 전공별 산업 분포,2012,사회,99.10000000000001,PASS
GOMS_006,취업자의 전공별 산업 분포,2012,예체능,98.8,PASS
GOMS_006,취업자의 전공별 산업 분포,2012,의약,98.89999999999999,PASS
GOMS_006,취업자의 전공별 산업 분포,2012,인문,99.1,PASS
GOMS_006,취업자의 전공별 산업 분포,2012,자연,99.10000000000001,PASS
