topic_id,order,kind,file_name,relative_file_path,topic_name,raw_rows,raw_columns,long_rows,year_min,year_max,n_years,n_subgroups,n_dimensions,numeric_non_null,numeric_min,numeric_mean,numeric_median,numeric_max,latest_year,latest_rows,figure_path
GOMS_011,11,frequency_share,GOMS_011_취업자의_전공별_직업_분포2016_freq_share.xls,frequency_share/GOMS_011_취업자의_전공별_직업_분포2016_freq_share.xls,취업자의 전공별 직업 분포2016,25,161,4000,2007,2016,10,8,25,4000,0.0,3783.5265249999998,26.0,392483.0,2016,400,P2_G1_kedi_raw_download_visuals/figures/GOMS_011_frequency_share.png
GOMS_012,12,frequency_share,GOMS_012_취업자의_전공별_직업_분포2017_freq_share.xls,frequency_share/GOMS_012_취업자의_전공별_직업_분포2017_freq_share.xls,취업자의 전공별 직업 분포2017,11,49,528,2017,2019,3,8,11,528,0.0,8053.542992424243,100.0,375185.0,2019,176,P2_G1_kedi_raw_download_visuals/figures/GOMS_012_frequency_share.png
GOMS_013,13,frequency_share,GOMS_013_취업자의_성별_사업체_규모_freq_share.xls,frequency_share/GOMS_013_취업자의_성별_사업체_규모_freq_share.xls,취업자의 성별 사업체 규모,10,79,780,2007,2019,13,3,10,780,3.6,24162.646923076925,3304.0,391857.0,2019,60,P2_G1_kedi_raw_download_visuals/figures/GOMS_013_frequency_share.png
GOMS_014,14,frequency_share,GOMS_014_취업자의_학교유형별_사업체_규모_freq_share.xls,frequency_share/GOMS_014_취업자의_학교유형별_사업체_규모_freq_share.xls,취업자의 학교유형별 사업체 규모,10,105,1040,2007,2019,13,4,10,1040,0.0,18124.431346153848,53.0,391857.0,2019,80,P2_G1_kedi_raw_download_visuals/figures/GOMS_014_frequency_share.png
GOMS_015,15,frequency_share,GOMS_015_취업자의_전공별_사업체_규모_freq_share.xls,frequency_share/GOMS_015_취업자의_전공별_사업체_규모_freq_share.xls,취업자의 전공별 사업체 규모,10,209,2080,2007,2019,13,8,10,2080,0.6,9067.06985576923,115.0,391857.0,2019,160,P2_G1_kedi_raw_download_visuals/figures/GOMS_015_frequency_share.png
GOMS_016,16,frequency_share,GOMS_016_취업자의_성별_사업체_유형_freq_share.xls,frequency_share/GOMS_016_취업자의_성별_사업체_유형_freq_share.xls,취업자의 성별 사업체 유형,10,79,780,2007,2019,13,3,10,780,0.0,24851.233846153846,100.0,391086.0,2019,60,P2_G1_kedi_raw_download_visuals/figures/GOMS_016_frequency_share.png
GOMS_017,17,frequency_share,GOMS_017_취업자의_학교유형별_사업체_유형_freq_share.xls,frequency_share/GOMS_017_취업자의_학교유형별_사업체_유형_freq_share.xls,취업자의 학교유형별 사업체 유형,10,105,1040,2007,2019,13,4,10,1040,0.0,18640.90028846154,65.0,391086.0,2019,80,P2_G1_kedi_raw_download_visuals/figures/GOMS_017_frequency_share.png
GOMS_018,18,frequency_share,GOMS_018_취업자의_전공별_사업체_유형_freq_share.xls,frequency_share/GOMS_018_취업자의_전공별_사업체_유형_freq_share.xls,취업자의 전공별 사업체 유형,10,209,2080,2007,2019,13,8,10,2080,0.0,9325.299855769232,100.0,391086.0,2019,160,P2_G1_kedi_raw_download_visuals/figures/GOMS_018_frequency_share.png
GOMS_019,19,frequency_share,GOMS_019_취업자의_성별_종사상_지위_freq_share.xls,frequency_share/GOMS_019_취업자의_성별_종사상_지위_freq_share.xls,취업자의 성별 종사상 지위,7,79,546,2007,2019,13,3,7,546,0.0,35179.386996336994,100.0,389213.0,2019,42,P2_G1_kedi_raw_download_visuals/figures/GOMS_019_frequency_share.png
GOMS_020,20,frequency_share,GOMS_020_취업자의_학교유형별_종사상_지위_freq_share.xls,frequency_share/GOMS_020_취업자의_학교유형별_종사상_지위_freq_share.xls,취업자의 학교유형별 종사상 지위,7,105,728,2007,2019,13,4,7,728,0.0,26388.06607142857,94.55,389213.0,2019,56,P2_G1_kedi_raw_download_visuals/figures/GOMS_020_frequency_share.png
GOMS_021,21,frequency_share,GOMS_021_취업자의_전공별_종사상_지위_freq_share.xls,frequency_share/GOMS_021_취업자의_전공별_종사상_지위_freq_share.xls,취업자의 전공별 종사상 지위,7,209,1456,2007,2019,13,8,7,1456,0.0,13201.0323489011,100.0,389213.0,2019,112,P2_G1_kedi_raw_download_visuals/figures/GOMS_021_frequency_share.png
GOMS_022,22,mean,GOMS_022_성별_월평균_근로소득_mean.xls,mean/GOMS_022_성별_월평균_근로소득_mean.xls,성별 월평균 근로소득,3,14,39,2007,2019,13,1,3,39,161.3,207.93333333333334,207.9,259.4,2019,3,P2_G1_kedi_raw_download_visuals/figures/GOMS_022_mean.png
GOMS_023,23,mean,GOMS_023_학교유형별_월평균_근로소득_mean.xls,mean/GOMS_023_학교유형별_월평균_근로소득_mean.xls,학교유형별 월평균 근로소득,4,14,52,2007,2019,13,1,4,52,172.3,208.7153846153846,207.2,250.4,2019,4,P2_G1_kedi_raw_download_visuals/figures/GOMS_023_mean.png
GOMS_024,24,mean,GOMS_024_전공계열별_월평균_근로소득_mean.xls,mean/GOMS_024_전공계열별_월평균_근로소득_mean.xls,전공계열별 월평균 근로소득,8,14,104,2007,2019,13,1,8,104,147.7,205.0721153846154,204.3,271.8,2019,8,P2_G1_kedi_raw_download_visuals/figures/GOMS_024_mean.png
GOMS_025,25,mean,GOMS_025_산업별_월평균_근로소득_mean.xls,mean/GOMS_025_산업별_월평균_근로소득_mean.xls,산업별 월평균 근로소득,22,14,286,2007,2019,13,1,22,286,0.0,212.93846153846158,212.5,523.0,2019,22,P2_G1_kedi_raw_download_visuals/figures/GOMS_025_mean.png
GOMS_026,26,mean,GOMS_026_직업별_월평균_근로소득2016_mean.xls,mean/GOMS_026_직업별_월평균_근로소득2016_mean.xls,직업별 월평균 근로소득2016,25,11,250,2007,2016,10,1,25,250,131.1,219.7044,207.25,640.2,2016,25,P2_G1_kedi_raw_download_visuals/figures/GOMS_026_mean.png
GOMS_027,27,mean,GOMS_027_직업별_월평균_근로소득2017_mean.xls,mean/GOMS_027_직업별_월평균_근로소득2017_mean.xls,직업별 월평균 근로소득2017,11,4,33,2017,2019,3,1,11,33,148.3,236.96969696969697,244.2,328.8,2019,11,P2_G1_kedi_raw_download_visuals/figures/GOMS_027_mean.png
GOMS_028,28,mean,GOMS_028_사업체_규모별_월평균_근로소득_mean.xls,mean/GOMS_028_사업체_규모별_월평균_근로소득_mean.xls,사업체 규모별 월평균 근로소득,10,14,130,2007,2019,13,1,10,130,160.0,213.8876923076923,208.05,360.2,2019,10,P2_G1_kedi_raw_download_visuals/figures/GOMS_028_mean.png
GOMS_029,29,mean,GOMS_029_사업체_유형별_월평균_근로소득_mean.xls,mean/GOMS_029_사업체_유형별_월평균_근로소득_mean.xls,사업체 유형별 월평균 근로소득,10,14,130,2007,2019,13,1,10,130,100.3,197.95615384615382,198.7,283.3,2019,10,P2_G1_kedi_raw_download_visuals/figures/GOMS_029_mean.png
GOMS_030,30,mean,GOMS_030_종사상지위별_월평균_근로소득_mean.xls,mean/GOMS_030_종사상지위별_월평균_근로소득_mean.xls,종사상지위별 월평균 근로소득,7,14,91,2007,2019,13,1,7,91,0.0,182.1307692307692,193.6,461.8,2019,7,P2_G1_kedi_raw_download_visuals/figures/GOMS_030_mean.png
GOMS_031,31,mean,GOMS_031_성별_주당_평균_근로시간_mean.xls,mean/GOMS_031_성별_주당_평균_근로시간_mean.xls,성별 주당 평균 근로시간,3,14,39,2007,2019,13,1,3,39,40.0,44.502564102564094,44.4,49.2,2019,3,P2_G1_kedi_raw_download_visuals/figures/GOMS_031_mean.png
GOMS_032,32,mean,GOMS_032_학교유형별_주당_평균_근로시간_mean.xls,mean/GOMS_032_학교유형별_주당_평균_근로시간_mean.xls,학교유형별 주당 평균 근로시간,4,14,52,2007,2019,13,1,4,52,40.2,44.12692307692308,44.5,48.3,2019,4,P2_G1_kedi_raw_download_visuals/figures/GOMS_032_mean.png
GOMS_033,33,mean,GOMS_033_전공계열별_주당_평균_근로시간_mean.xls,mean/GOMS_033_전공계열별_주당_평균_근로시간_mean.xls,전공계열별 주당 평균 근로시간,8,14,104,2007,2019,13,1,8,104,37.6,44.20192307692308,44.3,50.4,2019,8,P2_G1_kedi_raw_download_visuals/figures/GOMS_033_mean.png
GOMS_034,34,mean,GOMS_034_산업별_주당_평균_근로시간_mean.xls,mean/GOMS_034_산업별_주당_평균_근로시간_mean.xls,산업별 주당 평균 근로시간,22,14,286,2007,2019,13,1,22,286,0.0,43.65629370629371,45.1,72.0,2019,22,P2_G1_kedi_raw_download_visuals/figures/GOMS_034_mean.png
GOMS_035,35,mean,GOMS_035_직업별_주당_평균_근로시간2016_mean.xls,mean/GOMS_035_직업별_주당_평균_근로시간2016_mean.xls,직업별 주당 평균 근로시간2016,25,11,250,2007,2016,10,1,25,250,36.9,46.958400000000005,47.25,57.1,2016,25,P2_G1_kedi_raw_download_visuals/figures/GOMS_035_mean.png
GOMS_036,36,mean,GOMS_036_직업별_주당_평균_근로시간2017_mean.xls,mean/GOMS_036_직업별_주당_평균_근로시간2017_mean.xls,직업별 주당 평균 근로시간2017,11,4,33,2017,2019,3,1,11,33,33.6,42.739393939393935,42.9,49.6,2019,11,P2_G1_kedi_raw_download_visuals/figures/GOMS_036_mean.png
GOMS_037,37,mean,GOMS_037_사업체_규모별_주당_평균_근로시간_mean.xls,mean/GOMS_037_사업체_규모별_주당_평균_근로시간_mean.xls,사업체 규모별 주당 평균 근로시간,10,14,130,2007,2019,13,1,10,130,37.2,44.80307692307692,44.95,48.6,2019,10,P2_G1_kedi_raw_download_visuals/figures/GOMS_037_mean.png
GOMS_038,38,mean,GOMS_038_사업체_유형별_주당_평균_근로시간_mean.xls,mean/GOMS_038_사업체_유형별_주당_평균_근로시간_mean.xls,사업체 유형별 주당 평균 근로시간,10,14,130,2007,2019,13,1,10,130,27.3,42.18846153846154,43.6,48.5,2019,10,P2_G1_kedi_raw_download_visuals/figures/GOMS_038_mean.png
GOMS_039,39,mean,GOMS_039_종사상지위별_주당_평균_근로시간_mean.xls,mean/GOMS_039_종사상지위별_주당_평균_근로시간_mean.xls,종사상지위별 주당 평균 근로시간,7,14,91,2007,2019,13,1,7,91,25.0,42.17472527472528,43.1,57.1,2019,7,P2_G1_kedi_raw_download_visuals/figures/GOMS_039_mean.png
