label,path,source_kind,suffix,size_bytes,sha256,rows,columns,duplicate_rows,total_missing_cells,numeric_columns,boolean_columns,object_columns,source_parquet
workbook/p2/p2_4/p4_1_data_contract/profiles/structure_feature_non_null_by_match_method.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/structure_feature_non_null_by_match_method.csv,native_csv,.csv,1356,2ba7c4ef44635f75668a381c4793a523071ff729d9621badb8311a3425a506d1,4,25,0,0,24,0,1,
workbook/p2/p2_4/p4_1_data_contract/profiles/structure_match_method_distribution.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/structure_match_method_distribution.csv,native_csv,.csv,94,fa37f4b604f61b378a41392ea7baf3711d28d4e716117712eede767a77ddaa28,4,2,0,0,1,0,1,
workbook/p2/p2_4/p4_1_data_contract/profiles/target_missing_by_split_major.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/target_missing_by_split_major.csv,native_csv,.csv,5588,a2efa6b23d7719b224e2c2f29011b2e428b03ff69de7eb08c1cf1c2a829e1dd1,96,7,0,12,4,0,3,
workbook/p2/p2_4/p4_1_data_contract/qa/all_gate_qa_summary.csv,workbook/p2/p2_4/p4_1_data_contract/qa/all_gate_qa_summary.csv,native_csv,.csv,2655,ee7edde119c2b0d6a4853876aa9eefe450ad87fdd0de23dcb35add14563bafb3,47,7,0,141,1,0,6,
workbook/p2/p2_4/p4_1_data_contract/qa/all_null_feature_audit.csv,workbook/p2/p2_4/p4_1_data_contract/qa/all_null_feature_audit.csv,native_csv,.csv,192,c4d459b0281724c7d5420e949ff82fe68e55bff4ed1a46d3739db1d2cb4cc9d9,2,5,0,0,0,3,2,
workbook/p2/p2_4/p4_1_data_contract/qa/d01_count_conservation.csv,workbook/p2/p2_4/p4_1_data_contract/qa/d01_count_conservation.csv,native_csv,.csv,1178,e768f1d06ca11c1cc25ea5ee4912a4b98e9a581edace6d46be41662a18256506,8,10,0,0,5,0,5,
workbook/p2/p2_4/p4_1_data_contract/qa/d01_duplicate_audit.csv,workbook/p2/p2_4/p4_1_data_contract/qa/d01_duplicate_audit.csv,native_csv,.csv,443,c343af746d7bb4776ef27d42f983d9042721567f7ffb69bb9a646f0b1a264786,4,4,0,0,1,0,3,
workbook/p2/p2_4/p4_1_data_contract/qa/d03_d08_spine_comparison.csv,workbook/p2/p2_4/p4_1_data_contract/qa/d03_d08_spine_comparison.csv,native_csv,.csv,496,33c2ea04a0c6f97b5a37f79a9cb139fe8af0daeba081335a5b52633f3ff3a51e,12,4,0,0,0,0,4,
workbook/p2/p2_4/p4_1_data_contract/qa/d08_composite_key_duplicates.csv,workbook/p2/p2_4/p4_1_data_contract/qa/d08_composite_key_duplicates.csv,native_csv,.csv,3243,357c57402d269bd6e26405768704cd998a294acac28f71ea87fcce4aeb481da5,0,155,0,0,0,0,155,
workbook/p2/p2_4/p4_1_data_contract/qa/d08_headcount_uid_duplicate_rows.csv,workbook/p2/p2_4/p4_1_data_contract/qa/d08_headcount_uid_duplicate_rows.csv,native_csv,.csv,4667,f13859af1c5c7ab62d831d166a56f2860985ed1d60c2d7f8943f76fa211ea329,36,9,0,21,1,0,8,
workbook/p2/p2_4/p4_1_data_contract/qa/d08_normalized_name_duplicate_rows.csv,workbook/p2/p2_4/p4_1_data_contract/qa/d08_normalized_name_duplicate_rows.csv,native_csv,.csv,1114,d982d89e64aefebfdd8acf5dd112279689c67c79258348fed75696eebb64ef13,8,8,0,8,1,0,7,
workbook/p2/p2_4/p4_1_data_contract/qa/d08_rate_range_audit.csv,workbook/p2/p2_4/p4_1_data_contract/qa/d08_rate_range_audit.csv,native_csv,.csv,640,3701ef2d6aac1923efc96f6d979c0b322c986141b2acddc553399572e5b76e90,12,6,0,0,4,0,2,
workbook/p2/p2_4/p4_1_data_contract/qa/failed_checks.csv,workbook/p2/p2_4/p4_1_data_contract/qa/failed_checks.csv,native_csv,.csv,62,80a66aae074255a629f937e51a0757d75263f12796c13895a04c4fdfad3dc0b9,0,7,0,0,0,0,7,
workbook/p2/p2_4/p4_1_data_contract/qa/goms_d07_d08_exact_comparison.csv,workbook/p2/p2_4/p4_1_data_contract/qa/goms_d07_d08_exact_comparison.csv,native_csv,.csv,4822,f60ed8f4265d6286842e91c58ffdae659e0a4370da0b924c66404a72889d7158,28,4,0,0,1,0,3,
workbook/p2/p2_4/p4_1_data_contract/qa/local2_context_lineage_integrity.csv,workbook/p2/p2_4/p4_1_data_contract/qa/local2_context_lineage_integrity.csv,native_csv,.csv,520,f447e06fee6e668a6b9f7390ae73fe2fd0823052573f9fa99d336e9c3e57dc5a,6,4,0,0,0,0,4,
workbook/p2/p2_4/p4_1_data_contract/qa/major7_mapping_integrity.csv,workbook/p2/p2_4/p4_1_data_contract/qa/major7_mapping_integrity.csv,native_csv,.csv,348,4bf94da6f80c54aa7965f2a7bc129606378977d1df5e86b199e1b8865f96f21f,6,4,0,0,1,0,3,
workbook/p2/p2_4/p4_1_data_contract/qa/major7_special_term_search.csv,workbook/p2/p2_4/p4_1_data_contract/qa/major7_special_term_search.csv,native_csv,.csv,273953,eb0faaa72f96f2327b63b6562d074fcadfe9e4784881ceac5799a9ec1afe9cee,1817,8,0,67,0,0,8,
workbook/p2/p2_4/p4_1_data_contract/qa/manifest_integrity_audit.csv,workbook/p2/p2_4/p4_1_data_contract/qa/manifest_integrity_audit.csv,native_csv,.csv,13312,244f360ec906c5be9551ce0b7b1d4c133086663d8ea912869f687f40a281fdff,37,13,0,15,0,3,10,
workbook/p2/p2_4/p4_1_data_contract/qa/registry_integrity.csv,workbook/p2/p2_4/p4_1_data_contract/qa/registry_integrity.csv,native_csv,.csv,248,edde8dc1a6dcdb41c9d0061b8b5a3500d72a2698f68f01ee118a61aff61d006c,5,4,0,0,2,0,2,
workbook/p2/p2_4/p4_1_data_contract/qa/sample_registry_actual_check.csv,workbook/p2/p2_4/p4_1_data_contract/qa/sample_registry_actual_check.csv,native_csv,.csv,592,fc0f9e9685e1c679aafda9367b848656407d7ce34d74cccee5b81928c41ca0d3,5,13,0,0,11,0,2,
workbook/p2/p2_4/p4_1_data_contract/qa/split_sample_integrity.csv,workbook/p2/p2_4/p4_1_data_contract/qa/split_sample_integrity.csv,native_csv,.csv,191,335d9ec8e3ccaa5f2bbe5795d30972929a74b46bf524de75b7ed92a80845e940,4,4,0,0,2,0,2,
workbook/p2/p2_4/p4_1_data_contract/qa/structure_match_integrity.csv,workbook/p2/p2_4/p4_1_data_contract/qa/structure_match_integrity.csv,native_csv,.csv,335,c009ad0c1bdb0b2ce01968528736c0e5c4d4bd1bba9adb01d1a0fff5fd6af4ee,7,4,0,0,2,0,2,
workbook/p2/p2_4/p4_1_data_contract/qa/warn_checks.csv,workbook/p2/p2_4/p4_1_data_contract/qa/warn_checks.csv,native_csv,.csv,140,581249ef95c28be34a813e8b66b7f23aa5170c15f77b5cf308131e3f210c4f16,1,7,0,3,4,0,3,
workbook/p2/p2_4/p4_1_data_contract/samples/major7_mapping_sample.csv,workbook/p2/p2_4/p4_1_data_contract/samples/major7_mapping_sample.csv,native_csv,.csv,69135,312bd04b81a9ea34f41f057b289f6db0cf471ca767a1007bcd201132c7794d91,541,7,0,541,1,0,6,
workbook/p2/p2_4/p4_1_data_contract/samples/structure_match_sample_seed3085.csv,workbook/p2/p2_4/p4_1_data_contract/samples/structure_match_sample_seed3085.csv,native_csv,.csv,62778,f4143db431c3bea9e49f154aa2b6bee96e42d08e004b501a9fb565b309f480f8,205,24,0,1879,8,0,16,
workbook/p2/p2_4/p4_2_model_readiness/artifacts/P4_MODEL_FEASIBILITY_MATRIX.csv,workbook/p2/p2_4/p4_2_model_readiness/artifacts/P4_MODEL_FEASIBILITY_MATRIX.csv,native_csv,.csv,786,5db0f6d8f0e1b53054715bec3ad2fe631decbc3d7dbe8ac572ff9998b044613e,9,10,0,0,8,0,2,
workbook/p2/p2_4/p4_2_model_readiness/artifacts/P4_MODEL_SPECIFICATION_REGISTRY.csv,workbook/p2/p2_4/p4_2_model_readiness/artifacts/P4_MODEL_SPECIFICATION_REGISTRY.csv,native_csv,.csv,552,71016ee8f8ec6672378577f0758386aca45f4a15de2ed06e1e856e7a6a950724,5,4,0,0,1,0,3,
workbook/p2/p2_4/p4_2_model_readiness/artifacts/P4_TRANSFORMED_FEATURE_REGISTRY.csv,workbook/p2/p2_4/p4_2_model_readiness/artifacts/P4_TRANSFORMED_FEATURE_REGISTRY.csv,native_csv,.csv,18654,43376fcda541df48f978bcfd3d907bbd19e8a4f17f8f948aba713b91a4c45e52,352,3,0,0,1,0,2,
workbook/p2/p2_4/p4_2_model_readiness/logs/code_line_trace.csv,workbook/p2/p2_4/p4_2_model_readiness/logs/code_line_trace.csv,native_csv,.csv,478,a0fe5810c4312c546999a95a0097ca819f747c6259991735137e4dae45a87b36,10,3,0,0,0,0,3,
workbook/p2/p2_4/p4_2_model_readiness/profiles/feature_quality_ctx24.csv,workbook/p2/p2_4/p4_2_model_readiness/profiles/feature_quality_ctx24.csv,native_csv,.csv,1901,cc99e62fcc6dc79ab3076bcb6f059d54debad7013a6bb07b2cba8da43c7dc480,13,13,0,13,8,2,3,
workbook/p2/p2_4/p4_2_model_readiness/profiles/feature_quality_goms.csv,workbook/p2/p2_4/p4_2_model_readiness/profiles/feature_quality_goms.csv,native_csv,.csv,3682,42c13f39ce580cce95916c275d91f68c3fb5ba6bf819d77db8a388259ab85ca9,26,14,0,58,9,2,3,
workbook/p2/p2_4/p4_2_model_readiness/profiles/feature_quality_structure.csv,workbook/p2/p2_4/p4_2_model_readiness/profiles/feature_quality_structure.csv,native_csv,.csv,3471,b88010871086e06e90fc17e2993b053137f481a53f15d3e75775256668ce8289,30,14,0,78,9,2,3,
workbook/p2/p2_4/p4_2_model_readiness/profiles/target_profile_employment.csv,workbook/p2/p2_4/p4_2_model_readiness/profiles/target_profile_employment.csv,native_csv,.csv,1533,578805fd3e5187bfd29384a67b53adf562c39f8e8534d5bbca1f010d0e3cd55d,4,25,0,0,22,0,3,
workbook/p2/p2_4/p4_2_model_readiness/profiles/target_profile_grade.csv,workbook/p2/p2_4/p4_2_model_readiness/profiles/target_profile_grade.csv,native_csv,.csv,856,c53639ec590232c2eca8c42cffa06d4bad8d871cfc199117b96df6e092d2b1d7,2,25,0,0,22,0,3,
workbook/p2/p2_4/p4_2_model_readiness/profiles/target_profile_progression.csv,workbook/p2/p2_4/p4_2_model_readiness/profiles/target_profile_progression.csv,native_csv,.csv,1520,c0b5896bafce1f9266d167262dcee7a319b4c160b7798a3a71da285e203b065f,4,25,0,0,22,0,3,
workbook/p2/p2_4/p4_2_model_readiness/qa/d08_key_duplicate_detail.csv,workbook/p2/p2_4/p4_2_model_readiness/qa/d08_key_duplicate_detail.csv,native_csv,.csv,5404,804bd7077713031af777c1c737de68f9b11b3373def7dbc1a9baa7f860ea9e0a,36,12,0,8,1,0,11,
workbook/p2/p2_4/p4_2_model_readiness/qa/design_matrix_rank_audit.csv,workbook/p2/p2_4/p4_2_model_readiness/qa/design_matrix_rank_audit.csv,native_csv,.csv,7423,0759e9090d492209084950a527f8625480496999e889abd4a755884064d3dd8a,5,11,0,0,9,0,2,
workbook/p2/p2_4/p4_2_model_readiness/qa/group_cv_audit.csv,workbook/p2/p2_4/p4_2_model_readiness/qa/group_cv_audit.csv,native_csv,.csv,159,87f33bdda6bfce5ae7f4fa8e11e1fe9fb3fda9a9e7e255035336a858d13bda0c,5,5,0,0,5,0,0,
workbook/p2/p2_4/p4_2_model_readiness/qa/missingness_selection_audit.csv,workbook/p2/p2_4/p4_2_model_readiness/qa/missingness_selection_audit.csv,native_csv,.csv,34493,c9af280da6319f60a352cad1fba673fe6874bae06feb03ef9711d58f81809989,360,11,0,1997,6,0,5,
