기준연도,학교명,학과_전공,학과_계열,입결_프록시,A비율,CD비율,F비율,전체취업률,건보가입취업률,전체진학률,전문대학진학률,대학진학률,대학원진학률,국내진학률,국외진학률,학점포기제유무,입결_존재,A_minus_CD,취업_건보_gap,입결_구간,example_group
2024,건양대학교,심리상담치료학과,심리상담치료,2.7450980392156863,31.332481472016354,8.453616151290571,0.7683363148479427,34.78260869565217,30.43478260869565,29.41176470588235,0.0,0.0,29.41176470588235,29.41176470588235,0.0,X,True,22.878865320725783,4.347826086956523,Q1 낮음,bottom_30
2024,동명대학교,간호학과,간호,2.8,42.832482404290616,18.148217343920287,0.6283560695131183,78.125,75.0,0.0,0.0,0.0,0.0,0.0,0.0,X,True,24.68426506037033,3.125,Q1 낮음,bottom_30
2024,전남대학교,가정교육과,가정교육과,3.0,50.53275520150584,12.547477395717792,0.0,36.36363636363637,27.27272727272728,0.0,0.0,0.0,0.0,0.0,0.0,X,True,37.98527780578805,9.090909090909086,Q1 낮음,bottom_30
2024,전남대학교,교육학과,교육,3.0,46.81208053691275,11.213646532438478,0.3355704697986577,22.22222222222222,22.22222222222222,18.181818181818183,0.0,0.0,18.181818181818183,18.181818181818183,0.0,X,True,35.59843400447427,0.0,Q1 낮음,bottom_30
2024,전남대학교,물리교육과,물리교육과,3.0,44.44055488618972,17.2327330749943,0.5820769155622131,50.0,35.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,X,True,27.207821811195423,14.285714285714285,Q1 낮음,bottom_30
2024,전남대학교,분자생명공학과,분자생명공,3.0,38.55738612764779,24.21171950713,1.625882597258757,,,,,,,,,X,True,14.34566662051779,,Q1 낮음,bottom_30
2024,전남대학교,윤리교육과,윤리교육과,3.0,48.81015335801163,11.268288383571305,1.4851048827780715,35.294117647058826,35.294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,X,True,37.54186497444033,0.0,Q1 낮음,bottom_30
2024,한서대학교,미디어문예창작학과,미디어문예창작,3.0,37.61338123035474,9.07947911989223,5.525370453524921,50.0,40.0,16.666666666666668,0.0,0.0,16.666666666666668,16.666666666666668,0.0,X,True,28.53390211046251,10.0,Q1 낮음,bottom_30
2024,한서대학교,방사선학과,방사선,3.0,42.849935433146186,14.802840708263975,0.3205595560693425,85.0,80.0,2.380952380952381,0.0,2.380952380952381,0.0,2.380952380952381,0.0,X,True,28.04709472488221,5.0,Q1 낮음,bottom_30
2024,한서대학교,수산생명의학과,수산생명의,3.0,35.84619386162649,26.91173920582625,2.319230102306225,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,X,True,8.934454655800238,0.0,Q1 낮음,bottom_30
2024,한서대학교,실용음악과,실용음악과,3.0,66.38988247317323,2.7252597513200474,0.4854368932038835,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,X,True,63.664622721853185,0.0,Q1 낮음,bottom_30
2024,한서대학교,치위생학과,치위생,3.0,38.2097175563021,21.8705362697524,0.3906308324001493,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,X,True,16.339181286549703,0.0,Q1 낮음,bottom_30
2024,한서대학교,항공보안학과,항공보안,3.0,46.23111997720149,7.041417307874989,0.856131851429657,71.42857142857143,64.28571428571429,6.666666666666667,0.0,0.0,6.666666666666667,6.666666666666667,0.0,X,True,39.1897026693265,7.142857142857139,Q1 낮음,bottom_30
