year,major,전체,취업자,실업자,비경활,employment_rate_pct,unemployment_rate_labor_force_pct,inactive_rate_pct,economic_activity_rate_pct,monthly_income_10k_krw,weekly_hours,firm_300plus_share_pct,firm_1000plus_share_pct,regular_employee_share_pct,temporary_daily_share_pct,private_company_share_pct,public_education_research_share_pct,manufacturing_share_pct,professional_science_tech_share_pct,education_service_share_pct,health_welfare_share_pct,information_communication_share_pct,research_engineering_job_share_pct,business_finance_job_share_pct,health_medical_job_share_pct,education_law_social_public_job_share_pct,arts_design_sports_job_share_pct
2011,예체능,63349.0,49773.0,4342.0,9233.0,78.569511752356,8.023653330869445,14.574815703483877,85.42360573963282,167.4,43.4,13.4,6.6,64.9,24.8,75.7,13.100000000000001,13.1,7.3,21.7,5.0,9.4,,,,,
2011,의약,39948.0,34099.0,1514.0,4334.0,85.35846600580756,4.251256563614411,10.849103834985481,89.14839291078403,219.3,47.3,34.7,18.8,87.4,10.8,61.0,15.299999999999999,7.0,1.9,4.9,72.9,0.8,,,,,
2011,인문,44224.0,33605.0,3093.0,7524.0,75.9881512301013,8.428252220829473,17.013386396526773,82.98209117221418,198.0,43.2,24.0,12.1,75.0,19.9,65.6,20.5,13.5,7.1,19.2,4.2,7.8,,,,,
2011,자연,49153.0,37576.0,2560.0,9016.0,76.44701238988465,6.378313733306758,18.3427257746221,81.65523976156084,194.6,45.6,27.5,14.3,75.1,19.3,67.8,22.6,18.1,8.7,19.6,5.2,3.6,,,,,
2012,공학,118458.0,93154.0,7494.0,17809.0,78.6388424589306,7.445751530085048,15.034020496716135,84.9651353222239,227.5,46.4,34.0,19.7,86.4,10.8,82.2,12.5,34.6,10.4,7.0,0.6,13.0,,,,,
2012,교육,30098.0,22547.0,984.0,6566.0,74.91195428267659,4.181717734052951,21.81540301681175,78.18127450328926,191.6,40.8,4.7,2.6,83.0,14.3,40.1,52.099999999999994,2.2,0.7,62.6,23.1,0.8,,,,,
2012,사회,148572.0,112571.0,10921.0,25078.0,75.76865088980426,8.84348783726881,16.879358156314783,83.11929569501656,208.6,44.7,20.8,10.3,80.5,14.5,71.5,16.4,14.7,7.4,8.2,14.3,5.4,,,,,
2012,예체능,66279.0,50690.0,5026.0,10562.0,76.47972962778557,9.02074807954627,15.935665897192171,84.06282532928982,161.4,42.1,10.2,3.5,66.9,23.1,79.3,11.9,11.7,8.6,21.3,4.1,8.5,,,,,
2012,의약,43140.0,35982.0,1399.0,5758.0,83.40751043115439,3.742543003129932,13.347241539174778,86.65044042651832,217.1,47.3,36.3,18.3,88.3,10.1,71.7,12.5,5.6,2.4,3.8,77.3,0.2,,,,,
2012,인문,45996.0,31789.0,3494.0,10711.0,69.11253152448039,9.902786044270611,23.28680754848248,76.70884424732586,186.0,42.5,22.7,11.6,74.3,21.8,70.5,18.599999999999998,14.2,6.2,19.7,2.8,9.0,,,,,
