topic_id,topic_name,year,rows
GOMS_014,취업자의 학교유형별 사업체 규모,2012,80
GOMS_014,취업자의 학교유형별 사업체 규모,2013,80
GOMS_014,취업자의 학교유형별 사업체 규모,2014,80
GOMS_014,취업자의 학교유형별 사업체 규모,2015,80
GOMS_014,취업자의 학교유형별 사업체 규모,2016,80
GOMS_014,취업자의 학교유형별 사업체 규모,2017,80
GOMS_014,취업자의 학교유형별 사업체 규모,2018,80
GOMS_014,취업자의 학교유형별 사업체 규모,2019,80
GOMS_015,취업자의 전공별 사업체 규모,2007,160
GOMS_015,취업자의 전공별 사업체 규모,2008,160
GOMS_015,취업자의 전공별 사업체 규모,2009,160
GOMS_015,취업자의 전공별 사업체 규모,2010,160
GOMS_015,취업자의 전공별 사업체 규모,2011,160
GOMS_015,취업자의 전공별 사업체 규모,2012,160
GOMS_015,취업자의 전공별 사업체 규모,2013,160
GOMS_015,취업자의 전공별 사업체 규모,2014,160
GOMS_015,취업자의 전공별 사업체 규모,2015,160
GOMS_015,취업자의 전공별 사업체 규모,2016,160
GOMS_015,취업자의 전공별 사업체 규모,2017,160
GOMS_015,취업자의 전공별 사업체 규모,2018,160
GOMS_015,취업자의 전공별 사업체 규모,2019,160
GOMS_016,취업자의 성별 사업체 유형,2007,60
GOMS_016,취업자의 성별 사업체 유형,2008,60
GOMS_016,취업자의 성별 사업체 유형,2009,60
GOMS_016,취업자의 성별 사업체 유형,2010,60
GOMS_016,취업자의 성별 사업체 유형,2011,60
GOMS_016,취업자의 성별 사업체 유형,2012,60
GOMS_016,취업자의 성별 사업체 유형,2013,60
GOMS_016,취업자의 성별 사업체 유형,2014,60
GOMS_016,취업자의 성별 사업체 유형,2015,60
GOMS_016,취업자의 성별 사업체 유형,2016,60
GOMS_016,취업자의 성별 사업체 유형,2017,60
GOMS_016,취업자의 성별 사업체 유형,2018,60
GOMS_016,취업자의 성별 사업체 유형,2019,60
GOMS_017,취업자의 학교유형별 사업체 유형,2007,80
GOMS_017,취업자의 학교유형별 사업체 유형,2008,80
GOMS_017,취업자의 학교유형별 사업체 유형,2009,80
GOMS_017,취업자의 학교유형별 사업체 유형,2010,80
GOMS_017,취업자의 학교유형별 사업체 유형,2011,80
GOMS_017,취업자의 학교유형별 사업체 유형,2012,80
GOMS_017,취업자의 학교유형별 사업체 유형,2013,80
GOMS_017,취업자의 학교유형별 사업체 유형,2014,80
GOMS_017,취업자의 학교유형별 사업체 유형,2015,80
GOMS_017,취업자의 학교유형별 사업체 유형,2016,80
GOMS_017,취업자의 학교유형별 사업체 유형,2017,80
GOMS_017,취업자의 학교유형별 사업체 유형,2018,80
GOMS_017,취업자의 학교유형별 사업체 유형,2019,80
GOMS_018,취업자의 전공별 사업체 유형,2007,160
GOMS_018,취업자의 전공별 사업체 유형,2008,160
GOMS_018,취업자의 전공별 사업체 유형,2009,160
GOMS_018,취업자의 전공별 사업체 유형,2010,160
GOMS_018,취업자의 전공별 사업체 유형,2011,160
GOMS_018,취업자의 전공별 사업체 유형,2012,160
GOMS_018,취업자의 전공별 사업체 유형,2013,160
GOMS_018,취업자의 전공별 사업체 유형,2014,160
GOMS_018,취업자의 전공별 사업체 유형,2015,160
GOMS_018,취업자의 전공별 사업체 유형,2016,160
GOMS_018,취업자의 전공별 사업체 유형,2017,160
GOMS_018,취업자의 전공별 사업체 유형,2018,160
GOMS_018,취업자의 전공별 사업체 유형,2019,160
GOMS_019,취업자의 성별 종사상 지위,2007,42
GOMS_019,취업자의 성별 종사상 지위,2008,42
GOMS_019,취업자의 성별 종사상 지위,2009,42
GOMS_019,취업자의 성별 종사상 지위,2010,42
GOMS_019,취업자의 성별 종사상 지위,2011,42
GOMS_019,취업자의 성별 종사상 지위,2012,42
GOMS_019,취업자의 성별 종사상 지위,2013,42
GOMS_019,취업자의 성별 종사상 지위,2014,42
GOMS_019,취업자의 성별 종사상 지위,2015,42
GOMS_019,취업자의 성별 종사상 지위,2016,42
GOMS_019,취업자의 성별 종사상 지위,2017,42
GOMS_019,취업자의 성별 종사상 지위,2018,42
GOMS_019,취업자의 성별 종사상 지위,2019,42
GOMS_020,취업자의 학교유형별 종사상 지위,2007,56
GOMS_020,취업자의 학교유형별 종사상 지위,2008,56
GOMS_020,취업자의 학교유형별 종사상 지위,2009,56
GOMS_020,취업자의 학교유형별 종사상 지위,2010,56
GOMS_020,취업자의 학교유형별 종사상 지위,2011,56
GOMS_020,취업자의 학교유형별 종사상 지위,2012,56
GOMS_020,취업자의 학교유형별 종사상 지위,2013,56
GOMS_020,취업자의 학교유형별 종사상 지위,2014,56
GOMS_020,취업자의 학교유형별 종사상 지위,2015,56
GOMS_020,취업자의 학교유형별 종사상 지위,2016,56
GOMS_020,취업자의 학교유형별 종사상 지위,2017,56
GOMS_020,취업자의 학교유형별 종사상 지위,2018,56
GOMS_020,취업자의 학교유형별 종사상 지위,2019,56
GOMS_021,취업자의 전공별 종사상 지위,2007,112
GOMS_021,취업자의 전공별 종사상 지위,2008,112
GOMS_021,취업자의 전공별 종사상 지위,2009,112
GOMS_021,취업자의 전공별 종사상 지위,2010,112
GOMS_021,취업자의 전공별 종사상 지위,2011,112
GOMS_021,취업자의 전공별 종사상 지위,2012,112
GOMS_021,취업자의 전공별 종사상 지위,2013,112
GOMS_021,취업자의 전공별 종사상 지위,2014,112
GOMS_021,취업자의 전공별 종사상 지위,2015,112
GOMS_021,취업자의 전공별 종사상 지위,2016,112
GOMS_021,취업자의 전공별 종사상 지위,2017,112
GOMS_021,취업자의 전공별 종사상 지위,2018,112
GOMS_021,취업자의 전공별 종사상 지위,2019,112
