dataset,column,dtype,missing_n,missing_pct
mart_department_model_base_2024,school_uid_y,string,1681,16.412809998047255
mart_department_model_base_2024,kedi_dept_code,string,1681,16.412809998047255
mart_department_model_base_2024,school_type,string,1681,16.412809998047255
mart_department_model_base_2024,degree_course,string,1681,16.412809998047255
mart_department_model_base_2024,school_status_raw,string,1681,16.412809998047255
mart_department_model_base_2024,day_evening_raw,string,1681,16.412809998047255
mart_department_model_base_2024,campus_name_raw_y,string,1681,16.412809998047255
mart_department_model_base_2024,campus_name_std_y,string,1681,16.412809998047255
mart_department_model_base_2024,region_sido,string,1681,16.412809998047255
mart_department_model_base_2024,region_sigungu,string,1681,16.412809998047255
mart_department_model_base_2024,hc_major_group_raw,string,1681,16.412809998047255
mart_department_model_base_2024,hc_major_group_7,string,1681,16.412809998047255
mart_department_model_base_2024,field_middle_name,string,1681,16.412809998047255
mart_department_model_base_2024,field_small_name,string,1681,16.412809998047255
mart_department_model_base_2024,admission_capacity_n,Int32,1681,16.412809998047255
mart_department_model_base_2024,recruitment_n,Int32,1681,16.412809998047255
mart_department_model_base_2024,applicants_n,Int32,1681,16.412809998047255
mart_department_model_base_2024,admits_n,Int32,1681,16.412809998047255
mart_department_model_base_2024,enrolled_students_n,Int32,1681,16.412809998047255
mart_department_model_base_2024,leave_students_n,Int32,1681,16.412809998047255
mart_department_model_base_2024,graduates_n,Int32,1681,16.412809998047255
mart_department_model_base_2024,fulltime_faculty_n,Int32,1681,16.412809998047255
mart_department_model_base_2024,nonfulltime_faculty_n,Int32,1681,16.412809998047255
mart_department_model_base_2024,international_students_n,Int32,1681,16.412809998047255
mart_department_model_base_2024,female_students_n,Int32,1681,16.412809998047255
mart_department_model_base_2024,masters_students_n,Int32,1681,16.412809998047255
mart_department_model_base_2024,doctoral_students_n,Int32,1681,16.412809998047255
mart_department_model_base_2024,log_enrolled_students,Float32,1681,16.412809998047255
mart_department_model_base_2024,log_graduates,Float32,1681,16.412809998047255
P4_PHASE_SAMPLE_MEMBERSHIP_FINAL,school_type,string,1681,16.412809998047255
P4_PHASE_SAMPLE_MEMBERSHIP_FINAL,region_sido,string,1681,16.412809998047255
P4_PHASE_DESIGN_MATRIX_RANK,numeric_feature_count,float64,4,12.5
P4_PHASE_DESIGN_MATRIX_RANK,categorical_feature_count,float64,4,12.5
P4_PHASE_DESIGN_MATRIX_RANK,encoded_feature_count,float64,4,12.5
P4_PHASE_DESIGN_MATRIX_RANK,rank,float64,4,12.5
P4_PHASE_DESIGN_MATRIX_RANK,rank_deficiency,float64,4,12.5
P4_PHASE_DESIGN_MATRIX_RANK,condition_number,float64,4,12.5
P4_PHASE_DESIGN_MATRIX_RANK,duplicate_encoded_columns_n,float64,4,12.5
P4_PHASE_DESIGN_MATRIX_RANK,perfect_alias_groups_n,float64,4,12.5
P4_MODELING_REVIEW_BUNDLE_MANIFEST,column_count,float64,1,6.666666666666667
mart_department_model_base_2024,match_score,float64,365,3.5637570786955672
P4_PHASE_FEATURE_SET_FINAL,source_decision,str,4,1.6
P4_PHASE_FEATURE_SET_FINAL,source_decision_reason,str,4,1.6
mart_department_model_base_2024,major_group_7,str,143,1.3962116774067566
mart_department_model_base_2024,ctx24_reference_sample_n,Float32,143,1.3962116774067566
mart_department_model_base_2024,ctx24_mean_income_10kkrw,Float32,143,1.3962116774067566
mart_department_model_base_2024,ctx24_median_income_10kkrw,Float32,143,1.3962116774067566
mart_department_model_base_2024,ctx24_income_300plus_pct,Float32,143,1.3962116774067566
mart_department_model_base_2024,ctx24_income_400plus_pct,Float32,143,1.3962116774067566
mart_department_model_base_2024,ctx24_large_company_pct,Float32,143,1.3962116774067566
mart_department_model_base_2024,ctx24_mid_company_pct,Float32,143,1.3962116774067566
mart_department_model_base_2024,ctx24_small_company_pct,Float32,143,1.3962116774067566
mart_department_model_base_2024,ctx24_large_mid_company_pct,Float32,143,1.3962116774067566
mart_department_model_base_2024,ctx24_public_nonprofit_pct,Float32,143,1.3962116774067566
