raw_dtype,est_type,non_null,null_count,null_pct,unique_count,zero_count_if_numeric,min_if_numeric,max_if_numeric,column,role_guess,reason
str,ordered_quartile_label,14,0,0.0,4,,,,초임급여_200~300만원미만_비율_사분위,target_distribution | derived_ordered_category,초임급여 구간별 규모/비율. target 분포 진단 / 사분위 라벨. 원 수치 타겟/피처의 구간화 결과이며 순서형 범주로 사용 가능
float64,numeric_rate_or_ratio,14,0,0.0,14,0.0,8.534607460658398,30.12848591035188,초임급여_300~400만원미만_비율,target_distribution,초임급여 구간별 규모/비율. target 분포 진단
str,ordered_quartile_label,14,0,0.0,4,,,,초임급여_300~400만원미만_비율_사분위,target_distribution | derived_ordered_category,초임급여 구간별 규모/비율. target 분포 진단 / 사분위 라벨. 원 수치 타겟/피처의 구간화 결과이며 순서형 범주로 사용 가능
float64,numeric_rate_or_ratio,14,0,0.0,14,0.0,4.891947573751809,67.34060220954582,초임급여_400만원이상_비율,target_distribution,초임급여 구간별 규모/비율. target 분포 진단
str,ordered_quartile_label,14,0,0.0,4,,,,초임급여_400만원이상_비율_사분위,target_distribution | derived_ordered_category,초임급여 구간별 규모/비율. target 분포 진단 / 사분위 라벨. 원 수치 타겟/피처의 구간화 결과이며 순서형 범주로 사용 가능
float64,numeric_rate_or_ratio,14,0,0.0,14,0.0,13.426555034410203,85.69571810239006,초임급여_300만원이상_비율,target_distribution,초임급여 구간별 규모/비율. target 분포 진단
str,ordered_quartile_label,14,0,0.0,4,,,,초임급여_300만원이상_비율_사분위,target_distribution | derived_ordered_category,초임급여 구간별 규모/비율. target 분포 진단 / 사분위 라벨. 원 수치 타겟/피처의 구간화 결과이며 순서형 범주로 사용 가능
float64,numeric_rate_or_ratio,14,0,0.0,14,0.0,2.411726478446097,27.427344058212423,초임급여_200만원미만_비율,target_distribution,초임급여 구간별 규모/비율. target 분포 진단
str,ordered_quartile_label,14,0,0.0,4,,,,초임급여_200만원미만_비율_사분위,target_distribution | derived_ordered_category,초임급여 구간별 규모/비율. target 분포 진단 / 사분위 라벨. 원 수치 타겟/피처의 구간화 결과이며 순서형 범주로 사용 가능
str,ordered_quartile_label,14,0,0.0,4,,,,cert_자격증취득자_명_사분위,derived_ordered_category,사분위 라벨. 원 수치 타겟/피처의 구간화 결과이며 순서형 범주로 사용 가능
str,ordered_quartile_label,14,0,0.0,4,,,,cert_자격증미취득자_명_사분위,derived_ordered_category,사분위 라벨. 원 수치 타겟/피처의 구간화 결과이며 순서형 범주로 사용 가능
float64,numeric_rate_or_ratio,14,0,0.0,14,0.0,25.1,61.6,cert_자격증취득률_pct,feature_or_target,자격증 취득률. 자격증 강도 후보 변수
str,ordered_quartile_label,14,0,0.0,4,,,,cert_자격증취득률_pct_사분위,feature_or_target | derived_ordered_category,자격증 취득률. 자격증 강도 후보 변수 / 사분위 라벨. 원 수치 타겟/피처의 구간화 결과이며 순서형 범주로 사용 가능
str,ordered_quartile_label,14,0,0.0,4,,,,cert_자격증미취득률_pct_사분위,derived_ordered_category,사분위 라벨. 원 수치 타겟/피처의 구간화 결과이며 순서형 범주로 사용 가능
int64,numeric_count,14,0,0.0,14,0.0,1752.0,103757.0,cert_자격증취득수_건,feature_or_target,자격증 취득 건수. 자격증 강도 후보 변수
str,ordered_quartile_label,14,0,0.0,4,,,,cert_자격증취득수_건_사분위,feature_or_target | derived_ordered_category,자격증 취득 건수. 자격증 강도 후보 변수 / 사분위 라벨. 원 수치 타겟/피처의 구간화 결과이며 순서형 범주로 사용 가능
str,ordered_quartile_label,14,0,0.0,4,,,,cert_취득자당자격증취득수_사분위,derived_ordered_category,사분위 라벨. 원 수치 타겟/피처의 구간화 결과이며 순서형 범주로 사용 가능
float64,numeric_count,14,0,0.0,14,0.0,0.413953375188592,1.5164271788576793,cert_분석대상자당자격증취득수,feature_or_target,전체 분석대상자 기준 자격증 강도
str,ordered_quartile_label,14,0,0.0,4,,,,cert_분석대상자당자격증취득수_사분위,feature_or_target | derived_ordered_category,전체 분석대상자 기준 자격증 강도 / 사분위 라벨. 원 수치 타겟/피처의 구간화 결과이며 순서형 범주로 사용 가능
