column,missing,zero_count,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
휴학생_전체_남,0,6874,15727.0,11.703122019456984,29.86966779778522,0.0,0.0,0.0,0.0,1.0,9.0,57.0,136.73999999999978,575.0
휴학생_전체_여,0,7934,15727.0,4.0197113244738345,10.81334322967276,0.0,0.0,0.0,0.0,0.0,3.0,19.0,45.0,279.0
유예생_전체_계,0,14068,15727.0,0.5444776499014434,3.6279210133418087,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,157.0
유예생_전체_남,0,14760,15727.0,0.18802060151332103,1.5097508977307648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,67.0
유예생_전체_여,0,14455,15727.0,0.3564570483881223,2.6172820720960104,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,123.0
재적생_석사_계,0,9785,15727.0,8.087683601449736,27.758861178424304,0.0,0.0,0.0,0.0,0.0,6.0,38.0,110.0,1124.0
재적생_석사_남,0,10574,15727.0,3.91447828575062,16.72676555942649,0.0,0.0,0.0,0.0,0.0,2.0,18.0,55.0,951.0
재적생_석사_여,0,10415,15727.0,4.173205315699116,14.061437903356836,0.0,0.0,0.0,0.0,0.0,2.0,21.0,64.0,328.0
재학생_석사_계,0,9899,15727.0,7.357092897564698,25.482571998597304,0.0,0.0,0.0,0.0,0.0,5.0,35.0,100.0,1010.0
재학생_석사_남,0,10725,15727.0,3.5465123672664842,15.298267593581693,0.0,0.0,0.0,0.0,0.0,2.0,16.0,51.0,857.0
재학생_석사_여,0,10540,15727.0,3.810580530298213,12.963160902927083,0.0,0.0,0.0,0.0,0.0,2.0,19.0,56.73999999999978,321.0
휴학생_석사_계,0,12656,15727.0,0.7305907038850384,3.2821600960136346,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,114.0
휴학생_석사_남,0,13591,15727.0,0.36796591848413557,2.0815985079556785,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,94.0
