dataset,column_order,column,dtype,non_null_n,missing_n,unique_n
P2_G0_final_department_cleaned,47,입학자_박사_남,int64,34969,0,64
P2_G0_final_department_cleaned,48,입학자_박사_여,int64,34969,0,49
P2_G0_final_department_cleaned,49,정원내_입학자_전체_계,int64,34969,0,308
P2_G0_final_department_cleaned,50,정원내_입학자_전체_남,int64,34969,0,211
P2_G0_final_department_cleaned,51,정원내_입학자_전체_여,int64,34969,0,226
P2_G0_final_department_cleaned,52,정원내_입학자_학부_계,int64,34969,0,301
P2_G0_final_department_cleaned,53,정원내_입학자_학부_남,int64,34969,0,207
P2_G0_final_department_cleaned,54,정원내_입학자_학부_여,int64,34969,0,223
P2_G0_final_department_cleaned,55,정원내_입학자_석사_계,int64,34969,0,139
P2_G0_final_department_cleaned,56,정원내_입학자_석사_남,int64,34969,0,92
P2_G0_final_department_cleaned,57,정원내_입학자_석사_여,int64,34969,0,92
P2_G0_final_department_cleaned,58,정원내_입학자_박사_계,int64,34969,0,75
P2_G0_final_department_cleaned,59,정원내_입학자_박사_남,int64,34969,0,59
P2_G0_final_department_cleaned,60,정원내_입학자_박사_여,int64,34969,0,39
P2_G0_final_department_cleaned,61,정원외_입학자_전체_계,int64,34969,0,168
P2_G0_final_department_cleaned,62,정원외_입학자_전체_남,int64,34969,0,108
P2_G0_final_department_cleaned,63,정원외_입학자_전체_여,int64,34969,0,123
P2_G0_final_department_cleaned,64,정원외_입학자_석사_계,int64,34969,0,107
P2_G0_final_department_cleaned,65,정원외_입학자_석사_남,int64,34969,0,66
P2_G0_final_department_cleaned,66,정원외_입학자_석사_여,int64,34969,0,73
P2_G0_final_department_cleaned,67,정원외_입학자_박사_계,int64,34969,0,53
P2_G0_final_department_cleaned,68,정원외_입학자_박사_남,int64,34969,0,35
P2_G0_final_department_cleaned,69,정원외_입학자_박사_여,int64,34969,0,36
P2_G0_final_department_cleaned,70,재적생_전체_계,int64,34969,0,987
P2_G0_final_department_cleaned,71,재적생_전체_남,int64,34969,0,713
P2_G0_final_department_cleaned,72,재적생_전체_여,int64,34969,0,634
P2_G0_final_department_cleaned,73,재학생_전체_계,int64,34969,0,830
P2_G0_final_department_cleaned,74,재학생_전체_남,int64,34969,0,547
P2_G0_final_department_cleaned,75,재학생_전체_여,int64,34969,0,595
P2_G0_final_department_cleaned,76,휴학생_전체_계,int64,34969,0,391
P2_G0_final_department_cleaned,77,휴학생_전체_남,int64,34969,0,331
P2_G0_final_department_cleaned,78,휴학생_전체_여,int64,34969,0,177
P2_G0_final_department_cleaned,79,유예생_전체_계,int64,34969,0,65
P2_G0_final_department_cleaned,80,유예생_전체_남,int64,34969,0,41
P2_G0_final_department_cleaned,81,유예생_전체_여,int64,34969,0,53
P2_G0_final_department_cleaned,82,재적생_석사_계,int64,34969,0,280
P2_G0_final_department_cleaned,83,재적생_석사_남,int64,34969,0,182
P2_G0_final_department_cleaned,84,재적생_석사_여,int64,34969,0,194
P2_G0_final_department_cleaned,85,재학생_석사_계,int64,34969,0,262
P2_G0_final_department_cleaned,86,재학생_석사_남,int64,34969,0,171
P2_G0_final_department_cleaned,87,재학생_석사_여,int64,34969,0,178
P2_G0_final_department_cleaned,88,휴학생_석사_계,int64,34969,0,79
P2_G0_final_department_cleaned,89,휴학생_석사_남,int64,34969,0,53
P2_G0_final_department_cleaned,90,휴학생_석사_여,int64,34969,0,48
P2_G0_final_department_cleaned,91,재적생_박사_계,int64,34969,0,178
P2_G0_final_department_cleaned,92,재적생_박사_남,int64,34969,0,131
P2_G0_final_department_cleaned,93,재적생_박사_여,int64,34969,0,100
P2_G0_final_department_cleaned,94,재학생_박사_계,int64,34969,0,174
P2_G0_final_department_cleaned,95,재학생_박사_남,int64,34969,0,124
P2_G0_final_department_cleaned,96,재학생_박사_여,int64,34969,0,96
P2_G0_final_department_cleaned,97,휴학생_박사_계,int64,34969,0,47
P2_G0_final_department_cleaned,98,휴학생_박사_남,int64,34969,0,33
P2_G0_final_department_cleaned,99,휴학생_박사_여,int64,34969,0,32
P2_G0_final_department_cleaned,100,외국인유학생_총계_계,int64,34969,0,247
P2_G0_final_department_cleaned,101,외국인유학생_총계_남,int64,34969,0,160
P2_G0_final_department_cleaned,102,외국인유학생_총계_여,int64,34969,0,176
P2_G0_final_department_cleaned,103,외국인유학생_학사_계,int64,34969,0,221
P2_G0_final_department_cleaned,104,외국인유학생_학사_남,int64,34969,0,144
P2_G0_final_department_cleaned,105,외국인유학생_학사_여,int64,34969,0,157
P2_G0_final_department_cleaned,106,외국인유학생_석사_계,int64,34969,0,128
P2_G0_final_department_cleaned,107,외국인유학생_석사_남,int64,34969,0,81
P2_G0_final_department_cleaned,108,외국인유학생_석사_여,int64,34969,0,99
P2_G0_final_department_cleaned,109,외국인유학생_박사_계,int64,34969,0,89
P2_G0_final_department_cleaned,110,외국인유학생_박사_남,int64,34969,0,56
P2_G0_final_department_cleaned,111,외국인유학생_박사_여,int64,34969,0,61
P2_G0_final_department_cleaned,112,졸업자_전체,int64,34969,0,323
P2_G0_final_department_cleaned,113,졸업자_남,int64,34969,0,217
P2_G0_final_department_cleaned,114,졸업자_전체_여,int64,34969,0,244
P2_G0_final_department_cleaned,115,졸업자_석사_계,int64,34969,0,142
P2_G0_final_department_cleaned,116,졸업자_석사_남,int64,34969,0,95
P2_G0_final_department_cleaned,117,졸업자_석사_여,int64,34969,0,96
P2_G0_final_department_cleaned,118,졸업자_박사_계,int64,34969,0,69
P2_G0_final_department_cleaned,119,졸업자_박사_남,int64,34969,0,49
P2_G0_final_department_cleaned,120,졸업자_박사_여,int64,34969,0,38
P2_G0_final_department_cleaned,121,전임교원_계,int64,34969,0,119
P2_G0_final_department_cleaned,122,전임교원_남,int64,34969,0,100
P2_G0_final_department_cleaned,123,전임교원_여,int64,34969,0,69
P2_G0_final_department_cleaned,124,비전임교원_계,int64,34969,0,138
P2_G0_final_department_cleaned,125,비전임교원_남,int64,34969,0,97
P2_G0_final_department_cleaned,126,비전임교원_여,int64,34969,0,91
P2_G0_final_department_cleaned,127,is_no_department_placeholder,bool[pyarrow],34969,0,1
P2_G0_final_department_cleaned,128,analysis_unit_type,str,34969,0,1
P2_G0_final_department_cleaned,129,대학원구분_clean,str,34969,0,3
P2_G0_final_department_cleaned,130,대계열_clean,string,34969,0,7
P2_G0_final_department_cleaned,131,중계열_clean,string,34969,0,36
P2_G0_final_department_cleaned,132,소계열_clean,string,34969,0,188
P2_G0_final_total_with_placeholder,1,연도,Int64,35431,0,1
P2_G0_final_total_with_placeholder,2,학제,string,35431,0,18
P2_G0_final_total_with_placeholder,3,대학원구분,string,12674,22757,2
P2_G0_final_total_with_placeholder,4,학교명,string,35431,0,1693
P2_G0_final_total_with_placeholder,5,학교상태,string,35431,0,4
P2_G0_final_total_with_placeholder,6,본분교,string,35431,0,5
P2_G0_final_total_with_placeholder,7,시도,string,35431,0,17
P2_G0_final_total_with_placeholder,8,시군구,string,35431,0,163
P2_G0_final_total_with_placeholder,9,설립,string,35431,0,7
P2_G0_final_total_with_placeholder,10,주야구분,string,35431,0,11
P2_G0_final_total_with_placeholder,11,주소,string,35431,0,651
P2_G0_final_total_with_placeholder,12,우편번호,string,35431,0,507
P2_G0_final_total_with_placeholder,13,전화번호,string,34189,1242,1065
P2_G0_final_total_with_placeholder,14,팩스번호,string,30613,4818,900
P2_G0_final_total_with_placeholder,15,홈페이지,string,34418,1013,1233
P2_G0_final_total_with_placeholder,16,학위과정,string,35431,0,3
P2_G0_final_total_with_placeholder,17,대계열,string,34969,462,7
P2_G0_final_total_with_placeholder,18,중계열,string,34969,462,36
P2_G0_final_total_with_placeholder,19,소계열,string,34969,462,188
P2_G0_final_total_with_placeholder,20,학과코드,string,35431,0,16964
P2_G0_final_total_with_placeholder,21,학과명,string,35431,0,15044
P2_G0_final_total_with_placeholder,22,학과수_전체,int64,35431,0,9
P2_G0_final_total_with_placeholder,23,학과수_석사,int64,35431,0,4
P2_G0_final_total_with_placeholder,24,학과수_박사,int64,35431,0,4
P2_G0_final_total_with_placeholder,25,입학정원_학부_계,int64,35431,0,331
P2_G0_final_total_with_placeholder,26,정원내_입학정원_학부,int64,35431,0,327
P2_G0_final_total_with_placeholder,27,정원외_입학정원_학부,int64,35431,0,61
P2_G0_final_total_with_placeholder,28,모집인원_학부_계,int64,35431,0,389
P2_G0_final_total_with_placeholder,29,정원내_모집인원_학부,int64,35431,0,323
P2_G0_final_total_with_placeholder,30,정원외_모집정원_학부,int64,35431,0,198
P2_G0_final_total_with_placeholder,31,지원자_전체_계,int64,35431,0,1572
P2_G0_final_total_with_placeholder,32,지원자_전체_남,int64,35431,0,1008
P2_G0_final_total_with_placeholder,33,지원자_전체_여,int64,35431,0,1101
P2_G0_final_total_with_placeholder,34,지원자_석사_계,int64,35431,0,307
P2_G0_final_total_with_placeholder,35,지원자_석사_남,int64,35431,0,195
P2_G0_final_total_with_placeholder,36,지원자_석사_여,int64,35431,0,223
P2_G0_final_total_with_placeholder,37,지원자_박사_계,int64,35431,0,127
P2_G0_final_total_with_placeholder,38,지원자_박사_남,int64,35431,0,88
P2_G0_final_total_with_placeholder,39,지원자_박사_여,int64,35431,0,76
P2_G0_final_total_with_placeholder,40,입학자_전체_계,int64,35431,0,355
P2_G0_final_total_with_placeholder,41,입학자_전체_남,int64,35431,0,233
P2_G0_final_total_with_placeholder,42,입학자_전체_여,int64,35431,0,259
P2_G0_final_total_with_placeholder,43,입학자_석사_계,int64,35431,0,167
P2_G0_final_total_with_placeholder,44,입학자_석사_남,int64,35431,0,102
P2_G0_final_total_with_placeholder,45,입학자_석사_여,int64,35431,0,106
P2_G0_final_total_with_placeholder,46,입학자_박사_계,int64,35431,0,87
P2_G0_final_total_with_placeholder,47,입학자_박사_남,int64,35431,0,64
P2_G0_final_total_with_placeholder,48,입학자_박사_여,int64,35431,0,49
P2_G0_final_total_with_placeholder,49,정원내_입학자_전체_계,int64,35431,0,308
P2_G0_final_total_with_placeholder,50,정원내_입학자_전체_남,int64,35431,0,211
P2_G0_final_total_with_placeholder,51,정원내_입학자_전체_여,int64,35431,0,226
P2_G0_final_total_with_placeholder,52,정원내_입학자_학부_계,int64,35431,0,301
P2_G0_final_total_with_placeholder,53,정원내_입학자_학부_남,int64,35431,0,207
P2_G0_final_total_with_placeholder,54,정원내_입학자_학부_여,int64,35431,0,223
P2_G0_final_total_with_placeholder,55,정원내_입학자_석사_계,int64,35431,0,139
P2_G0_final_total_with_placeholder,56,정원내_입학자_석사_남,int64,35431,0,92
P2_G0_final_total_with_placeholder,57,정원내_입학자_석사_여,int64,35431,0,92
P2_G0_final_total_with_placeholder,58,정원내_입학자_박사_계,int64,35431,0,75
P2_G0_final_total_with_placeholder,59,정원내_입학자_박사_남,int64,35431,0,59
P2_G0_final_total_with_placeholder,60,정원내_입학자_박사_여,int64,35431,0,39
P2_G0_final_total_with_placeholder,61,정원외_입학자_전체_계,int64,35431,0,168
P2_G0_final_total_with_placeholder,62,정원외_입학자_전체_남,int64,35431,0,108
P2_G0_final_total_with_placeholder,63,정원외_입학자_전체_여,int64,35431,0,123
P2_G0_final_total_with_placeholder,64,정원외_입학자_석사_계,int64,35431,0,107
P2_G0_final_total_with_placeholder,65,정원외_입학자_석사_남,int64,35431,0,66
P2_G0_final_total_with_placeholder,66,정원외_입학자_석사_여,int64,35431,0,73
P2_G0_final_total_with_placeholder,67,정원외_입학자_박사_계,int64,35431,0,53
P2_G0_final_total_with_placeholder,68,정원외_입학자_박사_남,int64,35431,0,35
P2_G0_final_total_with_placeholder,69,정원외_입학자_박사_여,int64,35431,0,36
P2_G0_final_total_with_placeholder,70,재적생_전체_계,int64,35431,0,987
P2_G0_final_total_with_placeholder,71,재적생_전체_남,int64,35431,0,713
P2_G0_final_total_with_placeholder,72,재적생_전체_여,int64,35431,0,634
P2_G0_final_total_with_placeholder,73,재학생_전체_계,int64,35431,0,830
P2_G0_final_total_with_placeholder,74,재학생_전체_남,int64,35431,0,547
P2_G0_final_total_with_placeholder,75,재학생_전체_여,int64,35431,0,595
P2_G0_final_total_with_placeholder,76,휴학생_전체_계,int64,35431,0,391
P2_G0_final_total_with_placeholder,77,휴학생_전체_남,int64,35431,0,331
P2_G0_final_total_with_placeholder,78,휴학생_전체_여,int64,35431,0,177
P2_G0_final_total_with_placeholder,79,유예생_전체_계,int64,35431,0,65
P2_G0_final_total_with_placeholder,80,유예생_전체_남,int64,35431,0,41
P2_G0_final_total_with_placeholder,81,유예생_전체_여,int64,35431,0,53
P2_G0_final_total_with_placeholder,82,재적생_석사_계,int64,35431,0,280
P2_G0_final_total_with_placeholder,83,재적생_석사_남,int64,35431,0,182
P2_G0_final_total_with_placeholder,84,재적생_석사_여,int64,35431,0,194
P2_G0_final_total_with_placeholder,85,재학생_석사_계,int64,35431,0,262
P2_G0_final_total_with_placeholder,86,재학생_석사_남,int64,35431,0,171
P2_G0_final_total_with_placeholder,87,재학생_석사_여,int64,35431,0,178
P2_G0_final_total_with_placeholder,88,휴학생_석사_계,int64,35431,0,79
P2_G0_final_total_with_placeholder,89,휴학생_석사_남,int64,35431,0,53
P2_G0_final_total_with_placeholder,90,휴학생_석사_여,int64,35431,0,48
P2_G0_final_total_with_placeholder,91,재적생_박사_계,int64,35431,0,178
P2_G0_final_total_with_placeholder,92,재적생_박사_남,int64,35431,0,131
P2_G0_final_total_with_placeholder,93,재적생_박사_여,int64,35431,0,100
P2_G0_final_total_with_placeholder,94,재학생_박사_계,int64,35431,0,174
P2_G0_final_total_with_placeholder,95,재학생_박사_남,int64,35431,0,124
P2_G0_final_total_with_placeholder,96,재학생_박사_여,int64,35431,0,96
P2_G0_final_total_with_placeholder,97,휴학생_박사_계,int64,35431,0,47
P2_G0_final_total_with_placeholder,98,휴학생_박사_남,int64,35431,0,33
P2_G0_final_total_with_placeholder,99,휴학생_박사_여,int64,35431,0,32
P2_G0_final_total_with_placeholder,100,외국인유학생_총계_계,int64,35431,0,247
P2_G0_final_total_with_placeholder,101,외국인유학생_총계_남,int64,35431,0,160
P2_G0_final_total_with_placeholder,102,외국인유학생_총계_여,int64,35431,0,176
P2_G0_final_total_with_placeholder,103,외국인유학생_학사_계,int64,35431,0,221
P2_G0_final_total_with_placeholder,104,외국인유학생_학사_남,int64,35431,0,144
P2_G0_final_total_with_placeholder,105,외국인유학생_학사_여,int64,35431,0,157
P2_G0_final_total_with_placeholder,106,외국인유학생_석사_계,int64,35431,0,128
P2_G0_final_total_with_placeholder,107,외국인유학생_석사_남,int64,35431,0,81
P2_G0_final_total_with_placeholder,108,외국인유학생_석사_여,int64,35431,0,99
P2_G0_final_total_with_placeholder,109,외국인유학생_박사_계,int64,35431,0,89
P2_G0_final_total_with_placeholder,110,외국인유학생_박사_남,int64,35431,0,56
P2_G0_final_total_with_placeholder,111,외국인유학생_박사_여,int64,35431,0,61
P2_G0_final_total_with_placeholder,112,졸업자_전체,int64,35431,0,323
P2_G0_final_total_with_placeholder,113,졸업자_남,int64,35431,0,217
P2_G0_final_total_with_placeholder,114,졸업자_전체_여,int64,35431,0,244
P2_G0_final_total_with_placeholder,115,졸업자_석사_계,int64,35431,0,142
P2_G0_final_total_with_placeholder,116,졸업자_석사_남,int64,35431,0,95
P2_G0_final_total_with_placeholder,117,졸업자_석사_여,int64,35431,0,96
P2_G0_final_total_with_placeholder,118,졸업자_박사_계,int64,35431,0,69
P2_G0_final_total_with_placeholder,119,졸업자_박사_남,int64,35431,0,49
P2_G0_final_total_with_placeholder,120,졸업자_박사_여,int64,35431,0,38
P2_G0_final_total_with_placeholder,121,전임교원_계,int64,35431,0,119
P2_G0_final_total_with_placeholder,122,전임교원_남,int64,35431,0,100
P2_G0_final_total_with_placeholder,123,전임교원_여,int64,35431,0,69
P2_G0_final_total_with_placeholder,124,비전임교원_계,int64,35431,0,154
P2_G0_final_total_with_placeholder,125,비전임교원_남,int64,35431,0,112
P2_G0_final_total_with_placeholder,126,비전임교원_여,int64,35431,0,97
P2_G0_final_total_with_placeholder,127,is_no_department_placeholder,bool[pyarrow],35431,0,2
P2_G0_final_total_with_placeholder,128,analysis_unit_type,str,35431,0,2
P2_G0_final_total_with_placeholder,129,대학원구분_clean,str,35431,0,3
P2_G0_final_total_with_placeholder,130,대계열_clean,string,35431,0,8
P2_G0_final_total_with_placeholder,131,중계열_clean,string,35431,0,37
P2_G0_final_total_with_placeholder,132,소계열_clean,string,35431,0,189
P2_G0_final_faculty_total,1,연도,Int64,35431,0,1
P2_G0_final_faculty_total,2,학제,string,35431,0,18
P2_G0_final_faculty_total,3,대학원구분_clean,str,35431,0,3
P2_G0_final_faculty_total,4,학교명,string,35431,0,1693
P2_G0_final_faculty_total,5,본분교,string,35431,0,5
P2_G0_final_faculty_total,6,시도,string,35431,0,17
P2_G0_final_faculty_total,7,학위과정,string,35431,0,3
P2_G0_final_faculty_total,8,analysis_unit_type,str,35431,0,2
P2_G0_final_faculty_total,9,학과코드,string,35431,0,16964
P2_G0_final_faculty_total,10,학과명,string,35431,0,15044
P2_G0_final_faculty_total,11,대계열_clean,string,35431,0,8
P2_G0_final_faculty_total,12,중계열_clean,string,35431,0,37
P2_G0_final_faculty_total,13,소계열_clean,string,35431,0,189
P2_G0_final_faculty_total,14,전임교원_계,int64,35431,0,119
P2_G0_final_faculty_total,15,전임교원_남,int64,35431,0,100
P2_G0_final_faculty_total,16,전임교원_여,int64,35431,0,69
P2_G0_final_faculty_total,17,비전임교원_계,int64,35431,0,154
P2_G0_final_faculty_total,18,비전임교원_남,int64,35431,0,112
P2_G0_final_faculty_total,19,비전임교원_여,int64,35431,0,97
P2_G0_final_placeholder_rows,1,연도,Int64,462,0,1
P2_G0_final_placeholder_rows,2,학제,string,462,0,15
P2_G0_final_placeholder_rows,3,대학원구분,string,99,363,2
P2_G0_final_placeholder_rows,4,학교명,string,462,0,435
P2_G0_final_placeholder_rows,5,학교상태,string,462,0,4
P2_G0_final_placeholder_rows,6,본분교,string,462,0,4
P2_G0_final_placeholder_rows,7,시도,string,462,0,17
P2_G0_final_placeholder_rows,8,시군구,string,462,0,144
P2_G0_final_placeholder_rows,9,설립,string,462,0,7
P2_G0_final_placeholder_rows,10,주야구분,string,462,0,8
P2_G0_final_placeholder_rows,11,주소,string,462,0,387
P2_G0_final_placeholder_rows,12,우편번호,string,462,0,358
P2_G0_final_placeholder_rows,13,전화번호,string,450,12,421
P2_G0_final_placeholder_rows,14,팩스번호,string,417,45,391
P2_G0_final_placeholder_rows,15,홈페이지,string,456,6,418
P2_G0_final_placeholder_rows,16,학위과정,string,462,0,3
P2_G0_final_placeholder_rows,17,대계열,string,0,462,0
P2_G0_final_placeholder_rows,18,중계열,string,0,462,0
P2_G0_final_placeholder_rows,19,소계열,string,0,462,0
P2_G0_final_placeholder_rows,20,학과코드,string,462,0,1
P2_G0_final_placeholder_rows,21,학과명,string,462,0,1
P2_G0_final_placeholder_rows,22,학과수_전체,int64,462,0,1
P2_G0_final_placeholder_rows,23,학과수_석사,int64,462,0,1
P2_G0_final_placeholder_rows,24,학과수_박사,int64,462,0,1
P2_G0_final_placeholder_rows,25,입학정원_학부_계,int64,462,0,1
P2_G0_final_placeholder_rows,26,정원내_입학정원_학부,int64,462,0,1
P2_G0_final_placeholder_rows,27,정원외_입학정원_학부,int64,462,0,1
P2_G0_final_placeholder_rows,28,모집인원_학부_계,int64,462,0,1
P2_G0_final_placeholder_rows,29,정원내_모집인원_학부,int64,462,0,1
P2_G0_final_placeholder_rows,30,정원외_모집정원_학부,int64,462,0,1
P2_G0_final_placeholder_rows,31,지원자_전체_계,int64,462,0,1
P2_G0_final_placeholder_rows,32,지원자_전체_남,int64,462,0,1
P2_G0_final_placeholder_rows,33,지원자_전체_여,int64,462,0,1
P2_G0_final_placeholder_rows,34,지원자_석사_계,int64,462,0,1
P2_G0_final_placeholder_rows,35,지원자_석사_남,int64,462,0,1
P2_G0_final_placeholder_rows,36,지원자_석사_여,int64,462,0,1
P2_G0_final_placeholder_rows,37,지원자_박사_계,int64,462,0,1
P2_G0_final_placeholder_rows,38,지원자_박사_남,int64,462,0,1
P2_G0_final_placeholder_rows,39,지원자_박사_여,int64,462,0,1
P2_G0_final_placeholder_rows,40,입학자_전체_계,int64,462,0,1
P2_G0_final_placeholder_rows,41,입학자_전체_남,int64,462,0,1
P2_G0_final_placeholder_rows,42,입학자_전체_여,int64,462,0,1
P2_G0_final_placeholder_rows,43,입학자_석사_계,int64,462,0,1
P2_G0_final_placeholder_rows,44,입학자_석사_남,int64,462,0,1
P2_G0_final_placeholder_rows,45,입학자_석사_여,int64,462,0,1
P2_G0_final_placeholder_rows,46,입학자_박사_계,int64,462,0,1
P2_G0_final_placeholder_rows,47,입학자_박사_남,int64,462,0,1
P2_G0_final_placeholder_rows,48,입학자_박사_여,int64,462,0,1
P2_G0_final_placeholder_rows,49,정원내_입학자_전체_계,int64,462,0,1
P2_G0_final_placeholder_rows,50,정원내_입학자_전체_남,int64,462,0,1
P2_G0_final_placeholder_rows,51,정원내_입학자_전체_여,int64,462,0,1
P2_G0_final_placeholder_rows,52,정원내_입학자_학부_계,int64,462,0,1
P2_G0_final_placeholder_rows,53,정원내_입학자_학부_남,int64,462,0,1
P2_G0_final_placeholder_rows,54,정원내_입학자_학부_여,int64,462,0,1
P2_G0_final_placeholder_rows,55,정원내_입학자_석사_계,int64,462,0,1
P2_G0_final_placeholder_rows,56,정원내_입학자_석사_남,int64,462,0,1
P2_G0_final_placeholder_rows,57,정원내_입학자_석사_여,int64,462,0,1
P2_G0_final_placeholder_rows,58,정원내_입학자_박사_계,int64,462,0,1
P2_G0_final_placeholder_rows,59,정원내_입학자_박사_남,int64,462,0,1
P2_G0_final_placeholder_rows,60,정원내_입학자_박사_여,int64,462,0,1
P2_G0_final_placeholder_rows,61,정원외_입학자_전체_계,int64,462,0,1
P2_G0_final_placeholder_rows,62,정원외_입학자_전체_남,int64,462,0,1
P2_G0_final_placeholder_rows,63,정원외_입학자_전체_여,int64,462,0,1
P2_G0_final_placeholder_rows,64,정원외_입학자_석사_계,int64,462,0,1
P2_G0_final_placeholder_rows,65,정원외_입학자_석사_남,int64,462,0,1
P2_G0_final_placeholder_rows,66,정원외_입학자_석사_여,int64,462,0,1
P2_G0_final_placeholder_rows,67,정원외_입학자_박사_계,int64,462,0,1
P2_G0_final_placeholder_rows,68,정원외_입학자_박사_남,int64,462,0,1
P2_G0_final_placeholder_rows,69,정원외_입학자_박사_여,int64,462,0,1
P2_G0_final_placeholder_rows,70,재적생_전체_계,int64,462,0,1
P2_G0_final_placeholder_rows,71,재적생_전체_남,int64,462,0,1
P2_G0_final_placeholder_rows,72,재적생_전체_여,int64,462,0,1
P2_G0_final_placeholder_rows,73,재학생_전체_계,int64,462,0,1
P2_G0_final_placeholder_rows,74,재학생_전체_남,int64,462,0,1
P2_G0_final_placeholder_rows,75,재학생_전체_여,int64,462,0,1
P2_G0_final_placeholder_rows,76,휴학생_전체_계,int64,462,0,1
P2_G0_final_placeholder_rows,77,휴학생_전체_남,int64,462,0,1
P2_G0_final_placeholder_rows,78,휴학생_전체_여,int64,462,0,1
P2_G0_final_placeholder_rows,79,유예생_전체_계,int64,462,0,1
P2_G0_final_placeholder_rows,80,유예생_전체_남,int64,462,0,1
P2_G0_final_placeholder_rows,81,유예생_전체_여,int64,462,0,1
P2_G0_final_placeholder_rows,82,재적생_석사_계,int64,462,0,1
P2_G0_final_placeholder_rows,83,재적생_석사_남,int64,462,0,1
P2_G0_final_placeholder_rows,84,재적생_석사_여,int64,462,0,1
P2_G0_final_placeholder_rows,85,재학생_석사_계,int64,462,0,1
P2_G0_final_placeholder_rows,86,재학생_석사_남,int64,462,0,1
P2_G0_final_placeholder_rows,87,재학생_석사_여,int64,462,0,1
P2_G0_final_placeholder_rows,88,휴학생_석사_계,int64,462,0,1
P2_G0_final_placeholder_rows,89,휴학생_석사_남,int64,462,0,1
P2_G0_final_placeholder_rows,90,휴학생_석사_여,int64,462,0,1
P2_G0_final_placeholder_rows,91,재적생_박사_계,int64,462,0,1
P2_G0_final_placeholder_rows,92,재적생_박사_남,int64,462,0,1
P2_G0_final_placeholder_rows,93,재적생_박사_여,int64,462,0,1
P2_G0_final_placeholder_rows,94,재학생_박사_계,int64,462,0,1
P2_G0_final_placeholder_rows,95,재학생_박사_남,int64,462,0,1
P2_G0_final_placeholder_rows,96,재학생_박사_여,int64,462,0,1
P2_G0_final_placeholder_rows,97,휴학생_박사_계,int64,462,0,1
P2_G0_final_placeholder_rows,98,휴학생_박사_남,int64,462,0,1
