학교명,search_query,candidate_code,candidate_label,candidate_rank
경기대학교_제2캠퍼스,경기대학교,0000058,경기대학교[제2캠퍼스],2
경남대학교,경남대학교,0000059,경남대학교[본교],1
경동대학교,경동대학교,0000060,경동대학교[본교],1
경동대학교,경동대학교,0002574,경동대학교[제3캠퍼스],2
경동대학교,경동대학교,0002744,경동대학교[제4캠퍼스],3
경동대학교_제3캠퍼스,경동대학교,0000060,경동대학교[본교],1
경동대학교_제3캠퍼스,경동대학교,0002574,경동대학교[제3캠퍼스],2
경동대학교_제3캠퍼스,경동대학교,0002744,경동대학교[제4캠퍼스],3
경동대학교_제4캠퍼스,경동대학교,0000060,경동대학교[본교],1
경동대학교_제4캠퍼스,경동대학교,0002574,경동대학교[제3캠퍼스],2
경동대학교_제4캠퍼스,경동대학교,0002744,경동대학교[제4캠퍼스],3
경상국립대학교,경상국립대학교,0000007,경상국립대학교[본교],1
경성대학교,경성대학교,0000062,경성대학교[본교],1
경운대학교,경운대학교,0000244,경운대학교[본교],1
경인교육대학교,경인교육대학교,0000256,경인교육대학교[본교],1
경인교육대학교_제2캠퍼스,경인교육대학교,0000256,경인교육대학교[본교],1
경일대학교,경일대학교,0000064,경일대학교[본교],1
계명대학교,계명대학교,0000068,계명대학교[본교],1
고려대학교(세종)_분교,고려대학교,0000070,고려대학교(세종)[분교],1
고려대학교(세종)_분교,고려대학교,0000069,고려대학교[본교],2
고신대학교,고신대학교,0000071,고신대학교[본교],1
공주교육대학교,공주교육대학교,0000251,공주교육대학교[본교],1
광신대학교,광신대학교,0000073,광신대학교[본교],1
광주가톨릭대학교,광주가톨릭대학교,0000075,광주가톨릭대학교[본교],1
광주과학기술원,광주과학기술원,,,0
광주교육대학교,광주교육대학교,0000252,광주교육대학교[본교],1
광주대학교,광주대학교,0000231,광주대학교[본교],1
광주여자대학교,광주여자대학교,0000076,광주여자대학교[본교],1
국립경국대학교,국립경국대학교,,,0
국립공주대학교,국립공주대학교,0000008,국립공주대학교[본교],1
국립군산대학교,국립군산대학교,0000009,국립군산대학교[본교],1
국립금오공과대학교,국립금오공과대학교,0000010,국립금오공과대학교[본교],1
국립목포대학교,국립목포대학교,0000011,국립목포대학교[본교],1
국립목포해양대학교,국립목포해양대학교,0000012,국립목포해양대학교[본교],1
국립부경대학교,국립부경대학교,0000013,국립부경대학교[본교],1
국립순천대학교,국립순천대학교,0000020,국립순천대학교[본교],1
국립창원대학교,국립창원대학교,0000028,국립창원대학교[본교],1
국립한국교통대학교,국립한국교통대학교,0000034,국립한국교통대학교[본교],1
국립한국해양대학교,국립한국해양대학교,0000033,국립한국해양대학교[본교],1
국립한밭대학교,국립한밭대학교,0000039,국립한밭대학교[본교],1
극동대학교,극동대학교,0000080,극동대학교[본교],1
금강대학교,금강대학교,0000224,금강대학교[본교],1
김천대학교,김천대학교,0000241,김천대학교[본교],1
나사렛대학교,나사렛대학교,0000081,나사렛대학교[본교],1
남부대학교,남부대학교,0000216,남부대학교[본교],1
남서울대학교,남서울대학교,0000245,남서울대학교[본교],1
단국대학교_제2캠퍼스,단국대학교,0000082,단국대학교[본교],1
단국대학교_제2캠퍼스,단국대학교,0002726,단국대학교[제2캠퍼스],2
대구가톨릭대학교,대구가톨릭대학교,0000088,대구가톨릭대학교[본교],1
대구경북과학기술원,대구경북과학기술원,,,0
대구교육대학교,대구교육대학교,0000253,대구교육대학교[본교],1
대구대학교,대구대학교,0000084,대구대학교[본교],1
대구예술대학교,대구예술대학교,0000087,대구예술대학교[본교],1
대구한의대학교,대구한의대학교,0000061,대구한의대학교[본교],1
대신대학교,대신대학교,0000093,대신대학교[본교],1
대전가톨릭대학교,대전가톨릭대학교,0000094,대전가톨릭대학교[본교],1
대전대학교,대전대학교,0000095,대전대학교[본교],1
대전신학대학교,대전신학대학교,0000238,대전신학대학교[본교],1
대진대학교,대진대학교,0000097,대진대학교[본교],1
동국대학교(WISE)_분교,동국대학교,0000101,동국대학교(WISE)[분교],1
동국대학교(WISE)_분교,동국대학교,0000100,동국대학교[본교],2
동명대학교,동명대학교,0000235,동명대학교[본교],1
동서대학교,동서대학교,0000103,동서대학교[본교],1
동신대학교,동신대학교,0000104,동신대학교[본교],1
동아대학교,동아대학교,0000105,동아대학교[본교],1
동양대학교,동양대학교,0000106,동양대학교[본교],1
동의대학교,동의대학교,0000107,동의대학교[본교],1
루터대학교,루터대학교,0000108,루터대학교[본교],1
명지대학교_제2캠퍼스,명지대학교,0000109,명지대학교[본교],1
명지대학교_제2캠퍼스,명지대학교,0000111,명지대학교[제2캠퍼스],2
목원대학교,목원대학교,0000112,목원대학교[본교],1
목포가톨릭대학교,목포가톨릭대학교,0000221,목포가톨릭대학교[본교],1
배재대학교,배재대학교,0000113,배재대학교[본교],1
백석대학교,백석대학교,0000178,백석대학교[본교],1
부산가톨릭대학교,부산가톨릭대학교,0000114,부산가톨릭대학교[본교],1
부산교육대학교,부산교육대학교,0000254,부산교육대학교[본교],1
부산외국어대학교,부산외국어대학교,0000115,부산외국어대학교[본교],1
부산장신대학교,부산장신대학교,0000222,부산장신대학교[본교],1
상명대학교_제2캠퍼스,상명대학교,0000117,상명대학교[본교],1
상명대학교_제2캠퍼스,상명대학교,0002959,상명대학교[제2캠퍼스],2
상지대학교,상지대학교,0000119,상지대학교[본교],1
서울교육대학교,서울교육대학교,0000255,서울교육대학교[본교],1
서울기독대학교,서울기독대학교,0000098,서울기독대학교[본교],1
서울신학대학교,서울신학대학교,0000125,서울신학대학교[본교],1
서울장신대학교,서울장신대학교,0000127,서울장신대학교[본교],1
서울한영대학교,서울한영대학교,0000205,서울한영대학교[본교],1
서원대학교,서원대학교,0000128,서원대학교[본교],1
선문대학교,선문대학교,0000129,선문대학교[본교],1
성결대학교,성결대학교,0000131,성결대학교[본교],1
성공회대학교,성공회대학교,0000132,성공회대학교[본교],1
세명대학교,세명대학교,0000137,세명대학교[본교],1
세한대학교,세한대학교,0000092,세한대학교[본교],1
송원대학교,송원대학교,0000243,송원대학교[본교],1
수원가톨릭대학교,수원가톨릭대학교,0000139,수원가톨릭대학교[본교],1
순복음총회신학교,순복음총회신학교,,,0
순천향대학교,순천향대학교,0000142,순천향대학교[본교],1
신경주대학교,신경주대학교,0000065,신경주대학교[본교],1
신라대학교,신라대학교,0000144,신라대학교[본교],1
신한대학교,신한대학교,0002712,신한대학교[본교],1
신한대학교,신한대학교,0002800,신한대학교[제2캠퍼스],2
신한대학교_제2캠퍼스,신한대학교,0002712,신한대학교[본교],1
신한대학교_제2캠퍼스,신한대학교,0002800,신한대학교[제2캠퍼스],2
아신대학교,아신대학교,0000145,아신대학교[본교],1
안양대학교,안양대학교,0000147,안양대학교[본교],1
안양대학교,안양대학교,0000148,안양대학교[제2캠퍼스],2
안양대학교_제2캠퍼스,안양대학교,0000147,안양대학교[본교],1
안양대학교_제2캠퍼스,안양대학교,0000148,안양대학교[제2캠퍼스],2
연세대학교(미래)_분교,연세대학교,0000150,연세대학교(미래)[분교],1
연세대학교(미래)_분교,연세대학교,0000149,연세대학교[본교],2
영남대학교,영남대학교,0000151,영남대학교[본교],1
영남신학대학교,영남신학대학교,0000153,영남신학대학교[본교],1
영산대학교(양산)_제2캠퍼스,영산대학교,0000236,영산대학교[본교],1
영산대학교(양산)_제2캠퍼스,영산대학교,0000237,영산대학교[제2캠퍼스],2
영산대학교(해운대),영산대학교,0000236,영산대학교[본교],1
영산대학교(해운대),영산대학교,0000237,영산대학교[제2캠퍼스],2
영산선학대학교,영산선학대학교,0000155,영산선학대학교[본교],1
예수대학교,예수대학교,0000228,예수대학교[본교],1
예원예술대학교,예원예술대학교,0000218,예원예술대학교[본교],1
예원예술대학교,예원예술대학교,0000219,예원예술대학교[제2캠퍼스],2
예원예술대학교_제2캠퍼스,예원예술대학교,0000218,예원예술대학교[본교],1
예원예술대학교_제2캠퍼스,예원예술대학교,0000219,예원예술대학교[제2캠퍼스],2
용인대학교,용인대학교,0000156,용인대학교[본교],1
우석대학교,우석대학교,0000157,우석대학교[본교],1
우송대학교,우송대학교,0000240,우송대학교[본교],1
울산과학기술원,울산과학기술원,,,0
울산대학교,울산대학교,0000158,울산대학교[본교],1
원광대학교,원광대학교,0000159,원광대학교[본교],1
위덕대학교,위덕대학교,0000160,위덕대학교[본교],1
유원대학교,유원대학교,0000154,유원대학교[본교],1
을지대학교,을지대학교,0000161,을지대학교[본교],1
을지대학교,을지대학교,0000162,을지대학교[제2캠퍼스],2
을지대학교,을지대학교,0002911,을지대학교[제3캠퍼스],3
을지대학교_제2캠퍼스,을지대학교,0000161,을지대학교[본교],1
을지대학교_제2캠퍼스,을지대학교,0000162,을지대학교[제2캠퍼스],2
을지대학교_제2캠퍼스,을지대학교,0002911,을지대학교[제3캠퍼스],3
을지대학교_제3캠퍼스,을지대학교,0000161,을지대학교[본교],1
을지대학교_제3캠퍼스,을지대학교,0000162,을지대학교[제2캠퍼스],2
을지대학교_제3캠퍼스,을지대학교,0002911,을지대학교[제3캠퍼스],3
인제대학교,인제대학교,0000164,인제대학교[본교],1
인천가톨릭대학교,인천가톨릭대학교,0000168,인천가톨릭대학교[본교],1
인천가톨릭대학교,인천가톨릭대학교,0000167,인천가톨릭대학교[제2캠퍼스],2
인천가톨릭대학교_제2캠퍼스,인천가톨릭대학교,0000168,인천가톨릭대학교[본교],1
인천가톨릭대학교_제2캠퍼스,인천가톨릭대학교,0000167,인천가톨릭대학교[제2캠퍼스],2
장로회신학대학교,장로회신학대학교,0000170,장로회신학대학교[본교],1
전남대학교_제2캠퍼스,전남대학교,0000023,전남대학교[본교],1
전남대학교_제2캠퍼스,전남대학교,0000024,전남대학교[제2캠퍼스],2
전주교육대학교,전주교육대학교,0000258,전주교육대학교[본교],1
전주대학교,전주대학교,0000171,전주대학교[본교],1
제주국제대학교,제주국제대학교,0000248,제주국제대학교[본교],1
제주대학교,제주대학교,0000027,제주대학교[본교],1
조선대학교,조선대학교,0000172,조선대학교[본교],1
중부대학교,중부대학교,0000173,중부대학교[본교],1
중앙대학교_제2캠퍼스,중앙대학교,0000175,중앙대학교[본교],1
중앙대학교_제2캠퍼스,중앙대학교,0000174,중앙대학교[제2캠퍼스],2
중앙승가대학교,중앙승가대학교,0000177,중앙승가대학교[본교],1
중원대학교,중원대학교,0000239,중원대학교[본교],1
진주교육대학교,진주교육대학교,0000260,진주교육대학교[본교],1
차의과학대학교,차의과학대학교,0000187,차의과학대학교[본교],1
창신대학교,창신대학교,0000249,창신대학교[본교],1
청운대학교,청운대학교,0000284,청운대학교[본교],1
청주교육대학교,청주교육대학교,0000261,청주교육대학교[본교],1
청주대학교,청주대학교,0000179,청주대학교[본교],1
초당대학교,초당대학교,0000246,초당대학교[본교],1
총신대학교,총신대학교,0000180,총신대학교[본교],1
추계예술대학교,추계예술대학교,0000181,추계예술대학교[본교],1
춘천교육대학교,춘천교육대학교,0000262,춘천교육대학교[본교],1
칼빈대학교,칼빈대학교,0000184,칼빈대학교[본교],1
평택대학교,평택대학교,0000186,평택대학교[본교],1
포항공과대학교,포항공과대학교,0000188,포항공과대학교[본교],1
한경국립대학교,한경국립대학교,0000037,한경국립대학교[본교],1
한국과학기술원,한국과학기술원,,,0
한국교원대학교,한국교원대학교,0000031,한국교원대학교[본교],1
한국기술교육대학교,한국기술교육대학교,0000189,한국기술교육대학교[본교],1
한국방송통신대학교,한국방송통신대학교,,,0
한국성서대학교,한국성서대학교,0000191,한국성서대학교[본교],1
한국에너지공과대학교,한국에너지공과대학교,,,0
한국예술종합학교,한국예술종합학교,,,0
한국전통문화대학교,한국전통문화대학교,,,0
한국체육대학교,한국체육대학교,0000032,한국체육대학교[본교],1
한국침례신학대학교,한국침례신학대학교,0000182,한국침례신학대학교[본교],1
한남대학교,한남대학교,0000195,한남대학교[본교],1
한동대학교,한동대학교,0000196,한동대학교[본교],1
한라대학교,한라대학교,0000197,한라대학교[본교],1
한림대학교,한림대학교,0000198,한림대학교[본교],1
한서대학교,한서대학교,0000199,한서대학교[본교],1
한세대학교,한세대학교,0000201,한세대학교[본교],1
한신대학교,한신대학교,0000202,한신대학교[본교],1
한양대학교(ERICA)_분교,한양대학교,0000204,한양대학교(ERICA)[분교],1
한양대학교(ERICA)_분교,한양대학교,0000203,한양대학교[본교],2
한일장신대학교,한일장신대학교,0000206,한일장신대학교[본교],1
협성대학교,협성대학교,0000207,협성대학교[본교],1
호남대학교,호남대학교,0000208,호남대학교[본교],1
호남신학대학교,호남신학대학교,0000209,호남신학대학교[본교],1
호서대학교,호서대학교,0000211,호서대학교[본교],1
호원대학교,호원대학교,0000282,호원대학교[본교],1
홍익대학교_제2캠퍼스,홍익대학교,0000212,홍익대학교[본교],1
홍익대학교_제2캠퍼스,홍익대학교,0002949,홍익대학교[제2캠퍼스],2
화성의과학대학교,화성의과학대학교,0000233,화성의과학대학교[본교],1
