element_id,element_label,univ_name_std,dept_canonical_id,dept_name_std,dept_name_canonical,major_group,selectivity_pct_2024,selectivity_rank_overall,selectivity_rank_bin_52,x_selectivity_rank_norm_0_1,a_rate_pct,a_rate_5pct_bin_low,a_rate_5pct_bin_mid,a_rate_5pct_bin_label,y_a_rate_5pct_bin_norm_0_1,dept_graduates_n,dept_graduates_n_filled,dept_graduates_norm_0_1,bubble_size,dept_health_employment_rate_pct,dept_startup_freelance_rate_pct,dept_advancement_rate_pct,health_rate_for_z_pct,startup_freelance_rate_for_z_pct,advancement_rate_for_z_pct,z_outcome_score_raw_pct,z_outcome_norm_0_1,university_base_color,dept_shade_bin_5,bubble_color,x_within_mean,y_within_mean,z_within_mean,x_within_z,y_within_z,x_signed_sq_std,y_signed_sq_std,xy_vector_dot_signed_sq,xy_vector_angle_deg,xy_vector_magnitude,vector_quadrant,vector_display_flag,dept_outcome_merge_status,score_comparability_tier,mapping_type,mapping_cardinality,plot_x,plot_y,plot_size,z_highlight_flag,university_label_id,vector_dx_raw,vector_dy_raw,arrow_dx_short,arrow_dy_short,arrow_start_x,arrow_start_y,v17_vector_glyph_flag,v17_label_flag
충남대학교::DEP_002036::지역환경토목,충남대학교 / 지역환경토목,충남대학교,DEP_002036,지역환경토목,지역환경토목,건축토목환경,69.85,1044,46,0.1176470588235294,29.29442011045516,25.0,27.5,25~30%,0.275,28.0,28.0,0.0508474576271186,54.440677966101696,46.42857142857143,3.571428571428571,25.0,46.42857142857143,3.571428571428571,25.0,75.0,0.7307692307692307,#d32283,5,#a6075e,0.2464985994397759,0.3934523809523809,0.6101288119123363,-0.7625132475388747,-1.23877064418038,-0.5814264526722812,-1.5345527088830733,0.8922295379645251,-110.75118975048628,1.6410084509859937,입결↓/A↓,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.12327912202985003,0.2747581758175818,49.20647838614001,False,30,-0.12885154061624648,-0.11845238095238086,-0.024445224160595774,-0.022472335145460723,0.1477243461904458,0.2972305109630425,False,False
충남대학교::DEP_000528::지질환경과,충남대학교 / 지질환경과,충남대학교,DEP_000528,지질환경과,지질환경과,건축토목환경,71.2,993,44,0.1568627450980392,39.32316199057957,35.0,37.5,35~40%,0.375,42.0,42.0,0.0772128060263653,68.15065913370998,45.23809523809524,4.761904761904762,19.047619047619047,45.23809523809524,4.761904761904762,19.047619047619047,69.04761904761905,0.6666666666666667,#d32283,4,#cd197b,0.2464985994397759,0.3934523809523809,0.6101288119123363,-0.530443998287913,-0.192974321455235,-0.2813708353196674,-0.0372390887411083,0.0104779935056288,-172.4607887818907,0.2838244117385881,입결↓/A↓,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.16229738856238565,0.3797842784278428,57.84886742404653,False,30,-0.08963585434173668,-0.018452380952380887,-0.025876512608249393,-0.005326922712713822,0.18817390117063504,0.38511120114055664,False,False
충남대학교::DEP_001756::천문우주과,충남대학교 / 천문우주과,충남대학교,DEP_001756,천문우주과,천문우주과,기타,75.05,847,38,0.2745098039215686,33.27158636695749,30.0,32.5,30~35%,0.325,21.0,21.0,0.0376647834274952,47.58568738229755,28.57142857142857,4.761904761904762,42.85714285714285,28.57142857142857,4.761904761904762,42.85714285714285,76.19047619047618,0.7435897435897434,#d32283,2,#d680af,0.2464985994397759,0.3934523809523809,0.6101288119123363,0.1657637494649728,-0.7158724828178075,0.0274776206366862,-0.512473411655732,-0.0140815499918645,-86.93087372249836,0.5132095257201673,입결↑/A↓,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.28106175911708814,0.3265919591959196,44.02223803567697,True,30,0.0280112044817927,-0.06845238095238088,0.010439951703343655,-0.025512631975046045,0.2706218074137445,0.35210459117096565,False,False
충남대학교::DEP_000034::철,충남대학교 / 철,충남대학교,DEP_000034,철,철,언어인문,72.48,950,42,0.196078431372549,42.48156543195708,40.0,42.5,40~45%,0.425,21.0,21.0,0.0376647834274952,47.58568738229755,47.61904761904761,4.761904761904762,4.761904761904762,47.61904761904761,4.761904761904762,4.761904761904762,57.14285714285713,0.5384615384615383,#d32283,3,#d84696,0.2464985994397759,0.3934523809523809,0.6101288119123363,-0.2983747490369512,0.3299238399073375,-0.0890274908628636,0.1088497401392024,-0.0096906192456679,129.2795088862139,0.140620624581564,입결↓/A↑,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.20233075660507224,0.42903420342034204,44.02223803567697,False,30,-0.050420168067226906,0.0315476190476191,-0.021789384458074042,0.01363349680328107,0.2241201410631463,0.41540070661706097,False,False
충남대학교::DEP_000047::체육교육과,충남대학교 / 체육교육과,충남대학교,DEP_000047,체육교육과,체육교육과,교육,70.75,1016,45,0.1372549019607842,62.15723117653183,60.0,62.5,60~65%,0.625,18.0,18.0,0.032015065913371,44.64783427495292,44.44444444444444,11.11111111111111,5.555555555555555,44.44444444444444,11.11111111111111,5.555555555555555,61.11111111111112,0.5811965811965812,#d32283,4,#cd197b,0.2464985994397759,0.3934523809523809,0.6101288119123363,-0.6464786229133942,2.421516485357628,-0.4179346098839985,5.863742088858759,-2.450660762367568,94.07682728331464,5.878617237309516,입결↓/A↑,False,exact_univ_dept,Tier B,exact_1to1,one_to_one,0.1377722536959577,0.626060306030603,41.52304471919395,False,30,-0.10924369747899171,0.2315476190476191,-0.02320912466970452,0.04919292994896022,0.1609813783656622,0.5768673760816428,False,False
충남대학교::DEP_001162::컴퓨터융합,충남대학교 / 컴퓨터융합,충남대학교,DEP_001162,컴퓨터융합,컴퓨터융합,컴퓨터AI,77.1,785,35,0.3333333333333333,39.46937006505647,35.0,37.5,35~40%,0.375,34.0,34.0,0.0621468926553672,60.31638418079096,50.0,0.0,14.705882352941178,50.0,0.0,14.705882352941178,64.70588235294117,0.6199095022624435,#d32283,1,#dcb2c9,0.2464985994397759,0.3934523809523809,0.6101288119123363,0.5138676233414158,-0.192974321455235,0.2640599343185552,-0.0372390887411083,-0.0098333513270599,-8.027209264732694,0.2666728307169439,입결↑/A↓,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.3306807680768077,0.3721047104710471,53.13330952576479,False,30,0.08683473389355742,-0.018452380952380887,0.025758213221271926,-0.0054736203095202655,0.30492255485553577,0.37757833078056735,False,False
충남대학교::DEP_000049::토목공,충남대학교 / 토목공,충남대학교,DEP_000049,토목공,토목공,건축토목환경,75.75,832,37,0.2941176470588235,35.85193312368037,35.0,37.5,35~40%,0.375,45.0,45.0,0.0828625235404896,71.08851224105462,60.0,0.0,8.88888888888889,60.0,0.0,8.88888888888889,68.88888888888889,0.6649572649572649,#d32283,2,#d680af,0.2464985994397759,0.3934523809523809,0.6101288119123363,0.2817983740904534,-0.192974321455235,0.0794103236400231,-0.0372390887411083,-0.0029571680889909,-25.124002773541804,0.0877083190517373,입결↑/A↓,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.2874312784219598,0.3767803780378038,59.496654654721,False,30,0.04761904761904759,-0.018452380952380887,0.02371995099721714,-0.009191481011421613,0.2637113274247427,0.3859718590492254,False,False
충남대학교::DEP_000222::한문,충남대학교 / 한문,충남대학교,DEP_000222,한문,한문,기타,71.95,962,43,0.1764705882352941,46.13815248009088,45.0,47.5,45~50%,0.475,16.0,16.0,0.0282485875706214,42.68926553672316,31.25,0.0,6.25,31.25,0.0,6.25,37.5,0.3269230769230769,#d32283,4,#cd197b,0.2464985994397759,0.3934523809523809,0.6101288119123363,-0.4144093736624318,0.8528220012699099,-0.171735128979289,0.7273053658500143,-0.1249038808115811,103.28563138962488,0.7473058608894728,입결↓/A↑,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.1778686280392745,0.47597989798979895,39.73207162492856,False,30,-0.0700280112044818,0.08154761904761909,-0.018721520523098844,0.021801210649148618,0.19659014856237333,0.4541786873406503,False,False
충남대학교::DEP_000185::항공우주공,충남대학교 / 항공우주공,충남대학교,DEP_000185,항공우주공,항공우주공,공학,76.78,797,35,0.3333333333333333,32.99354017813448,30.0,32.5,30~35%,0.325,37.0,37.0,0.0677966101694915,63.25423728813559,18.91891891891892,0.0,56.75675675675676,18.91891891891892,0.0,56.75675675675676,75.67567567567568,0.738045738045738,#d32283,1,#dcb2c9,0.2464985994397759,0.3934523809523809,0.6101288119123363,0.5138676233414158,-0.7158724828178075,0.2640599343185552,-0.512473411655732,-0.1353236954218185,-62.73950489376375,0.5765038131412359,입결↑/A↓,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.337975497549755,0.32543504350435043,54.962340623671864,True,30,0.08683473389355742,-0.06845238095238088,0.021896933491675406,-0.01726149394202636,0.31607856405807955,0.3426965374463768,False,False
충남대학교::DEP_001733::해양환경과,충남대학교 / 해양환경과,충남대학교,DEP_001733,해양환경과,해양환경과,건축토목환경,68.0,1099,49,0.0588235294117647,43.46031381302521,40.0,42.5,40~45%,0.425,24.0,24.0,0.0433145009416195,50.52354048964219,37.5,0.0,16.666666666666664,37.5,0.0,16.666666666666664,54.16666666666666,0.5064102564102563,#d32283,5,#a6075e,0.2464985994397759,0.3934523809523809,0.6101288119123363,-1.1106171214153175,0.3299238399073375,-1.2334703903808462,0.1088497401392024,-0.1342629314623557,174.95689822919374,1.2382638934712782,입결↓/A↑,False,exact_univ_dept,Tier B,alias_1to1,one_to_one,0.06017676473529705,0.4237116711671167,46.34002457971734,False,30,-0.1876750700280112,0.0315476190476191,-0.030759763541149492,0.005170624431077564,0.09093652827644655,0.41854104673603915,False,False
