topic_id,topic_group,topic_name,classification_version,dimension_value,year,measure_type,value
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,4년제,2016,mean_income_or_hours,222.2
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,교육대,2016,mean_income_or_hours,229.8
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전체,2017,mean_income_or_hours,227.2
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전문대,2017,mean_income_or_hours,209.8
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,4년제,2017,mean_income_or_hours,231.7
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,교육대,2017,mean_income_or_hours,233.4
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전체,2018,mean_income_or_hours,235.7
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전문대,2018,mean_income_or_hours,220.1
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,4년제,2018,mean_income_or_hours,239.9
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,교육대,2018,mean_income_or_hours,238.3
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전체,2019,mean_income_or_hours,242.6
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,전문대,2019,mean_income_or_hours,214.9
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,4년제,2019,mean_income_or_hours,250.4
GOMS_023,근로소득,학교유형별 월평균 근로소득,all,교육대,2019,mean_income_or_hours,248.3
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,전체,2007,mean_income_or_hours,195.8
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,인문,2007,mean_income_or_hours,180.9
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,사회,2007,mean_income_or_hours,205.8
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,교육,2007,mean_income_or_hours,173.7
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,공학,2007,mean_income_or_hours,214.4
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,자연,2007,mean_income_or_hours,190.1
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,의약,2007,mean_income_or_hours,210.1
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,예체능,2007,mean_income_or_hours,158.6
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,전체,2008,mean_income_or_hours,188.9
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,인문,2008,mean_income_or_hours,183.7
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,사회,2008,mean_income_or_hours,197.2
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,교육,2008,mean_income_or_hours,177.4
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,공학,2008,mean_income_or_hours,204.8
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,자연,2008,mean_income_or_hours,181.3
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,의약,2008,mean_income_or_hours,202.0
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,예체능,2008,mean_income_or_hours,147.7
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,전체,2009,mean_income_or_hours,190.0
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,인문,2009,mean_income_or_hours,173.0
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,사회,2009,mean_income_or_hours,196.3
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,교육,2009,mean_income_or_hours,175.7
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,공학,2009,mean_income_or_hours,207.9
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,자연,2009,mean_income_or_hours,183.0
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,의약,2009,mean_income_or_hours,202.0
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,예체능,2009,mean_income_or_hours,158.3
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,전체,2010,mean_income_or_hours,198.1
GOMS_024,근로소득,전공계열별 월평균 근로소득,all,인문,2010,mean_income_or_hours,184.2
