outcome_row_id,analysis_year,school_uid,campus_uid,dept_uid,major_group_7,school_type,region_sido,split,sample_P1_STRUCTURE_READY,sample_P1_SELECTIVITY_READY,sample_P2_STRUCTURE_READY,sample_P2_SELECTIVITY_READY,sample_P3_STRUCTURE_READY,sample_P3_SELECTIVITY_READY,sample_P4_E_STRUCTURE_READY,sample_P4_P_STRUCTURE_READY,sample_P4_JOINT_STRUCTURE_READY,sample_P4_E_SELECTIVITY_READY,sample_P4_P_SELECTIVITY_READY,sample_P4_JOINT_SELECTIVITY_READY
OC2024_00064,2024,SCH_e46f0f22fdd7,CAM_6f177c7e5a77,DEP_cad8a944483f,MED,대학교,인천,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00065,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_17ab879362b1,HUM,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00066,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_14c978d816fa,EDU,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00068,2024,SCH_e46f0f22fdd7,CAM_6f177c7e5a77,DEP_e4f99a9f0588,MED,대학교,인천,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00069,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_c6dbd4a118bc,NAT,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00070,2024,SCH_e46f0f22fdd7,CAM_6f177c7e5a77,DEP_6d91a30b8427,MED,대학교,인천,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00072,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_4d58dcce25ab,SOC,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00073,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_4562875b5e16,SOC,대학교,경기,train,False,False,True,True,True,True,False,False,False,False,False,False
OC2024_00074,2024,SCH_e46f0f22fdd7,CAM_6f177c7e5a77,DEP_69f454db5e9f,MED,대학교,인천,train,False,False,True,True,True,True,False,False,False,False,False,False
OC2024_00076,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_ffffaa5374ee,ENG,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00078,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_a530689f622d,ENG,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00079,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_532ed3e2c2c3,MED,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00081,2024,SCH_e46f0f22fdd7,CAM_6f177c7e5a77,DEP_e64e7e52f119,MED,대학교,인천,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00083,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_7bab4dfd7f94,ENG,대학교,경기,train,False,False,True,True,True,True,False,False,False,False,False,False
OC2024_00084,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_5c1c76e64004,ENG,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00086,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_df1c860557d3,HUM,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00087,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_6d1fbbe10fc4,HUM,대학교,경기,train,False,False,True,False,True,False,False,True,False,False,False,False
OC2024_00088,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_9e88a9cf393f,MED,대학교,경기,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00089,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_d7de58ef5d77,MED,대학교,경기,train,False,False,True,True,True,True,False,False,False,False,False,False
OC2024_00090,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_1a4687f2d5da,SOC,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00091,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_ef36cbda30f2,NAT,대학교,경기,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00094,2024,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_b4a1b836956b,SOC,대학교,경기,train,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00096,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_4b86e97ec1c5,MED,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00097,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_4e4b6e9a4e63,ENG,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00098,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_5d60dd3022b0,ENG,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00099,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_6f9ed485eeb2,ART,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00100,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_507c029d6345,SOC,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00101,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_31e4fff850df,SOC,대학교,강원,test,False,False,True,True,True,True,False,False,False,False,False,False
OC2024_00102,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_2f351c8f2b93,SOC,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00103,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_c7235622ae16,SOC,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00104,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_6d2169717f50,SOC,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00105,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_4a801904a583,SOC,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00106,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_726ea9348db5,SOC,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00108,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_611f4b191d2b,SOC,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00109,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_e23c9a58b09a,EDU,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00111,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_b51aace900ee,SOC,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00112,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_367dcfd46769,ENG,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00113,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_8e34cd976082,ENG,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00114,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_834718619cc3,NAT,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00115,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_1c3b4761091c,NAT,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00116,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_704d45bec5dd,NAT,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00118,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_65b750b54382,SOC,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00120,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_d02873b5afbe,SOC,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00121,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_c917f1817d0f,SOC,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00123,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_ce77e4731a46,ENG,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00124,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_d4b2c2380fc8,EDU,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00125,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_412a24881cd1,HUM,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00126,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_012e78f5d996,ENG,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00127,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_2e0efd0dbda2,ART,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00128,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_a6f3675385db,ART,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00129,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_8c293cb0583a,ART,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00130,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_a0adf50241b5,ART,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00131,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_d15bca826ba5,ART,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00132,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_91b81713f2a0,ART,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00135,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_5aa83c7eba8e,MED,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00137,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_d54b6d1f9e33,EDU,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00139,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_de29197dc73d,EDU,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00142,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_c88700e3febe,MED,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00143,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_91383b6a2b06,SOC,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00144,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_3b9a34d2a0a4,SOC,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00145,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_0bc01c0ef103,MED,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00146,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_05a3671183c4,NAT,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00147,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_94c231618578,MED,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00148,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_42f1563157f7,ENG,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00149,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_7be1756bdf25,ENG,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00153,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_e7154cfc51e7,SOC,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00154,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_935dc745854f,EDU,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00156,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_cd7da00d4d6c,EDU,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00158,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_a0261b5bcf44,MED,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00159,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_2fcfa4f6979c,EDU,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00161,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_acc61f5e0b7c,ENG,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00163,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_c30f4e959b64,SOC,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00167,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_05cdd13626ab,ENG,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00168,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_871ffdd7ae6f,ENG,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00169,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_f1f2be1a7463,SOC,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00171,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_4b2b66ecdf46,SOC,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00172,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_a28bd87135ef,SOC,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00173,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_c1e2dc56a57a,SOC,대학교,강원,test,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00174,2024,SCH_f0a7062f14b7,CAM_cfab00546afd,DEP_25a71fd66db2,SOC,대학교,강원,test,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00175,2024,SCH_11568cc95743,CAM_81b07604b005,DEP_26974ed8e060,MED,대학교,충북,train,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00177,2024,SCH_11568cc95743,CAM_81b07604b005,DEP_9633153e5988,SOC,대학교,충북,train,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00182,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_75057d4f1494,SOC,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00183,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_563bf1bb81cd,SOC,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00185,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_ae155ae91b53,HUM,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00186,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_8bf0a275b9aa,HUM,대학교,경기,val,True,True,True,True,True,True,True,True,True,True,True,True
OC2024_00187,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_3fabc9c3ce09,SOC,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00188,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_88bc831f9949,SOC,대학교,경기,val,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00189,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_5000f5859bd4,ENG,대학교,경기,val,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00190,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_4b98ceb74990,NAT,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00192,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_6bfcf0213e26,ENG,대학교,경기,val,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00193,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_56d6e97aa8e5,NAT,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00194,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_efca0caeeaa1,SOC,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00195,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_0c044e62a632,SOC,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00196,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_032ecf3b0e3a,SOC,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00198,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_af7c32c008a7,SOC,대학교,경기,val,False,False,True,False,True,False,False,False,False,False,False,False
OC2024_00199,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_8275d79fd5a3,NAT,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00200,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_19f620536245,NAT,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00202,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_030ba6b295d6,SOC,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00203,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_a60913167aed,MED,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00204,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_dc71321fed89,ENG,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00205,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_90cacf28dd99,HUM,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00206,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_3b6c143f13bc,ART,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00207,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_1d86ce3c68fe,NAT,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
OC2024_00208,2024,SCH_f11056a7ff4e,CAM_05c4d94c58cb,DEP_0ddef1aeb893,NAT,대학교,경기,val,True,False,True,False,True,False,True,True,True,False,False,False
