outcome_row_id,school_name_raw,campus_name_raw_x,dept_name_raw,major_group_7,graduates_n,enrolled_students_n,a_rate_pct,cd_rate_pct,f_rate_pct,employment_rate_pct,health_employment_rate_pct,progression_rate_pct,graduate_school_progression_rate_pct,human_outlier_decision,denominator_policy,winsorize_or_weight_policy,reviewer_note
OC2024_00268,강원대학교,,AI융합학과,ENG,0,146,31.413013,29.203197,0.0,,,,,,,,
OC2024_00275,강원대학교,,경영·회계학부,SOC,0,271,0.0,0.0,100.0,,,,,,,,
OC2024_00289,강원대학교,,기계의용·메카트로닉스·재료공학부,ENG,0,14,0.0,100.0,0.0,,,,,,,,
OC2024_00291,강원대학교,,기계의용공학과,ENG,2,10,68.57143,0.0,0.0,0.0,0.0,0.0,0.0,,,,
OC2024_00293,강원대학교,,나노응용공학과,ENG,5,9,12.5,50.0,0.0,75.0,75.0,20.0,20.0,,,,
OC2024_00294,강원대학교,,농생명산업학전공,NAT,3,17,27.845528,16.811846,3.5714285,33.333332,33.333332,0.0,0.0,,,,
OC2024_00297,강원대학교,,독어독문학과,HUM,5,21,80.0,0.0,0.0,40.0,40.0,0.0,0.0,,,,
OC2024_00300,강원대학교,,동물생명공학전공,NAT,10,7,32.727272,15.0,0.0,44.444443,33.333332,10.0,10.0,,,,
OC2024_00313,강원대학교,,바이오산업공학부,NAT,0,74,0.0,60.0,20.0,,,,,,,,
OC2024_00315,강원대학교,,바이오시스템공학전공,NAT,19,12,0.0,20.0,0.0,53.333332,53.333332,21.052631,21.052631,,,,
OC2024_00322,강원대학교,,불어불문학과,HUM,10,11,100.0,0.0,0.0,80.0,60.0,0.0,0.0,,,,
OC2024_00324,강원대학교,,사학과,HUM,8,19,0.0,36.363636,36.363636,42.857143,42.857143,12.5,12.5,,,,
OC2024_00325,강원대학교,,사료생산과학전공,NAT,5,9,8.333333,66.666664,4.1666665,60.0,60.0,0.0,0.0,,,,
OC2024_00329,강원대학교,,산림바이오소재공학과,ENG,0,6,0.0,0.0,0.0,,,,,,,,
OC2024_00330,강원대학교,,산림바이오소재공학전공,ENG,4,13,0.0,100.0,0.0,100.0,100.0,25.0,25.0,,,,
OC2024_00336,강원대학교,,생명건강공학전공,ENG,8,10,8.333333,45.833332,0.0,50.0,50.0,0.0,0.0,,,,
OC2024_00349,강원대학교,,스마트팜농산업학과,NAT,0,34,31.37255,27.45628,0.0,,,,,,,,
OC2024_00351,강원대학교,,스포츠지도전공,ART,0,6,0.0,100.0,0.0,,,,,,,,
OC2024_00352,강원대학교,,시설농업학전공,NAT,3,16,26.72549,20.784313,1.9803921,66.666664,33.333332,0.0,0.0,,,,
OC2024_00353,강원대학교,,시스템경영공학과,ENG,6,7,10.0,42.5,0.0,66.666664,66.666664,0.0,0.0,,,,
OC2024_00376,강원대학교,,일본학과,HUM,13,19,50.0,5.0,8.333333,46.153847,38.46154,0.0,0.0,,,,
OC2024_00379,강원대학교,,자원생물환경학과,NAT,0,1,0.0,0.0,100.0,,,,,,,,
OC2024_00387,강원대학교,,정보통계학과,NAT,10,15,50.0,25.0,0.0,55.555557,44.444443,10.0,10.0,,,,
OC2024_00402,강원대학교,,축산과학전공,NAT,4,8,83.333336,0.0,0.0,50.0,50.0,0.0,0.0,,,,
OC2024_00403,강원대학교,,축산식품과학전공,NAT,9,8,50.0,50.0,0.0,66.666664,66.666664,0.0,0.0,,,,
OC2024_00411,강원대학교,,행정.심리학부,SOC,0,85,16.666666,0.0,16.666666,,,,,,,,
OC2024_00418,강원대학교,,환경학과,NAT,2,4,10.0,60.0,0.0,50.0,50.0,0.0,0.0,,,,
OC2024_00424,강원대학교_제2캠퍼스,제2캠퍼스,건설시스템공학과,ENG,7,11,23.295454,36.93182,0.0,100.0,100.0,42.857143,42.857143,,,,
OC2024_00429,강원대학교_제2캠퍼스,제2캠퍼스,건축디자인학과,ART,4,4,62.5,12.5,0.0,50.0,50.0,0.0,0.0,,,,
OC2024_00436,강원대학교_제2캠퍼스,제2캠퍼스,기계공학전공,ENG,5,144,46.55074,20.783205,1.9905453,80.0,80.0,0.0,0.0,,,,
OC2024_00438,강원대학교_제2캠퍼스,제2캠퍼스,기계설계공학전공,ENG,3,235,28.335999,32.427994,8.103099,100.0,100.0,0.0,0.0,,,,
OC2024_00443,강원대학교_제2캠퍼스,제2캠퍼스,바이오기능성소재학과,NAT,0,32,44.317383,10.432794,0.0,,,,,,,,
OC2024_00446,강원대학교_제2캠퍼스,제2캠퍼스,산업경영공학과,ENG,4,32,0.0,100.0,0.0,66.666664,66.666664,25.0,0.0,,,,
OC2024_00447,강원대학교_제2캠퍼스,제2캠퍼스,산업경영공학전공,ENG,4,36,38.5,26.666666,1.3888888,75.0,75.0,0.0,0.0,,,,
OC2024_00463,강원대학교_제2캠퍼스,제2캠퍼스,영어과,HUM,3,29,58.333332,18.055555,4.1666665,33.333332,33.333332,0.0,0.0,,,,
OC2024_00470,강원대학교_제2캠퍼스,제2캠퍼스,전기공학전공,ENG,0,8,0.0,33.333332,0.0,,,,,,,,
OC2024_00471,강원대학교_제2캠퍼스,제2캠퍼스,전기제어계측공학부,ENG,0,106,100.0,0.0,0.0,,,,,,,,
OC2024_00481,강원대학교_제2캠퍼스,제2캠퍼스,컴퓨터・미디어・산업공학부 미디어공학전공,ENG,9,13,33.333332,17.777779,0.0,33.333332,11.111111,0.0,0.0,,,,
OC2024_00482,강원대학교_제2캠퍼스,제2캠퍼스,컴퓨터・미디어・산업공학부 산업경영공학전공,ENG,4,15,27.777779,30.555555,0.0,25.0,25.0,0.0,0.0,,,,
OC2024_00483,강원대학교_제2캠퍼스,제2캠퍼스,컴퓨터・미디어・산업공학부 컴퓨터공학전공,ENG,10,3,70.0,10.0,0.0,50.0,50.0,0.0,0.0,,,,
OC2024_00484,강원대학교_제2캠퍼스,제2캠퍼스,휴먼스포츠학부,ART,0,45,66.666664,0.0,11.111111,,,,,,,,
OC2024_00494,건국대학교,,국제통상학과,SOC,0,6,73.333336,0.0,0.0,,,,,,,,
OC2024_00546,건국대학교,,항공우주정보시스템공학과,ENG,2,11,20.833334,62.5,0.0,50.0,50.0,0.0,0.0,,,,
OC2024_00555,건국대학교(글로컬)_분교,분교|글로컬,경영경제학부,SOC,0,46,37.5,12.5,0.0,,,,,,,,
OC2024_00560,건국대학교(글로컬)_분교,분교|글로컬,경제학전공 트랙,SOC,6,14,16.666666,33.333332,0.0,40.0,40.0,16.666666,16.666666,,,,
OC2024_00564,건국대학교(글로컬)_분교,분교|글로컬,금속디자인전공,ART,4,4,32.5,32.5,0.0,75.0,50.0,0.0,0.0,,,,
OC2024_00566,건국대학교(글로컬)_분교,분교|글로컬,나노전자기계공학과,ENG,3,16,50.0,12.5,0.0,33.333332,33.333332,0.0,0.0,,,,
OC2024_00567,건국대학교(글로컬)_분교,분교|글로컬,나노전자기계공학전공,ENG,12,7,25.0,75.0,0.0,66.666664,58.333332,0.0,0.0,,,,
OC2024_00570,건국대학교(글로컬)_분교,분교|글로컬,다이나믹미디어전공,ART,4,6,23.214285,58.92857,14.285714,50.0,25.0,0.0,0.0,,,,
OC2024_00571,건국대학교(글로컬)_분교,분교|글로컬,동화∙한국어문화전공,HUM,18,20,61.682617,12.639553,1.5151515,53.333332,33.333332,0.0,0.0,,,,
OC2024_00595,건국대학교(글로컬)_분교,분교|글로컬,식품생명과학부,NAT,0,7,33.333332,0.0,0.0,,,,,,,,
OC2024_00597,건국대학교(글로컬)_분교,분교|글로컬,식품영양학전공 트랙,NAT,8,4,0.0,0.0,100.0,75.0,62.5,0.0,0.0,,,,
OC2024_00604,건국대학교(글로컬)_분교,분교|글로컬,영미어문학과,HUM,3,29,0.0,71.42857,0.0,33.333332,33.333332,0.0,0.0,,,,
OC2024_00605,건국대학교(글로컬)_분교,분교|글로컬,영상디자인전공,ART,7,20,25.324675,6.818182,18.506493,100.0,85.71429,0.0,0.0,,,,
OC2024_00609,건국대학교(글로컬)_분교,분교|글로컬,응용생화학전공 트랙,NAT,3,4,100.0,0.0,0.0,66.666664,33.333332,0.0,0.0,,,,
OC2024_00611,건국대학교(글로컬)_분교,분교|글로컬,응용화학전공 트랙,NAT,2,3,0.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,
OC2024_00613,건국대학교(글로컬)_분교,분교|글로컬,의생명화학과,NAT,0,18,0.0,16.666666,83.333336,,,,,,,,
OC2024_00614,건국대학교(글로컬)_분교,분교|글로컬,의생명화학전공,NAT,13,10,31.23077,31.692308,0.0,30.0,30.0,23.076923,23.076923,,,,
OC2024_00615,건국대학교(글로컬)_분교,분교|글로컬,의예과,MED,0,90,0.0,0.0,100.0,,,,,,,,
OC2024_00616,건국대학교(글로컬)_분교,분교|글로컬,의용전자공학전공 트랙,ENG,6,6,75.0,0.0,0.0,66.666664,66.666664,0.0,0.0,,,,
OC2024_00617,건국대학교(글로컬)_분교,분교|글로컬,의학공학부,MED,0,22,100.0,0.0,0.0,,,,,,,,
OC2024_00620,건국대학교(글로컬)_분교,분교|글로컬,컴퓨터공학과,ENG,5,469,31.948633,29.945202,3.2935088,60.0,60.0,0.0,0.0,,,,
OC2024_00621,건국대학교(글로컬)_분교,분교|글로컬,컴퓨터공학전공,ENG,22,16,21.875,40.625,0.0,42.857143,42.857143,4.5454545,4.5454545,,,,
OC2024_00625,건국대학교(글로컬)_분교,분교|글로컬,회화전공,ART,0,3,14.646464,4.5454545,37.878788,100.0,100.0,0.0,0.0,,,,
OC2024_00636,건양대학교,,기계공학과,ENG,0,18,23.61111,11.111111,0.0,,,,,,,,
OC2024_00651,건양대학교,,아동보육학과,EDU,24,19,26.545454,4.909091,5.5454545,91.666664,91.666664,0.0,0.0,,,,
OC2024_00662,건양대학교,,호텔관광학과,SOC,0,40,32.000607,8.349802,7.924141,83.333336,66.666664,0.0,0.0,,,,
OC2024_00674,건양대학교_제2캠퍼스,제2캠퍼스,의료인공지능학과,ENG,0,82,33.261784,6.422559,0.0,,,,,,,,
OC2024_00707,경기대학교,,산업시스템공학전공,ENG,0,83,46.430496,7.0851293,0.0,,,,,,,,
OC2024_00717,경기대학교,,융합보안학과,ENG,5,6,0.0,0.0,0.0,100.0,100.0,0.0,0.0,,,,
OC2024_00750,경기대학교_제2캠퍼스,제2캠퍼스,호텔외식경영학부,SOC,0,184,16.666666,33.333332,0.0,,,,,,,,
OC2024_00759,경남과학기술대학교(폐교),,농학 ・한약자원학부(한약자원전공),NAT,14,13,11.111111,52.22222,0.0,,,,,,,,
OC2024_00765,경남과학기술대학교(폐교),,스마트농산업학과,NAT,0,49,23.663057,36.975067,0.0,,,,,,,,
OC2024_00775,경남과학기술대학교(폐교),,유통학과,SOC,33,18,0.0,76.190475,7.142857,,,,,,,,
OC2024_00779,경남과학기술대학교(폐교),,전자공학전공,ENG,0,46,57.66129,11.453533,0.0,,,,,,,,
OC2024_00790,경남과학기술대학교(폐교),,휴먼헬스케어학과,ART,0,30,23.302107,36.214603,0.0,,,,,,,,
OC2024_00793,경남대학교,,건축학부,ENG,0,67,0.0,12.5,75.0,,,,,,,,
OC2024_00802,경남대학교,,관광학부,SOC,0,31,0.0,0.0,100.0,,,,,,,,
OC2024_00813,경남대학교,,로컬크리에이터학과,SOC,0,20,94.73684,0.0,0.0,,,,,,,,
OC2024_00818,경남대학교,,미래자동차학과,ENG,0,10,61.965813,7.6923075,0.0,,,,,,,,
OC2024_00822,경남대학교,,보건의료정보학과,MED,0,50,39.62706,22.012209,0.0,,,,,,,,
OC2024_00835,경남대학교,,액티브시니어학과,ART,0,20,65.0,10.0,0.0,,,,,,,,
OC2024_00846,경남대학교,,자유전공학부,HUM,0,39,0.0,33.333332,33.333332,,,,,,,,
OC2024_00856,경남대학교,,컴퓨터공학부,ENG,0,90,38.46154,0.0,38.46154,,,,,,,,
OC2024_00869,경동대학교,,국제경영학과,SOC,73,12,37.5,31.25,0.0,,,0.0,0.0,,,,
OC2024_00871,경동대학교,,국제호텔경영학과,SOC,58,9,39.130436,17.391304,13.043478,,,0.0,0.0,,,,
OC2024_00874,경동대학교,,스마트컴퓨팅학전공,ENG,0,205,28.587044,30.02457,0.0,,,,,,,,
OC2024_00875,경동대학교,,한국학과,HUM,8,11,13.333333,19.285715,8.809524,,,0.0,0.0,,,,
OC2024_00876,경동대학교,,한국학전공,HUM,0,14,50.333332,4.8333335,0.0,,,,,,,,
OC2024_00878,경동대학교,,해양심층수학과,NAT,6,7,95.44514,0.0,0.0,100.0,100.0,0.0,0.0,,,,
OC2024_00880,경동대학교,,호텔경영학과,SOC,6,9,12.5,25.0,0.0,66.666664,33.333332,0.0,0.0,,,,
OC2024_00887,경동대학교_제3캠퍼스,제3캠퍼스,웰니스경영학과,SOC,1,7,44.642857,26.785715,0.0,0.0,0.0,0.0,0.0,,,,
OC2024_00899,경동대학교_제4캠퍼스,제4캠퍼스,군사학과,SOC,0,26,58.22883,10.248869,0.0,,,,,,,,
OC2024_00901,경동대학교_제4캠퍼스,제4캠퍼스,사회복지학과,SOC,0,23,61.076603,12.47412,0.0,,,,,,,,
OC2024_00904,경동대학교_제4캠퍼스,제4캠퍼스,안보경영학과,SOC,6,15,90.38461,0.0,0.0,100.0,100.0,0.0,0.0,,,,
OC2024_00909,경동대학교_제4캠퍼스,제4캠퍼스,중등특수교육과,EDU,2,4,80.0,0.0,0.0,100.0,100.0,0.0,0.0,,,,
OC2024_00923,경북대학교,,건축・토목공학부 건축공학전공,ENG,0,1,0.0,66.666664,33.333332,,,,,,,,
OC2024_00925,경북대학교,,경영학부 경영학전공,SOC,18,5,17.410715,25.892857,0.0,50.0,38.88889,0.0,0.0,,,,
OC2024_00926,경북대학교,,경영학부 회계학전공,SOC,6,8,25.0,58.333332,0.0,66.666664,50.0,0.0,0.0,,,,
OC2024_00930,경북대학교,,곤충생명과학과,NAT,1,78,33.951996,23.935091,1.443543,100.0,100.0,0.0,0.0,,,,
OC2024_00945,경북대학교,,농업토목공학과,ENG,2,28,33.333332,33.333332,0.0,100.0,100.0,0.0,0.0,,,,
OC2024_00959,경북대학교,,"사회복지학부(사회복지미시전공, 사회복지거시전공)",SOC,0,226,39.06719,16.559021,1.0017334,100.0,100.0,0.0,0.0,,,,
OC2024_00966,경북대학교,,산림생태보호학과,NAT,0,58,40.372272,17.490372,0.0,,,,,,,,
OC2024_00998,경북대학교,,아동학부,SOC,0,48,0.0,33.333332,16.666666,,,,,,,,
OC2024_01018,경북대학교,,융합학부 로봇및스마트시스템공학전공,ENG,2,40,18.181818,15.656566,0.0,,,100.0,100.0,,,,
OC2024_01019,경북대학교,,융합학부 수소 및 신재생에너지전공,ENG,1,11,0.0,66.666664,0.0,,,100.0,100.0,,,,
OC2024_01031,경북대학교,,의예과,MED,0,237,20.833334,45.833332,0.0,,,,,,,,
OC2024_01045,경북대학교,,"지구시스템과학부(지질학전공, 천문대기과학전공, 해양학전공)",NAT,0,103,0.0,50.0,0.0,,,,,,,,
OC2024_01074,경북대학교,,환경안전공학과,NAT,1,68,30.958385,23.423708,3.587642,100.0,0.0,0.0,0.0,,,,
OC2024_01076,경상국립대학교,,P&P화학공학전공(공학),ENG,4,10,81.941246,1.7857143,0.0,50.0,50.0,0.0,0.0,,,,
OC2024_01080,경상국립대학교,,건축공학과,ENG,0,90,38.596493,16.194332,0.0,,,,,,,,
OC2024_01090,경상국립대학교,,기계공학전공,ENG,1,479,46.77871,20.63646,1.44204,100.0,0.0,0.0,0.0,,,,
OC2024_01094,경상국립대학교,,농학과,NAT,3,165,33.95423,28.720375,0.88161206,66.666664,66.666664,0.0,0.0,,,,
OC2024_01095,경상국립대학교,,도시공학과,ENG,3,246,35.248447,23.76122,1.2347565,100.0,100.0,0.0,0.0,,,,
OC2024_01109,경상국립대학교,,민속무용학과,ART,9,18,77.155174,5.948276,0.0,44.444443,0.0,0.0,0.0,,,,
OC2024_01119,경상국립대학교,,산림환경자원학과,NAT,0,76,45.847363,23.989899,0.0,,,,,,,,
OC2024_01124,경상국립대학교,,생물산업기계공학과,NAT,1,178,32.71907,28.519787,1.081757,100.0,100.0,0.0,0.0,,,,
OC2024_01135,경상국립대학교,,스마트자동화공학과,ENG,0,36,27.519068,35.76877,0.0,,,,,,,,
OC2024_01152,경상국립대학교,,원예학과,NAT,0,65,40.727123,25.285948,0.0,,,,,,,,
OC2024_01168,경상국립대학교,,정보통신공학과,ENG,12,10,100.0,0.0,0.0,25.0,25.0,25.0,25.0,,,,
OC2024_01186,경상국립대학교,,텍스타일디자인학과,ART,0,14,37.923904,26.344086,0.0,,,,,,,,
OC2024_01187,경상국립대학교,,토목공학과,ENG,1,302,41.067852,26.771574,1.2417904,100.0,0.0,0.0,0.0,,,,
OC2024_01190,경상국립대학교,,항공우주모빌리티전공,ENG,0,21,41.22288,28.255846,0.0,,,,,,,,
OC2024_01191,경상국립대학교,,항공우주및소프트웨어공학부,ENG,3,192,43.47222,23.055555,3.6111112,33.333332,33.333332,0.0,0.0,,,,
OC2024_01195,경상국립대학교,,해양수산경영학과,SOC,1,128,31.404043,29.192053,1.9956384,100.0,100.0,0.0,0.0,,,,
OC2024_01205,경상국립대학교,,환경산림과학부(통합대학),NAT,0,88,0.0,48.333332,13.333333,,,,,,,,
OC2024_01228,경성대학교,,글로벌기계설계공학전공,ENG,0,10,30.705128,28.26923,0.0,,,,,,,,
OC2024_01233,경성대학교,,도시공학과,ENG,39,0,0.0,0.0,0.0,67.64706,64.70588,10.256411,10.256411,,,,
OC2024_01236,경성대학교,,무용학과,ART,1,1,25.0,0.0,50.0,0.0,0.0,0.0,0.0,,,,
OC2024_01248,경성대학교,,법학전공,SOC,47,0,0.0,83.333336,0.0,54.347828,45.652172,0.0,0.0,,,,
OC2024_01251,경성대학교,,사학전공,HUM,6,0,20.20202,19.19192,0.0,50.0,33.333332,0.0,0.0,,,,
OC2024_01271,경성대학교,,영상학전공,ART,8,17,53.201756,3.629386,13.519737,75.0,75.0,0.0,0.0,,,,
OC2024_01278,경성대학교,,응용수학과,NAT,3,0,100.0,0.0,0.0,66.666664,0.0,0.0,0.0,,,,
OC2024_01287,경성대학교,,체육학전공,ART,0,44,100.0,0.0,0.0,,,,,,,,
OC2024_01291,경성대학교,,행정학전공,SOC,4,0,36.666668,33.333332,0.0,0.0,0.0,0.0,0.0,,,,
OC2024_01300,경운대학교,,경찰행정학전공,SOC,3,4,31.25,62.5,0.0,33.333332,33.333332,0.0,0.0,,,,
OC2024_01316,경운대학교,,의료경영학과,SOC,7,1,0.0,8.333333,0.0,85.71429,71.42857,0.0,0.0,,,,
OC2024_01326,경운대학교,,항공소프트웨어전공,ENG,0,19,0.0,26.666666,0.0,,,,,,,,
OC2024_01332,경운대학교,,항공컴퓨터학과,ENG,0,4,16.666666,25.0,0.0,,,,,,,,
OC2024_01369,경일대학교,,국토정보학부 공간정보전공,NAT,14,11,100.0,0.0,0.0,38.46154,38.46154,0.0,0.0,,,,
OC2024_01370,경일대학교,,글로벌비즈니스학과,SOC,0,342,53.34628,15.400552,5.9566364,51.515152,42.424244,0.0,0.0,,,,
OC2024_01374,경일대학교,,디자인학부 패션디자인전공,ART,0,12,0.0,100.0,0.0,,,,,,,,
OC2024_01380,경일대학교,,사회복지학과,SOC,39,0,28.489079,31.165981,4.1005416,51.28205,51.28205,0.0,0.0,,,,
OC2024_01390,경일대학교,,식품개발학과,NAT,17,13,83.46342,2.4390244,8.0,62.5,62.5,0.0,0.0,,,,
OC2024_01394,경일대학교,,조기취업형계약학부 스마트경영공학과,ENG,0,37,47.67174,17.342657,0.0,,,,,,,,
OC2024_01400,경일대학교,,태권도학과,ART,0,87,54.813663,19.471514,0.0,,,,,,,,
OC2024_01419,경희대학교,,글로벌문화기술융합전공,ENG,5,20,48.863636,10.681818,6.0227275,60.0,60.0,0.0,0.0,,,,
OC2024_01421,경희대학교,,글로벌한국학과,HUM,0,3,20.0,0.0,0.0,,,,,,,,
OC2024_01440,경희대학교,,생명과학 광역모집,NAT,0,19,0.0,11.111111,85.18519,,,,,,,,
OC2024_01461,경희대학교,,원예생명공학과,NAT,15,17,14.642858,24.642857,0.0,77.77778,44.444443,40.0,40.0,,,,
OC2024_01471,경희대학교,,의예과(자연계열),MED,0,232,0.0,0.0,100.0,,,,,,,,
OC2024_01510,계명대학교,,게임소프트웨어학과,ENG,0,304,25.970205,35.5886,4.589698,43.103447,39.655174,0.0,0.0,,,,
OC2024_01539,계명대학교,,사진미디어과,ART,0,201,29.743868,15.301827,0.0,,,,,,,,
OC2024_01569,계명대학교,,의예과,MED,0,172,43.75,0.0,50.0,,,,,,,,
OC2024_01576,계명대학교,,정치외교학과,SOC,0,219,31.014616,34.66455,0.0,,,,,,,,
OC2024_01620,고려대학교,,방사선학과,MED,1,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,,,,
OC2024_01649,고려대학교,,전기전자전파공학부,ENG,4,2,0.0,33.333332,25.0,100.0,50.0,0.0,0.0,,,,
OC2024_01654,고려대학교,,차세대통신학과,ENG,0,58,54.49915,9.401528,0.0,,,,,,,,
OC2024_01728,고신대학교,,기독교상담과,SOC,0,15,0.0,0.0,100.0,,,,,,,,
OC2024_01731,고신대학교,,보건환경학부,MED,0,37,25.0,62.5,0.0,,,,,,,,
OC2024_01740,고신대학교,,영어과,HUM,0,3,83.333336,8.333333,0.0,,,,,,,,
OC2024_01745,고신대학교,,의생명과학과,NAT,4,54,48.24047,15.835777,0.0,0.0,0.0,50.0,50.0,,,,
OC2024_01746,고신대학교,,의생명과학전공,NAT,11,12,56.81818,11.688312,0.0,40.0,40.0,9.090909,0.0,,,,
OC2024_01747,고신대학교,,자율전공학부,ENG,0,20,50.0,0.0,0.0,,,,,,,,
OC2024_01753,고신대학교,,화학신소재전공,NAT,7,7,62.857143,0.0,7.142857,42.857143,42.857143,0.0,0.0,,,,
OC2024_01768,광신대학교,,사회복지상담학과,SOC,2,3,0.0,0.0,50.0,50.0,50.0,0.0,0.0,,,,
OC2024_01770,광신대학교,,실용음악학과,ART,4,3,33.333332,16.666666,0.0,66.666664,0.0,25.0,25.0,,,,
OC2024_01773,광신대학교,,한국어교육학과,EDU,7,13,38.271606,21.75926,0.0,0.0,0.0,0.0,0.0,,,,
OC2024_01780,광운대학교,,국제학부,SOC,0,39,0.0,0.0,0.0,,,,,,,,
OC2024_01786,광운대학교,,동북아문화산업학부,SOC,0,67,0.0,25.0,58.333332,,,,,,,,
OC2024_01799,광운대학교,,스포츠상담재활학과,ART,0,16,63.36207,5.172414,0.0,,,,,,,,
OC2024_01814,광운대학교,,정보융합학부,ENG,0,101,20.0,20.0,0.0,,,,,,,,
OC2024_01822,광운대학교,,컴퓨터정보공학부,ENG,0,111,75.0,0.0,25.0,,,,,,,,
OC2024_01832,광주과학기술원,,반도체공학과,ENG,0,29,100.0,0.0,0.0,,,,,,,,
OC2024_01836,광주과학기술원,,지구환경공학부,NAT,4,28,25.0,50.0,0.0,100.0,100.0,75.0,75.0,,,,
OC2024_01855,광주대학교,,건강기능식품학과,NAT,0,10,35.97285,26.244345,0.0,,,,,,,,
OC2024_01861,광주대학교,,국방학과,SOC,0,17,61.030598,13.285024,0.0,,,,,,,,
OC2024_01863,광주대학교,,기계・금형공학부,ENG,20,11,0.0,60.0,0.0,63.157894,63.157894,5.0,5.0,,,,
OC2024_01871,광주대학교,,미래자동차공학과,ENG,0,22,44.827587,17.985893,0.0,,,,,,,,
OC2024_01889,광주대학교,,언어재활상담학과,MED,0,19,53.68364,22.228241,0.0,,,,,,,,
OC2024_01910,광주여자대학교,,AI융합학과,ENG,0,32,38.666668,17.333334,0.0,,,,,,,,
OC2024_01916,광주여자대학교,,무도경호학과,ART,0,7,32.142857,17.857143,0.0,,,,,,,,
OC2024_01920,광주여자대학교,,반려동물보건학과,NAT,0,107,26.666666,25.396826,0.0,,,,,,,,
OC2024_01924,광주여자대학교,,서비스경영학과,SOC,24,7,0.0,50.0,0.0,46.153847,46.153847,0.0,0.0,,,,
OC2024_01925,광주여자대학교,,스포츠학과,ART,0,32,29.411764,20.168068,0.0,,,,,,,,
OC2024_01930,광주여자대학교,,영양식품학과,NAT,0,3,0.0,0.0,0.0,,,,,,,,
OC2024_01933,광주여자대학교,,중등특수교육과,EDU,16,17,7.142857,14.285714,0.0,37.5,37.5,0.0,0.0,,,,
OC2024_01940,광주여자대학교,,호텔관광경영학과,SOC,0,2,45.454544,0.0,54.545456,,,,,,,,
OC2024_01952,국립강릉원주대학교(폐교),,물리학과,NAT,3,0,28.421053,13.157895,0.0,,,,,,,,
OC2024_01953,국립강릉원주대학교(폐교),,미술학과,ART,3,0,49.20635,16.269842,0.0,,,,,,,,
OC2024_01956,국립강릉원주대학교(폐교),,생명화학공학과,NAT,35,0,63.839287,0.0,0.0,,,,,,,,
