outcome_row_id,headcount_row_id,match_method,match_score,candidate_count,review_needed,match_evidence,candidate_preview,headcount_match_flag,school_name_raw,school_name_std,campus_name_raw,campus_name_std,campus_seq,campus_branch,dept_name_raw,dept_name_std,dept_field_raw,hc_headcount_row_id,hc_school_name_raw,hc_school_name_std,hc_campus_name_raw,hc_campus_name_std,hc_campus_seq,hc_campus_branch,hc_dept_name_raw,hc_dept_name_std,hc_major_group_raw,hc_major_group_7,school_std_match,campus_scope_ok,dept_alt_contains_hc,exact_normalized_validation,sample_group
OC2024_09303,HC2024_11972,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,말레이인도네시아어과,True,한국외국어대학교,한국외국어대학교,,unknown,,,말레이인도네시아어과,말레이인도네시아어과,말레이인도네시아어과,HC2024_11972,한국외국어대학교,한국외국어대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,말레이인도네시아어과,말레이인도네시아어과,인문계열,HUM,True,True,True,True,exact_normalized
OC2024_04682,HC2024_08609,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,식품영양학전공,True,배재대학교,배재대학교,,unknown,,,식품영양학전공,식품영양학전공,식품영양학,HC2024_08609,배재대학교,배재대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,식품영양학전공,식품영양학전공,자연계열,NAT,True,True,True,True,exact_normalized
OC2024_00384,HC2024_00232,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,전자공학과,True,강원대학교,강원대학교,,unknown,,,전자공학과,전자공학과,전자공,HC2024_00232,강원대학교,강원대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,전자공학과,전자공학과,공학계열,ENG,True,True,True,True,exact_normalized
OC2024_04997,HC2024_08741,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,체육학과,True,삼육대학교,삼육대학교,,unknown,,,체육학과,체육학과,체육,HC2024_08741,삼육대학교,삼육대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,체육학과,체육학과,예체능계열,ART,True,True,True,True,exact_normalized
OC2024_08560,HC2024_14100,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,컴퓨터공학과,True,중원대학교,중원대학교,,unknown,,,컴퓨터공학과,컴퓨터공학과,컴퓨터공,HC2024_14100,중원대학교,중원대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,컴퓨터공학과,컴퓨터공학과,공학계열,ENG,True,True,True,True,exact_normalized
OC2024_00876,HC2024_05489,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,한국학전공,True,경동대학교,경동대학교,,unknown,,,한국학전공,한국학전공,한국학,HC2024_05489,경동대학교,경동대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,한국학전공,한국학전공,인문계열,HUM,True,True,True,True,exact_normalized
OC2024_00201,HC2024_04792,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,심리학과,True,가톨릭대학교,가톨릭대학교,,unknown,,,심리학과,심리학과,심리,HC2024_04792,가톨릭대학교,가톨릭대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,심리학과,심리학과,인문계열,HUM,True,True,True,True,exact_normalized
OC2024_09445,HC2024_12280,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,무역물류학과,True,한남대학교,한남대학교,,unknown,,,무역물류학과,무역물류학과,무역물류,HC2024_12280,한남대학교,한남대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,무역물류학과,무역물류학과,사회계열,SOC,True,True,True,True,exact_normalized
OC2024_02940,HC2024_06854,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,기독교상담학전공,True,나사렛대학교,나사렛대학교,,unknown,,,기독교상담학전공,기독교상담학전공,기독교상담학,HC2024_06854,나사렛대학교,나사렛대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,기독교상담학전공,기독교상담학전공,인문계열,HUM,True,True,True,True,exact_normalized
OC2024_01072,HC2024_00716,exact_normalized,1.0,1,False,school_std + optional campus + normalized department exact unique,화학교육과,True,경북대학교,경북대학교,,unknown,,,화학교육과,화학교육과,화학교육과,HC2024_00716,경북대학교,경북대학교,본교(제1캠퍼스),본교_제1캠퍼스,제1캠퍼스,본교,화학교육과,화학교육과,교육계열,EDU,True,True,True,True,exact_normalized
