sample_group,outcome_row_id,school_name_raw,campus_name_raw,dept_field_raw,dept_name_raw,match_method,major_group_7,major7_mapping_method,major7_mapping_confidence,major7_evidence,audit_keyword_hits,audit_ambiguous_token,audit_keyword_evidence,audit_auto_major_contradiction,audit_auto_ambiguous_token
inherited_headcount,OC2024_01113,경상국립대학교,,불어불문,불어불문학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=인문,HUM,False,HUM:문학/불문,False,False
inherited_headcount,OC2024_04815,부산대학교,,문헌정보,문헌정보학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=인문,HUM,False,HUM:문헌정보,False,False
inherited_headcount,OC2024_01272,경성대학교,,영어영문,영어영문학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=인문,HUM,False,HUM:영문/문학,False,False
inherited_headcount,OC2024_07794,인하대학교,,철,철학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=인문,HUM,False,HUM:철학,False,False
inherited_headcount,OC2024_00861,경남대학교,,한국어문,한국어문학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=인문,HUM,False,HUM:문학,False,False
inherited_headcount,OC2024_08847,충남대학교,,심리,심리학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=인문,SOC,False,SOC:심리,True,False
inherited_headcount,OC2024_10169,홍익대학교,,독어독문,독어독문학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=인문,HUM,False,HUM:문학/독문,False,False
inherited_headcount,OC2024_04608,목원대학교,,영어영문,영어영문학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=인문,HUM,False,HUM:영문/문학,False,False
inherited_headcount,OC2024_06764,연세대학교,,융합인문사회과,융합인문사회과학부,exact_normalized,,inherited_headcount,high,matched headcount 대계열=인문,"NAT,HUM",True,NAT:과학 | HUM:인문,False,True
inherited_headcount,OC2024_04006,동명대학교,,의료기기,의료기기학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=의약,MED,False,MED:의료,False,False
inherited_headcount,OC2024_02982,남부대학교,,물리치료,물리치료학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=의약,"MED,NAT",False,MED:물리치료 | NAT:물리,False,False
inherited_headcount,OC2024_01917,광주여자대학교,,물리치료,물리치료학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=의약,"MED,NAT",False,MED:물리치료 | NAT:물리,False,False
inherited_headcount,OC2024_03997,동명대학교,,언어치료청각재활,언어치료청각재활학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=의약,"MED,HUM",False,MED:재활 | HUM:언어,False,False
inherited_headcount,OC2024_01980,국립강릉원주대학교(폐교),,치의,치의학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=의약,MED,False,MED:의학/치의,False,False
inherited_headcount,OC2024_00175,가톨릭꽃동네대학교,,간호,간호학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=의약,MED,False,MED:간호,False,False
inherited_headcount,OC2024_03198,대구가톨릭대학교,,산업보건학,산업보건학전공,exact_normalized,,inherited_headcount,high,matched headcount 대계열=의약,MED,False,MED:보건,False,False
inherited_headcount,OC2024_08549,중원대학교,,의료공,의료공학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=의약,"MED,ENG",False,MED:의료 | ENG:공학,False,False
inherited_headcount,OC2024_03186,대구가톨릭대학교,,방사선,방사선학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=의약,MED,False,MED:방사선,False,False
inherited_headcount,OC2024_08047,전북대학교,,치의,치의학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=의약,MED,False,MED:의학/치의,False,False
inherited_headcount,OC2024_07831,전남대학교,,물리,물리학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=자연,NAT,False,NAT:물리,False,False
inherited_headcount,OC2024_08039,전북대학교,,주거환경,주거환경학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=자연,NAT,False,NAT:환경,False,False
inherited_headcount,OC2024_03200,대구가톨릭대학교,,생명공,생명공학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=자연,ENG,False,ENG:공학,True,False
inherited_headcount,OC2024_08951,충북대학교,,식품영양,식품영양학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=자연,NAT,False,NAT:식품영양,False,False
inherited_headcount,OC2024_05374,서울대학교,,생명과,생명과학부,exact_normalized,,inherited_headcount,high,matched headcount 대계열=자연,NAT,False,NAT:생명과학/과학,False,False
inherited_headcount,OC2024_09463,한남대학교,,수,수학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=자연,NAT,False,NAT:수학,False,False
inherited_headcount,OC2024_08939,충북대학교,,수의,수의학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=자연,MED,False,MED:의학/수의,True,False
inherited_headcount,OC2024_00418,강원대학교,,환경,환경학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=자연,NAT,False,NAT:환경,False,False
inherited_headcount,OC2024_06723,연세대학교,,물리,물리학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=자연,NAT,False,NAT:물리,False,False
inherited_headcount,OC2024_01960,국립강릉원주대학교(폐교),,수,수학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=자연,NAT,False,NAT:수학,False,False
inherited_headcount,OC2024_00806,경남대학교,,군사,군사학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=사회,,False,,False,False
inherited_headcount,OC2024_09524,한라대학교,,무역물류,무역물류학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=사회,SOC,False,SOC:무역,False,False
inherited_headcount,OC2024_07192,울산과학기술원,,경영,경영학부,exact_normalized,,inherited_headcount,high,matched headcount 대계열=사회,SOC,False,SOC:경영,False,False
inherited_headcount,OC2024_00953,경북대학교,,미디어커뮤니케이션,미디어커뮤니케이션학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=사회,,False,,False,False
inherited_headcount,OC2024_00924,경북대학교,,경영,경영학부,exact_normalized,,inherited_headcount,high,matched headcount 대계열=사회,SOC,False,SOC:경영,False,False
inherited_headcount,OC2024_09433,한남대학교,,경찰학,경찰학전공,exact_normalized,,inherited_headcount,high,matched headcount 대계열=사회,SOC,False,SOC:경찰,False,False
inherited_headcount,OC2024_04082,동서대학교,,실용콘텐츠창작,실용콘텐츠창작학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=사회,,False,,False,False
inherited_headcount,OC2024_03522,대전대학교,,경제학,경제학전공,exact_normalized,,inherited_headcount,high,matched headcount 대계열=사회,SOC,False,SOC:경제,False,False
inherited_headcount,OC2024_09429,한남대학교,,경영,경영학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=사회,SOC,False,SOC:경영,False,False
inherited_headcount,OC2024_01858,광주대학교,,경찰,경찰학과,exact_normalized,,inherited_headcount,high,matched headcount 대계열=사회,SOC,False,SOC:경찰,False,False
exact_dictionary,OC2024_03818,동국대학교(WISE)_분교,분교|WISE,스포츠과,스포츠과학과,unmatched,,exact_dictionary,medium,unique dictionary key=스포츠과,"NAT,ART",False,NAT:과학 | ART:스포츠,False,False
exact_dictionary,OC2024_07262,울산대학교,,음악,음악학부,unmatched,,exact_dictionary,medium,unique dictionary key=음악,ART,False,ART:음악,False,False
exact_dictionary,OC2024_02644,국립한국교통대학교,,산업디자인,산업디자인전공 | 산업디자인학과,unmatched,,exact_dictionary,medium,unique dictionary key=산업디자인,ART,False,ART:디자인,False,False
exact_dictionary,OC2024_01448,경희대학교,,스포츠의,스포츠의학과,unmatched,,exact_dictionary,medium,unique dictionary key=스포츠의,"MED,ART",False,MED:의학 | ART:스포츠,False,False
exact_dictionary,OC2024_04158,동신대학교,,태권도,태권도학과,unmatched,,exact_dictionary,medium,unique dictionary key=태권도,,False,,False,False
exact_dictionary,OC2024_06142,수원대학교,,운동건강관리,운동건강관리,unmatched,,exact_dictionary,medium,unique dictionary key=운동건강관리,,False,,False,False
exact_dictionary,OC2024_05125,상지대학교,,뷰티디자인,뷰티디자인학과,unmatched,,exact_dictionary,medium,unique dictionary key=뷰티디자인,ART,False,ART:디자인/뷰티,False,False
exact_dictionary,OC2024_00903,경동대학교_제4캠퍼스,제4캠퍼스,스포츠마케팅,스포츠마케팅학과 | 스포츠마케팅학과(예체능),manual_review,,exact_dictionary,medium,unique dictionary key=스포츠마케팅,"ART,SOC",False,ART:스포츠 | SOC:마케팅,False,False
exact_dictionary,OC2024_05490,서울신학대학교,,실용음악과,실용음악과,unmatched,,exact_dictionary,medium,unique dictionary key=실용음악과,ART,False,ART:음악/실용음악,False,False
exact_dictionary,OC2024_06328,숭실대학교,,스포츠,스포츠학부,unmatched,,exact_dictionary,medium,unique dictionary key=스포츠,ART,False,ART:스포츠,False,False
exact_dictionary,OC2024_03057,단국대학교,,무용과,무용과,unmatched,,exact_dictionary,medium,unique dictionary key=무용과,ART,False,ART:무용,False,False
exact_dictionary,OC2024_06035,세종대학교,,회화과,회화과,unmatched,,exact_dictionary,medium,unique dictionary key=회화과,,False,,False,False
exact_dictionary,OC2024_04441,동의대학교,,패션디자인,패션디자인학과,unmatched,,exact_dictionary,medium,unique dictionary key=패션디자인,ART,False,ART:디자인/패션,False,False
exact_dictionary,OC2024_06049,세한대학교,,실용음악,실용음악학과,unmatched,,exact_dictionary,medium,unique dictionary key=실용음악,ART,False,ART:음악/실용음악,False,False
exact_dictionary,OC2024_05134,상지대학교,,산업디자인,산업디자인학과,unmatched,,exact_dictionary,medium,unique dictionary key=산업디자인,ART,False,ART:디자인,False,False
exact_dictionary,OC2024_09005,칼빈대학교,,실용음악과,실용음악과,unmatched,,exact_dictionary,medium,unique dictionary key=실용음악과,ART,False,ART:음악/실용음악,False,False
exact_dictionary,OC2024_08604,창신대학교,,음악,음악학과,unmatched,,exact_dictionary,medium,unique dictionary key=음악,ART,False,ART:음악,False,False
exact_dictionary,OC2024_02743,국립한밭대학교,,시각디자인,시각디자인학과,unmatched,,exact_dictionary,medium,unique dictionary key=시각디자인,ART,False,ART:디자인,False,False
exact_dictionary,OC2024_01533,계명대학교,,무용,무용학과,unmatched,,exact_dictionary,medium,unique dictionary key=무용,ART,False,ART:무용,False,False
exact_dictionary,OC2024_06920,영남대학교,,음악,음악학부,unmatched,,exact_dictionary,medium,unique dictionary key=음악,ART,False,ART:음악,False,False
exact_dictionary,OC2024_02048,국립경국대학교,,윤리교육과,윤리교육과,unmatched,,exact_dictionary,medium,unique dictionary key=윤리교육과,EDU,False,EDU:교육,False,False
exact_dictionary,OC2024_09007,칼빈대학교,,아동보육,아동보육학과,unmatched,,exact_dictionary,medium,unique dictionary key=아동보육,,False,,False,False
exact_dictionary,OC2024_08160,전주대학교,,중등특수교육과,중등특수교육과,unmatched,,exact_dictionary,medium,unique dictionary key=중등특수교육과,EDU,False,EDU:교육/특수교육,False,False
exact_dictionary,OC2024_05594,서원대학교,,영어교육과,영어교육과,unmatched,,exact_dictionary,medium,unique dictionary key=영어교육과,EDU,False,EDU:교육/영어교육,False,False
exact_dictionary,OC2024_00652,건양대학교,,유아교육과,유아교육과,unmatched,,exact_dictionary,medium,unique dictionary key=유아교육과,EDU,False,EDU:교육/유아교육,False,False
exact_dictionary,OC2024_07339,원광대학교,,유아교육과,유아교육과,unmatched,,exact_dictionary,medium,unique dictionary key=유아교육과,EDU,False,EDU:교육/유아교육,False,False
exact_dictionary,OC2024_07706,인천대학교,,영어교육과,영어교육과,unmatched,,exact_dictionary,medium,unique dictionary key=영어교육과,EDU,False,EDU:교육/영어교육,False,False
exact_dictionary,OC2024_07325,원광대학교,,수학교육과,수학교육과,unmatched,,exact_dictionary,medium,unique dictionary key=수학교육과,"NAT,EDU",False,NAT:수학 | EDU:교육/수학교육,False,False
exact_dictionary,OC2024_01345,경인교육대학교,,초등컴퓨터교육과,초등컴퓨터교육과(심화과정),manual_review,,exact_dictionary,medium,unique dictionary key=초등컴퓨터교육과,"ENG,EDU",False,ENG:컴퓨터 | EDU:교육,False,False
exact_dictionary,OC2024_03340,대구대학교,,유아특수교육과,유아특수교육과,unmatched,,exact_dictionary,medium,unique dictionary key=유아특수교육과,EDU,False,EDU:교육/특수교육,False,False
exact_dictionary,OC2024_08781,춘천교육대학교,,초등교육,초등교육학과(심화과정),manual_review,,exact_dictionary,medium,unique dictionary key=초등교육,EDU,False,EDU:교육/초등교육,False,False
exact_dictionary,OC2024_03753,동국대학교,,수학교육과,수학교육과,unmatched,,exact_dictionary,medium,unique dictionary key=수학교육과,"NAT,EDU",False,NAT:수학 | EDU:교육/수학교육,False,False
exact_dictionary,OC2024_08353,조선대학교,,영어교육과,영어교육과,unmatched,,exact_dictionary,medium,unique dictionary key=영어교육과,EDU,False,EDU:교육/영어교육,False,False
exact_dictionary,OC2024_03045,단국대학교,,과학교육과,과학교육과,unmatched,,exact_dictionary,medium,unique dictionary key=과학교육과,"NAT,EDU",False,NAT:과학 | EDU:교육/과학교육,False,False
exact_dictionary,OC2024_03777,동국대학교,,지리교육과,지리교육과,unmatched,,exact_dictionary,medium,unique dictionary key=지리교육과,EDU,False,EDU:교육,False,False
exact_dictionary,OC2024_01338,경인교육대학교,,초등생활과학교육과,초등생활과학교육과(심화과정),manual_review,,exact_dictionary,medium,unique dictionary key=초등생활과학교육과,"NAT,EDU",False,NAT:과학 | EDU:교육/과학교육,False,False
exact_dictionary,OC2024_08762,총신대학교,,기독교교육과,기독교교육과,unmatched,,exact_dictionary,medium,unique dictionary key=기독교교육과,EDU,False,EDU:교육,False,False
exact_dictionary,OC2024_05493,서울신학대학교,,유아교육과,유아교육과,unmatched,,exact_dictionary,medium,unique dictionary key=유아교육과,EDU,False,EDU:교육/유아교육,False,False
exact_dictionary,OC2024_02600,국립창원대학교,,유아교육과,유아교육과,unmatched,,exact_dictionary,medium,unique dictionary key=유아교육과,EDU,False,EDU:교육/유아교육,False,False
exact_dictionary,OC2024_03308,대구대학교,,물리교육과,물리교육과,unmatched,,exact_dictionary,medium,unique dictionary key=물리교육과,"NAT,EDU",False,NAT:물리 | EDU:교육,False,False
exact_dictionary,OC2024_03827,동국대학교(WISE)_분교,분교|WISE,에너지・전기공,에너지・전기공학과,unmatched,,exact_dictionary,medium,unique dictionary key=에너지전기공,ENG,False,ENG:전기/에너지/공학,False,False
exact_dictionary,OC2024_08158,전주대학교,,정보통신공,정보통신공학과,unmatched,,exact_dictionary,medium,unique dictionary key=정보통신공,ENG,False,ENG:정보통신/공학,False,False
exact_dictionary,OC2024_04490,명지대학교,,컴퓨터공,컴퓨터공학과,unmatched,,exact_dictionary,medium,unique dictionary key=컴퓨터공,ENG,False,ENG:컴퓨터/공학,False,False
exact_dictionary,OC2024_09645,한서대학교,,항공정비,항공정비전공 | 항공정비학과,manual_review,,exact_dictionary,medium,unique dictionary key=항공정비,ENG,False,ENG:항공,False,False
exact_dictionary,OC2024_08368,조선대학교,,정보통신공,정보통신공학과 | 정보통신공학부(정보보안전공) | 정보통신공학부(정보통신공학전공),unmatched,,exact_dictionary,medium,unique dictionary key=정보통신공,ENG,False,ENG:정보통신/공학/보안,False,False
exact_dictionary,OC2024_09847,한양대학교,,에너지공,에너지공학과,unmatched,,exact_dictionary,medium,unique dictionary key=에너지공,ENG,False,ENG:에너지/공학,False,False
exact_dictionary,OC2024_05505,서울여자대학교,,데이터사이언스,데이터사이언스학과,unmatched,,exact_dictionary,medium,unique dictionary key=데이터사이언스,ENG,False,ENG:데이터,False,False
exact_dictionary,OC2024_06900,영남대학교,,소프트웨어융합,소프트웨어융합전공,unmatched,,exact_dictionary,medium,unique dictionary key=소프트웨어융합,ENG,True,ENG:소프트웨어,False,True
exact_dictionary,OC2024_00134,가톨릭관동대학교,,안경광,안경광학과,unmatched,,exact_dictionary,medium,unique dictionary key=안경광,MED,False,MED:안경광,True,False
exact_dictionary,OC2024_02726,국립한밭대학교,,건축,건축학과(5년제),unmatched,,exact_dictionary,medium,unique dictionary key=건축,,False,,False,False
exact_dictionary,OC2024_03114,단국대학교_제2캠퍼스,제2캠퍼스,신소재공,신소재공학과,unmatched,,exact_dictionary,medium,unique dictionary key=신소재공,ENG,False,ENG:신소재/공학,False,False
exact_dictionary,OC2024_01747,고신대학교,,자율,자율전공학부,unmatched,,exact_dictionary,medium,unique dictionary key=자율전공학부,ENG,True,ENG:공학,False,True
exact_dictionary,OC2024_00667,건양대학교_제2캠퍼스,제2캠퍼스,안경광,안경광학과,unmatched,,exact_dictionary,medium,unique dictionary key=안경광,MED,False,MED:안경광,True,False
exact_dictionary,OC2024_05972,세종대학교,,데이터사이언스,데이터사이언스학과,unmatched,,exact_dictionary,medium,unique dictionary key=데이터사이언스,ENG,False,ENG:데이터,False,False
exact_dictionary,OC2024_04764,부산가톨릭대학교,,안전보건,안전보건학과,unmatched,,exact_dictionary,medium,unique dictionary key=안전보건,MED,False,MED:보건,True,False
exact_dictionary,OC2024_01807,광운대학교,,전기공,전기공학과,unmatched,,exact_dictionary,medium,unique dictionary key=전기공,ENG,False,ENG:전기/공학,False,False
exact_dictionary,OC2024_06352,숭실대학교,,화학공,화학공학과,unmatched,,exact_dictionary,medium,unique dictionary key=화학공,"ENG,NAT",False,ENG:화학공학/공학 | NAT:화학,False,False
exact_dictionary,OC2024_09026,평택대학교,,스마트자동차,스마트자동차학과,unmatched,,exact_dictionary,medium,unique dictionary key=스마트자동차,ENG,False,ENG:자동차,False,False
exact_dictionary,OC2024_05680,선문대학교,,전자공,전자공학과,unmatched,,exact_dictionary,medium,unique dictionary key=전자공,ENG,False,ENG:전자/공학,False,False
exact_dictionary,OC2024_03816,동국대학교(WISE)_분교,분교|WISE,소방방재,소방방재전공,unmatched,,exact_dictionary,medium,unique dictionary key=소방방재,SOC,False,SOC:소방,True,False
exact_dictionary,OC2024_02071,국립경국대학교,,한문,한문학과,unmatched,,exact_dictionary,medium,unique dictionary key=한문,HUM,False,HUM:문학,False,False
exact_dictionary,OC2024_09226,한국방송통신대학교,,중어중문,중어중문학과,unmatched,,exact_dictionary,medium,unique dictionary key=중어중문,HUM,False,HUM:문학/중문,False,False
exact_dictionary,OC2024_05159,상지대학교,,자유,자유전공학부,unmatched,,exact_dictionary,medium,unique dictionary key=자유,ENG,True,ENG:공학,True,True
exact_dictionary,OC2024_10036,호남신학대학교,,신,신학과,unmatched,,exact_dictionary,medium,unique dictionary key=신,,False,,False,False
exact_dictionary,OC2024_07081,용인대학교,,중국,중국학과,unmatched,,exact_dictionary,medium,unique dictionary key=중국,,False,,False,False
exact_dictionary,OC2024_08223,제주대학교,,독일,독일학과,unmatched,,exact_dictionary,medium,unique dictionary key=독일,,False,,False,False
exact_dictionary,OC2024_05751,성공회대학교,,중어중국학,중어중국학전공,unmatched,,exact_dictionary,medium,unique dictionary key=중어중국학,,False,,False,False
exact_dictionary,OC2024_04242,동아대학교,,일본,일본학과,unmatched,,exact_dictionary,medium,unique dictionary key=일본,,False,,False,False
exact_dictionary,OC2024_02820,국민대학교,,영어영문,영어영문학부,unmatched,,exact_dictionary,medium,unique dictionary key=영어영문,HUM,False,HUM:영문/문학,False,False
exact_dictionary,OC2024_03927,동덕여자대학교,,일본어과,일본어과,unmatched,,exact_dictionary,medium,unique dictionary key=일본어과,,False,,False,False
exact_dictionary,OC2024_05697,성결대학교,,기독교교육상담,기독교교육상담학과,unmatched,,exact_dictionary,medium,unique dictionary key=기독교교육상담,"EDU,SOC",False,EDU:교육 | SOC:상담,False,False
exact_dictionary,OC2024_07714,인천대학교,,일어일문,일어일문학과,unmatched,,exact_dictionary,medium,unique dictionary key=일어일문,HUM,False,HUM:문학/일문,False,False
exact_dictionary,OC2024_05621,선문대학교,,국어국문,국어국문학과,unmatched,,exact_dictionary,medium,unique dictionary key=국어국문,HUM,False,HUM:국문/문학,False,False
exact_dictionary,OC2024_09674,한성대학교,,역사문화,역사문화학부,unmatched,,exact_dictionary,medium,unique dictionary key=역사문화,"NAT,HUM",False,NAT:화학 | HUM:역사,False,False
exact_dictionary,OC2024_03851,동국대학교(WISE)_분교,분교|WISE,중어중문,중어중문학과,unmatched,,exact_dictionary,medium,unique dictionary key=중어중문,HUM,False,HUM:문학/중문,False,False
exact_dictionary,OC2024_04520,명지대학교_제2캠퍼스,제2캠퍼스,사,사학과,unmatched,,exact_dictionary,medium,unique dictionary key=사,,False,,False,False
exact_dictionary,OC2024_02064,국립경국대학교,,창의융합,창의융합학부(이공계열) | 창의융합학부(인문사회계열),unmatched,,exact_dictionary,medium,unique dictionary key=창의융합,"SOC,HUM",True,SOC:회계 | HUM:인문,False,True
exact_dictionary,OC2024_06147,수원대학교,,자유,자유전공학부,unmatched,,exact_dictionary,medium,unique dictionary key=자유,ENG,True,ENG:공학,True,True
exact_dictionary,OC2024_05290,서울과학기술대학교,,문예창작,문예창작학과,unmatched,,exact_dictionary,medium,unique dictionary key=문예창작,,False,,False,False
exact_dictionary,OC2024_04964,부산외국어대학교,,프랑스어,프랑스어전공,unmatched,,exact_dictionary,medium,unique dictionary key=프랑스어,,False,,False,False
exact_dictionary,OC2024_04445,동의대학교,,한의예과,한의예과,unmatched,,exact_dictionary,medium,unique dictionary key=한의예과,MED,False,MED:의예/한의,False,False
exact_dictionary,OC2024_07290,원광대학교,,간호,간호학과,unmatched,,exact_dictionary,medium,unique dictionary key=간호,MED,False,MED:간호,False,False
exact_dictionary,OC2024_08264,제주대학교,,의,의학과,unmatched,,exact_dictionary,medium,unique dictionary key=의,MED,False,MED:의학,False,False
exact_dictionary,OC2024_01507,계명대학교,,간호,간호학과,unmatched,,exact_dictionary,medium,unique dictionary key=간호,MED,False,MED:간호,False,False
exact_dictionary,OC2024_09010,평택대학교,,간호,간호학과,unmatched,,exact_dictionary,medium,unique dictionary key=간호,MED,False,MED:간호,False,False
