outcome_row_id,candidate_headcount_row_ids,candidate_preview,match_method,unmatched_reason,match_evidence,candidate_count,reviewer,review_timestamp,selection,selection_rationale,confidence
OC2024_00408,HC2_2024_00264|HC2_2024_00459,토목공학전공 | 토목공학전공,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00410,HC2_2024_00235|HC2_2024_00440,행정학과 | 행정학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00415,HC2_2024_00299|HC2_2024_00505,화학공학과 | 화학공학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00416,HC2_2024_00300|HC2_2024_00506,화학공학전공 | 화학공학전공,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00419,HC2_2024_00383|HC2_2024_00519,환경공학과 | 환경공학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00433,HC2_2024_00442|HC2_2024_00443,공공행정학과 | 공공행정전공,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00434,HC2_2024_00436|HC2_2024_00437,관광학과 | 관광전공,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00450,HC2_2024_00509,소방방재학부,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00453,HC2_2024_00424|HC2_2024_00425|HC2_2024_00426|HC2_2024_00427|HC2_2024_00428|HC2_2024_00429|HC2_2024_00430|HC2_2024_00431|HC2_2024_00432|HC2_2024_00433,일본어학과 | 일본어학전공 | 영미언어문화전공 | 영어과 | 영어전공,unmatched,department_formatting_or_source_coverage_mismatch,no strict/suffix/token/fuzzy unique candidate under same school and allowed campus scope,116,,,,,
OC2024_00454,HC2_2024_00424|HC2_2024_00425|HC2_2024_00426|HC2_2024_00427|HC2_2024_00428|HC2_2024_00429|HC2_2024_00430|HC2_2024_00431|HC2_2024_00432|HC2_2024_00433,일본어학과 | 일본어학전공 | 영미언어문화전공 | 영어과 | 영어전공,unmatched,department_formatting_or_source_coverage_mismatch,no strict/suffix/token/fuzzy unique candidate under same school and allowed campus scope,116,,,,,
OC2024_00457,HC2_2024_00479,안경광학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00479,HC2_2024_00433|HC2_2024_00435,지역경제학과 | 지역경제전공,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00486,HC2_2024_07463|HC2_2024_07464,건축학과 | 건축학부,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00489,HC2_2024_07440|HC2_2024_07546,경영학과 | 경영학과,manual_pending,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",2,,,,,
OC2024_00502,HC2_2024_07450,문화미디어학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00505,HC2_2024_07449,미디어커뮤니케이션학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
OC2024_00510,HC2_2024_07466,산림조경학과,manual_pending,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,1,,,,,
