시도,학교명,rows,dept_codes,degree_courses,total_capacity,total_applicants,total_admitted,total_enrolled,total_foreign_students,total_graduates,full_time_faculty
서울,동양미래대학교,38,38,1,2682,16548,2873,9568,29,2338,165
서울,서울교육대학교 교육전문대학원,38,38,1,0,533,384,1321,3,418,6
인천,한국폴리텍대학 인천캠퍼스,38,38,1,765,1621,644,1931,5,733,77
전북,전주대학교 일반대학원,38,38,1,0,266,191,349,31,233,1
강원,한림대학교대학원,37,37,1,0,225,187,447,66,163,0
전남,목포과학대학교,37,37,1,945,2267,944,3133,31,835,70
전남,초당대학교,37,37,1,717,2342,611,3087,377,643,101
충남,국립공주대학교교육대학원,37,37,1,0,753,219,706,0,192,0
충북,유원대학교,37,37,1,460,476,476,2206,49,430,72
강원,연세대학교 일반대학원,36,36,1,0,495,305,847,163,208,1
광주,송원대학교,36,36,1,645,2806,687,3297,304,634,96
부산,부산대학교 교육대학원,36,36,1,0,593,306,1063,0,276,0
서울,한국방송통신대학교,36,36,1,54240,21727,9596,122088,427,24175,163
제주,제주대학교교육대학원,36,36,1,0,161,88,301,1,82,6
충남,단국대학교 일반대학원,36,36,1,0,425,293,619,51,262,9
강원,강원대학교 일반대학원,35,35,1,0,153,115,259,42,60,0
경북,가톨릭상지대학교,35,35,1,646,2315,752,2206,107,637,52
경북,안동과학대학교,35,35,1,776,3068,782,2487,6,722,77
부산,신라대학교 대학원,35,35,1,0,380,297,543,312,102,0
세종,고려대학교 일반대학원,35,35,1,0,367,235,564,56,189,81
충북,우석대학교,35,35,1,375,1204,437,1646,27,271,51
경기,명지대학교 대학원,34,34,1,0,469,349,875,180,196,5
경북,선린대학교,34,34,1,742,2326,753,2399,0,668,70
경북,호산대학교,34,34,1,726,3460,913,2624,597,645,59
광주,광주대학교 일반대학원,34,34,1,0,179,121,269,28,100,0
울산,울산대학교 대학원,34,34,1,0,706,548,1179,140,454,30
인천,연세대학교,34,34,1,457,6472,676,6612,732,317,133
강원,가톨릭관동대학교 일반대학원,33,33,1,0,119,98,219,9,40,0
경기,대진대학교 대학원,33,33,1,0,117,103,199,98,193,0
대전,국립한밭대학교 일반대학원,33,33,1,0,222,162,321,79,129,0
서울,성신여자대학교대학원,33,33,1,0,439,248,468,99,201,3
서울,숭실사이버대학교,33,33,1,1650,3022,2277,8218,72,2242,40
충남,선문대학교대학원,33,33,1,0,247,179,336,110,83,6
충남,세한대학교,33,33,1,389,1526,393,1853,58,282,52
충북,국립한국교통대학교 대학원,33,33,1,0,173,142,291,32,98,1
대구,경북대학교 교육대학원,32,32,1,0,532,182,623,0,165,0
서울,숭의여자대학교,32,32,1,1510,9153,1506,3312,4,1235,80
울산,울산과학기술원,32,32,1,400,7473,483,2358,96,427,279
전북,군장대학교,32,32,1,808,1446,736,1751,257,605,48
충남,공주교육대학교교육대학원,32,32,1,0,287,239,677,9,194,4
경기,가톨릭대학교대학원,31,31,1,0,871,369,840,397,164,6
경기,한세대학교,31,31,1,566,5186,601,3261,15,503,98
경북,경일대학교 일반대학원,31,31,1,0,264,212,386,200,117,0
경북,대구예술대학교,31,31,1,300,207,37,455,0,158,24
광주,광주교육대학교교육대학원,31,31,1,0,181,149,484,1,201,0
부산,성심외국어대학,31,31,1,0,0,0,1239,0,0,0
충남,백석대학교,31,31,1,2790,20618,2976,15281,239,2676,449
충남,유원대학교,31,31,1,415,1429,416,1965,32,308,45
충남,한서대학교대학원,31,31,1,0,153,118,356,155,129,5
서울,한국예술종합학교,31,30,1,558,13303,556,3326,53,496,136
강원,강원도립대학교,30,30,1,314,1065,314,901,0,241,27
경기,한경국립대학교 일반대학원,30,30,1,0,168,121,291,46,70,0
경남,창신대학교,30,30,1,345,2364,374,1969,69,491,75
경북,포항대학교,30,30,1,690,2019,658,1904,12,493,46
대전,배재대학교대학원,30,30,1,0,233,188,496,191,195,0
서울,강서대학교,30,30,1,277,3641,399,2157,573,235,56
서울,경희대학교경영대학원,30,30,1,0,1373,805,2124,933,644,6
전남,전남도립대학교,30,30,1,425,1067,453,1067,1,484,39
전북,전북대학교 교육대학원,30,30,1,0,255,168,502,4,141,0
충남,남서울대학교 일반대학원,30,30,1,0,305,138,387,201,140,1
강원,상지대학교대학원,29,29,1,0,87,68,126,5,50,0
경남,거제대학교,29,29,1,372,1900,448,1293,121,325,35
경남,경상국립대학교 교육대학원,29,29,1,0,193,124,294,2,146,0
경북,경북과학대학교,29,29,1,722,1912,865,2085,270,610,54
부산,부산교육대학교교육대학원,29,29,1,0,255,255,798,3,261,0
전북,예원예술대학교,29,29,1,142,711,194,1098,402,244,41
전북,전주교육대학교교육대학원,29,29,1,0,69,54,165,0,147,0
강원,송호대학교,28,28,1,375,1535,413,987,103,273,29
대구,대구보건대학교,28,28,1,2543,19580,2687,8276,12,2288,181
부산,부산가톨릭대학교,28,28,1,697,5112,767,4068,382,835,130
서울,경기대학교,28,28,1,328,7470,361,2485,426,450,28
서울,고려사이버대학교,28,28,1,2449,4136,2249,11495,172,2630,47
인천,인천대학교교육대학원,28,28,1,0,202,98,324,0,132,3
충남,충남도립대학교,28,28,1,442,1569,443,1443,3,364,34
충북,청주교육대학교교육대학원,28,28,1,0,121,98,339,0,118,0
강원,강원대학교 산업과학대학원,27,27,1,0,28,28,110,0,39,0
강원,춘천교육대학교교육대학원,27,27,1,0,121,95,472,0,111,0
경기,경동대학교,27,27,1,712,4822,725,3566,22,628,92
경기,한국항공대학교,27,27,1,841,10559,942,5907,128,792,140
경북,성운대학교,27,27,1,648,944,775,1612,0,697,41
광주,남부대학교,27,27,1,617,3022,569,3033,220,698,102
광주,호남대학교 사회융합대학원,27,27,1,0,261,217,424,211,183,0
부산,부산여자대학교,27,27,1,638,4515,646,1857,28,666,55
부산,부산예술대학교,27,27,1,390,980,360,741,2,233,22
서울,명지대학교 대학원,27,27,1,0,401,233,617,129,93,0
충남,글로벌사이버대학교,27,27,1,1100,1333,977,2785,53,567,18
강원,세경대학교,26,26,1,425,370,369,921,2,311,27
경기,중부대학교 일반대학원,26,26,1,0,796,454,702,562,109,0
경남,경남대학교대학원,26,26,1,0,341,267,580,149,202,0
경남,진주교육대학교교육대학원,26,26,1,0,106,105,253,2,99,0
경북,대구한의대학교 대학원,26,26,1,0,220,161,315,7,95,0
광주,호남대학교 일반대학원,26,26,1,0,329,258,496,249,169,2
울산,춘해보건대학교,26,26,1,792,7879,913,2983,0,802,71
충북,한국교원대학교,26,26,1,546,3449,589,2584,0,520,197
경기,서울신학대학교,25,25,1,457,2706,488,2423,7,432,76
경기,청강문화산업대학교,25,25,1,1346,11479,1427,5100,15,1290,108
경기,한국복지대학교,25,25,1,83,100,75,405,2,232,0
경기,화성의과학대학교,25,25,1,282,1528,204,603,1,83,32
경남,한국폴리텍VII대학 창원캠퍼스,25,25,1,645,2136,746,2053,0,682,63
대전,한국과학기술원,25,25,1,970,8413,786,5001,379,686,563
서울,고려대학교 교육대학원,25,25,1,0,867,401,1148,4,315,5
충남,남서울대학교 특수대학원,25,25,1,0,266,207,335,207,100,6
경기,국제사이버대학교,24,24,1,900,1466,1042,4129,10,916,18
경북,국립금오공과대학교대학원,24,24,1,0,293,233,487,84,150,0
