column,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,missing_n,missing_pct,zero_n,negative_n,skew
지원자_석사_계,35431.0,6.166,30.483,0.0,0.0,0.0,0.0,0.0,1.0,27.0,107.0,1488.0,0,0.0,25991,0,16.186
지원자_석사_남,35431.0,2.623,14.291,0.0,0.0,0.0,0.0,0.0,0.0,11.0,46.0,763.0,0,0.0,27405,0,16.854
지원자_석사_여,35431.0,3.542,19.591,0.0,0.0,0.0,0.0,0.0,0.0,16.0,66.0,1320.0,0,0.0,27159,0,21.083
지원자_박사_계,35431.0,1.425,7.783,0.0,0.0,0.0,0.0,0.0,0.0,7.0,29.0,412.0,0,0.0,30626,0,14.9
지원자_박사_남,35431.0,0.75,4.653,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,209.0,0,0.0,31490,0,16.434
지원자_박사_여,35431.0,0.675,3.89,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,231.0,0,0.0,31639,0,16.773
입학자_전체_계,35431.0,19.903,40.811,0.0,0.0,0.0,0.0,4.0,27.0,81.0,176.0,1356.0,0,0.0,14914,0,7.281
입학자_전체_남,35431.0,9.582,22.149,0.0,0.0,0.0,0.0,1.0,11.0,43.0,98.7,681.0,0,0.0,17166,0,7.08
입학자_전체_여,35431.0,10.321,24.662,0.0,0.0,0.0,0.0,1.0,12.0,43.0,105.0,855.0,0,0.0,16442,0,8.861
입학자_석사_계,35431.0,3.091,11.862,0.0,0.0,0.0,0.0,0.0,1.0,17.0,46.0,466.0,0,0.0,26476,0,12.184
입학자_석사_남,35431.0,1.403,6.388,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,294.0,0,0.0,28166,0,15.214
입학자_석사_여,35431.0,1.688,7.027,0.0,0.0,0.0,0.0,0.0,0.0,9.0,27.0,398.0,0,0.0,27763,0,15.177
입학자_박사_계,35431.0,0.883,4.572,0.0,0.0,0.0,0.0,0.0,0.0,5.0,18.0,173.0,0,0.0,30945,0,13.877
입학자_박사_남,35431.0,0.475,2.849,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,136.0,0,0.0,31900,0,16.791
입학자_박사_여,35431.0,0.408,2.174,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,103.0,0,0.0,31995,0,13.328
정원내_입학자_전체_계,35431.0,16.57,35.176,0.0,0.0,0.0,0.0,1.0,23.0,70.0,144.0,1270.0,0,0.0,16602,0,7.978
정원내_입학자_전체_남,35431.0,8.026,19.307,0.0,0.0,0.0,0.0,0.0,8.0,38.0,85.0,646.0,0,0.0,18823,0,7.568
정원내_입학자_전체_여,35431.0,8.544,21.038,0.0,0.0,0.0,0.0,0.0,10.0,38.0,84.0,816.0,0,0.0,18205,0,9.922
정원내_입학자_학부_계,35431.0,13.458,34.577,0.0,0.0,0.0,0.0,0.0,16.0,68.0,140.0,1270.0,0,0.0,25592,0,8.396
정원내_입학자_학부_남,35431.0,6.555,18.72,0.0,0.0,0.0,0.0,0.0,3.0,36.0,81.0,646.0,0,0.0,26157,0,8.073
정원내_입학자_학부_여,35431.0,6.903,20.605,0.0,0.0,0.0,0.0,0.0,4.0,35.0,82.0,816.0,0,0.0,25788,0,10.428
정원내_입학자_석사_계,35431.0,2.453,9.507,0.0,0.0,0.0,0.0,0.0,0.0,14.0,39.0,398.0,0,0.0,27234,0,12.188
정원내_입학자_석사_남,35431.0,1.108,5.139,0.0,0.0,0.0,0.0,0.0,0.0,6.0,20.0,286.0,0,0.0,28936,0,15.697
정원내_입학자_석사_여,35431.0,1.346,5.798,0.0,0.0,0.0,0.0,0.0,0.0,8.0,23.0,398.0,0,0.0,28594,0,18.06
정원내_입학자_박사_계,35431.0,0.659,3.635,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.0,157.0,0,0.0,31414,0,15.382
정원내_입학자_박사_남,35431.0,0.363,2.44,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,135.0,0,0.0,32367,0,20.227
정원내_입학자_박사_여,35431.0,0.295,1.603,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,54.0,0,0.0,32472,0,12.034
정원외_입학자_전체_계,35431.0,3.333,12.621,0.0,0.0,0.0,0.0,0.0,2.0,17.0,51.0,476.0,0,0.0,23817,0,12.524
정원외_입학자_전체_남,35431.0,1.556,6.714,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.7,312.0,0,0.0,26575,0,14.507
정원외_입학자_전체_여,35431.0,1.777,7.545,0.0,0.0,0.0,0.0,0.0,1.0,9.0,31.0,267.0,0,0.0,26256,0,12.1
정원외_입학자_석사_계,35431.0,0.637,6.27,0.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0,466.0,0,0.0,32590,0,30.783
정원외_입학자_석사_남,35431.0,0.295,3.314,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,229.0,0,0.0,33544,0,32.515
정원외_입학자_석사_여,35431.0,0.342,3.515,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,267.0,0,0.0,33249,0,32.104
정원외_입학자_박사_계,35431.0,0.225,2.276,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,158.0,0,0.0,33584,0,33.965
정원외_입학자_박사_남,35431.0,0.112,1.182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,83.0,0,0.0,34144,0,32.422
정원외_입학자_박사_여,35431.0,0.113,1.217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,93.0,0,0.0,34180,0,33.422
재적생_전체_계,35431.0,84.876,212.929,0.0,0.0,0.0,3.0,23.0,100.0,332.0,756.7,13106.0,0,0.0,5590,0,21.393
재적생_전체_남,35431.0,45.401,112.844,0.0,0.0,0.0,1.0,9.0,48.0,196.0,457.7,7995.0,0,0.0,7916,0,17.251
재적생_전체_여,35431.0,39.475,128.996,0.0,0.0,0.0,1.0,8.0,40.0,161.0,380.7,10211.0,0,0.0,8801,0,31.295
재학생_전체_계,35431.0,65.445,162.518,0.0,0.0,0.0,1.0,19.0,79.0,252.0,587.0,9915.0,0,0.0,7731,0,21.18
재학생_전체_남,35431.0,31.313,79.205,0.0,0.0,0.0,0.0,7.0,34.0,133.0,308.0,6037.0,0,0.0,10056,0,20.004
재학생_전체_여,35431.0,34.132,104.436,0.0,0.0,0.0,0.0,7.0,35.0,141.0,331.7,7611.0,0,0.0,10144,0,27.427
휴학생_전체_계,35431.0,18.925,54.675,0.0,0.0,0.0,0.0,3.0,18.0,84.0,190.0,3191.0,0,0.0,11719,0,20.44
휴학생_전체_남,35431.0,13.896,36.858,0.0,0.0,0.0,0.0,1.0,12.0,67.0,157.7,1958.0,0,0.0,14897,0,11.112
휴학생_전체_여,35431.0,5.029,26.891,0.0,0.0,0.0,0.0,1.0,4.0,22.0,53.0,2600.0,0,0.0,17505,0,48.355
유예생_전체_계,35431.0,0.506,3.198,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,157.0,0,0.0,31882,0,19.038
유예생_전체_남,35431.0,0.192,1.437,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,67.0,0,0.0,33295,0,19.336
유예생_전체_여,35431.0,0.314,2.179,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,123.0,0,0.0,32672,0,21.269
재적생_석사_계,35431.0,7.196,28.221,0.0,0.0,0.0,0.0,0.0,3.0,37.0,109.0,1124.0,0,0.0,25104,0,13.587
재적생_석사_남,35431.0,3.205,15.257,0.0,0.0,0.0,0.0,0.0,1.0,15.0,51.7,951.0,0,0.0,26445,0,19.99
재적생_석사_여,35431.0,3.991,16.817,0.0,0.0,0.0,0.0,0.0,1.0,21.0,67.0,1050.0,0,0.0,26175,0,16.479
재학생_석사_계,35431.0,6.389,25.331,0.0,0.0,0.0,0.0,0.0,2.0,33.0,97.0,1010.0,0,0.0,25398,0,13.628
재학생_석사_남,35431.0,2.833,13.667,0.0,0.0,0.0,0.0,0.0,0.0,14.0,46.0,857.0,0,0.0,26786,0,19.819
재학생_석사_여,35431.0,3.556,15.13,0.0,0.0,0.0,0.0,0.0,1.0,19.0,60.0,956.0,0,0.0,26466,0,16.851
휴학생_석사_계,35431.0,0.807,3.836,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,165.0,0,0.0,29359,0,14.273
휴학생_석사_남,35431.0,0.372,2.189,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,116.0,0,0.0,31203,0,20.225
휴학생_석사_여,35431.0,0.435,2.236,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,102.0,0,0.0,31086,0,15.219
재적생_박사_계,35431.0,2.465,13.902,0.0,0.0,0.0,0.0,0.0,0.0,13.0,47.0,782.0,0,0.0,30074,0,17.831
재적생_박사_남,35431.0,1.36,9.164,0.0,0.0,0.0,0.0,0.0,0.0,6.0,26.0,678.0,0,0.0,30790,0,25.083
재적생_박사_여,35431.0,1.105,6.054,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,258.0,0,0.0,30954,0,14.735
재학생_박사_계,35431.0,2.182,12.545,0.0,0.0,0.0,0.0,0.0,0.0,11.0,42.0,733.0,0,0.0,30235,0,18.185
재학생_박사_남,35431.0,1.212,8.432,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0,638.0,0,0.0,30970,0,26.184
재학생_박사_여,35431.0,0.97,5.3,0.0,0.0,0.0,0.0,0.0,0.0,5.0,21.0,230.0,0,0.0,31120,0,14.248
휴학생_박사_계,35431.0,0.284,2.065,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,176.0,0,0.0,32506,0,34.304
휴학생_박사_남,35431.0,0.148,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,95.0,0,0.0,33389,0,33.486
휴학생_박사_여,35431.0,0.136,1.072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,81.0,0,0.0,33568,0,28.968
외국인유학생_총계_계,35431.0,4.114,23.389,0.0,0.0,0.0,0.0,0.0,1.0,16.0,82.7,967.0,0,0.0,25167,0,16.975
외국인유학생_총계_남,35431.0,1.773,11.68,0.0,0.0,0.0,0.0,0.0,0.0,7.0,34.0,594.0,0,0.0,28115,0,22.045
외국인유학생_총계_여,35431.0,2.342,13.659,0.0,0.0,0.0,0.0,0.0,0.0,9.0,49.0,570.0,0,0.0,27315,0,16.126
외국인유학생_학사_계,35431.0,2.642,20.401,0.0,0.0,0.0,0.0,0.0,0.0,8.0,59.0,967.0,0,0.0,29625,0,20.865
외국인유학생_학사_남,35431.0,1.162,10.567,0.0,0.0,0.0,0.0,0.0,0.0,3.0,24.0,594.0,0,0.0,31295,0,27.269
외국인유학생_학사_여,35431.0,1.481,11.593,0.0,0.0,0.0,0.0,0.0,0.0,4.0,35.0,570.0,0,0.0,30952,0,19.259
외국인유학생_석사_계,35431.0,0.956,9.046,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20.0,654.0,0,0.0,31828,0,30.654
외국인유학생_석사_남,35431.0,0.366,3.873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,283.0,0,0.0,33087,0,31.286
외국인유학생_석사_여,35431.0,0.589,5.894,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,459.0,0,0.0,32529,0,33.927
외국인유학생_박사_계,35431.0,0.516,5.369,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,442.0,0,0.0,32878,0,37.377
외국인유학생_박사_남,35431.0,0.244,2.488,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,184.0,0,0.0,33589,0,32.011
외국인유학생_박사_여,35431.0,0.272,3.067,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,258.0,0,0.0,33510,0,39.887
졸업자_전체,35431.0,17.919,45.767,0.0,0.0,0.0,0.0,4.0,23.0,71.0,151.0,3259.0,0,0.0,12025,0,25.2
졸업자_남,35431.0,8.504,23.084,0.0,0.0,0.0,0.0,1.0,9.0,37.0,90.0,2167.0,0,0.0,15255,0,29.018
졸업자_전체_여,35431.0,9.415,29.728,0.0,0.0,0.0,0.0,1.0,10.0,40.0,91.0,2062.0,0,0.0,15363,0,29.191
졸업자_석사_계,35431.0,2.482,10.234,0.0,0.0,0.0,0.0,0.0,1.0,13.0,38.0,522.0,0,0.0,26528,0,16.014
졸업자_석사_남,35431.0,1.103,5.659,0.0,0.0,0.0,0.0,0.0,0.0,6.0,19.0,322.0,0,0.0,28646,0,21.273
졸업자_석사_여,35431.0,1.379,5.974,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0,373.0,0,0.0,28148,0,17.107
졸업자_박사_계,35431.0,0.528,3.033,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,142.0,0,0.0,31631,0,15.914
졸업자_박사_남,35431.0,0.305,2.011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,130.0,0,0.0,32546,0,22.521
졸업자_박사_여,35431.0,0.224,1.412,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,58.0,0,0.0,32956,0,15.658
전임교원_계,35431.0,2.464,12.09,0.0,0.0,0.0,0.0,0.0,3.0,10.0,26.0,903.0,0,0.0,22921,0,35.324
전임교원_남,35431.0,1.728,8.79,0.0,0.0,0.0,0.0,0.0,1.0,7.0,20.0,622.0,0,0.0,24446,0,34.194
전임교원_여,35431.0,0.737,3.804,0.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,281.0,0,0.0,27489,0,30.584
비전임교원_계,35431.0,4.224,13.658,0.0,0.0,0.0,0.0,0.0,4.0,18.0,45.0,854.0,0,0.0,19677,0,23.388
비전임교원_남,35431.0,2.402,8.644,0.0,0.0,0.0,0.0,0.0,2.0,11.0,26.0,565.0,0,0.0,21745,0,27.598
비전임교원_여,35431.0,1.822,6.166,0.0,0.0,0.0,0.0,0.0,1.0,9.0,25.0,305.0,0,0.0,23993,0,14.182
