column,category,count,share,category_n,poisson_equal_share_lambda,poisson_5pct_count_cutoff,poisson_lower_tail_p,low_frequency_flag,interpretation
소계열,의무행정,2,0.00012716983531506327,180,87.37222222222222,72,4.4297904238211883e-35,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,음향,2,0.00012716983531506327,180,87.37222222222222,72,4.4297904238211883e-35,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,비서,2,0.00012716983531506327,180,87.37222222222222,72,4.4297904238211883e-35,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,자원,2,0.00012716983531506327,180,87.37222222222222,72,4.4297904238211883e-35,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,대전 중구,10,0.0006358491765753163,142,110.75352112676056,94,6.681100877320523e-35,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,인천 남동구,10,0.0006358491765753163,142,110.75352112676056,94,6.681100877320523e-35,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,전북 김제시,10,0.0006358491765753163,142,110.75352112676056,94,6.681100877320523e-35,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경남 사천시,10,0.0006358491765753163,142,110.75352112676056,94,6.681100877320523e-35,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,충남 태안군,11,0.000699434094232848,142,110.75352112676056,94,6.793506103321934e-34,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,대구 달성군,11,0.000699434094232848,142,110.75352112676056,94,6.793506103321934e-34,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,미술,3,0.0001907547529725949,180,87.37222222222222,72,1.3052393273216784e-33,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,문예창작,3,0.0001907547529725949,180,87.37222222222222,72,1.3052393273216784e-33,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
중계열,의료,211,0.013416417625739174,36,436.8611111111111,403,2.0987389607437447e-33,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,서울 구로구,12,0.0007630190118903796,142,110.75352112676056,94,6.332760418852249e-33,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,의료장비,4,0.00025433967063012654,180,87.37222222222222,72,2.8848052884034734e-32,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,무역·유통,4,0.00025433967063012654,180,87.37222222222222,72,2.8848052884034734e-32,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경북 구미시,13,0.0008266039295479113,142,110.75352112676056,94,5.449699447009581e-32,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,서울 송파구,14,0.0008901888472054428,142,110.75352112676056,94,4.355226025807074e-31,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,부산 연제구,14,0.0008901888472054428,142,110.75352112676056,94,4.355226025807074e-31,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,토목,5,0.00031792458828765814,180,87.37222222222222,72,5.101434182245096e-31,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,조경,5,0.00031792458828765814,180,87.37222222222222,72,5.101434182245096e-31,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,반도체·세라믹,5,0.00031792458828765814,180,87.37222222222222,72,5.101434182245096e-31,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,신소재,5,0.00031792458828765814,180,87.37222222222222,72,5.101434182245096e-31,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,인천 계양구,15,0.0009537737648629745,142,110.75352112676056,94,3.248851118428403e-30,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,충남 부여군,15,0.0009537737648629745,142,110.75352112676056,94,3.248851118428403e-30,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,원예,6,0.0003815095059451898,180,87.37222222222222,72,7.51878435406682e-30,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,제어계측,6,0.0003815095059451898,180,87.37222222222222,72,7.51878435406682e-30,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
중계열,수학ㆍ물리ㆍ천문ㆍ지리,224,0.014243021555287085,36,436.8611111111111,403,1.8738114243137816e-29,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,기타유럽어 ㆍ 문학,7,0.0004450944236027214,180,87.37222222222222,72,9.499886054294899e-29,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,건축,7,0.0004450944236027214,180,87.37222222222222,72,9.499886054294899e-29,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,인문일반,7,0.0004450944236027214,180,87.37222222222222,72,9.499886054294899e-29,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,재활,7,0.0004450944236027214,180,87.37222222222222,72,9.499886054294899e-29,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경기 광주시,17,0.0010809436001780377,142,110.75352112676056,94,1.4959522480902828e-28,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,전남 광양시,17,0.0010809436001780377,142,110.75352112676056,94,1.4959522480902828e-28,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,간호,8,0.0005086793412602531,180,87.37222222222222,72,1.0504149426419413e-27,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,언론·방송,8,0.0005086793412602531,180,87.37222222222222,72,1.0504149426419413e-27,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,광학·에너지,8,0.0005086793412602531,180,87.37222222222222,72,1.0504149426419413e-27,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,대구 중구,19,0.001208113435493101,142,110.75352112676056,94,5.480699993343653e-27,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,서울 강서구,19,0.001208113435493101,142,110.75352112676056,94,5.480699993343653e-27,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경기 동두천시,20,0.0012716983531506326,142,110.75352112676056,94,3.0679691171783795e-26,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,금속공학,10,0.0006358491765753163,180,87.37222222222222,72,9.136512688743493e-26,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,기타 아시아어ㆍ문학,10,0.0006358491765753163,180,87.37222222222222,72,9.136512688743493e-26,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,충남 논산시,21,0.0013352832708081643,142,110.75352112676056,94,1.6357859602199445e-25,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경남 거창군,21,0.0013352832708081643,142,110.75352112676056,94,1.6357859602199445e-25,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,보건,11,0.000699434094232848,180,87.37222222222222,72,7.350562170405126e-25,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
중계열,정밀ㆍ에너지,242,0.015387550073122655,36,436.8611111111111,403,1.619749973208379e-24,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,사진·만화,12,0.0007630190118903796,180,87.37222222222222,72,5.42178296465043e-24,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,전기,12,0.0007630190118903796,180,87.37222222222222,72,5.42178296465043e-24,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
중계열,수학ㆍ물리 ㆍ 천문ㆍ지리,246,0.01564188974375278,36,436.8611111111111,403,1.6849005578475508e-23,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경기 의정부시,24,0.0015260380237807592,142,110.75352112676056,94,1.892163719085542e-23,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,교양경상학,13,0.0008266039295479113,180,87.37222222222222,72,3.692099303288218e-23,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,자동차,13,0.0008266039295479113,180,87.37222222222222,72,3.692099303288218e-23,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,전산·컴퓨터,13,0.0008266039295479113,180,87.37222222222222,72,3.692099303288218e-23,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,금융·회계·세무,14,0.0008901888472054428,180,87.37222222222222,72,2.3350356316902027e-22,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,생물,14,0.0008901888472054428,180,87.37222222222222,72,2.3350356316902027e-22,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,전자,14,0.0008901888472054428,180,87.37222222222222,72,2.3350356316902027e-22,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,전북 익산시,27,0.001716792776753354,142,110.75352112676056,94,1.5162252183476103e-21,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,강원 고성군,27,0.001716792776753354,142,110.75352112676056,94,1.5162252183476103e-21,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,전북 임실군,28,0.0017803776944108857,142,110.75352112676056,94,6.0684876260136514e-21,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,응용미술,16,0.0010173586825205061,180,87.37222222222222,72,7.631446911476933e-21,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,스페인어ㆍ문학,16,0.0010173586825205061,180,87.37222222222222,72,7.631446911476933e-21,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,광고ㆍ홍보학,16,0.0010173586825205061,180,87.37222222222222,72,7.631446911476933e-21,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,뷰티아트,16,0.0010173586825205061,180,87.37222222222222,72,7.631446911476933e-21,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,전남 목포시,29,0.0018439626120684174,142,110.75352112676056,94,2.3453973513669567e-20,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경남 밀양시,29,0.0018439626120684174,142,110.75352112676056,94,2.3453973513669567e-20,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,기타아시아어ㆍ문학,17,0.0010809436001780377,180,87.37222222222222,72,3.976842160045626e-20,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시도,광주,662,0.04209321548928594,17,925.1176470588235,875,4.7457421832427094e-20,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경북 칠곡군,30,0.001907547529725949,142,110.75352112676056,94,8.763743279891733e-20,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경북 영천시,30,0.001907547529725949,142,110.75352112676056,94,8.763743279891733e-20,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
소계열,유아교육,18,0.0011445285178355695,180,87.37222222222222,72,1.957616934935379e-19,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
시군구,경남 통영시,31,0.0019711324473834805,142,110.75352112676056,94,3.1694530744205976e-19,True,동일 컬럼 내 범주가 균등하게 발생한다고 본 포아송 기준의 저빈도 경고
