dataset,column,dtype,non_null_n,null_n,null_rate,unique_n,sample_values,numeric_conversion_rate,memory_bytes_dataset,complete_duplicate_rows_dataset
registry_raw,source_url,str,51,0,0.0,51,"[""https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000019"", ""https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000149"", ""https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000069"", ""https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000133"", ""https://www.adiga.kr/ucp/uvt/uni/univDetailSelection.do?menuId=PCUVTINF2000&searchSyr=2025&unvCd=0000203""]",1.0,28604,0
registry_raw,retrieved_at,str,51,0,0.0,51,"[""2026-07-10T13:00:25.715081+09:00"", ""2026-07-10T13:00:26.078496+09:00"", ""2026-07-10T13:00:26.339399+09:00"", ""2026-07-10T13:00:26.556369+09:00"", ""2026-07-10T13:00:26.672376+09:00""]",1.0,28604,0
registry_raw,http_status,int64,51,0,0.0,1,"[""200""]",1.0,28604,0
registry_raw,content_type,str,51,0,0.0,1,"[""text/html""]",0.0,28604,0
registry_raw,content_sha256,str,51,0,0.0,51,"[""fe314e28c8fba76a675ef587cd09df612ea9ce82dd9664504c4b07bbe2b8e569"", ""5be8ec4ca9aeb374abc2d4c13e69a8a01a5a98d661607b430fa9e09f43050c66"", ""025df79f4ea01e4fef0b472ce7a5cdb56c56c5e2dc0d7b47ec62d65d2f5b9458"", ""820f118cc5503d45e270d58f4fb74271558a5fec814af01dc605886e4ff8fc37"", ""b4c52f4697a3e305c6d249f3b1f4e22eb5bfb59c52f118e4b5dc53e156d8f56e""]",1.0,28604,0
registry_raw,raw_file_path,str,51,0,0.0,51,"[""data/crawl_2024_admission/raw_html/0000019_2025.html"", ""data/crawl_2024_admission/raw_html/0000149_2025.html"", ""data/crawl_2024_admission/raw_html/0000069_2025.html"", ""data/crawl_2024_admission/raw_html/0000133_2025.html"", ""data/crawl_2024_admission/raw_html/0000203_2025.html""]",1.0,28604,0
registry_raw,parser_version,str,51,0,0.0,1,"[""adiga_v1""]",1.0,28604,0
registry_raw,parse_status,str,51,0,0.0,1,"[""success""]",0.0,28604,0
registry_raw,parse_note,str,51,0,0.0,5,"[""result_tables=4"", ""result_tables=3"", ""result_tables=1"", ""result_tables=2"", ""result_tables=5""]",1.0,28604,0
admission_raw,source_row_id,int64,3096,0,0.0,3096,"[""0"", ""1"", ""2"", ""3"", ""4""]",1.0,1855638,0
admission_raw,raw_row_id,str,3096,0,0.0,3096,"[""SRC_0000019_2025_0001_T71_R0"", ""SRC_0000019_2025_0001_T71_R1"", ""SRC_0000019_2025_0001_T71_R2"", ""SRC_0000019_2025_0001_T71_R3"", ""SRC_0000019_2025_0001_T71_R4""]",1.0,1855638,0
admission_raw,source_id,str,3096,0,0.0,51,"[""SRC_0000019_2025_0001"", ""SRC_0000149_2025_0002"", ""SRC_0000069_2025_0003"", ""SRC_0000133_2025_0004"", ""SRC_0000203_2025_0005""]",1.0,1855638,0
admission_raw,univ_id,str,3096,0,0.0,51,"[""U0000019"", ""U0000149"", ""U0000069"", ""U0000133"", ""U0000203""]",1.0,1855638,0
admission_raw,admission_year,int64,3096,0,0.0,1,"[""2024""]",1.0,1855638,0
admission_raw,raw_table_index,int64,3096,0,0.0,17,"[""71"", ""72"", ""73"", ""74"", ""7""]",1.0,1855638,0
admission_raw,raw_row_index,int64,3096,0,0.0,126,"[""0"", ""1"", ""2"", ""3"", ""4""]",1.0,1855638,0
admission_raw,raw_section_title,str,147,2949,0.9525193798449613,8,"[""정시 지역균형전형"", ""정시 일반전형"", ""정시 기회균형특별전형 ( 농어촌 ) - 선발인원 4 인 이상"", ""정시 기회균형특별전형 ( 저소득 ) - 선발인원 4 인 이상"", ""일반학생전형""]",0.08843537414965986,1855638,0
admission_raw,raw_header_json,str,3096,0,0.0,22,"[""[\""구분\"", \""모집단위\"", \""모집 인원\"", \""경쟁률\"", \""충원 합격 순위\"", \""대학별 환산 / 최종등록자 70% cut\"", \""대학별 환산 / 총점 ( 수능 )\"", \""최종등록자 70% cut 평균 백분위\""]"", ""[\""구분\"", \""모집단위\"", \""모집 인원 (*)\"", \""경쟁률 (*)\"", \""충원 합격 순위\"", \""대학별 환산 / 최종등록자 70% cut\"", \""대학별 환산 / 총점 ( 수능 )\"", \""최종등록자 70% cut 평균 백분위\""]"", ""[\""구분\"", \""모집단위\"", \""모집 인원\"", \""경쟁률\"", \""충원인원\"", \""최종등록자 대학별 환산점수\"", \""최종등록자 대학별 환산점수\"", \""최종등록자 영역별 70% cut\"", \""최종등록자 영역별 70% cut\"", \""최종등록자 영역별 70% cut\"", \""최종등록자 영역별 70% cut\"", \""최종등록자 영역별 70% cut\""]"", ""[\""구분\"", \""모집단위\"", \""모집단위\"", \""모집 인원\"", \""경쟁률\"", \""충원인원\"", \""최종등록자 대학별 환산점수\"", \""최종등록자 대학별 환산점수\"", \""최종등록자 영역별 70% cut\"", \""최종등록자 영역별 70% cut\"", \""최종등록자 영역별 70% cut\"", \""최종등록자 영역별 70% cut\"", \""최종등록자 영역별 70% cut\""]"", ""[\""구분\"", \""모집단위\"", \""모집 인원\"", \""경쟁률\"", \""충원 합격 순위\"", \""대학별 환산 / 최종등록자 70% cut\"", \""대학별 환산 / 총점 ( 수능 )\"", \""최종등록자 70% cut 평균 ( 백분위 )\""]""]",0.9376614987080103,1855638,0
admission_raw,raw_cells_json,str,3096,0,0.0,3067,"[""[\""‘나’군\"", \""인문계열\"", \""23\"", \""2.48:1\"", \""2\"", \""401.9\"", \""-\"", \""96.25\""]"", ""[\""‘나’군\"", \""정치외교학부\"", \""10\"", \""3.10:1\"", \""0\"", \""405.7\"", \""-\"", \""98.25\""]"", ""[\""‘나’군\"", \""경제학부\"", \""20\"", \""1.95:1\"", \""3\"", \""404.5\"", \""-\"", \""98\""]"", ""[\""‘나’군\"", \""인류학과\"", \""7\"", \""4.57:1\"", \""0\"", \""401.1\"", \""-\"", \""97.25\""]"", ""[\""‘나’군\"", \""광역\"", \""46\"", \""2.87:1\"", \""2\"", \""414.1\"", \""-\"", \""96.75\""]""]",1.0,1855638,0
admission_raw,raw_admission_group,str,3061,35,0.011304909560723515,41,"[""‘나’군"", ""‘ 나 ’ 군"", """", ""가군"", ""가군 일반""]",0.015593220338983051,1855638,0
admission_raw,raw_recruitment_unit,str,3096,0,0.0,1326,"[""인문계열"", ""정치외교학부"", ""경제학부"", ""인류학과"", ""광역""]",0.0029354207436399216,1855638,0
admission_raw,raw_recruitment_n,str,2903,193,0.062338501291989666,229,"[""23"", ""10"", ""20"", ""7"", ""46""]",0.9503299756860021,1855638,0
admission_raw,raw_competition_rate,str,2903,193,0.062338501291989666,1023,"[""2.48:1"", ""3.10:1"", ""1.95:1"", ""4.57:1"", ""2.87:1""]",1.0,1855638,0
admission_raw,raw_additional_rank,str,2903,193,0.062338501291989666,294,"[""2"", ""0"", ""3"", ""1"", ""6""]",0.9493361285814116,1855638,0
admission_raw,raw_score_70cut,str,2903,193,0.062338501291989666,2195,"[""401.9"", ""405.7"", ""404.5"", ""401.1"", ""414.1""]",0.9992286926340147,1855638,0
admission_raw,raw_score_max,str,2628,468,0.1511627906976744,160,"[""-"", ""1000"", ""700"", ""800"", ""1,000""]",1.0,1855638,0
admission_raw,raw_percentile_70cut,str,2628,468,0.1511627906976744,1165,"[""96.25"", ""98.25"", ""98"", ""97.25"", ""96.75""]",0.9880810488676997,1855638,0
admission_raw,raw_parse_warning,str,3096,0,0.0,10,"["""", ""1개 선두 컬럼 rowspan 승계"", ""5개 선두 컬럼 rowspan 승계"", ""10개 선두 컬럼 rowspan 승계"", ""6개 선두 컬럼 rowspan 승계""]",1.0,1855638,0
