step,dataset,action,rows_before,rows_after,rows_affected,status,rule,note,executed_at
numeric_conversion,admission_raw,create_numeric_derivatives,3096.0,3096.0,,PASS,,,2026-07-10T13:44:04
artifact_export,eda_11_numeric_quality_issues.csv,save_csv,499.0,499.0,499.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_11_numeric_quality_issues.csv,2026-07-10T13:44:04
numeric_quality,admission_eda,range_and_logic_checks,3096.0,499.0,,PASS,,,2026-07-10T13:44:04
artifact_export,eda_numeric_distribution_profile.csv,save_csv,7.0,7.0,7.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_numeric_distribution_profile.csv,2026-07-10T13:44:04
artifact_export,fig_06_recruitment_n_distribution.png,save_png,,,,PASS,,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/figures/fig_06_recruitment_n_distribution.png,2026-07-10T13:44:04
artifact_export,fig_07_competition_rate_distribution.png,save_png,,,,PASS,,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/figures/fig_07_competition_rate_distribution.png,2026-07-10T13:44:04
artifact_export,fig_08_percentile_70cut_distribution.png,save_png,,,,PASS,,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/figures/fig_08_percentile_70cut_distribution.png,2026-07-10T13:44:04
artifact_export,fig_09_recruitment_vs_competition.png,save_png,,,,PASS,,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/figures/fig_09_recruitment_vs_competition.png,2026-07-10T13:44:04
artifact_export,eda_12_score_availability_patterns.csv,save_csv,16.0,16.0,16.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_12_score_availability_patterns.csv,2026-07-10T13:44:04
availability,admission_eda,field_coavailability,3096.0,16.0,,PASS,,,2026-07-10T13:44:04
artifact_export,eda_13_university_score_coverage.csv,save_csv,51.0,51.0,51.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_13_university_score_coverage.csv,2026-07-10T13:44:04
score_coverage,admission_eda,aggregate_score_coverage,3096.0,51.0,,PASS,,,2026-07-10T13:44:04
artifact_export,eda_15_selection_classification.csv,save_csv,57.0,57.0,57.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_15_selection_classification.csv,2026-07-10T13:44:04
selection_classification,admission_eda,classify_selection_names,3096.0,57.0,,PASS,,,2026-07-10T13:44:04
artifact_export,eda_18_parser_anomaly_review.csv,save_csv,203.0,203.0,203.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_18_parser_anomaly_review.csv,2026-07-10T13:44:04
parser_anomaly,admission_eda,review_result_table_detection,3096.0,203.0,,PASS,,,2026-07-10T13:44:04
artifact_export,eda_14_score_comparability_candidate.csv,save_csv,4.0,4.0,4.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_14_score_comparability_candidate.csv,2026-07-10T13:44:04
artifact_export,fig_05_score_comparability_tier.png,save_png,,,,PASS,,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/figures/fig_05_score_comparability_tier.png,2026-07-10T13:44:05
comparability,admission_eda,assign_score_tiers,3096.0,4.0,,PASS,,,2026-07-10T13:44:05
artifact_export,eda_16_university_quality_dashboard.csv,save_csv,51.0,51.0,51.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_16_university_quality_dashboard.csv,2026-07-10T13:44:05
quality_dashboard,admission_eda,build_university_quality_dashboard,3096.0,51.0,,PASS,,,2026-07-10T13:44:05
artifact_export,eda_17_rank_group_coverage.csv,save_csv,46.0,46.0,46.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_17_rank_group_coverage.csv,2026-07-10T13:44:05
rank_group,admission_eda,aggregate_rank_group_coverage,3096.0,46.0,,PASS,,,2026-07-10T13:44:05
artifact_export,eda_19_html_spotcheck_10_universities.csv,save_csv,10.0,10.0,10.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_19_html_spotcheck_10_universities.csv,2026-07-10T13:44:08
html_spotcheck,raw_html,spotcheck_10_universities,,10.0,,PASS,,,2026-07-10T13:44:08
artifact_export,eda_20_modeling_readiness_counts.csv,save_csv,6.0,6.0,6.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_20_modeling_readiness_counts.csv,2026-07-10T13:44:08
modeling_readiness,admission_eda,count_modeling_candidate_samples,3096.0,6.0,,PASS,,,2026-07-10T13:44:08
artifact_export,eda_21_crosswalk_difficulty.csv,save_csv,51.0,51.0,51.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_21_crosswalk_difficulty.csv,2026-07-10T13:44:08
artifact_export,fig_10_crosswalk_difficulty.png,save_png,,,,PASS,,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/figures/fig_10_crosswalk_difficulty.png,2026-07-10T13:44:08
artifact_export,03_admission_result_eda_ready_2024.parquet,save_parquet,3096.0,3096.0,,PASS,,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/03_admission_result_eda_ready_2024.parquet,2026-07-10T13:44:08
artifact_export,03_admission_result_eda_ready_2024.csv,save_csv,3096.0,3096.0,3096.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/03_admission_result_eda_ready_2024.csv,2026-07-10T13:44:08
crosswalk_readiness,admission_eda,classify_unit_structure,3096.0,51.0,,PASS,,,2026-07-10T13:44:08
evaluation,gate1,judge_gate1_quality,,8.0,,CONDITIONAL PASS,,,2026-07-10T13:44:08
artifact_export,eda_22_gate2_readiness.csv,save_csv,5.0,5.0,5.0,PASS,utf-8-sig,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_2/data/crawl_2024_admission/eda_outputs/eda_22_gate2_readiness.csv,2026-07-10T13:44:08
evaluation,gate2,judge_gate2_readiness,,5.0,,READY_WITH_WARNINGS,,,2026-07-10T13:44:08
