univ_id,univ_name_std,row_n,percentile_70cut_row_n,univ_score_70cut_row_n,univ_score_max_row_n,univ_score_ratio_row_n,percentile_70cut_mean,percentile_70cut_median,univ_score_ratio_mean,percentile_70cut_available_rate,univ_score_70cut_available_rate,univ_score_max_available_rate,univ_score_ratio_available_rate
U0000146,아주대학교,37,37,37,37,37,83.07567567567568,82.83,86.02762162162162,1.0,1.0,1.0,1.0
U0000204,한양대학교,36,36,36,36,36,79.26805555555556,79.5,86.64175,1.0,1.0,1.0,1.0
U0000082,단국대학교,35,35,35,35,35,83.62257142857143,83.8,83.65428571428572,1.0,1.0,1.0,1.0
U0000194,한국항공대학교,35,35,35,35,35,62.085142857142856,76.5,49.31551428571428,1.0,1.0,1.0,1.0
U0000138,세종대학교,31,31,31,31,31,77.38709677419355,78.17,68.18722580645162,1.0,1.0,1.0,1.0
U0000133,성균관대학교,30,30,30,30,30,91.65799999999999,92.5,65.766,1.0,1.0,1.0,1.0
U0000117,상명대학교,29,29,29,29,29,78.10310344827586,79.33,84.7605172413793,1.0,1.0,1.0,1.0
U0000120,서강대학교,27,27,27,27,27,89.89481481481481,91.17,90.46134504449077,1.0,1.0,1.0,1.0
U0000070,고려대학교,24,24,24,24,24,70.06625,69.45,79.1525,1.0,1.0,1.0,1.0
U0000163,이화여자대학교,24,24,24,24,24,90.77749999999999,89.91499999999999,90.50998349834983,1.0,1.0,1.0,1.0
U0000109,명지대학교,22,22,22,22,22,78.83363636363636,79.33,83.94318181818181,1.0,1.0,1.0,1.0
U0000200,한성대학교,15,15,15,15,15,79.04133333333334,79.68,79.98333333333333,1.0,1.0,1.0,1.0
U0000150,연세대학교,14,14,14,14,14,73.22571428571429,70.41499999999999,64.07223008015087,1.0,1.0,1.0,1.0
U0000099,덕성여자대학교,7,7,7,7,7,839.6428571428571,827.5,87.95714285714287,1.0,1.0,1.0,1.0
