source_row_id,univ_id,univ_name_raw,univ_name_std,campus_id,campus_name_std,adiga_univ_code,adiga_label,target_institution_flag,branch_status,crawl_priority,manual_review_required,seed_note,adiga_univ_code_str,duplicate_adiga_code_flag,duplicate_univ_name_flag,seed_status,same_code_university_names,same_name_codes,hufs_global_case_flag
32,U0002660,인천대,인천대학교,0002660,본교/미구분,2660,인천대학교[본교],True,main,33,False,,0002660,False,False,unique_target,인천대학교,0002660,False
33,U0000063,가천대,가천대학교,0000063,본교/미구분,63,가천대학교[본교],True,main,34,False,,0000063,False,False,unique_target,가천대학교,0000063,False
34,U0000099,덕성여대,덕성여자대학교,0000099,본교/미구분,99,덕성여자대학교[본교],True,main,35,False,,0000099,False,False,unique_target,덕성여자대학교,0000099,False
35,U0000102,동덕여대,동덕여자대학교,0000102,본교/미구분,102,동덕여자대학교[본교],True,main,36,False,,0000102,False,False,unique_target,동덕여자대학교,0000102,False
36,U0000056,경기대,경기대학교,0000056,본교/미구분,56,경기대학교[본교],True,main,37,False,,0000056,False,False,unique_target,경기대학교,0000056,False
37,U0000192,한국외대(글캠),한국외국어대학교,0000192,본교/미구분,192,한국외국어대학교[본교],False,unknown,38,True,"adiga에 별도 캠퍼스 코드 없음 — U0000192와 동일 페이지, 중복크롤링 방지 위해 크롤링 대상에서 제외",0000192,True,True,excluded_duplicate_seed,한국외국어대학교,0000192,True
38,U0000126,서울여대,서울여자대학교,0000126,본교/미구분,126,서울여자대학교[본교],True,main,39,False,,0000126,False,False,unique_target,서울여자대학교,0000126,False
39,U0000029,충남대,충남대학교,0000029,본교/미구분,29,충남대학교[본교],True,main,40,False,,0000029,False,False,unique_target,충남대학교,0000029,False
40,U0000200,한성대,한성대학교,0000200,본교/미구분,200,한성대학교[본교],True,main,41,False,,0000200,False,False,unique_target,한성대학교,0000200,False
41,U0000030,충북대,충북대학교,0000030,본교/미구분,30,충북대학교[본교],True,main,42,False,,0000030,False,False,unique_target,충북대학교,0000030,False
42,U0000116,삼육대,삼육대학교,0000116,본교/미구분,116,삼육대학교[본교],True,main,43,False,,0000116,False,False,unique_target,삼육대학교,0000116,False
43,U0000121,서경대,서경대학교,0000121,본교/미구분,121,서경대학교[본교],True,main,44,False,,0000121,False,False,unique_target,서경대학교,0000121,False
44,U0000013,부경대,부경대학교,0000013,본교/미구분,13,국립부경대학교[본교],True,main,45,False,,0000013,False,False,unique_target,부경대학교,0000013,False
45,U0000025,전북대,전북대학교,0000025,본교/미구분,25,전북대학교[본교],True,main,46,False,,0000025,False,False,unique_target,전북대학교,0000025,False
46,U0002726,단국대,단국대학교,0002726_천안,천안,2726,단국대학교[제2캠퍼스],True,branch,47,False,,0002726,False,True,unique_target,단국대학교,0000082; 0002726,False
47,U0000003,강원대,강원대학교,0000003,본교/미구분,3,강원대학교[본교],True,main,48,False,,0000003,False,False,unique_target,강원대학교,0000003,False
48,U0000150,연세대(원주캠),연세대학교,0000150,본교/미구분,150,연세대학교(미래)[분교],True,branch,49,False,,0000150,False,True,unique_target,연세대학교,0000149; 0000150,False
49,U0000070,고려대(세종캠),고려대학교,0000070,본교/미구분,70,고려대학교(세종)[분교],True,branch,50,False,,0000070,False,True,unique_target,고려대학교,0000069; 0000070,False
50,U0000140,수원대,수원대학교,0000140,본교/미구분,140,수원대학교[본교],True,main,51,False,,0000140,False,False,unique_target,수원대학교,0000140,False
51,U0000247,한국공대,한국공학대학교,0000247,본교/미구분,247,한국공학대학교[본교],True,main,52,False,,0000247,False,False,unique_target,한국공학대학교,0000247,False
