raw_row_id,issue_type,column,rule,univ_id,univ_name_std,raw_section_title,raw_recruitment_unit,raw_recruitment_n,raw_competition_rate,raw_additional_rank,raw_score_70cut,raw_score_max,raw_percentile_70cut,numeric_qa_status
SRC_0000005_2025_0022_T7_R52,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,국어교육과,17,3.8 :1,17,639.36,"1,000",230.09,FAIL
SRC_0000005_2025_0022_T7_R53,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,영어교육과,6,6.8 :1,12,656.41,"1,000",241.58,FAIL
SRC_0000005_2025_0022_T7_R56,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,역사교육과,5,5.8 :1,5,655.69,"1,000",237.20,FAIL
SRC_0000005_2025_0022_T7_R57,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,지리교육과,4,6.8 :1,5,645.48,"1,000",226.25,FAIL
SRC_0000005_2025_0022_T7_R58,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,일반사회교육과,4,8.8 :1,11,638.10,"1,000",230.10,FAIL
SRC_0000005_2025_0022_T7_R59,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,윤리교육과,4,12.5 :1,0,666.09,"1,000",252.50,FAIL
SRC_0000005_2025_0022_T7_R60,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,수학교육과,7,4.6 :1,10,672.36,"1,000",256.07,FAIL
SRC_0000005_2025_0022_T7_R61,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,물리교육과,6,6.2 :1,9,642.81,"1,000",233.33,FAIL
SRC_0000005_2025_0022_T7_R63,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,생물교육과,4,6.3 :1,3,651.86,"1,000",240.00,FAIL
SRC_0000005_2025_0022_T7_R64,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,지구과학교육과,4,11.8 :1,6,645.52,"1,000",233.75,FAIL
SRC_0000005_2025_0022_T7_R65,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,가정교육과,6,11.0 :1,17,641.57,"1,000",230.71,FAIL
SRC_0000005_2025_0022_T7_R66,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,체육교육과,12,2.3 :1,2,506.61,800,224.38,FAIL
SRC_0000005_2025_0022_T7_R67,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,의예과,22,5.8 :1,23,748.75,"1,000",295.86,FAIL
SRC_0000005_2025_0022_T7_R68,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,치의예과,19,4.2 :1,13,741.03,"1,000",292.82,FAIL
SRC_0000005_2025_0022_T7_R69,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,수의예과,13,8.8 :1,14,729.07,"1,000",288.35,FAIL
SRC_0000005_2025_0022_T7_R70,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,아동학부,10,6.1 :1,18,639.98,"1,000",229.68,FAIL
SRC_0000005_2025_0022_T7_R71,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,의류학과,5,8.8 :1,5,644.53,"1,000",233.90,FAIL
SRC_0000005_2025_0022_T7_R72,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,식품영양학과,5,9.2 :1,3,645.76,"1,000",246.00,FAIL
SRC_0000005_2025_0022_T7_R73,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,간호학과,24,4.6 :1,12,673.55,"1,000",261.46,FAIL
SRC_0000005_2025_0022_T7_R74,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,약학과,5,14.0 :1,9,733.68,"1,000",289.80,FAIL
SRC_0000005_2025_0022_T7_R75,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,혁신신약학과,8,6.5 :1,4,686.43,"1,000",267.31,FAIL
SRC_0000005_2025_0022_T7_R76,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,전자공학부,99,3.9 :1,37,682.07,"1,000",266.26,FAIL
SRC_0000005_2025_0022_T7_R77,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,전자공학부 ( 인공지능전공 ),14,5.9 :1,12,672.13,"1,000",259.11,FAIL
SRC_0000005_2025_0022_T7_R78,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,"컴퓨터학부 ( 플랫폼소프트웨어전공 , 데이터과학전공 )",14,5.4 :1,16,674.21,"1,000",264.73,FAIL
SRC_0000005_2025_0022_T7_R79,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,컴퓨터학부 ( 인공지능컴퓨팅전공 ),10,5.1 :1,10,672.25,"1,000",258.05,FAIL
SRC_0000005_2025_0022_T7_R80,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,컴퓨터학부 ( 글로벌소프트웨어융합전공 ),22,5.0 :1,26,670.64,"1,000",257.93,FAIL
SRC_0000005_2025_0022_T7_R81,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,전기공학과,15,4.9 :1,19,672.02,"1,000",259.63,FAIL
SRC_0000005_2025_0022_T7_R82,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,전자공학부모바일공학전공,10,5.7 :1,8,719.05,"1,000",285.00,FAIL
SRC_0000005_2025_0022_T7_R83,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,인문사회자율전공,22,4.4 :1,12,666.41,"1,000",249.34,FAIL
SRC_0000005_2025_0022_T7_R84,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,자연과학자율전공,24,4.4 :1,15,672.30,"1,000",256.63,FAIL
SRC_0000005_2025_0022_T7_R85,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,행정학부,10,5.6 :1,8,664.55,"1,000",254.60,FAIL
SRC_0000005_2025_0022_T7_R86,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,융합학부 ( 스마트모빌리티공학전공 ),15,4.9 :1,14,661.06,"1,000",248.70,FAIL
SRC_0000005_2025_0022_T7_R87,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,산림생태보호학과,4,6.8 :1,7,640.13,"1,000",122.50,FAIL
SRC_0000005_2025_0022_T7_R88,range,percentile_70cut_num,0 <= percentile_70cut <= 100,U0000005,경북대학교,,식물자원학과,5,9.2 :1,5,638.66,"1,000",117.40,FAIL
