raw_dept_name,alias_key_strict,alias_key_loose,dept_canonical_id,dept_name_canonical,strict_canonical_n,loose_canonical_n,alias_collision_flag,loose_collision_flag,auto_match_allowed
수학교육과(심화전공),수학교육과(심화전공),수학교육과,DEP_000017,수학교육과,1,1,False,False,True
신소재공,신소재공,신소재공,DEP_000018,신소재공,1,1,False,False,True
신소재공학과,신소재공학과,신소재공,DEP_000018,신소재공,1,1,False,False,True
신소재공학부,신소재공학부,신소재공,DEP_000018,신소재공,1,1,False,False,True
영어교육과,영어교육과,영어교육과,DEP_000019,영어교육과,1,1,False,False,True
영어교육과(심화과정),영어교육과(심화과정),영어교육과,DEP_000019,영어교육과,1,1,False,False,True
영어교육과(심화전공),영어교육과(심화전공),영어교육과,DEP_000019,영어교육과,1,1,False,False,True
물리치료,물리치료,물리치료,DEP_000020,물리치료,1,1,False,False,True
물리치료학과,물리치료학과,물리치료,DEP_000020,물리치료,1,1,False,False,True
생명과,생명과,생명과,DEP_000021,생명과,1,1,False,False,True
생명과학과,생명과학과,생명과,DEP_000021,생명과,1,1,False,False,True
생명과학부,생명과학부,생명과,DEP_000021,생명과,1,1,False,False,True
생명과학부(분자생물학전공),생명과학부(분자생물학전공),생명과,DEP_000021,생명과,1,1,False,False,True
생명과학부(생명과학전공),생명과학부(생명과학전공),생명과,DEP_000021,생명과,1,1,False,False,True
경찰행정,경찰행정,경찰행정,DEP_000022,경찰행정,1,2,False,True,True
경찰행정전공,경찰행정전공,경찰행정,DEP_000022,경찰행정,1,2,False,True,True
경찰행정학과,경찰행정학과,경찰행정,DEP_000022,경찰행정,1,2,False,True,True
경찰행정학부,경찰행정학부,경찰행정,DEP_000022,경찰행정,1,2,False,True,True
경찰행정학부(해양경찰전공),경찰행정학부(해양경찰전공),경찰행정,DEP_000022,경찰행정,1,2,False,True,True
상담심리,상담심리,상담심리,DEP_000023,상담심리,1,1,False,False,True
상담심리전공,상담심리전공,상담심리,DEP_000023,상담심리,1,1,False,False,True
상담심리학과,상담심리학과,상담심리,DEP_000023,상담심리,1,1,False,False,True
전기공,전기공,전기공,DEP_000024,전기공,1,1,False,False,True
전기공학과,전기공학과,전기공,DEP_000024,전기공,1,1,False,False,True
전기공학부,전기공학부,전기공,DEP_000024,전기공,1,1,False,False,True
건축공,건축공,건축공,DEP_000025,건축공,1,1,False,False,True
건축공학과,건축공학과,건축공,DEP_000025,건축공,1,1,False,False,True
건축공학부,건축공학부,건축공,DEP_000025,건축공,1,1,False,False,True
국어교육과,국어교육과,국어교육과,DEP_000026,국어교육과,1,1,False,False,True
국어교육과(심화과정),국어교육과(심화과정),국어교육과,DEP_000026,국어교육과,1,1,False,False,True
국어교육과(심화전공),국어교육과(심화전공),국어교육과,DEP_000026,국어교육과,1,1,False,False,True
교육,교육,교육,DEP_000027,교육,1,1,False,False,True
교육학과,교육학과,교육,DEP_000027,교육,1,1,False,False,True
교육학과(심화과정),교육학과(심화과정),교육,DEP_000027,교육,1,1,False,False,True
교육학과(심화전공),교육학과(심화전공),교육,DEP_000027,교육,1,1,False,False,True
교육학부,교육학부,교육,DEP_000027,교육,1,1,False,False,True
음악,음악,음악,DEP_000028,음악,1,1,False,False,True
음악전공,음악전공,음악,DEP_000028,음악,1,1,False,False,True
음악학과,음악학과,음악,DEP_000028,음악,1,1,False,False,True
"음악학과(성악전공, 피아노전공, 작곡전공, 관현악전공, 이론전공)","음악학과(성악전공,피아노전공,작곡전공,관현악전공,이론전공)",음악,DEP_000028,음악,1,1,False,False,True
음악학부,음악학부,음악,DEP_000028,음악,1,1,False,False,True
음악학부(관현악전공),음악학부(관현악전공),음악,DEP_000028,음악,1,1,False,False,True
음악학부(기악),음악학부(기악),음악,DEP_000028,음악,1,1,False,False,True
음악학부(성악),음악학부(성악),음악,DEP_000028,음악,1,1,False,False,True
음악학부(성악전공),음악학부(성악전공),음악,DEP_000028,음악,1,1,False,False,True
화학공,화학공,화학공,DEP_000029,화학공,1,1,False,False,True
화학공학과,화학공학과,화학공,DEP_000029,화학공,1,1,False,False,True
화학공학부,화학공학부,화학공,DEP_000029,화학공,1,1,False,False,True
화학공학부(나노화학공학전공),화학공학부(나노화학공학전공),화학공,DEP_000029,화학공,1,1,False,False,True
화학공학부(생명화학공학전공),화학공학부(생명화학공학전공),화학공,DEP_000029,화학공,1,1,False,False,True
화학공학부(에너지화학공학전공),화학공학부(에너지화학공학전공),화학공,DEP_000029,화학공,1,1,False,False,True
사,사,사,DEP_000030,사,1,1,False,False,True
사학과,사학과,사,DEP_000030,사,1,1,False,False,True
약,약,약,DEP_000031,약,1,1,False,False,True
약학과,약학과,약,DEP_000031,약,1,1,False,False,True
약학과(2+4년제),약학과(2+4년제),약,DEP_000031,약,1,1,False,False,True
약학과(2+4학제),약학과(2+4학제),약,DEP_000031,약,1,1,False,False,True
약학과(6년제),약학과(6년제),약,DEP_000031,약,1,1,False,False,True
약학부,약학부,약,DEP_000031,약,1,1,False,False,True
약학부(통합6년제),약학부(통합6년제),약,DEP_000031,약,1,1,False,False,True
물리,물리,물리,DEP_000032,물리,1,1,False,False,True
물리학과,물리학과,물리,DEP_000032,물리,1,1,False,False,True
신,신,신,DEP_000033,신,1,1,False,False,True
신학과,신학과,신,DEP_000033,신,1,1,False,False,True
신학부,신학부,신,DEP_000033,신,1,1,False,False,True
철,철,철,DEP_000034,철,1,1,False,False,True
철학과,철학과,철,DEP_000034,철,1,1,False,False,True
의,의,의,DEP_000035,의,1,1,False,False,True
의학과,의학과,의,DEP_000035,의,1,1,False,False,True
의학과(예과),의학과(예과),의,DEP_000035,의,1,1,False,False,True
의학과(의예과),의학과(의예과),의,DEP_000035,의,1,1,False,False,True
의학부(의예),의학부(의예),의,DEP_000035,의,1,1,False,False,True
의학부(의학),의학부(의학),의,DEP_000035,의,1,1,False,False,True
소프트웨어,소프트웨어,소프트웨어,DEP_000036,소프트웨어,1,3,False,True,True
소프트웨어전공,소프트웨어전공,소프트웨어,DEP_000036,소프트웨어,1,3,False,True,True
소프트웨어학과,소프트웨어학과,소프트웨어,DEP_000036,소프트웨어,1,3,False,True,True
소프트웨어학부,소프트웨어학부,소프트웨어,DEP_000036,소프트웨어,1,3,False,True,True
소프트웨어학부(소프트웨어전공),소프트웨어학부(소프트웨어전공),소프트웨어,DEP_000036,소프트웨어,1,3,False,True,True
미디어커뮤니케이션,미디어커뮤니케이션,미디어커뮤니케이션,DEP_000037,미디어커뮤니케이션,1,1,False,False,True
미디어커뮤니케이션학과,미디어커뮤니케이션학과,미디어커뮤니케이션,DEP_000037,미디어커뮤니케이션,1,1,False,False,True
미디어커뮤니케이션학부,미디어커뮤니케이션학부,미디어커뮤니케이션,DEP_000037,미디어커뮤니케이션,1,1,False,False,True
미디어커뮤니케이션학부(광고PR전공),미디어커뮤니케이션학부(광고pr전공),미디어커뮤니케이션,DEP_000037,미디어커뮤니케이션,1,1,False,False,True
미디어커뮤니케이션학부(영상콘텐츠전공),미디어커뮤니케이션학부(영상콘텐츠전공),미디어커뮤니케이션,DEP_000037,미디어커뮤니케이션,1,1,False,False,True
정치외교,정치외교,정치외교,DEP_000038,정치외교,1,1,False,False,True
정치외교학과,정치외교학과,정치외교,DEP_000038,정치외교,1,1,False,False,True
정치외교학부,정치외교학부,정치외교,DEP_000038,정치외교,1,1,False,False,True
정치외교학부(외교학전공),정치외교학부(외교학전공),정치외교,DEP_000038,정치외교,1,1,False,False,True
정치외교학부(정치학전공),정치외교학부(정치학전공),정치외교,DEP_000038,정치외교,1,1,False,False,True
체육,체육,체육,DEP_000039,체육,1,1,False,False,True
체육전공,체육전공,체육,DEP_000039,체육,1,1,False,False,True
체육학과,체육학과,체육,DEP_000039,체육,1,1,False,False,True
체육학부,체육학부,체육,DEP_000039,체육,1,1,False,False,True
체육학부(스포츠과학전공),체육학부(스포츠과학전공),체육,DEP_000039,체육,1,1,False,False,True
체육학부(체육),체육학부(체육),체육,DEP_000039,체육,1,1,False,False,True
체육학부(체육학전공),체육학부(체육학전공),체육,DEP_000039,체육,1,1,False,False,True
체육학부(태권도),체육학부(태권도),체육,DEP_000039,체육,1,1,False,False,True
산업디자인,산업디자인,산업디자인,DEP_000040,산업디자인,1,1,False,False,True
산업디자인전공,산업디자인전공,산업디자인,DEP_000040,산업디자인,1,1,False,False,True
산업디자인학과,산업디자인학과,산업디자인,DEP_000040,산업디자인,1,1,False,False,True
산업디자인학부,산업디자인학부,산업디자인,DEP_000040,산업디자인,1,1,False,False,True
사회,사회,사회,DEP_000041,사회,1,1,False,False,True
사회학과,사회학과,사회,DEP_000041,사회,1,1,False,False,True
작업치료,작업치료,작업치료,DEP_000042,작업치료,1,1,False,False,True
작업치료학과,작업치료학과,작업치료,DEP_000042,작업치료,1,1,False,False,True
중어중문,중어중문,중어중문,DEP_000043,중어중문,1,1,False,False,True
중어중문학과,중어중문학과,중어중문,DEP_000043,중어중문,1,1,False,False,True
중어중문학부,중어중문학부,중어중문,DEP_000043,중어중문,1,1,False,False,True
환경공,환경공,환경공,DEP_000044,환경공,1,1,False,False,True
환경공학과,환경공학과,환경공,DEP_000044,환경공,1,1,False,False,True
환경공학과(환경공학전공),환경공학과(환경공학전공),환경공,DEP_000044,환경공,1,1,False,False,True
환경공학과(환경정책전공),환경공학과(환경정책전공),환경공,DEP_000044,환경공,1,1,False,False,True
환경공학부,환경공학부,환경공,DEP_000044,환경공,1,1,False,False,True
경영학,경영학,경영학,DEP_000045,경영학,1,1,False,False,True
경영학전공,경영학전공,경영학,DEP_000045,경영학,1,1,False,False,True
경영학전공(경영회계학부),경영학전공(경영회계학부),경영학,DEP_000045,경영학,1,1,False,False,True
경영학전공(야간),경영학전공(야간),경영학,DEP_000045,경영학,1,1,False,False,True
스포츠과,스포츠과,스포츠과,DEP_000046,스포츠과,1,1,False,False,True
스포츠과학과,스포츠과학과,스포츠과,DEP_000046,스포츠과,1,1,False,False,True
스포츠과학부,스포츠과학부,스포츠과,DEP_000046,스포츠과,1,1,False,False,True
스포츠과학부(골프지도전공),스포츠과학부(골프지도전공),스포츠과,DEP_000046,스포츠과,1,1,False,False,True
스포츠과학부(생활체육학전공),스포츠과학부(생활체육학전공),스포츠과,DEP_000046,스포츠과,1,1,False,False,True
체육교육과,체육교육과,체육교육과,DEP_000047,체육교육과,1,1,False,False,True
체육교육과(심화과정),체육교육과(심화과정),체육교육과,DEP_000047,체육교육과,1,1,False,False,True
체육교육과(심화전공),체육교육과(심화전공),체육교육과,DEP_000047,체육교육과,1,1,False,False,True
디자인,디자인,디자인,DEP_000048,디자인,1,2,False,True,True
디자인학과,디자인학과,디자인,DEP_000048,디자인,1,2,False,True,True
디자인학과(산업디자인전공),디자인학과(산업디자인전공),디자인,DEP_000048,디자인,1,2,False,True,True
디자인학과(시각디자인전공),디자인학과(시각디자인전공),디자인,DEP_000048,디자인,1,2,False,True,True
디자인학부,디자인학부,디자인,DEP_000048,디자인,1,2,False,True,True
디자인학부(공예전공),디자인학부(공예전공),디자인,DEP_000048,디자인,1,2,False,True,True
디자인학부(산업디자인전공),디자인학부(산업디자인전공),디자인,DEP_000048,디자인,1,2,False,True,True
디자인학부(시각디자인전공),디자인학부(시각디자인전공),디자인,DEP_000048,디자인,1,2,False,True,True
디자인학부(신),디자인학부(신),디자인,DEP_000048,디자인,1,2,False,True,True
토목공,토목공,토목공,DEP_000049,토목공,1,1,False,False,True
토목공학과,토목공학과,토목공,DEP_000049,토목공,1,1,False,False,True
토목공학부,토목공학부,토목공,DEP_000049,토목공,1,1,False,False,True
전기전자공,전기전자공,전기전자공,DEP_000050,전기전자공,1,1,False,False,True
전기전자공학과,전기전자공학과,전기전자공,DEP_000050,전기전자공,1,1,False,False,True
전기전자공학부,전기전자공학부,전기전자공,DEP_000050,전기전자공,1,1,False,False,True
치위생,치위생,치위생,DEP_000051,치위생,1,1,False,False,True
치위생학과,치위생학과,치위생,DEP_000051,치위생,1,1,False,False,True
심리,심리,심리,DEP_000052,심리,1,1,False,False,True
심리학과,심리학과,심리,DEP_000052,심리,1,1,False,False,True
심리학부,심리학부,심리,DEP_000052,심리,1,1,False,False,True
문헌정보,문헌정보,문헌정보,DEP_000053,문헌정보,1,1,False,False,True
문헌정보전공,문헌정보전공,문헌정보,DEP_000053,문헌정보,1,1,False,False,True
문헌정보학과,문헌정보학과,문헌정보,DEP_000053,문헌정보,1,1,False,False,True
인공지능,인공지능,인공지능,DEP_000054,인공지능,1,1,False,False,True
인공지능전공,인공지능전공,인공지능,DEP_000054,인공지능,1,1,False,False,True
인공지능학과,인공지능학과,인공지능,DEP_000054,인공지능,1,1,False,False,True
인공지능학부,인공지능학부,인공지능,DEP_000054,인공지능,1,1,False,False,True
의예과,의예과,의예과,DEP_000055,의예과,1,1,False,False,True
의예과(자연계열),의예과(자연계열),의예과,DEP_000055,의예과,1,1,False,False,True
응급구조,응급구조,응급구조,DEP_000056,응급구조,1,1,False,False,True
응급구조학과,응급구조학과,응급구조,DEP_000056,응급구조,1,1,False,False,True
시각디자인,시각디자인,시각디자인,DEP_000057,시각디자인,1,1,False,False,True
시각디자인전공,시각디자인전공,시각디자인,DEP_000057,시각디자인,1,1,False,False,True
시각디자인학과,시각디자인학과,시각디자인,DEP_000057,시각디자인,1,1,False,False,True
정보통신공,정보통신공,정보통신공,DEP_000058,정보통신공,1,1,False,False,True
정보통신공학과,정보통신공학과,정보통신공,DEP_000058,정보통신공,1,1,False,False,True
정보통신공학부,정보통신공학부,정보통신공,DEP_000058,정보통신공,1,1,False,False,True
정보통신공학부(정보보안전공),정보통신공학부(정보보안전공),정보통신공,DEP_000058,정보통신공,1,1,False,False,True
정보통신공학부(정보통신공학전공),정보통신공학부(정보통신공학전공),정보통신공,DEP_000058,정보통신공,1,1,False,False,True
관광경영,관광경영,관광경영,DEP_000059,관광경영,1,1,False,False,True
관광경영전공,관광경영전공,관광경영,DEP_000059,관광경영,1,1,False,False,True
관광경영학과,관광경영학과,관광경영,DEP_000059,관광경영,1,1,False,False,True
컴퓨터공학,컴퓨터공학,컴퓨터공학,DEP_000060,컴퓨터공학,1,1,False,False,True
컴퓨터공학전공,컴퓨터공학전공,컴퓨터공학,DEP_000060,컴퓨터공학,1,1,False,False,True
임상병리,임상병리,임상병리,DEP_000061,임상병리,1,1,False,False,True
임상병리학과,임상병리학과,임상병리,DEP_000061,임상병리,1,1,False,False,True
국제,국제,국제,DEP_000062,국제,1,1,False,False,True
국제학과,국제학과,국제,DEP_000062,국제,1,1,False,False,True
국제학과(영어・중국어),국제학과(영어·중국어),국제,DEP_000062,국제,1,1,False,False,True
국제학과(한국어학전공),국제학과(한국어학전공),국제,DEP_000062,국제,1,1,False,False,True
국제학부,국제학부,국제,DEP_000062,국제,1,1,False,False,True
국제학부(국제어문학전공),국제학부(국제어문학전공),국제,DEP_000062,국제,1,1,False,False,True
국제학부(국제자유전공),국제학부(국제자유전공),국제,DEP_000062,국제,1,1,False,False,True
국제학부(글로벌자율전공),국제학부(글로벌자율전공),국제,DEP_000062,국제,1,1,False,False,True
국제학부(글로벌한국학전공),국제학부(글로벌한국학전공),국제,DEP_000062,국제,1,1,False,False,True
건축학,건축학,건축학,DEP_000063,건축학,1,1,False,False,True
건축학(5년제),건축학(5년제),건축학,DEP_000063,건축학,1,1,False,False,True
건축학전공,건축학전공,건축학,DEP_000063,건축학,1,1,False,False,True
건축학전공(5년),건축학전공(5년),건축학,DEP_000063,건축학,1,1,False,False,True
건축학전공(5년제),건축학전공(5년제),건축학,DEP_000063,건축학,1,1,False,False,True
산업경영공,산업경영공,산업경영공,DEP_000064,산업경영공,1,1,False,False,True
산업경영공학과,산업경영공학과,산업경영공,DEP_000064,산업경영공,1,1,False,False,True
산업경영공학부,산업경영공학부,산업경영공,DEP_000064,산업경영공,1,1,False,False,True
건축공학,건축공학,건축공학,DEP_000065,건축공학,1,1,False,False,True
건축공학(4년제),건축공학(4년제),건축공학,DEP_000065,건축공학,1,1,False,False,True
건축공학전공,건축공학전공,건축공학,DEP_000065,건축공학,1,1,False,False,True
패션디자인,패션디자인,패션디자인,DEP_000066,패션디자인,1,1,False,False,True
패션디자인전공,패션디자인전공,패션디자인,DEP_000066,패션디자인,1,1,False,False,True
패션디자인전공(섬유・패션학부),패션디자인전공(섬유·패션학부),패션디자인,DEP_000066,패션디자인,1,1,False,False,True
패션디자인학과,패션디자인학과,패션디자인,DEP_000066,패션디자인,1,1,False,False,True
항공서비스,항공서비스,항공서비스,DEP_000067,항공서비스,1,1,False,False,True
항공서비스전공,항공서비스전공,항공서비스,DEP_000067,항공서비스,1,1,False,False,True
항공서비스학과,항공서비스학과,항공서비스,DEP_000067,항공서비스,1,1,False,False,True
항공서비스학부,항공서비스학부,항공서비스,DEP_000067,항공서비스,1,1,False,False,True
회계,회계,회계,DEP_000068,회계,1,1,False,False,True
회계전공,회계전공,회계,DEP_000068,회계,1,1,False,False,True
회계학과,회계학과,회계,DEP_000068,회계,1,1,False,False,True
회계학부,회계학부,회계,DEP_000068,회계,1,1,False,False,True
회계학부(세무행정전공),회계학부(세무행정전공),회계,DEP_000068,회계,1,1,False,False,True
회계학부(회계학전공),회계학부(회계학전공),회계,DEP_000068,회계,1,1,False,False,True
아동,아동,아동,DEP_000069,아동,1,1,False,False,True
아동학과,아동학과,아동,DEP_000069,아동,1,1,False,False,True
아동학과(인문사회),아동학과(인문사회),아동,DEP_000069,아동,1,1,False,False,True
아동학과(자연),아동학과(자연),아동,DEP_000069,아동,1,1,False,False,True
아동학부,아동학부,아동,DEP_000069,아동,1,1,False,False,True
실용음악,실용음악,실용음악,DEP_000070,실용음악,1,1,False,False,True
실용음악전공,실용음악전공,실용음악,DEP_000070,실용음악,1,1,False,False,True
실용음악학과,실용음악학과,실용음악,DEP_000070,실용음악,1,1,False,False,True
실용음악학부,실용음악학부,실용음악,DEP_000070,실용음악,1,1,False,False,True
특수교육과,특수교육과,특수교육과,DEP_000071,특수교육과,1,1,False,False,True
특수(통합)교육과(심화과정),특수(통합)교육과(심화과정),특수교육과,DEP_000071,특수교육과,1,1,False,False,True
특수교육과(중등특수교육전공),특수교육과(중등특수교육전공),특수교육과,DEP_000071,특수교육과,1,1,False,False,True
특수교육과(초등특수교육전공),특수교육과(초등특수교육전공),특수교육과,DEP_000071,특수교육과,1,1,False,False,True
사회복지학,사회복지학,사회복지학,DEP_000072,사회복지학,1,2,False,True,True
사회복지학전공,사회복지학전공,사회복지학,DEP_000072,사회복지학,1,2,False,True,True
일어일문,일어일문,일어일문,DEP_000073,일어일문,1,1,False,False,True
일어일문학과,일어일문학과,일어일문,DEP_000073,일어일문,1,1,False,False,True
일어일문학부,일어일문학부,일어일문,DEP_000073,일어일문,1,1,False,False,True
역사교육과,역사교육과,역사교육과,DEP_000074,역사교육과,1,1,False,False,True
영어,영어,영어,DEP_000075,영어,1,1,False,False,True
영어전공,영어전공,영어,DEP_000075,영어,1,1,False,False,True
영어학과,영어학과,영어,DEP_000075,영어,1,1,False,False,True
영어학부,영어학부,영어,DEP_000075,영어,1,1,False,False,True
영어학부(영어전공),영어학부(영어전공),영어,DEP_000075,영어,1,1,False,False,True
영어학부(영어통번역전공),영어학부(영어통번역전공),영어,DEP_000075,영어,1,1,False,False,True
무역,무역,무역,DEP_000076,무역,1,1,False,False,True
무역학과,무역학과,무역,DEP_000076,무역,1,1,False,False,True
무역학부,무역학부,무역,DEP_000076,무역,1,1,False,False,True
광고홍보,광고홍보,광고홍보,DEP_000077,광고홍보,1,1,False,False,True
광고홍보전공,광고홍보전공,광고홍보,DEP_000077,광고홍보,1,1,False,False,True
광고홍보학과,광고홍보학과,광고홍보,DEP_000077,광고홍보,1,1,False,False,True
광고홍보학부,광고홍보학부,광고홍보,DEP_000077,광고홍보,1,1,False,False,True
국제통상,국제통상,국제통상,DEP_000078,국제통상,1,1,False,False,True
