major_group_7,outcome,model_family,old_n,strict_n,old_ame_10pp,strict_ame_10pp,absolute_change,sign_change,old_ci_low,old_ci_high,strict_ci_low,strict_ci_high,ci_overlap,branch,control_set,grade_signal
ART,GRAD_SCHOOL_PROGRESSION,ols_cluster,646,646,0.008673317756093927,0.008673317756093927,0.0,False,0.0016711649456225492,0.015675470566565305,0.0016711649456225496,0.015675470566565305,True,STRUCTURE,B_CORE,RAW_A
EDU,GRAD_SCHOOL_PROGRESSION,ols_cluster,602,602,0.010271164029181818,0.010271164029181818,0.0,False,0.002589967004911612,0.017952361053452024,0.002589967004911612,0.017952361053452024,True,STRUCTURE,B_CORE,RAW_A
ENG,GRAD_SCHOOL_PROGRESSION,ols_cluster,911,911,0.04408190652730628,0.04408190652730628,0.0,False,0.022097760524617125,0.06606605252999544,0.022097760524617125,0.06606605252999544,True,STRUCTURE,B_CORE,RAW_A
HUM,GRAD_SCHOOL_PROGRESSION,ols_cluster,535,535,0.01920018043525933,0.01920018043525933,0.0,False,0.007575731591147743,0.03082462927937092,0.007575731591147743,0.03082462927937092,True,STRUCTURE,B_CORE,RAW_A
MED,GRAD_SCHOOL_PROGRESSION,ols_cluster,374,374,0.0033064116675118986,0.0033064116675118995,8.673617379884035e-19,False,-0.006136580870251484,0.012749404205275284,-0.006136580870251484,0.012749404205275284,True,STRUCTURE,B_CORE,RAW_A
NAT,GRAD_SCHOOL_PROGRESSION,ols_cluster,583,583,0.03733052373135268,0.037330523731352684,6.938893903907228e-18,False,0.013956264161766666,0.0607047833009387,0.013956264161766666,0.0607047833009387,True,STRUCTURE,B_CORE,RAW_A
SOC,GRAD_SCHOOL_PROGRESSION,ols_cluster,848,848,0.014255367010391574,0.014255367010391578,3.469446951953614e-18,False,0.0072202925451981936,0.02129044147558496,0.0072202925451981936,0.02129044147558496,True,STRUCTURE,B_CORE,RAW_A
ART,HEALTH_EMPLOYMENT,fractional_logit,646,646,-0.0042991134541361,-0.004299113454136146,4.597017211338539e-17,False,-0.014681595857461,0.0073250050651784,-0.01468159585746101,0.007325005065178493,True,STRUCTURE,B_CORE,RAW_A
EDU,HEALTH_EMPLOYMENT,fractional_logit,602,602,0.0156334932300441,0.015633493230044156,5.551115123125783e-17,False,0.0002561632199639,0.0310256963391464,0.0002561632199639525,0.031025696339146494,True,STRUCTURE,B_CORE,RAW_A
ENG,HEALTH_EMPLOYMENT,fractional_logit,911,911,0.0192939076475047,0.019293907647504778,7.632783294297951e-17,False,0.0082775062394367,0.0287546222389914,0.008277506239436771,0.028754622238991417,True,STRUCTURE,B_CORE,RAW_A
HUM,HEALTH_EMPLOYMENT,fractional_logit,535,535,0.0204564795931556,0.020456479593155625,2.42861286636753e-17,False,0.0091402996860193,0.0312120178022448,0.009140299686019334,0.03121201780224488,True,STRUCTURE,B_CORE,RAW_A
MED,HEALTH_EMPLOYMENT,fractional_logit,374,374,-0.0056566468881035,-0.005656646888103524,2.42861286636753e-17,False,-0.031390369077738,0.0117552240774641,-0.03139036907773802,0.011755224077464163,True,STRUCTURE,B_CORE,RAW_A
NAT,HEALTH_EMPLOYMENT,fractional_logit,583,583,-0.0047800716279941,-0.004780071627994119,1.9081958235744878e-17,False,-0.0183576822877814,0.0089526981441712,-0.018357682287781438,0.008952698144171229,True,STRUCTURE,B_CORE,RAW_A
SOC,HEALTH_EMPLOYMENT,fractional_logit,848,848,0.0071444587295153,0.007144458729515359,5.898059818321144e-17,False,-0.002409130184446,0.0162080186209075,-0.0024091301844460316,0.016208018620907514,True,STRUCTURE,B_CORE,RAW_A
ART,HEALTH_EMPLOYMENT,ols_cluster,646,646,-0.0041838740230417445,-0.0041838740230417445,0.0,False,-0.015469939577740172,0.007102191531656683,-0.015469939577740172,0.007102191531656683,True,STRUCTURE,B_CORE,RAW_A
EDU,HEALTH_EMPLOYMENT,ols_cluster,602,602,0.015561769980609326,0.015561769980609326,0.0,False,0.000162189846636235,0.03096135011458242,0.00016218984663623592,0.03096135011458242,True,STRUCTURE,B_CORE,RAW_A
ENG,HEALTH_EMPLOYMENT,ols_cluster,911,911,0.018961900774302144,0.018961900774302144,0.0,False,0.007872988371073255,0.03005081317753103,0.007872988371073255,0.03005081317753103,True,STRUCTURE,B_CORE,RAW_A
HUM,HEALTH_EMPLOYMENT,ols_cluster,535,535,0.020450981246438838,0.020450981246438838,0.0,False,0.009288026036874302,0.03161393645600338,0.009288026036874302,0.03161393645600338,True,STRUCTURE,B_CORE,RAW_A
MED,HEALTH_EMPLOYMENT,ols_cluster,374,374,-0.0058347022526318805,-0.0058347022526318805,0.0,False,-0.02719426669530427,0.015524862190040511,-0.02719426669530427,0.015524862190040511,True,STRUCTURE,B_CORE,RAW_A
NAT,HEALTH_EMPLOYMENT,ols_cluster,583,583,-0.004806640665104491,-0.0048066406651044915,8.673617379884035e-19,False,-0.01869558189215413,0.009082300561945152,-0.018695581892154135,0.009082300561945152,True,STRUCTURE,B_CORE,RAW_A
SOC,HEALTH_EMPLOYMENT,ols_cluster,848,848,0.00736937462575577,0.00736937462575577,0.0,False,-0.00192932033835499,0.01666806958986653,-0.0019293203383549907,0.01666806958986653,True,STRUCTURE,B_CORE,RAW_A
ART,GRAD_SCHOOL_PROGRESSION,fractional_logit,646,646,0.005527330216647,0.005527330216647032,3.209238430557093e-17,False,0.000272068891858,0.0152233019110879,0.00027206889185801993,0.015223301911087974,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
EDU,GRAD_SCHOOL_PROGRESSION,fractional_logit,602,602,0.0046771097116785,0.0046771097116785395,3.9898639947466563e-17,False,0.0013492643806485,0.0107619946856647,0.0013492643806485016,0.010761994685664727,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
ENG,GRAD_SCHOOL_PROGRESSION,fractional_logit,911,911,0.0495284978653001,0.049528497865300114,1.3877787807814457e-17,False,0.0192426997538949,0.0946557565601061,0.019242699753894952,0.09465575656010611,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
HUM,GRAD_SCHOOL_PROGRESSION,fractional_logit,535,535,0.0143180092662651,0.014318009266265131,3.122502256758253e-17,False,0.0036379637713303,0.0354383211588901,0.003637963771330391,0.03543832115889019,True,STRUCTURE,B_CORE_B_SCALE,RAW_A
