position,column,dtype,non_null_n,missing_n,missing_pct,nunique,unique_ratio,is_all_null,is_constant,is_identifier_candidate,top_value_share
99,major_group_7,str,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
100,major7_mapping_method,str,10242,0,0.0,5,0.0004881859011911736,False,False,False,0.8358719000195274
101,major7_mapping_confidence,str,10242,0,0.0,4,0.0003905487209529389,False,False,True,0.8358719000195274
102,major7_candidate_count,int64,10242,0,0.0,5,0.0004881859011911736,False,False,True,0.9881859011911736
103,major7_review_needed,bool,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.9860378832259324
104,major7_evidence,str,10242,0,0.0,596,0.05819175942198789,False,False,True,0.2159734426869752
105,major7_sample_exclusion_rule,str,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.9860378832259324
106,has_structure_context,boolean,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.8358719000195274
107,has_major_group_7_high_medium,boolean,10242,0,0.0,2,0.00019527436047646945,False,False,False,0.9860378832259324
108,row_qa_status,str,10242,0,0.0,3,0.00029291154071470416,False,False,False,0.8358719000195274
109,ctx24_reference_sample_n,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
110,ctx24_mean_income_10kkrw,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
111,ctx24_median_income_10kkrw,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
112,ctx24_income_300plus_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
113,ctx24_income_400plus_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
114,ctx24_large_company_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
115,ctx24_mid_company_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,True,0.25795743018941614
116,ctx24_small_company_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
117,ctx24_large_mid_company_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,True,0.25795743018941614
118,ctx24_public_nonprofit_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
119,ctx24_cert_rate_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
120,ctx24_cert_per_person,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
121,ctx24_log10_mean_income,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
122,ctx24_industry_top3_pct,Float32,0,10242,100.0,0,,True,True,False,1.0
123,ctx24_industry_hhi,Float32,0,10242,100.0,0,,True,True,False,1.0
124,goms_profile_start_year,Int16,10099,143,1.3962116774067566,1,9.901970492127933e-05,False,True,True,0.9860378832259324
125,goms_profile_end_year,Int16,10099,143,1.3962116774067566,1,9.901970492127933e-05,False,True,True,0.9860378832259324
126,goms_profile_years_n,Int16,10099,143,1.3962116774067566,1,9.901970492127933e-05,False,True,True,0.9860378832259324
127,goms_aggregation_method,category,10099,143,1.3962116774067566,1,9.901970492127933e-05,False,True,False,0.9860378832259324
128,goms_recent_employment_rate_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
129,goms_recent_firm_300plus_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
130,goms_recent_public_nonprofit_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
131,goms_recent_permanent_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
132,goms_recent_unstable_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
133,goms_recent_self_employed_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
134,goms_recent_industry_hhi,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
135,goms_recent_industry_top3_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
136,goms_recent_professional_highskill_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
137,goms_recent_mean_income_10kkrw,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
138,goms_recent_weekly_work_hours,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
139,goms_recent_hourly_income_proxy,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
140,goms_income_trend_per_year,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
141,goms_hours_trend_per_year,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
142,goms_firm_300plus_trend_per_year,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
143,goms_permanent_trend_per_year,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
144,goms_latest_2019_mean_income_10kkrw,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
145,goms_latest_2019_weekly_work_hours,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
146,goms_latest_2019_firm_300plus_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
147,goms_latest_2019_permanent_pct,Float32,10099,143,1.3962116774067566,7,0.0006931379344489553,False,False,False,0.25795743018941614
148,goms_source_years_observed,Int16,10099,143,1.3962116774067566,1,9.901970492127933e-05,False,True,False,0.9860378832259324
149,goms_year_over_year_review_flag,boolean,10099,143,1.3962116774067566,2,0.00019803940984255866,False,False,False,0.8067760203085335
150,goms_mapping_confidence,category,10099,143,1.3962116774067566,1,9.901970492127933e-05,False,True,True,0.9860378832259324
151,goms_row_qa_status,category,10099,143,1.3962116774067566,1,9.901970492127933e-05,False,True,False,0.9860378832259324
