분류,2007__전체__빈도,2007__전체__비중,2007__남자__빈도,2007__남자__비중,2007__여자__빈도,2007__여자__비중,2008__전체__빈도,2008__전체__비중,2008__남자__빈도,2008__남자__비중,2008__여자__빈도,2008__여자__비중,2009__전체__빈도,2009__전체__비중,2009__남자__빈도,2009__남자__비중,2009__여자__빈도,2009__여자__비중,2010__전체__빈도,2010__전체__비중,2010__남자__빈도,2010__남자__비중,2010__여자__빈도,2010__여자__비중,2011__전체__빈도,2011__전체__비중,2011__남자__빈도,2011__남자__비중,2011__여자__빈도,2011__여자__비중,2012__전체__빈도,2012__전체__비중,2012__남자__빈도,2012__남자__비중,2012__여자__빈도,2012__여자__비중,2013__전체__빈도,2013__전체__비중,2013__남자__빈도,2013__남자__비중,2013__여자__빈도,2013__여자__비중,2014__전체__빈도,2014__전체__비중,2014__남자__빈도,2014__남자__비중,2014__여자__빈도,2014__여자__비중,2015__전체__빈도,2015__전체__비중,2015__남자__빈도,2015__남자__비중,2015__여자__빈도,2015__여자__비중,2016__전체__빈도,2016__전체__비중,2016__남자__빈도,2016__남자__비중,2016__여자__빈도,2016__여자__비중,2017__전체__빈도,2017__전체__비중,2017__남자__빈도,2017__남자__비중,2017__여자__빈도,2017__여자__비중,2018__전체__빈도,2018__전체__비중,2018__남자__빈도,2018__남자__비중,2018__여자__빈도,2018__여자__비중,2019__전체__빈도,2019__전체__비중,2019__남자__빈도,2019__남자__비중,2019__여자__빈도,2019__여자__비중
"출판, 영상, 방송통신 및 정보서비스업",28666,7.3,17749,8.8,10917,5.7,25503,6.4,16148,8.1,9355,4.7,23376,6.5,15063,8.3,8312,4.6,22291,5.9,14254,7.6,8037,4.2,25662,6.7,14730,7.7,10932,5.7,26908,7.0,16210,8.5,10697,5.5,24747,6.8,14719,8.3,10027,5.4,23836,6.4,14360,7.9,9476,4.9,24886,6.5,14184,7.6,10702,5.5,25346,6.5,14137,7.4,11209,5.6,25654,6.8,14695,8.0,10959,5.7,26221,7.1,13778,7.6,12442,6.7,23993,7.5,14397,9.1,9596,5.9
금융 및 보험업,24295,6.2,11477,5.7,12818,6.7,23615,6.0,12174,6.1,11440,5.8,20627,5.7,10741,5.9,9886,5.5,20449,5.4,10246,5.5,10202,5.3,19997,5.2,9994,5.2,10003,5.2,18327,4.8,9084,4.8,9242,4.8,12567,3.4,6415,3.6,6152,3.3,11458,3.0,5503,3.0,5955,3.1,12632,3.3,6212,3.3,6419,3.3,12907,3.3,6714,3.5,6192,3.1,12574,3.3,6451,3.5,6122,3.1,12486,3.4,6861,3.8,5625,3.0,10143,3.1,5653,3.5,4489,2.7
부동산업 및 임대업,4635,1.1,2536,1.2,2099,1.1,2848,0.7,1593,0.8,1255,0.6,3463,0.9,1979,1.0,1483,0.8,2955,0.7,1673,0.9,1281,0.6,2827,0.7,1475,0.7,1352,0.7,3540,0.9,2173,1.1,1366,0.7,3278,0.9,1592,0.9,1685,0.9,3224,0.8,1780,0.9,1443,0.7,3802,1.0,2122,1.1,1679,0.8,3784,0.9,2172,1.1,1611,0.8,2929,0.7,1709,0.9,1219,0.6,2389,0.6,1158,0.6,1230,0.6,2598,0.8,1629,1.0,968,0.5
"전문, 과학 및 기술 서비스업",30370,7.7,17241,8.6,13129,6.9,28905,7.3,15352,7.7,13552,6.9,27016,7.5,13950,7.7,13066,7.2,26790,7.1,13449,7.2,13340,6.9,27415,7.2,14530,7.6,12885,6.7,28273,7.4,14885,7.8,13388,6.9,26212,7.2,13375,7.5,12837,6.9,26301,7.1,12759,7.0,13541,7.1,27842,7.3,13351,7.1,14491,7.4,29786,7.6,15045,7.9,14741,7.4,30070,8.0,15159,8.2,14910,7.7,31040,8.5,14860,8.2,16180,8.7,28006,8.7,14460,9.1,13546,8.3
사업시설관리 및 사업지원 서비스업,13024,3.3,5906,2.9,7118,3.7,14862,3.7,6318,3.2,8544,4.3,10423,2.8,5354,2.9,5069,2.8,14935,3.9,6044,3.2,8890,4.6,16349,4.2,7340,3.8,9009,4.7,13793,3.6,6264,3.3,7529,3.9,12940,3.5,5363,3.0,7577,4.1,11720,3.1,5269,2.9,6450,3.3,13882,3.6,6235,3.3,7647,3.9,16528,4.2,7326,3.8,9201,4.6,16113,4.2,7014,3.8,9099,4.7,12492,3.4,6379,3.5,6112,3.3,10754,3.3,5316,3.3,5438,3.3
"공공행정, 국방 및 사회보장 행정",14589,3.7,8876,4.4,5713,3.0,18408,4.6,10206,5.1,8202,4.2,16634,4.6,10819,5.9,5815,3.2,14542,3.8,8759,4.7,5783,3.0,13243,3.4,8105,4.2,5138,2.6,14740,3.8,9502,5.0,5238,2.7,15546,4.3,10798,6.1,4748,2.5,19570,5.2,13408,7.4,6162,3.2,20545,5.4,13609,7.3,6935,3.5,21063,5.4,13090,6.8,7973,4.0,21452,5.7,13337,7.2,8114,4.2,20339,5.5,13814,7.6,6524,3.5,23577,7.3,13689,8.6,9887,6.1
교육 서비스업,56837,14.5,16035,8.0,40801,21.4,62466,15.9,18693,9.4,43773,22.4,52437,14.5,14925,8.2,37511,20.9,60861,16.1,20075,10.8,40786,21.3,59770,15.7,21380,11.2,38389,20.0,54316,14.2,17913,9.4,36402,18.9,50990,14.1,16456,9.2,34533,18.7,52652,14.2,17895,9.9,34757,18.3,54668,14.4,18636,10.0,36031,18.6,54296,13.9,19303,10.1,34993,17.6,53046,14.1,18833,10.2,34212,17.8,50949,13.9,19346,10.7,31603,17.1,38024,11.8,13626,8.6,24397,15.0
보건업 및 사회복지 서비스업,51000,13.0,10458,5.2,40541,21.3,55589,14.1,12458,6.3,43131,22.0,54417,15.1,10961,6.0,43456,24.2,54085,14.3,9973,5.3,44112,23.0,52131,13.6,12005,6.3,40126,21.0,54131,14.1,11311,5.9,42819,22.2,52908,14.6,8796,4.9,44111,23.9,55204,14.9,9713,5.3,45491,23.9,54339,14.3,10527,5.6,43812,22.6,56361,14.5,10449,5.5,45911,23.1,54145,14.4,10708,5.8,43436,22.6,53515,14.6,10661,5.9,42854,23.2,53456,16.7,12039,7.6,41416,25.5
"예술,스포츠 및 여가관련 서비스업",9451,2.4,5222,2.6,4229,2.2,9589,2.4,5344,2.7,4245,2.1,7109,1.9,3871,2.1,3237,1.8,8523,2.2,3944,2.1,4578,2.3,8304,2.1,3666,1.9,4637,2.4,8989,2.3,4575,2.4,4413,2.2,9260,2.5,4627,2.6,4632,2.5,9414,2.5,4478,2.4,4936,2.6,9392,2.4,4926,2.6,4465,2.3,9961,2.5,4812,2.5,5148,2.5,11083,2.9,5358,2.9,5725,2.9,9544,2.6,4223,2.3,5321,2.8,7927,2.4,3821,2.4,4106,2.5
"협회 및 단체, 수리 및 기타 개인 서비스",14457,3.7,7261,3.6,7196,3.7,12427,3.1,6677,3.3,5749,2.9,11761,3.2,6071,3.3,5690,3.1,12154,3.2,5890,3.1,6263,3.2,12068,3.1,5589,2.9,6478,3.3,12430,3.2,5682,3.0,6748,3.5,10795,2.9,4506,2.5,6289,3.4,10986,2.9,5331,2.9,5654,2.9,11936,3.1,5778,3.1,6157,3.1,11671,3.0,5298,2.7,6372,3.2,10792,2.8,5106,2.7,5685,2.9,8739,2.3,4498,2.4,4240,2.2,7687,2.4,3856,2.4,3830,2.3
가구내 고용활동 및 달리 분류되지 않은 자가소비 생산활동,39,0.0,0,0.0,39,0.0,43,0.0,0,0.0,43,0.0,0,0.0,0,0.0,0,0.0,50,0.0,0,0.0,50,0.0,35,0.0,0,0.0,35,0.0,97,0.0,19,0.0,77,0.0,0,0.0,0,0.0,0,0.0,57,0.0,6,0.0,50,0.0,65,0.0,0,0.0,65,0.0,0,0.0,0,0.0,0,0.0,103,0.0,0,0.0,103,0.0,90,0.0,0,0.0,90,0.0,0,0.0,0,0.0,0,0.0
국제 및 외국기관,126,0.0,73,0.0,52,0.0,198,0.0,81,0.0,117,0.0,121,0.0,24,0.0,96,0.0,89,0.0,58,0.0,31,0.0,260,0.0,208,0.1,52,0.0,325,0.0,166,0.0,158,0.0,220,0.0,87,0.0,133,0.0,206,0.0,84,0.0,121,0.0,28,0.0,0,0.0,28,0.0,169,0.0,75,0.0,93,0.0,26,0.0,26,0.0,0,0.0,65,0.0,22,0.0,43,0.0,70,0.0,24,0.0,46,0.0
