분류,2007__전체__빈도,2007__전체__비중,2007__인문__빈도,2007__인문__비중,2007__사회__빈도,2007__사회__비중,2007__교육__빈도,2007__교육__비중,2007__공학__빈도,2007__공학__비중,2007__자연__빈도,2007__자연__비중,2007__의약__빈도,2007__의약__비중,2007__예체능__빈도,2007__예체능__비중,2008__전체__빈도,2008__전체__비중,2008__인문__빈도,2008__인문__비중,2008__사회__빈도,2008__사회__비중,2008__교육__빈도,2008__교육__비중,2008__공학__빈도,2008__공학__비중,2008__자연__빈도,2008__자연__비중,2008__의약__빈도,2008__의약__비중,2008__예체능__빈도,2008__예체능__비중,2009__전체__빈도,2009__전체__비중,2009__인문__빈도,2009__인문__비중,2009__사회__빈도,2009__사회__비중,2009__교육__빈도,2009__교육__비중,2009__공학__빈도,2009__공학__비중,2009__자연__빈도,2009__자연__비중,2009__의약__빈도,2009__의약__비중,2009__예체능__빈도,2009__예체능__비중,2010__전체__빈도,2010__전체__비중,2010__인문__빈도,2010__인문__비중,2010__사회__빈도,2010__사회__비중,2010__교육__빈도,2010__교육__비중,2010__공학__빈도,2010__공학__비중,2010__자연__빈도,2010__자연__비중,2010__의약__빈도,2010__의약__비중,2010__예체능__빈도,2010__예체능__비중,2011__전체__빈도,2011__전체__비중,2011__인문__빈도,2011__인문__비중,2011__사회__빈도,2011__사회__비중,2011__교육__빈도,2011__교육__비중,2011__공학__빈도,2011__공학__비중,2011__자연__빈도,2011__자연__비중,2011__의약__빈도,2011__의약__비중,2011__예체능__빈도,2011__예체능__비중,2012__전체__빈도,2012__전체__비중,2012__인문__빈도,2012__인문__비중,2012__사회__빈도,2012__사회__비중,2012__교육__빈도,2012__교육__비중,2012__공학__빈도,2012__공학__비중,2012__자연__빈도,2012__자연__비중,2012__의약__빈도,2012__의약__비중,2012__예체능__빈도,2012__예체능__비중,2013__전체__빈도,2013__전체__비중,2013__인문__빈도,2013__인문__비중,2013__사회__빈도,2013__사회__비중,2013__교육__빈도,2013__교육__비중,2013__공학__빈도,2013__공학__비중,2013__자연__빈도,2013__자연__비중,2013__의약__빈도,2013__의약__비중,2013__예체능__빈도,2013__예체능__비중,2014__전체__빈도,2014__전체__비중,2014__인문__빈도,2014__인문__비중,2014__사회__빈도,2014__사회__비중,2014__교육__빈도,2014__교육__비중,2014__공학__빈도,2014__공학__비중,2014__자연__빈도,2014__자연__비중,2014__의약__빈도,2014__의약__비중,2014__예체능__빈도,2014__예체능__비중,2015__전체__빈도,2015__전체__비중,2015__인문__빈도,2015__인문__비중,2015__사회__빈도,2015__사회__비중,2015__교육__빈도,2015__교육__비중,2015__공학__빈도,2015__공학__비중,2015__자연__빈도,2015__자연__비중,2015__의약__빈도,2015__의약__비중,2015__예체능__빈도,2015__예체능__비중,2016__전체__빈도,2016__전체__비중,2016__인문__빈도,2016__인문__비중,2016__사회__빈도,2016__사회__비중,2016__교육__빈도,2016__교육__비중,2016__공학__빈도,2016__공학__비중,2016__자연__빈도,2016__자연__비중,2016__의약__빈도,2016__의약__비중,2016__예체능__빈도,2016__예체능__비중
영업 및 판매 관련직,28959,7.4,3538,9.5,11019,10.4,420,1.6,6626,6.4,3262,9.0,514,1.5,3576,6.9,28581,7.2,3924,10.5,9591,8.7,724,2.7,6015,6.2,3537,9.3,643,1.9,4144,7.9,27631,7.6,3416,10.9,10245,9.5,257,1.0,6139,7.1,2925,8.8,510,1.5,4136,8.9,27827,7.3,3793,11.0,9923,9.0,430,1.7,5360,6.1,3016,8.2,800,2.3,4502,8.9,28345,7.4,2921,8.6,11441,10.3,533,2.1,5624,6.2,2617,6.9,688,2.0,4519,9.0,26836,7.0,3851,12.1,10166,9.0,340,1.5,4601,4.9,3163,9.1,773,2.1,3938,7.7,26462,7.3,3845,13.1,9962,9.5,278,1.2,4464,5.0,2528,7.5,1119,3.1,4264,8.9,28846,7.7,4008,13.4,11624,11.1,558,2.4,4910,5.5,2487,7.1,555,1.3,4700,9.5,26910,7.0,4083,12.3,10639,9.8,193,0.8,5058,5.5,2351,6.6,817,2.0,3765,7.8,26694,6.8,3949,11.7,9331,8.7,337,1.5,4931,5.1,2538,6.8,743,1.7,4862,9.6
경비 및 청소 관련직,3139,0.8,187,0.5,1381,1.3,63,0.2,790,0.7,71,0.1,0,0.0,644,1.2,3030,0.7,209,0.5,1224,1.1,0,0.0,938,0.9,235,0.6,74,0.2,348,0.6,2998,0.8,98,0.3,1116,1.0,0,0.0,824,0.9,261,0.7,86,0.2,610,1.3,2934,0.7,142,0.4,1372,1.2,0,0.0,596,0.6,55,0.1,55,0.1,712,1.4,2833,0.7,184,0.5,1114,1.0,0,0.0,654,0.7,257,0.6,164,0.4,457,0.9,2749,0.7,182,0.5,1130,1.0,67,0.2,575,0.6,133,0.3,37,0.1,621,1.2,2505,0.6,128,0.4,997,0.9,51,0.2,546,0.6,188,0.5,0,0.0,593,1.2,2875,0.7,176,0.5,978,0.9,27,0.1,760,0.8,153,0.4,145,0.3,633,1.2,3297,0.8,261,0.7,1401,1.2,0,0.0,655,0.7,248,0.7,133,0.3,596,1.2,3479,0.8,215,0.6,1636,1.5,43,0.1,727,0.7,159,0.4,84,0.1,612,1.2
미용·숙박·여행·오락 스포츠 관련직,12934,3.3,943,2.5,2859,2.7,201,0.8,688,0.6,429,1.1,284,0.8,7526,14.6,10949,2.7,760,2.0,1972,1.8,138,0.5,589,0.6,477,1.2,25,0.0,6984,13.4,9337,2.5,486,1.5,1804,1.6,209,0.8,424,0.4,353,1.0,26,0.0,6031,13.0,11051,2.9,771,2.2,1923,1.7,332,1.3,309,0.3,420,1.1,62,0.1,7231,14.4,10746,2.8,803,2.3,2724,2.4,296,1.2,708,0.7,419,1.1,227,0.6,5565,11.1,10808,2.8,762,2.4,1625,1.4,268,1.1,562,0.6,436,1.2,26,0.0,7127,14.0,12500,3.4,819,2.8,2943,2.8,251,1.1,600,0.6,519,1.5,295,0.8,7070,14.8,11965,3.2,692,2.3,2187,2.0,348,1.5,651,0.7,356,1.0,91,0.2,7636,15.4,12617,3.3,1106,3.3,2998,2.7,512,2.2,736,0.8,641,1.8,228,0.5,6392,13.2,13987,3.6,1126,3.3,3102,2.9,323,1.4,539,0.5,543,1.4,454,1.0,7897,15.6
음식서비스 관련직,6726,1.7,277,0.7,1432,1.3,190,0.7,893,0.8,2507,6.9,137,0.4,1287,2.4,7760,1.9,407,1.0,2296,2.1,84,0.3,787,0.8,2741,7.2,281,0.8,1162,2.2,6441,1.7,396,1.2,1609,1.5,94,0.3,425,0.4,2823,8.5,80,0.2,1012,2.1,8469,2.2,710,2.0,2602,2.3,165,0.6,774,0.8,3185,8.6,61,0.1,970,1.9,9015,2.3,768,2.2,2537,2.2,95,0.3,906,1.0,3208,8.5,102,0.3,1396,2.8,10079,2.6,715,2.2,3611,3.2,130,0.5,1053,1.1,2559,7.4,205,0.5,1803,3.5,11274,3.1,840,2.8,3489,3.3,225,0.9,816,0.9,3539,10.5,301,0.8,2061,4.3,14957,4.0,1125,3.7,4594,4.3,140,0.6,1474,1.6,4604,13.3,461,1.1,2556,5.1,14467,3.8,1153,3.5,4574,4.2,230,0.9,1383,1.5,4296,12.1,498,1.2,2330,4.8,15759,4.0,1424,4.2,4989,4.6,425,1.9,1634,1.7,4501,12.1,580,1.3,2204,4.3
건설 관련직,13918,3.5,96,0.2,824,0.7,0,0.0,11397,11.0,817,2.2,36,0.1,745,1.4,12551,3.1,77,0.2,830,0.7,0,0.0,10040,10.4,729,1.9,0,0.0,873,1.6,10620,2.9,91,0.2,738,0.6,46,0.1,8546,9.9,725,2.1,42,0.1,431,0.9,9656,2.5,48,0.1,596,0.5,19,0.0,7703,8.8,567,1.5,39,0.1,680,1.3,9276,2.4,167,0.4,703,0.6,98,0.4,7139,7.8,588,1.5,73,0.2,505,1.0,8787,2.3,45,0.1,657,0.5,0,0.0,7462,8.0,334,0.9,36,0.1,249,0.4,9374,2.5,81,0.2,421,0.4,35,0.1,7759,8.7,436,1.3,152,0.4,486,1.0,8684,2.3,84,0.2,317,0.3,23,0.1,7385,8.3,321,0.9,85,0.2,466,0.9,9660,2.5,46,0.1,492,0.4,37,0.1,8268,9.1,451,1.2,0,0.0,364,0.7,11803,3.0,144,0.4,533,0.5,0,0.0,9492,10.0,603,1.6,159,0.3,869,1.7
기계 관련직,15647,4.0,309,0.8,1239,1.1,86,0.3,12572,12.1,446,1.2,145,0.4,848,1.6,13308,3.3,271,0.7,916,0.8,0,0.0,11230,11.6,433,1.1,74,0.2,383,0.7,12997,3.6,134,0.4,961,0.8,72,0.2,10773,12.5,435,1.3,113,0.3,507,1.1,13927,3.6,127,0.3,1344,1.2,202,0.8,10958,12.5,482,1.3,185,0.5,626,1.2,15472,4.0,270,0.8,1443,1.3,162,0.6,11869,13.0,739,1.9,292,0.8,695,1.3,15711,4.1,279,0.8,1524,1.3,0,0.0,12756,13.8,566,1.6,210,0.5,373,0.7,16034,4.4,138,0.4,1454,1.3,11,0.0,13332,15.1,507,1.5,217,0.6,372,0.7,17258,4.6,258,0.8,1533,1.4,18,0.0,14339,16.1,398,1.1,286,0.7,423,0.8,17363,4.5,256,0.7,1243,1.1,0,0.0,14928,16.4,255,0.7,219,0.5,459,0.9,15997,4.1,287,0.8,780,0.7,37,0.1,14176,14.9,347,0.9,48,0.1,319,0.6
재료관련직,2733,0.7,32,0.0,486,0.4,0,0.0,1685,1.6,199,0.5,110,0.3,218,0.4,2453,0.6,10,0.0,376,0.3,11,0.0,1692,1.7,201,0.5,23,0.0,137,0.2,1559,0.4,27,0.0,293,0.2,0,0.0,1022,1.1,98,0.2,68,0.2,49,0.1,2237,0.5,37,0.1,134,0.1,0,0.0,1677,1.9,221,0.6,46,0.1,119,0.2,2000,0.5,12,0.0,264,0.2,37,0.1,1379,1.5,160,0.4,35,0.1,111,0.2,2658,0.6,11,0.0,423,0.3,0,0.0,1728,1.8,78,0.2,146,0.4,270,0.5,2634,0.7,99,0.3,452,0.4,32,0.1,1719,1.9,148,0.4,72,0.2,109,0.2,3381,0.9,82,0.2,652,0.6,0,0.0,2162,2.4,225,0.6,50,0.1,207,0.4,2650,0.6,93,0.2,244,0.2,22,0.0,1846,2.0,179,0.5,106,0.2,158,0.3,2678,0.6,37,0.1,229,0.2,4,0.0,2061,2.1,88,0.2,69,0.1,187,0.3
화학 관련직,3127,0.8,43,0.1,103,0.0,0,0.0,1538,1.4,979,2.7,324,0.9,138,0.2,3052,0.7,116,0.3,258,0.2,0,0.0,1602,1.6,951,2.5,61,0.1,61,0.1,2161,0.6,0,0.0,139,0.1,30,0.1,1378,1.6,462,1.3,122,0.3,29,0.0,2577,0.6,0,0.0,137,0.1,52,0.2,1444,1.6,774,2.1,91,0.2,77,0.1,3807,1.0,134,0.4,441,0.3,0,0.0,1860,2.0,1105,2.9,155,0.4,110,0.2,3404,0.8,18,0.0,423,0.3,0,0.0,2065,2.2,651,1.8,101,0.2,145,0.2,4391,1.2,99,0.3,449,0.4,0,0.0,2627,2.9,811,2.4,173,0.4,229,0.4,4000,1.0,37,0.1,264,0.2,0,0.0,2768,3.1,881,2.5,0,0.0,47,0.0,3752,0.9,130,0.3,160,0.1,14,0.0,2176,2.4,985,2.7,123,0.3,161,0.3,4630,1.1,13,0.0,340,0.3,0,0.0,2728,2.8,1244,3.3,150,0.3,152,0.3
섬유 및 의복 관련직,616,0.1,19,0.0,166,0.1,17,0.0,143,0.1,23,0.0,0,0.0,247,0.4,379,0.0,0,0.0,0,0.0,0,0.0,99,0.1,75,0.1,34,0.1,169,0.3,510,0.1,0,0.0,68,0.0,0,0.0,234,0.2,49,0.1,0,0.0,157,0.3,571,0.1,13,0.0,57,0.0,0,0.0,128,0.1,156,0.4,39,0.1,175,0.3,772,0.2,0,0.0,134,0.1,0,0.0,295,0.3,51,0.1,0,0.0,290,0.5,688,0.1,10,0.0,170,0.1,56,0.2,201,0.2,97,0.2,29,0.0,122,0.2,635,0.1,23,0.0,179,0.1,0,0.0,207,0.2,25,0.0,28,0.0,171,0.3,550,0.1,43,0.1,102,0.0,8,0.0,135,0.1,88,0.2,0,0.0,171,0.3,815,0.2,38,0.1,144,0.1,0,0.0,223,0.2,104,0.2,0,0.0,304,0.6,557,0.1,0,0.0,40,0.0,0,0.0,224,0.2,175,0.4,0,0.0,116,0.2
전기·전자 관련직,15070,3.8,393,1.0,1155,1.0,0,0.0,12067,11.6,544,1.5,359,1.0,550,1.0,12873,3.2,149,0.4,1163,1.0,0,0.0,10073,10.4,456,1.2,299,0.9,731,1.4,13011,3.6,283,0.9,1518,1.4,18,0.0,9621,11.2,695,2.0,323,1.0,549,1.1,13575,3.6,321,0.9,1277,1.1,38,0.1,10485,12.0,528,1.4,371,1.1,553,1.1,13689,3.5,545,1.6,1053,0.9,180,0.7,10051,11.0,781,2.0,440,1.2,635,1.2,14687,3.8,504,1.5,1106,0.9,70,0.3,11148,12.0,962,2.7,279,0.7,614,1.2,14894,4.1,644,2.2,1323,1.2,18,0.0,11377,12.9,663,1.9,283,0.7,584,1.2,14436,3.9,516,1.7,1388,1.3,147,0.6,11145,12.5,622,1.7,253,0.6,362,0.7,14685,3.8,334,1.0,1141,1.0,0,0.0,11808,13.0,447,1.2,320,0.7,632,1.3,14687,3.7,150,0.4,1216,1.1,74,0.3,11927,12.5,637,1.7,280,0.6,400,0.7
