column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
88,2017__교육대__빈도,int64,22,0,0.0,4,3388 | 0 | 113 | 3275
89,2017__교육대__비중,float64,22,0,0.0,4,100.0 | 0.0 | 3.3 | 96.6
90,2018__전체__빈도,int64,22,0,0.0,22,364556 | 1788 | 13 | 55774 | 2994
91,2018__전체__비중,float64,22,0,0.0,19,100.0 | 0.4 | 0.0 | 15.2 | 0.8
92,2018__전문대__빈도,int64,22,0,0.0,21,122924 | 1053 | 0 | 18231 | 312
93,2018__전문대__비중,float64,22,0,0.0,20,100.0 | 0.8 | 0.0 | 14.8 | 0.2
94,2018__4년제__빈도,int64,22,0,0.0,22,238359 | 735 | 13 | 37531 | 2681
95,2018__4년제__비중,float64,22,0,0.0,18,100.0 | 0.3 | 0.0 | 15.7 | 1.1
96,2018__교육대__빈도,int64,22,0,0.0,6,3273 | 0 | 11 | 19 | 48
97,2018__교육대__비중,float64,22,0,0.0,6,100.0 | 0.0 | 0.3 | 0.5 | 1.4
98,2019__전체__빈도,int64,22,0,0.0,22,319667 | 1043 | 66 | 46646 | 2957
99,2019__전체__비중,float64,22,0,0.0,19,100.0 | 0.3 | 0.0 | 14.5 | 0.9
100,2019__전문대__빈도,int64,22,0,0.0,20,108425 | 625 | 0 | 15785 | 172
101,2019__전문대__비중,float64,22,0,0.0,19,100.0 | 0.5 | 0.0 | 14.5 | 0.1
102,2019__4년제__빈도,int64,22,0,0.0,22,207947 | 417 | 66 | 30860 | 2784
103,2019__4년제__비중,float64,22,0,0.0,20,100.0 | 0.2 | 0.0 | 14.8 | 1.3
104,2019__교육대__빈도,int64,22,0,0.0,5,3294 | 0 | 10 | 27 | 3256
105,2019__교육대__비중,float64,22,0,0.0,5,100.0 | 0.0 | 0.3 | 0.8 | 98.8
