column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,4,0,0.0,4,전체 | 전문대 | 4년제 | 교육대
26,2010__전체__빈도,int64,4,0,0.0,4,470558 | 188120 | 276482 | 5956
27,2010__전체__비중,float64,4,0,0.0,4,100.0 | 39.9 | 58.7 | 1.2
28,2010__취업자__빈도,int64,4,0,0.0,4,376517 | 152577 | 218965 | 4974
29,2010__취업자__비중,float64,4,0,0.0,4,100.0 | 40.5 | 58.1 | 1.3
30,2010__실업자__빈도,int64,4,0,0.0,4,25686 | 11193 | 14402 | 90
31,2010__실업자__비중,float64,4,0,0.0,4,100.0 | 43.5 | 56.0 | 0.3
32,2010__비경활__빈도,int64,4,0,0.0,4,68353 | 24348 | 43114 | 890
33,2010__비경활__비중,float64,4,0,0.0,4,100.0 | 35.6 | 63.0 | 1.3
34,2011__전체__빈도,int64,4,0,0.0,4,479478 | 186056 | 287799 | 5621
35,2011__전체__비중,float64,4,0,0.0,4,100.0 | 38.8 | 60.0 | 1.1
36,2011__취업자__빈도,int64,4,0,0.0,4,380969 | 148945 | 227186 | 4837
37,2011__취업자__비중,float64,4,0,0.0,4,100.0 | 39.0 | 59.6 | 1.2
38,2011__실업자__빈도,int64,4,0,0.0,4,27808 | 11308 | 16405 | 95
39,2011__실업자__비중,float64,4,0,0.0,4,100.0 | 40.6 | 58.9 | 0.3
40,2011__비경활__빈도,int64,4,0,0.0,4,70699 | 25803 | 44207 | 688
41,2011__비경활__비중,float64,4,0,0.0,4,100.0 | 36.4 | 62.5 | 0.9
42,2012__전체__빈도,int64,4,0,0.0,4,502886 | 188423 | 309238 | 5225
43,2012__전체__비중,float64,4,0,0.0,4,100.0 | 37.4 | 61.4 | 1.0
44,2012__취업자__빈도,int64,4,0,0.0,4,381658 | 146906 | 230179 | 4572
45,2012__취업자__비중,float64,4,0,0.0,4,100.0 | 38.4 | 60.3 | 1.1
46,2012__실업자__빈도,int64,4,0,0.0,4,32710 | 13032 | 19559 | 118
47,2012__실업자__비중,float64,4,0,0.0,4,100.0 | 39.8 | 59.7 | 0.3
48,2012__비경활__빈도,int64,4,0,0.0,4,88516 | 28484 | 59499 | 533
49,2012__비경활__비중,float64,4,0,0.0,4,100.0 | 32.1 | 67.2 | 0.6
50,2013__전체__빈도,int64,4,0,0.0,4,491765 | 183678 | 303032 | 5055
51,2013__전체__비중,float64,4,0,0.0,4,100.0 | 37.3 | 61.6 | 1.0
52,2013__취업자__빈도,int64,4,0,0.0,4,362334 | 138912 | 218827 | 4594
53,2013__취업자__비중,float64,4,0,0.0,4,100.0 | 38.3 | 60.3 | 1.2
54,2013__실업자__빈도,int64,4,0,0.0,4,36556 | 14122 | 22389 | 44
55,2013__실업자__비중,float64,4,0,0.0,4,100.0 | 38.6 | 61.2 | 0.1
56,2013__비경활__빈도,int64,4,0,0.0,4,92873 | 30642 | 61815 | 415
57,2013__비경활__비중,float64,4,0,0.0,4,100.0 | 32.9 | 66.5 | 0.4
58,2014__전체__빈도,int64,4,0,0.0,4,494323 | 182277 | 307355 | 4690
59,2014__전체__비중,float64,4,0,0.0,4,100.0 | 36.8 | 62.1 | 0.9
60,2014__취업자__빈도,int64,4,0,0.0,4,370281 | 141363 | 224638 | 4280
61,2014__취업자__비중,float64,4,0,0.0,4,100.0 | 38.1 | 60.6 | 1.1
62,2014__실업자__빈도,int64,4,0,0.0,4,35655 | 13489 | 22129 | 35
63,2014__실업자__비중,float64,4,0,0.0,4,100.0 | 37.8 | 62.0 | 0.0
64,2014__비경활__빈도,int64,4,0,0.0,4,88387 | 27424 | 60587 | 374
65,2014__비경활__비중,float64,4,0,0.0,4,100.0 | 31.0 | 68.5 | 0.4
66,2015__전체__빈도,int64,4,0,0.0,4,515320 | 181499 | 329462 | 4358
67,2015__전체__비중,float64,4,0,0.0,4,100.0 | 35.2 | 63.9 | 0.8
68,2015__취업자__빈도,int64,4,0,0.0,4,380947 | 138070 | 238970 | 3906
69,2015__취업자__비중,float64,4,0,0.0,4,100.0 | 36.2 | 62.7 | 1.0
70,2015__실업자__빈도,int64,4,0,0.0,4,35304 | 12172 | 23103 | 28
71,2015__실업자__비중,float64,4,0,0.0,4,100.0 | 34.4 | 65.4 | 0.0
72,2015__비경활__빈도,int64,4,0,0.0,4,99068 | 31255 | 67388 | 424
73,2015__비경활__비중,float64,4,0,0.0,4,100.0 | 31.5 | 68.0 | 0.4
74,2016__전체__빈도,int64,4,0,0.0,4,520546 | 177774 | 338940 | 3832
75,2016__전체__비중,float64,4,0,0.0,4,100.0 | 34.1 | 65.1 | 0.7
76,2016__취업자__빈도,int64,4,0,0.0,4,388305 | 135725 | 249179 | 3400
77,2016__취업자__비중,float64,4,0,0.0,4,100.0 | 34.9 | 64.1 | 0.8
78,2016__실업자__빈도,int64,4,0,0.0,4,38016 | 12730 | 25182 | 102
79,2016__실업자__비중,float64,4,0,0.0,4,100.0 | 33.4 | 66.2 | 0.2
80,2016__비경활__빈도,int64,4,0,0.0,4,94225 | 29318 | 64577 | 329
81,2016__비경활__비중,float64,4,0,0.0,4,100.0 | 31.1 | 68.5 | 0.3
82,2017__전체__빈도,int64,4,0,0.0,4,512170 | 170494 | 337820 | 3855
83,2017__전체__비중,float64,4,0,0.0,4,100.0 | 33.2 | 65.9 | 0.7
84,2017__취업자__빈도,int64,4,0,0.0,4,375557 | 127827 | 244341 | 3388
85,2017__취업자__비중,float64,4,0,0.0,4,100.0 | 34.0 | 65.0 | 0.9
86,2017__실업자__빈도,int64,4,0,0.0,4,42899 | 14420 | 28298 | 179
87,2017__실업자__비중,float64,4,0,0.0,4,100.0 | 33.6 | 65.9 | 0.4
88,2017__비경활__빈도,int64,4,0,0.0,4,93712 | 28246 | 65179 | 286
89,2017__비경활__비중,float64,4,0,0.0,4,100.0 | 30.1 | 69.5 | 0.3
90,2018__전체__빈도,int64,4,0,0.0,4,494334 | 167960 | 322582 | 3792
91,2018__전체__비중,float64,4,0,0.0,4,100.0 | 33.9 | 65.2 | 0.7
92,2018__취업자__빈도,int64,4,0,0.0,4,364901 | 122979 | 238648 | 3273
93,2018__취업자__비중,float64,4,0,0.0,4,100.0 | 33.7 | 65.4 | 0.8
94,2018__실업자__빈도,int64,4,0,0.0,4,39285 | 13231 | 25931 | 122
95,2018__실업자__비중,float64,4,0,0.0,4,100.0 | 33.6 | 66.0 | 0.3
96,2018__비경활__빈도,int64,4,0,0.0,4,90146 | 31748 | 58001 | 396
97,2018__비경활__비중,float64,4,0,0.0,4,100.0 | 35.2 | 64.3 | 0.4
98,2019__전체__빈도,int64,4,0,0.0,4,486912 | 164657 | 318375 | 3879
99,2019__전체__비중,float64,4,0,0.0,4,100.0 | 33.8 | 65.3 | 0.7
100,2019__취업자__빈도,int64,4,0,0.0,4,324469 | 109961 | 211213 | 3294
101,2019__취업자__비중,float64,4,0,0.0,4,100.0 | 33.8 | 65.0 | 1.0
102,2019__실업자__빈도,int64,4,0,0.0,4,52340 | 15987 | 36200 | 151
103,2019__실업자__비중,float64,4,0,0.0,4,100.0 | 30.5 | 69.1 | 0.2
104,2019__비경활__빈도,int64,4,0,0.0,4,110102 | 38707 | 70961 | 432
105,2019__비경활__비중,float64,4,0,0.0,4,100.0 | 35.1 | 64.4 | 0.3
