column_order,column,dtype,non_null_n,missing_n,missing_rate,unique_n,sample_values
1,분류,string,3,0,0.0,3,전체 | 남자 | 여자
38,2011__실업자__빈도,int64,3,0,0.0,3,27808 | 13432 | 14376
39,2011__실업자__비중,float64,3,0,0.0,3,100.0 | 48.3 | 51.6
40,2011__비경활__빈도,int64,3,0,0.0,3,70699 | 29486 | 41213
41,2011__비경활__비중,float64,3,0,0.0,3,100.0 | 41.7 | 58.2
42,2012__전체__빈도,int64,3,0,0.0,3,502886 | 244326 | 258559
43,2012__전체__비중,float64,3,0,0.0,3,100.0 | 48.5 | 51.4
44,2012__취업자__빈도,int64,3,0,0.0,3,381658 | 189166 | 192491
45,2012__취업자__비중,float64,3,0,0.0,3,100.0 | 49.5 | 50.4
46,2012__실업자__빈도,int64,3,0,0.0,3,32710 | 15722 | 16988
47,2012__실업자__비중,float64,3,0,0.0,3,100.0 | 48.0 | 51.9
48,2012__비경활__빈도,int64,3,0,0.0,3,88516 | 39437 | 49079
49,2012__비경활__비중,float64,3,0,0.0,3,100.0 | 44.5 | 55.4
50,2013__전체__빈도,int64,3,0,0.0,3,491765 | 236894 | 254871
51,2013__전체__비중,float64,3,0,0.0,3,100.0 | 48.1 | 51.8
52,2013__취업자__빈도,int64,3,0,0.0,3,362334 | 177563 | 184771
53,2013__취업자__비중,float64,3,0,0.0,3,100.0 | 49.0 | 50.9
54,2013__실업자__빈도,int64,3,0,0.0,3,36556 | 17858 | 18698
55,2013__실업자__비중,float64,3,0,0.0,3,100.0 | 48.8 | 51.1
56,2013__비경활__빈도,int64,3,0,0.0,3,92873 | 41472 | 51401
57,2013__비경활__비중,float64,3,0,0.0,3,100.0 | 44.6 | 55.3
58,2014__전체__빈도,int64,3,0,0.0,3,494323 | 236577 | 257746
59,2014__전체__비중,float64,3,0,0.0,3,100.0 | 47.8 | 52.1
60,2014__취업자__빈도,int64,3,0,0.0,3,370281 | 180428 | 189853
61,2014__취업자__비중,float64,3,0,0.0,3,100.0 | 48.7 | 51.2
62,2014__실업자__빈도,int64,3,0,0.0,3,35655 | 15760 | 19894
63,2014__실업자__비중,float64,3,0,0.0,3,100.0 | 44.2 | 55.7
64,2014__비경활__빈도,int64,3,0,0.0,3,88387 | 40389 | 47997
65,2014__비경활__비중,float64,3,0,0.0,3,100.0 | 45.6 | 54.3
66,2015__전체__빈도,int64,3,0,0.0,3,515320 | 248382 | 266937
67,2015__전체__비중,float64,3,0,0.0,3,100.0 | 48.1 | 51.8
68,2015__취업자__빈도,int64,3,0,0.0,3,380947 | 186442 | 194504
69,2015__취업자__비중,float64,3,0,0.0,3,100.0 | 48.9 | 51.0
70,2015__실업자__빈도,int64,3,0,0.0,3,35304 | 17505 | 17798
71,2015__실업자__비중,float64,3,0,0.0,3,100.0 | 49.5 | 50.4
72,2015__비경활__빈도,int64,3,0,0.0,3,99068 | 44434 | 54634
73,2015__비경활__비중,float64,3,0,0.0,3,100.0 | 44.8 | 55.1
74,2016__전체__빈도,int64,3,0,0.0,3,520547 | 250575 | 269971
75,2016__전체__비중,float64,3,0,0.0,3,100.0 | 48.1 | 51.8
76,2016__취업자__빈도,int64,3,0,0.0,3,388305 | 190008 | 198296
77,2016__취업자__비중,float64,3,0,0.0,3,100.0 | 48.9 | 51.0
78,2016__실업자__빈도,int64,3,0,0.0,3,38016 | 18518 | 19497
79,2016__실업자__비중,float64,3,0,0.0,3,100.0 | 48.7 | 51.2
80,2016__비경활__빈도,int64,3,0,0.0,3,94225 | 42048 | 52176
81,2016__비경활__비중,float64,3,0,0.0,3,100.0 | 44.6 | 55.3
82,2017__전체__빈도,int64,3,0,0.0,3,512169 | 246068 | 266100
83,2017__전체__비중,float64,3,0,0.0,3,100.0 | 48.0 | 51.9
84,2017__취업자__빈도,int64,3,0,0.0,3,375557 | 183726 | 191831
85,2017__취업자__비중,float64,3,0,0.0,3,100.0 | 48.9 | 51.0
86,2017__실업자__빈도,int64,3,0,0.0,3,42899 | 19363 | 23535
87,2017__실업자__비중,float64,3,0,0.0,3,100.0 | 45.1 | 54.8
88,2017__비경활__빈도,int64,3,0,0.0,3,93712 | 42979 | 50733
89,2017__비경활__비중,float64,3,0,0.0,3,100.0 | 45.8 | 54.1
90,2018__전체__빈도,int64,3,0,0.0,3,494334 | 238805 | 255529
91,2018__전체__비중,float64,3,0,0.0,3,100.0 | 48.3 | 51.6
92,2018__취업자__빈도,int64,3,0,0.0,3,364901 | 180336 | 184565
93,2018__취업자__비중,float64,3,0,0.0,3,100.0 | 49.4 | 50.5
94,2018__실업자__빈도,int64,3,0,0.0,3,39285 | 18090 | 21195
95,2018__실업자__비중,float64,3,0,0.0,3,100.0 | 46.0 | 53.9
96,2018__비경활__빈도,int64,3,0,0.0,3,90146 | 40378 | 49768
97,2018__비경활__비중,float64,3,0,0.0,3,100.0 | 44.7 | 55.2
98,2019__전체__빈도,int64,3,0,0.0,3,486912 | 236689 | 250222
99,2019__전체__비중,float64,3,0,0.0,3,100.0 | 48.6 | 51.3
100,2019__취업자__빈도,int64,3,0,0.0,3,324469 | 160331 | 164138
101,2019__취업자__비중,float64,3,0,0.0,3,100.0 | 49.4 | 50.5
102,2019__실업자__빈도,int64,3,0,0.0,3,52340 | 26393 | 25947
103,2019__실업자__비중,float64,3,0,0.0,3,100.0 | 50.4 | 49.5
104,2019__비경활__빈도,int64,3,0,0.0,3,110102 | 49965 | 60137
105,2019__비경활__비중,float64,3,0,0.0,3,100.0 | 45.3 | 54.6
