column,dtype_actual,semantic_role,feature_block,measurement_level,grain,unit,source_dataset,source_column,derivation_formula,is_identifier,is_target_candidate,is_context,is_quality_metadata,model_default_active,review_required,notes
match_method,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,match_method,,False,False,False,True,False,False,candidate_feature_or_context
match_status,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,match_status,,False,False,False,True,False,False,candidate_feature_or_context
match_score,float64,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,match_score,,False,False,False,True,False,False,candidate_feature_or_context
candidate_count,Int16,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,candidate_count,,False,False,False,True,False,False,candidate_feature_or_context
review_needed,boolean,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,review_needed,,False,False,False,True,False,False,identifier_label_or_qa_metadata
unmatched_reason,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,unmatched_reason,,False,False,False,True,False,False,candidate_feature_or_context
match_evidence,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,match_evidence,,False,False,False,True,False,False,identifier_label_or_qa_metadata
candidate_headcount_row_ids,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,candidate_headcount_row_ids,,False,False,False,True,False,False,candidate_feature_or_context
candidate_preview,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,candidate_preview,,False,False,False,True,False,False,identifier_label_or_qa_metadata
campus_conflict_flag,bool,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,campus_conflict_flag,,False,False,False,True,False,False,candidate_feature_or_context
degree_course_conflict_flag,bool,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,degree_course_conflict_flag,,False,False,False,True,False,False,candidate_feature_or_context
major_conflict_flag,bool,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,major_conflict_flag,,False,False,False,True,False,False,candidate_feature_or_context
forbidden_modifier_conflict_flag,bool,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,forbidden_modifier_conflict_flag,,False,False,False,True,False,False,candidate_feature_or_context
headcount_match_flag,bool,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,headcount_match_flag,,False,False,False,True,False,False,candidate_feature_or_context
headcount_grain_version,str,grain_lineage_metadata,QUALITY,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,headcount_grain_version,,False,False,False,True,False,False,Headcount grain version metadata.
headcount_grain_uid,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,headcount_grain_uid,,True,False,False,False,False,False,candidate_feature_or_context
grain_resolution_method,str,grain_lineage_metadata,QUALITY,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,grain_resolution_method,,False,False,False,True,False,False,Grain resolution method metadata.
grain_review_needed,boolean,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D01_v2,grain_review_needed,,False,False,False,True,False,False,identifier_label_or_qa_metadata
raw_row_lineage,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,raw_row_lineage,,True,False,False,False,False,False,candidate_feature_or_context
school_uid_y,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D03_v2,school_uid_y,,True,False,False,False,False,False,candidate_feature_or_context
campus_uid,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,campus_uid,,True,False,False,False,False,False,candidate_feature_or_context
dept_uid,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,dept_uid,,True,False,False,False,False,False,candidate_feature_or_context
kedi_dept_code,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,kedi_dept_code,,True,False,False,False,False,False,candidate_feature_or_context
school_type,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,school_type,,False,False,True,False,True,False,candidate_feature_or_context
degree_course,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,degree_course,,False,False,True,False,True,False,candidate_feature_or_context
school_status_raw,string,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D01_v2,school_status_raw,,False,False,False,True,False,False,identifier_label_or_qa_metadata
day_evening_raw,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,day_evening_raw,,False,False,True,False,False,False,identifier_label_or_qa_metadata
campus_name_raw_y,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D03_v2,campus_name_raw_y,,True,False,False,False,False,False,candidate_feature_or_context
campus_name_std_y,string,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D03_v2,campus_name_std_y,,True,False,False,False,False,False,candidate_feature_or_context
region_sido,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,region_sido,,False,False,True,False,True,False,candidate_feature_or_context
region_sigungu,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,region_sigungu,,False,False,True,False,True,False,candidate_feature_or_context
hc_major_group_raw,string,major_mapping_lineage_metadata,QUALITY,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D03_v2,hc_major_group_raw,,False,False,False,True,False,False,Raw headcount major label; use canonical major_group_7 only.
hc_major_group_7,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D03_v2,hc_major_group_7,,False,False,True,False,True,False,candidate_feature_or_context
field_middle_name,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,field_middle_name,,False,False,True,False,True,False,candidate_feature_or_context
field_small_name,string,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,field_small_name,,False,False,True,False,True,False,candidate_feature_or_context
admission_capacity_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,admission_capacity_n,,False,False,True,False,True,False,candidate_feature_or_context
recruitment_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,recruitment_n,,False,False,True,False,True,False,candidate_feature_or_context
applicants_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,applicants_n,,False,False,True,False,True,False,candidate_feature_or_context
admits_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,admits_n,,False,False,True,False,True,False,candidate_feature_or_context
enrolled_students_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,enrolled_students_n,,False,False,True,False,True,False,candidate_feature_or_context
leave_students_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,leave_students_n,,False,False,True,False,True,False,candidate_feature_or_context
graduates_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,graduates_n,,False,False,True,False,True,False,candidate_feature_or_context
fulltime_faculty_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,fulltime_faculty_n,,False,False,True,False,True,False,candidate_feature_or_context
nonfulltime_faculty_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,nonfulltime_faculty_n,,False,False,True,False,True,False,candidate_feature_or_context
international_students_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,international_students_n,,False,False,True,False,True,False,candidate_feature_or_context
female_students_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,female_students_n,,False,False,True,False,True,False,candidate_feature_or_context
masters_students_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,masters_students_n,,False,False,True,False,True,False,candidate_feature_or_context
doctoral_students_n,Int32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,doctoral_students_n,,False,False,True,False,True,False,candidate_feature_or_context
competition_ratio,Float32,admission_selectivity_feature,Q,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,ratio,D01_v2,competition_ratio,applicants_n / recruitment_n where recruitment_n > 0,False,False,True,False,True,False,candidate_feature_or_context
admission_yield_ratio,Float32,admission_selectivity_feature,Q,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,ratio,D01_v2,admission_yield_ratio,admits_n / recruitment_n where recruitment_n > 0,False,False,True,False,True,False,candidate_feature_or_context
admit_per_applicant_ratio,Float32,admission_selectivity_feature,Q,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,ratio,D01_v2,admit_per_applicant_ratio,admits_n / applicants_n where applicants_n > 0,False,False,True,False,True,False,candidate_feature_or_context
leave_rate_pct,Float32,department_structure_feature,B,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D01_v2,leave_rate_pct,leave_students_n / enrolled_students_n * 100 where enrolled_students_n > 0,False,False,True,False,True,False,candidate_feature_or_context
female_student_share_pct,Float32,department_structure_feature,B,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D01_v2,female_student_share_pct,female_students_n / enrolled_students_n * 100 where enrolled_students_n > 0,False,False,True,False,True,False,candidate_feature_or_context
international_student_share_pct,Float32,department_structure_feature,B,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D01_v2,international_student_share_pct,international_students_n / enrolled_students_n * 100 where enrolled_students_n > 0,False,False,True,False,True,False,candidate_feature_or_context
student_faculty_ratio,Float32,department_structure_feature,B,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,derived_numeric,D01_v2,student_faculty_ratio,enrolled_students_n / (fulltime_faculty_n + nonfulltime_faculty_n) where faculty total > 0,False,False,True,False,True,False,candidate_feature_or_context
fulltime_faculty_share_pct,Float32,department_structure_feature,B,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D01_v2,fulltime_faculty_share_pct,fulltime_faculty_n / (fulltime_faculty_n + nonfulltime_faculty_n) * 100 where faculty total > 0,False,False,True,False,True,False,candidate_feature_or_context
log_enrolled_students,Float32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,log_enrolled_students,log1p(enrolled_students_n),False,False,True,False,True,False,candidate_feature_or_context
log_graduates,Float32,count_or_denominator_candidate,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count,D01_v2,log_graduates,log1p(graduates_n),False,False,True,False,True,False,candidate_feature_or_context
school_uid,str,identifier_or_label,K,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,id_or_label,D01_v2,school_uid,,True,False,False,False,False,False,candidate_feature_or_context
major_group_7,str,stratification_feature,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D01_v2,major_group_7,,False,False,True,False,True,False,candidate_feature_or_context
major7_mapping_method,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,major7_mapping_method,,False,False,False,True,False,False,candidate_feature_or_context
major7_mapping_confidence,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,major7_mapping_confidence,,False,False,False,True,False,False,candidate_feature_or_context
major7_candidate_count,int64,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,major7_candidate_count,,False,False,False,True,False,False,candidate_feature_or_context
major7_review_needed,bool,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,major7_review_needed,,False,False,False,True,False,False,identifier_label_or_qa_metadata
major7_evidence,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,major7_evidence,,False,False,False,True,False,False,identifier_label_or_qa_metadata
major7_sample_exclusion_rule,str,sample_exclusion_metadata,QUALITY,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,category,D03_v2,major7_sample_exclusion_rule,,False,False,False,True,False,False,Sample exclusion rule metadata.
has_structure_context,boolean,sample_observation_flag,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,flag,D03_v2,has_structure_context,,False,False,False,True,False,False,candidate_feature_or_context
has_major_group_7_high_medium,boolean,sample_observation_flag,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,flag,D03_v2,has_major_group_7_high_medium,,False,False,False,True,False,False,candidate_feature_or_context
row_qa_status,str,match_or_review_metadata,QUALITY,row_quality,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,metadata,D03_v2,row_qa_status,,False,False,False,True,False,False,candidate_feature_or_context
ctx24_reference_sample_n,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count_or_numeric,D04_v2,reference_sample_n,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,True,False,candidate_feature_or_context
ctx24_mean_income_10kkrw,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count_or_numeric,D04_v2,mean_income_10kkrw,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,True,False,candidate_feature_or_context
ctx24_median_income_10kkrw,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count_or_numeric,D04_v2,median_income_10kkrw,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,True,False,candidate_feature_or_context
ctx24_income_300plus_pct,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D04_v2,income_300plus_pct,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,True,False,candidate_feature_or_context
ctx24_income_400plus_pct,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D04_v2,income_400plus_pct,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,True,False,candidate_feature_or_context
ctx24_large_company_pct,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D04_v2,large_company_pct,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,True,False,candidate_feature_or_context
ctx24_mid_company_pct,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D04_v2,mid_company_pct,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,True,False,candidate_feature_or_context
ctx24_small_company_pct,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D04_v2,small_company_pct,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,True,False,candidate_feature_or_context
ctx24_large_mid_company_pct,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D04_v2,large_mid_company_pct,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,True,False,candidate_feature_or_context
ctx24_public_nonprofit_pct,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D04_v2,public_nonprofit_pct,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,True,False,candidate_feature_or_context
ctx24_cert_rate_pct,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D04_v2,cert_rate_pct,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,True,False,candidate_feature_or_context
ctx24_cert_per_person,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count_or_numeric,D04_v2,cert_per_person,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,True,False,candidate_feature_or_context
ctx24_log10_mean_income,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count_or_numeric,D04_v2,log10_mean_income,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,True,False,candidate_feature_or_context
ctx24_industry_top3_pct,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,percent,D04_v2,industry_top3_pct,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,False,True,All-null in candidate handoff; disabled by feature registry.
ctx24_industry_hhi,Float32,major7_2024_context,C24,major7_year,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,count_or_numeric,D04_v2,industry_hhi,major_group_7 keyed 2024 wage/job-cert context merge,False,False,True,False,False,True,All-null in candidate handoff; disabled by feature registry.
goms_profile_start_year,Int16,major7_historical_context,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,numeric,D07_HANDOFF,profile_start_year,major_group_7 keyed historical GOMS recent profile merge,False,False,True,False,True,False,candidate_feature_or_context
goms_profile_end_year,Int16,major7_historical_context,GOMS,major7,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,numeric,D07_HANDOFF,profile_end_year,major_group_7 keyed historical GOMS recent profile merge,False,False,True,False,True,False,candidate_feature_or_context
