grouping,group,column,missing_n,missing_pct,non_null_n
overall,ALL,major7_evidence,0,0.0,10242
overall,ALL,major7_sample_exclusion_rule,0,0.0,10242
overall,ALL,has_structure_context,0,0.0,10242
overall,ALL,has_major_group_7_high_medium,0,0.0,10242
overall,ALL,row_qa_status,0,0.0,10242
overall,ALL,ctx24_reference_sample_n,143,1.3962116774067566,10099
overall,ALL,ctx24_mean_income_10kkrw,143,1.3962116774067566,10099
overall,ALL,ctx24_median_income_10kkrw,143,1.3962116774067566,10099
overall,ALL,ctx24_income_300plus_pct,143,1.3962116774067566,10099
overall,ALL,ctx24_income_400plus_pct,143,1.3962116774067566,10099
overall,ALL,ctx24_large_company_pct,143,1.3962116774067566,10099
overall,ALL,ctx24_mid_company_pct,143,1.3962116774067566,10099
overall,ALL,ctx24_small_company_pct,143,1.3962116774067566,10099
overall,ALL,ctx24_large_mid_company_pct,143,1.3962116774067566,10099
overall,ALL,ctx24_public_nonprofit_pct,143,1.3962116774067566,10099
overall,ALL,ctx24_cert_rate_pct,143,1.3962116774067566,10099
overall,ALL,ctx24_cert_per_person,143,1.3962116774067566,10099
overall,ALL,ctx24_log10_mean_income,143,1.3962116774067566,10099
overall,ALL,ctx24_industry_top3_pct,10242,100.0,0
overall,ALL,ctx24_industry_hhi,10242,100.0,0
overall,ALL,goms_profile_start_year,143,1.3962116774067566,10099
overall,ALL,goms_profile_end_year,143,1.3962116774067566,10099
overall,ALL,goms_profile_years_n,143,1.3962116774067566,10099
overall,ALL,goms_aggregation_method,143,1.3962116774067566,10099
overall,ALL,goms_recent_employment_rate_pct,143,1.3962116774067566,10099
overall,ALL,goms_recent_firm_300plus_pct,143,1.3962116774067566,10099
overall,ALL,goms_recent_public_nonprofit_pct,143,1.3962116774067566,10099
overall,ALL,goms_recent_permanent_pct,143,1.3962116774067566,10099
overall,ALL,goms_recent_unstable_pct,143,1.3962116774067566,10099
overall,ALL,goms_recent_self_employed_pct,143,1.3962116774067566,10099
overall,ALL,goms_recent_industry_hhi,143,1.3962116774067566,10099
overall,ALL,goms_recent_industry_top3_pct,143,1.3962116774067566,10099
overall,ALL,goms_recent_professional_highskill_pct,143,1.3962116774067566,10099
overall,ALL,goms_recent_mean_income_10kkrw,143,1.3962116774067566,10099
overall,ALL,goms_recent_weekly_work_hours,143,1.3962116774067566,10099
overall,ALL,goms_recent_hourly_income_proxy,143,1.3962116774067566,10099
overall,ALL,goms_income_trend_per_year,143,1.3962116774067566,10099
overall,ALL,goms_hours_trend_per_year,143,1.3962116774067566,10099
overall,ALL,goms_firm_300plus_trend_per_year,143,1.3962116774067566,10099
overall,ALL,goms_permanent_trend_per_year,143,1.3962116774067566,10099
overall,ALL,goms_latest_2019_mean_income_10kkrw,143,1.3962116774067566,10099
overall,ALL,goms_latest_2019_weekly_work_hours,143,1.3962116774067566,10099
overall,ALL,goms_latest_2019_firm_300plus_pct,143,1.3962116774067566,10099
overall,ALL,goms_latest_2019_permanent_pct,143,1.3962116774067566,10099
overall,ALL,goms_source_years_observed,143,1.3962116774067566,10099
overall,ALL,goms_year_over_year_review_flag,143,1.3962116774067566,10099
