conflict_group_id,outcome_row_id,classification,status,model_allowed,weight_allowed,denominator_allowed,exclusion_reason,source
DUPCON_014,OC2024_06846,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,P4_DUPLICATE_CONFLICT_RESOLUTION.csv
DUPCON_015,OC2024_06767,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,P4_DUPLICATE_CONFLICT_RESOLUTION.csv
DUPCON_015,OC2024_06837,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,P4_DUPLICATE_CONFLICT_RESOLUTION.csv
DUPCON_016,OC2024_01643,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,P4_DUPLICATE_CONFLICT_RESOLUTION.csv
DUPCON_016,OC2024_01706,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,P4_DUPLICATE_CONFLICT_RESOLUTION.csv
DUPCON_017,OC2024_08822,TRUE_DUPLICATE,LEDGERED_EXCLUSION,False,False,False,TRUE_DUPLICATE_PENDING_REVIEW,P4_DUPLICATE_CONFLICT_RESOLUTION.csv
DUPCON_017,OC2024_08823,TRUE_DUPLICATE,LEDGERED_EXCLUSION,False,False,False,TRUE_DUPLICATE_PENDING_REVIEW,P4_DUPLICATE_CONFLICT_RESOLUTION.csv
DUPCON_018,OC2024_06740,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,P4_DUPLICATE_CONFLICT_RESOLUTION.csv
DUPCON_018,OC2024_06831,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,P4_DUPLICATE_CONFLICT_RESOLUTION.csv
HEADCOUNT_REUSE_HCG_006f4a7004ae,OC2024_01626,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_006f4a7004ae,OC2024_01696,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_0192587acded,OC2024_01643,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_0192587acded,OC2024_01706,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_16ee4115f587,OC2024_06769,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_16ee4115f587,OC2024_06841,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_20cff7139a22,OC2024_06767,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_20cff7139a22,OC2024_06837,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_8eb2aae466a7,OC2024_01602,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_8eb2aae466a7,OC2024_01665,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_984fac045ce5,OC2024_01606,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_984fac045ce5,OC2024_01675,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_9f837d621322,OC2024_03092,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_9f837d621322,OC2024_03093,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_a00973b2cdce,OC2024_01603,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_a00973b2cdce,OC2024_01667,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_a6a6846c3f22,OC2024_06708,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_a6a6846c3f22,OC2024_06804,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_d6e87d47c2bd,OC2024_06701,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_d6e87d47c2bd,OC2024_06803,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_e53e660c25b6,OC2024_06699,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_e53e660c25b6,OC2024_06801,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_e76b724fb0fa,OC2024_06783,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_e76b724fb0fa,OC2024_06846,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_f0da1f8eedcb,OC2024_06740,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_f0da1f8eedcb,OC2024_06831,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_fd14c3ec4355,OC2024_01632,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
HEADCOUNT_REUSE_HCG_fd14c3ec4355,OC2024_01698,PARENT_HEADCOUNT_REUSED,LEDGERED_WARN,True,False,False,,recomputed_headcount_grain_uid
