school_uid,school_name_std,rows
SCH_f52ce678f2b3,목포대학교,65
SCH_3a9f2002a350,호남대학교,64
SCH_c4deb88e2c2a,중앙대학교,64
SCH_d4e36f66c72f,영산대학교,63
SCH_7b175b7efa10,군산대학교,62
SCH_2a9d10aec529,인제대학교,62
SCH_ceca21d22b99,강릉원주대학교,62
SCH_a70179c6531f,우석대학교,62
SCH_f759dc0a8ccd,성신여자대학교,59
SCH_6a3a99a48782,광주대학교,57
SCH_ff31901b4f59,숙명여자대학교,56
SCH_7573460df9c1,한서대학교,56
SCH_8c30e6ac4fbd,숭실대학교,56
SCH_d7cf6b01676b,동신대학교,56
SCH_cba7fc3f2ea2,신한대학교,55
SCH_708f797d9c02,건양대학교,54
SCH_8253c7faf164,광운대학교,54
SCH_dffcffc2a336,창원대학교,54
SCH_55457aeb7b89,서경대학교,54
SCH_ff53ff346c39,한림대학교,53
SCH_8f2e356312a7,대진대학교,53
SCH_d0774c2b8283,서원대학교,52
SCH_8e36aff4c8cd,나사렛대학교,52
SCH_f1b78fc627f6,경동대학교,49
SCH_e665793836cb,서울시립대학교,49
SCH_2262007d8cd8,안양대학교,48
SCH_f38e74825865,유원대학교,47
SCH_c235744d252d,서울여자대학교,47
SCH_f11056a7ff4e,가톨릭대학교,44
SCH_55c52db9765e,신경주대학교,43
SCH_1f0dbf8ca0ee,경일대학교,42
SCH_eb90ff65b86d,남서울대학교,41
SCH_ed1a93cb5155,한밭대학교,41
SCH_cda53f0ed06d,동양대학교,41
SCH_7896f9dd5fce,용인대학교,41
SCH_fe14f3441845,우송대학교,41
SCH_0d9869ded823,경남과학기술대학교,40
SCH_65cc323b97e2,극동대학교,40
SCH_c80253ebd31c,중원대학교,40
SCH_ab9f4dbc01f8,서울과학기술대학교,39
SCH_80bfdbf9dec7,호원대학교,39
SCH_d9cc9b5ef13c,협성대학교,38
SCH_c417cf41afe0,아주대학교,38
SCH_fc474c91d6f5,경운대학교,35
SCH_fd343c02a3d4,성공회대학교,35
SCH_d605db23ebce,평택대학교,35
SCH_76fe6236882c,서강대학교,33
SCH_dd703f1e1d10,한라대학교,33
SCH_38a7fe8ddf6c,위덕대학교,32
SCH_fa153e645e1e,광주여자대학교,32
SCH_974bcc3d229d,강남대학교,31
SCH_2f1dd9f5df84,고신대학교,31
SCH_a1748432a398,한성대학교,30
SCH_b8901e036949,청운대학교,30
SCH_660b002d3bb9,삼육대학교,30
SCH_b4c24dedeac1,금오공과대학교,30
SCH_eaaf89439c64,을지대학교,30
SCH_b518403952c6,세한대학교,30
SCH_31969f1e134f,백석대학교,28
SCH_406e2951a18f,송원대학교,28
SCH_f2b39b741d67,경인교육대학교,28
SCH_ef74b9791330,한국해양대학교,28
SCH_d439accb1575,초당대학교,28
SCH_f035f77086f3,한국예술종합학교,27
SCH_84786f2613b0,성결대학교,27
SCH_a25c104d5945,한국방송통신대학교,27
SCH_9b542fd13f8c,제주국제대학교,26
SCH_65e8bd521a40,한국교원대학교,25
SCH_08825e789819,울산과학기술원,24
SCH_b3c5162386a0,김천대학교,24
SCH_2bae5a982f8a,한세대학교,22
SCH_35d77d3b6c8e,화성의과학대학교,22
SCH_d8d3233deb6a,부산가톨릭대학교,21
SCH_9ddd58d1e190,한국과학기술원,20
SCH_74c22c88d3ac,대구예술대학교,20
SCH_2178d9389c0b,창신대학교,20
SCH_0a6c34a4bd7e,예원예술대학교,19
SCH_bcc7b61d775b,남부대학교,19
SCH_d4b90d7a1e57,한국공학대학교,18
SCH_893fafa4d1ec,서울신학대학교,16
SCH_4fcb5ca730cd,가야대학교,14
SCH_73ea02aeaa3e,목포해양대학교,14
SCH_ea94589fd8d8,한국항공대학교,14
SCH_c5a1533526c1,부산교육대학교,13
SCH_a1b6cde5051e,서울교육대학교,13
SCH_ae7d6447ea08,한국체육대학교,13
SCH_81449b8bc19d,광주교육대학교,13
SCH_26a4acba3939,차의과학대학교,13
SCH_4578df1eb182,대구교육대학교,13
SCH_350aadd7b42e,청주교육대학교,12
SCH_5f064e6d8c50,진주교육대학교,12
SCH_41fce6e94601,전주교육대학교,12
SCH_842f899d2eb8,춘천교육대학교,12
SCH_f88bc2b7f75b,한동대학교,12
SCH_142ed7b6f7b8,공주교육대학교,12
SCH_7d73e0278bba,포항공과대학교,12
SCH_bfb4ffe4d1d0,강서대학교,11
SCH_d49a078a4713,한국기술교육대학교,11
SCH_c61963963f37,아신대학교,11
SCH_b95165ee3f1c,서울한영대학교,11
SCH_5d6eedf02da5,총신대학교,10
SCH_080166833214,칼빈대학교,10
SCH_f55d29b69bf5,한국침례신학대학교,10
SCH_e737ecda2ac3,광주과학기술원,10
SCH_ead4aa8b8153,인천가톨릭대학교,10
SCH_20dac01e599f,서울기독대학교,9
SCH_517472e0016a,추계예술대학교,9
SCH_bddec49f1888,금강대학교,8
SCH_8792a35991bd,한국전통문화대학교,7
SCH_238de31a70c5,광신대학교,7
SCH_11568cc95743,가톨릭꽃동네대학교,6
SCH_2fddf92ebc74,한일장신대학교,6
SCH_e5edbc74bc0b,대신대학교,6
SCH_399b2a3af860,영남신학대학교,5
SCH_0a99c689284a,호남신학대학교,5
SCH_3b977c481961,한국성서대학교,5
SCH_9b07d5e5cea5,서울장신대학교,5
SCH_5ee1d0ecc427,루터대학교,5
SCH_493e4d3f588e,중앙승가대학교,5
SCH_43abe0f3b5c0,목포가톨릭대학교,3
SCH_51a7b678dcea,장로회신학대학교,3
SCH_a3e83fb32317,대구경북과학기술원,2
SCH_bc4c3907faea,예수대학교,2
SCH_46f14819b876,순복음총회신학교,2
SCH_ad7734bfb732,부산장신대학교,2
SCH_4d63e54767c6,감리교신학대학교,1
SCH_514dc1eff29d,영산선학대학교,1
SCH_45a0a9b1d6b5,대전가톨릭대학교,1
SCH_b602aec81b24,대전신학대학교,1
SCH_b909076be38e,광주가톨릭대학교,1
SCH_7c7da023e5f7,한국에너지공과대학교,1
SCH_8d565ec5e906,수원가톨릭대학교,1
