major_group_7,split,rows,sample_id
NAT,val,139,EMPLOYMENT_HEALTH
SOC,test,194,EMPLOYMENT_HEALTH
SOC,train,1120,EMPLOYMENT_HEALTH
SOC,val,235,EMPLOYMENT_HEALTH
ART,test,167,PROGRESSION_GRADSCHOOL
ART,train,776,PROGRESSION_GRADSCHOOL
ART,val,186,PROGRESSION_GRADSCHOOL
EDU,test,62,PROGRESSION_GRADSCHOOL
EDU,train,522,PROGRESSION_GRADSCHOOL
EDU,val,98,PROGRESSION_GRADSCHOOL
ENG,test,200,PROGRESSION_GRADSCHOOL
ENG,train,1326,PROGRESSION_GRADSCHOOL
ENG,val,263,PROGRESSION_GRADSCHOOL
HUM,test,77,PROGRESSION_GRADSCHOOL
HUM,train,698,PROGRESSION_GRADSCHOOL
HUM,val,129,PROGRESSION_GRADSCHOOL
MED,test,77,PROGRESSION_GRADSCHOOL
MED,train,321,PROGRESSION_GRADSCHOOL
MED,val,88,PROGRESSION_GRADSCHOOL
NAT,test,79,PROGRESSION_GRADSCHOOL
NAT,train,723,PROGRESSION_GRADSCHOOL
NAT,val,140,PROGRESSION_GRADSCHOOL
SOC,test,196,PROGRESSION_GRADSCHOOL
SOC,train,1133,PROGRESSION_GRADSCHOOL
SOC,val,237,PROGRESSION_GRADSCHOOL
ART,test,165,JOINT_EMP_PROG
ART,train,771,JOINT_EMP_PROG
ART,val,186,JOINT_EMP_PROG
EDU,test,59,JOINT_EMP_PROG
EDU,train,517,JOINT_EMP_PROG
EDU,val,95,JOINT_EMP_PROG
ENG,test,200,JOINT_EMP_PROG
ENG,train,1324,JOINT_EMP_PROG
ENG,val,260,JOINT_EMP_PROG
HUM,test,66,JOINT_EMP_PROG
HUM,train,655,JOINT_EMP_PROG
HUM,val,118,JOINT_EMP_PROG
MED,test,77,JOINT_EMP_PROG
MED,train,321,JOINT_EMP_PROG
MED,val,88,JOINT_EMP_PROG
NAT,test,79,JOINT_EMP_PROG
NAT,train,720,JOINT_EMP_PROG
NAT,val,139,JOINT_EMP_PROG
SOC,test,194,JOINT_EMP_PROG
SOC,train,1120,JOINT_EMP_PROG
SOC,val,235,JOINT_EMP_PROG
ART,test,187,GRADE_STRUCTURE
ART,train,873,GRADE_STRUCTURE
ART,val,199,GRADE_STRUCTURE
EDU,test,65,GRADE_STRUCTURE
EDU,train,520,GRADE_STRUCTURE
EDU,val,102,GRADE_STRUCTURE
ENG,test,257,GRADE_STRUCTURE
ENG,train,1636,GRADE_STRUCTURE
ENG,val,319,GRADE_STRUCTURE
HUM,test,87,GRADE_STRUCTURE
HUM,train,790,GRADE_STRUCTURE
HUM,val,133,GRADE_STRUCTURE
MED,test,74,GRADE_STRUCTURE
MED,train,347,GRADE_STRUCTURE
MED,val,98,GRADE_STRUCTURE
NAT,test,102,GRADE_STRUCTURE
NAT,train,834,GRADE_STRUCTURE
NAT,val,162,GRADE_STRUCTURE
SOC,test,224,GRADE_STRUCTURE
SOC,train,1302,GRADE_STRUCTURE
SOC,val,250,GRADE_STRUCTURE
ART,test,44,GRADE_SELECTIVITY_STRUCTURE
ART,train,163,GRADE_SELECTIVITY_STRUCTURE
ART,val,34,GRADE_SELECTIVITY_STRUCTURE
EDU,test,29,GRADE_SELECTIVITY_STRUCTURE
EDU,train,287,GRADE_SELECTIVITY_STRUCTURE
EDU,val,51,GRADE_SELECTIVITY_STRUCTURE
ENG,test,82,GRADE_SELECTIVITY_STRUCTURE
ENG,train,629,GRADE_SELECTIVITY_STRUCTURE
ENG,val,133,GRADE_SELECTIVITY_STRUCTURE
HUM,test,39,GRADE_SELECTIVITY_STRUCTURE
HUM,train,270,GRADE_SELECTIVITY_STRUCTURE
HUM,val,65,GRADE_SELECTIVITY_STRUCTURE
MED,test,27,GRADE_SELECTIVITY_STRUCTURE
MED,train,187,GRADE_SELECTIVITY_STRUCTURE
MED,val,47,GRADE_SELECTIVITY_STRUCTURE
NAT,test,39,GRADE_SELECTIVITY_STRUCTURE
NAT,train,382,GRADE_SELECTIVITY_STRUCTURE
NAT,val,70,GRADE_SELECTIVITY_STRUCTURE
SOC,test,61,GRADE_SELECTIVITY_STRUCTURE
SOC,train,437,GRADE_SELECTIVITY_STRUCTURE
SOC,val,122,GRADE_SELECTIVITY_STRUCTURE
ART,test,131,JOINT_EMP_PROG_STRUCTURE
ART,train,610,JOINT_EMP_PROG_STRUCTURE
ART,val,144,JOINT_EMP_PROG_STRUCTURE
EDU,test,58,JOINT_EMP_PROG_STRUCTURE
EDU,train,502,JOINT_EMP_PROG_STRUCTURE
EDU,val,93,JOINT_EMP_PROG_STRUCTURE
ENG,test,170,JOINT_EMP_PROG_STRUCTURE
ENG,train,1092,JOINT_EMP_PROG_STRUCTURE
ENG,val,209,JOINT_EMP_PROG_STRUCTURE
HUM,test,61,JOINT_EMP_PROG_STRUCTURE
HUM,train,592,JOINT_EMP_PROG_STRUCTURE
HUM,val,105,JOINT_EMP_PROG_STRUCTURE
MED,test,66,JOINT_EMP_PROG_STRUCTURE
MED,train,265,JOINT_EMP_PROG_STRUCTURE
MED,val,74,JOINT_EMP_PROG_STRUCTURE
NAT,test,74,JOINT_EMP_PROG_STRUCTURE
NAT,train,635,JOINT_EMP_PROG_STRUCTURE
NAT,val,121,JOINT_EMP_PROG_STRUCTURE
SOC,test,155,JOINT_EMP_PROG_STRUCTURE
SOC,train,927,JOINT_EMP_PROG_STRUCTURE
SOC,val,186,JOINT_EMP_PROG_STRUCTURE
ART,test,45,JOINT_EMP_PROG_SELECTIVITY
ART,train,187,JOINT_EMP_PROG_SELECTIVITY
ART,val,28,JOINT_EMP_PROG_SELECTIVITY
EDU,test,28,JOINT_EMP_PROG_SELECTIVITY
EDU,train,290,JOINT_EMP_PROG_SELECTIVITY
EDU,val,46,JOINT_EMP_PROG_SELECTIVITY
ENG,test,65,JOINT_EMP_PROG_SELECTIVITY
ENG,train,478,JOINT_EMP_PROG_SELECTIVITY
ENG,val,90,JOINT_EMP_PROG_SELECTIVITY
HUM,test,32,JOINT_EMP_PROG_SELECTIVITY
HUM,train,245,JOINT_EMP_PROG_SELECTIVITY
HUM,val,59,JOINT_EMP_PROG_SELECTIVITY
MED,test,25,JOINT_EMP_PROG_SELECTIVITY
MED,train,174,JOINT_EMP_PROG_SELECTIVITY
MED,val,35,JOINT_EMP_PROG_SELECTIVITY
NAT,test,39,JOINT_EMP_PROG_SELECTIVITY
NAT,train,329,JOINT_EMP_PROG_SELECTIVITY
NAT,val,47,JOINT_EMP_PROG_SELECTIVITY
SOC,test,59,JOINT_EMP_PROG_SELECTIVITY
SOC,train,394,JOINT_EMP_PROG_SELECTIVITY
SOC,val,110,JOINT_EMP_PROG_SELECTIVITY
ART,test,165,P1_SIGNAL_ALIGNMENT_CORE
ART,train,771,P1_SIGNAL_ALIGNMENT_CORE
ART,val,186,P1_SIGNAL_ALIGNMENT_CORE
EDU,test,59,P1_SIGNAL_ALIGNMENT_CORE
EDU,train,517,P1_SIGNAL_ALIGNMENT_CORE
EDU,val,95,P1_SIGNAL_ALIGNMENT_CORE
ENG,test,200,P1_SIGNAL_ALIGNMENT_CORE
ENG,train,1324,P1_SIGNAL_ALIGNMENT_CORE
ENG,val,260,P1_SIGNAL_ALIGNMENT_CORE
HUM,test,66,P1_SIGNAL_ALIGNMENT_CORE
HUM,train,655,P1_SIGNAL_ALIGNMENT_CORE
HUM,val,118,P1_SIGNAL_ALIGNMENT_CORE
MED,test,77,P1_SIGNAL_ALIGNMENT_CORE
MED,train,321,P1_SIGNAL_ALIGNMENT_CORE
MED,val,88,P1_SIGNAL_ALIGNMENT_CORE
NAT,test,79,P1_SIGNAL_ALIGNMENT_CORE
NAT,train,720,P1_SIGNAL_ALIGNMENT_CORE
NAT,val,139,P1_SIGNAL_ALIGNMENT_CORE
SOC,test,194,P1_SIGNAL_ALIGNMENT_CORE
SOC,train,1120,P1_SIGNAL_ALIGNMENT_CORE
SOC,val,235,P1_SIGNAL_ALIGNMENT_CORE
ART,test,45,P1_SIGNAL_ALIGNMENT_SELECTIVITY
ART,train,187,P1_SIGNAL_ALIGNMENT_SELECTIVITY
ART,val,28,P1_SIGNAL_ALIGNMENT_SELECTIVITY
EDU,test,28,P1_SIGNAL_ALIGNMENT_SELECTIVITY
EDU,train,290,P1_SIGNAL_ALIGNMENT_SELECTIVITY
EDU,val,46,P1_SIGNAL_ALIGNMENT_SELECTIVITY
ENG,test,65,P1_SIGNAL_ALIGNMENT_SELECTIVITY
ENG,train,478,P1_SIGNAL_ALIGNMENT_SELECTIVITY
ENG,val,90,P1_SIGNAL_ALIGNMENT_SELECTIVITY
HUM,test,32,P1_SIGNAL_ALIGNMENT_SELECTIVITY
HUM,train,245,P1_SIGNAL_ALIGNMENT_SELECTIVITY
HUM,val,59,P1_SIGNAL_ALIGNMENT_SELECTIVITY
MED,test,25,P1_SIGNAL_ALIGNMENT_SELECTIVITY
MED,train,174,P1_SIGNAL_ALIGNMENT_SELECTIVITY
MED,val,35,P1_SIGNAL_ALIGNMENT_SELECTIVITY
NAT,test,39,P1_SIGNAL_ALIGNMENT_SELECTIVITY
NAT,train,329,P1_SIGNAL_ALIGNMENT_SELECTIVITY
NAT,val,47,P1_SIGNAL_ALIGNMENT_SELECTIVITY
SOC,test,59,P1_SIGNAL_ALIGNMENT_SELECTIVITY
SOC,train,394,P1_SIGNAL_ALIGNMENT_SELECTIVITY
SOC,val,110,P1_SIGNAL_ALIGNMENT_SELECTIVITY
ART,test,187,P2_STRUCTURE_READY
ART,train,873,P2_STRUCTURE_READY
ART,val,199,P2_STRUCTURE_READY
EDU,test,65,P2_STRUCTURE_READY
EDU,train,520,P2_STRUCTURE_READY
EDU,val,102,P2_STRUCTURE_READY
ENG,test,257,P2_STRUCTURE_READY
ENG,train,1636,P2_STRUCTURE_READY
ENG,val,319,P2_STRUCTURE_READY
HUM,test,87,P2_STRUCTURE_READY
HUM,train,790,P2_STRUCTURE_READY
HUM,val,133,P2_STRUCTURE_READY
MED,test,74,P2_STRUCTURE_READY
MED,train,347,P2_STRUCTURE_READY
MED,val,98,P2_STRUCTURE_READY
NAT,test,102,P2_STRUCTURE_READY
NAT,train,834,P2_STRUCTURE_READY
NAT,val,162,P2_STRUCTURE_READY
SOC,test,224,P2_STRUCTURE_READY
SOC,train,1302,P2_STRUCTURE_READY
SOC,val,250,P2_STRUCTURE_READY
ART,test,44,P2_SELECTIVITY_READY
ART,train,163,P2_SELECTIVITY_READY
ART,val,34,P2_SELECTIVITY_READY
EDU,test,29,P2_SELECTIVITY_READY
EDU,train,287,P2_SELECTIVITY_READY
EDU,val,51,P2_SELECTIVITY_READY
ENG,test,82,P2_SELECTIVITY_READY
ENG,train,629,P2_SELECTIVITY_READY
ENG,val,133,P2_SELECTIVITY_READY
HUM,test,39,P2_SELECTIVITY_READY
HUM,train,270,P2_SELECTIVITY_READY
HUM,val,65,P2_SELECTIVITY_READY
MED,test,27,P2_SELECTIVITY_READY
MED,train,187,P2_SELECTIVITY_READY
MED,val,47,P2_SELECTIVITY_READY
NAT,test,39,P2_SELECTIVITY_READY
NAT,train,382,P2_SELECTIVITY_READY
NAT,val,70,P2_SELECTIVITY_READY
SOC,test,61,P2_SELECTIVITY_READY
SOC,train,437,P2_SELECTIVITY_READY
SOC,val,122,P2_SELECTIVITY_READY
ART,test,187,P3_STRUCTURE_READY
ART,train,873,P3_STRUCTURE_READY
ART,val,199,P3_STRUCTURE_READY
EDU,test,65,P3_STRUCTURE_READY
EDU,train,520,P3_STRUCTURE_READY
EDU,val,102,P3_STRUCTURE_READY
ENG,test,257,P3_STRUCTURE_READY
ENG,train,1636,P3_STRUCTURE_READY
ENG,val,319,P3_STRUCTURE_READY
HUM,test,87,P3_STRUCTURE_READY
HUM,train,790,P3_STRUCTURE_READY
HUM,val,133,P3_STRUCTURE_READY
MED,test,74,P3_STRUCTURE_READY
MED,train,347,P3_STRUCTURE_READY
MED,val,98,P3_STRUCTURE_READY
NAT,test,102,P3_STRUCTURE_READY
NAT,train,834,P3_STRUCTURE_READY
NAT,val,162,P3_STRUCTURE_READY
SOC,test,224,P3_STRUCTURE_READY
SOC,train,1302,P3_STRUCTURE_READY
SOC,val,250,P3_STRUCTURE_READY
ART,test,44,P3_SELECTIVITY_READY
ART,train,163,P3_SELECTIVITY_READY
ART,val,34,P3_SELECTIVITY_READY
EDU,test,29,P3_SELECTIVITY_READY
EDU,train,287,P3_SELECTIVITY_READY
EDU,val,51,P3_SELECTIVITY_READY
ENG,test,82,P3_SELECTIVITY_READY
ENG,train,629,P3_SELECTIVITY_READY
ENG,val,133,P3_SELECTIVITY_READY
HUM,test,39,P3_SELECTIVITY_READY
HUM,train,270,P3_SELECTIVITY_READY
HUM,val,65,P3_SELECTIVITY_READY
MED,test,27,P3_SELECTIVITY_READY
MED,train,187,P3_SELECTIVITY_READY
MED,val,47,P3_SELECTIVITY_READY
NAT,test,39,P3_SELECTIVITY_READY
NAT,train,382,P3_SELECTIVITY_READY
NAT,val,70,P3_SELECTIVITY_READY
SOC,test,61,P3_SELECTIVITY_READY
SOC,train,437,P3_SELECTIVITY_READY
SOC,val,122,P3_SELECTIVITY_READY
ART,test,133,P4_STRUCTURE_READY
ART,train,615,P4_STRUCTURE_READY
ART,val,144,P4_STRUCTURE_READY
EDU,test,61,P4_STRUCTURE_READY
EDU,train,506,P4_STRUCTURE_READY
EDU,val,96,P4_STRUCTURE_READY
ENG,test,170,P4_STRUCTURE_READY
ENG,train,1094,P4_STRUCTURE_READY
ENG,val,212,P4_STRUCTURE_READY
HUM,test,70,P4_STRUCTURE_READY
HUM,train,632,P4_STRUCTURE_READY
HUM,val,116,P4_STRUCTURE_READY
MED,test,66,P4_STRUCTURE_READY
MED,train,265,P4_STRUCTURE_READY
MED,val,74,P4_STRUCTURE_READY
NAT,test,74,P4_STRUCTURE_READY
NAT,train,637,P4_STRUCTURE_READY
NAT,val,121,P4_STRUCTURE_READY
SOC,test,156,P4_STRUCTURE_READY
SOC,train,938,P4_STRUCTURE_READY
SOC,val,186,P4_STRUCTURE_READY
ART,test,34,P4_SELECTIVITY_READY
ART,train,125,P4_SELECTIVITY_READY
ART,val,20,P4_SELECTIVITY_READY
EDU,test,28,P4_SELECTIVITY_READY
EDU,train,281,P4_SELECTIVITY_READY
EDU,val,47,P4_SELECTIVITY_READY
ENG,test,57,P4_SELECTIVITY_READY
ENG,train,388,P4_SELECTIVITY_READY
ENG,val,70,P4_SELECTIVITY_READY
HUM,test,34,P4_SELECTIVITY_READY
HUM,train,233,P4_SELECTIVITY_READY
HUM,val,60,P4_SELECTIVITY_READY
MED,test,23,P4_SELECTIVITY_READY
MED,train,149,P4_SELECTIVITY_READY
MED,val,33,P4_SELECTIVITY_READY
NAT,test,38,P4_SELECTIVITY_READY
NAT,train,305,P4_SELECTIVITY_READY
NAT,val,46,P4_SELECTIVITY_READY
SOC,test,48,P4_SELECTIVITY_READY
SOC,train,324,P4_SELECTIVITY_READY
SOC,val,96,P4_SELECTIVITY_READY
