row_type,sample_id,target,group,N,mean,std,min,p01,p05,p25,median,p75,p95,p99,max,zero_ratio,hundred_ratio,skewness,school_icc
overall,P2_STRUCTURE_READY,graduate_school_progression_rate_pct,ALL,5674,8.254615783691406,12.895549774169922,0.0,0.0,0.0,0.0,2.777777671813965,11.11111068725586,35.77838840484609,57.746962814330956,100.0,0.4127599577017977,0.00035248501938667606,2.4252116680145264,1.3850051164627075
major_zero_ratio,P2_STRUCTURE_READY,graduate_school_progression_rate_pct,ART,790,,,,,,,,,,,,0.41139240506329117,,,
major_zero_ratio,P2_STRUCTURE_READY,graduate_school_progression_rate_pct,EDU,640,,,,,,,,,,,,0.678125,,,
major_zero_ratio,P2_STRUCTURE_READY,graduate_school_progression_rate_pct,ENG,1282,,,,,,,,,,,,0.25585023400936036,,,
major_zero_ratio,P2_STRUCTURE_READY,graduate_school_progression_rate_pct,HUM,722,,,,,,,,,,,,0.3656509695290859,,,
major_zero_ratio,P2_STRUCTURE_READY,graduate_school_progression_rate_pct,MED,392,,,,,,,,,,,,0.6913265306122449,,,
major_zero_ratio,P2_STRUCTURE_READY,graduate_school_progression_rate_pct,NAT,720,,,,,,,,,,,,0.12361111111111112,,,
major_zero_ratio,P2_STRUCTURE_READY,graduate_school_progression_rate_pct,SOC,1128,,,,,,,,,,,,0.5593971631205674,,,
split_distribution,P2_STRUCTURE_READY,graduate_school_progression_rate_pct,test,661,7.489456653594971,12.00692367553711,,,,,1.7241379022598267,,,,,0.46142208774583965,,,
split_distribution,P2_STRUCTURE_READY,graduate_school_progression_rate_pct,train,4129,8.140165328979492,12.684709548950195,,,,,2.857142925262451,,,,,0.4085735044805038,,,
split_distribution,P2_STRUCTURE_READY,graduate_school_progression_rate_pct,val,884,9.361333847045898,14.377068519592285,,,,,3.3333332538604736,,,,,0.39592760180995473,,,
overall,P2_SELECTIVITY_READY,a_rate_pct,ALL,3119,40.761741638183594,12.600777626037598,0.0,5.0,25.85797061920166,33.31360626220703,38.97385025024414,46.52197074890137,64.92852554321288,80.17573730468752,100.0,0.007374158384097467,0.0016030779095864058,0.7221469879150391,0.5589365363121033
major_zero_ratio,P2_SELECTIVITY_READY,a_rate_pct,ART,234,,,,,,,,,,,,0.004273504273504274,,,
major_zero_ratio,P2_SELECTIVITY_READY,a_rate_pct,EDU,365,,,,,,,,,,,,0.0,,,
