artifact_name,section,path,manifest_hash,actual_hash,hash_match,manifest_shape,actual_shape,shape_match,manifest_created_at,actual_mtime,modified_after_manifest,status
D04_v2,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/wage_reference_by_major.parquet,489caf15edbefa1ed0c30fdfa98dbe31096b36c219f6610dae69a2d5e49c47e5,489caf15edbefa1ed0c30fdfa98dbe31096b36c219f6610dae69a2d5e49c47e5,True,"[14, 87]","[14, 87]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
D05_v2,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/job_cert_bridge.parquet,f4447cf519bdf366e36851a68e6ec6b6605f9c9a591d96c911de4eece2327246,f4447cf519bdf366e36851a68e6ec6b6605f9c9a591d96c911de4eece2327246,True,"[24, 32]","[24, 32]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
D08_v2_shared_candidate,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/mart_department_model_base_2024.parquet,598b68b31b5358dfd23839d4c138cc64838d05876b7791980b376c0453f29962,598b68b31b5358dfd23839d4c138cc64838d05876b7791980b376c0453f29962,True,"[10242, 151]","[10242, 151]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
bridge_campus_alias,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_campus_alias.csv,8033c6f596aec13af52dd3cb255ba4414b6a03299cd0a9cb7c6e8c91a3f7a0fa,8033c6f596aec13af52dd3cb255ba4414b6a03299cd0a9cb7c6e8c91a3f7a0fa,True,"[229, 10]","[229, 10]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
bridge_department_alias,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_department_alias.csv,2d380712d1220dab414976a8b0cc67708285dafe6f413e030e61fa953a1c936c,2d380712d1220dab414976a8b0cc67708285dafe6f413e030e61fa953a1c936c,True,"[19990, 10]","[19990, 10]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
bridge_department_major7_v2,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_department_major7_v2.csv,7a92574bd2d8928304cffb08ecbafa4a3ce2c3112a3afe19ae2852e16138fbab,7a92574bd2d8928304cffb08ecbafa4a3ce2c3112a3afe19ae2852e16138fbab,True,"[10242, 8]","[10242, 8]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
bridge_outcome_headcount_v2,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_outcome_headcount_v2.csv,0ee76ab52f2f78e841ef341d740e9098cfafb1d7c1d277f577657d1b3d454bea,0ee76ab52f2f78e841ef341d740e9098cfafb1d7c1d277f577657d1b3d454bea,True,"[10242, 17]","[10242, 17]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
bridge_school_alias,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_school_alias.csv,c4ea27cd4a71a4b93189578c0f6f28463bfd1981fb9a5abb5f9f2b8768499dc3,c4ea27cd4a71a4b93189578c0f6f28463bfd1981fb9a5abb5f9f2b8768499dc3,True,"[1919, 6]","[1919, 6]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
department_model_column_registry,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/department_model_column_registry.csv,5871ec9ae36dd0e078eed403c67322784e3880d2fa82849671be45a6d252e126,5871ec9ae36dd0e078eed403c67322784e3880d2fa82849671be45a6d252e126,True,"[198, 6]","[198, 6]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
dim_headcount_grain_definition,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/dim_headcount_grain_definition.csv,76857c3cebefbbcc9b3df77ea067c44f7cee0a4fe7517acf7fc946c5c3681a7e,76857c3cebefbbcc9b3df77ea067c44f7cee0a4fe7517acf7fc946c5c3681a7e,True,"[6, 3]","[6, 3]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
dim_school_split,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/dim_school_split.csv,85c2c851ddcfd02d5ead41dbd9424124e4ef1993347842c031e487e8f2a13583,85c2c851ddcfd02d5ead41dbd9424124e4ef1993347842c031e487e8f2a13583,True,"[200, 6]","[200, 6]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
model_sample_membership,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/model_sample_membership.parquet,ef7eb73a35e9a058959747272d1b1e832622c415adeb363754dcb0fcb507c830,ef7eb73a35e9a058959747272d1b1e832622c415adeb363754dcb0fcb507c830,True,"[10242, 17]","[10242, 17]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
model_sample_registry,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/model_sample_registry.csv,b3389c0051d9b9eeca555f43cd8194d99574c2444df68cd8273232f7f9a553f8,b3389c0051d9b9eeca555f43cd8194d99574c2444df68cd8273232f7f9a553f8,True,"[5, 12]","[5, 12]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
p4_feature_set_registry,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/p4_feature_set_registry.csv,776c7072444b5abee02f9a20942ca24cff5ec5c684593299a2c8c43dbf7a6529,776c7072444b5abee02f9a20942ca24cff5ec5c684593299a2c8c43dbf7a6529,True,"[4, 7]","[4, 7]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
p4_target_candidate_registry,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/p4_target_candidate_registry.csv,3e48aaea329c4df989af2e078635fd7d7cd1677d5afd6c99d5f106e6313b5247,3e48aaea329c4df989af2e078635fd7d7cd1677d5afd6c99d5f106e6313b5247,True,"[6, 4]","[6, 4]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
shared_department_model_column_registry,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/department_model_column_registry.csv,5871ec9ae36dd0e078eed403c67322784e3880d2fa82849671be45a6d252e126,5871ec9ae36dd0e078eed403c67322784e3880d2fa82849671be45a6d252e126,True,"[198, 6]","[198, 6]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
shared_dim_school_split,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/dim_school_split.csv,85c2c851ddcfd02d5ead41dbd9424124e4ef1993347842c031e487e8f2a13583,85c2c851ddcfd02d5ead41dbd9424124e4ef1993347842c031e487e8f2a13583,True,"[200, 6]","[200, 6]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
shared_model_sample_membership,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/model_sample_membership.parquet,ef7eb73a35e9a058959747272d1b1e832622c415adeb363754dcb0fcb507c830,ef7eb73a35e9a058959747272d1b1e832622c415adeb363754dcb0fcb507c830,True,"[10242, 17]","[10242, 17]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
shared_model_sample_registry,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/model_sample_registry.csv,b3389c0051d9b9eeca555f43cd8194d99574c2444df68cd8273232f7f9a553f8,b3389c0051d9b9eeca555f43cd8194d99574c2444df68cd8273232f7f9a553f8,True,"[5, 12]","[5, 12]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
shared_p4_feature_set_registry,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/p4_feature_set_registry.csv,776c7072444b5abee02f9a20942ca24cff5ec5c684593299a2c8c43dbf7a6529,776c7072444b5abee02f9a20942ca24cff5ec5c684593299a2c8c43dbf7a6529,True,"[4, 7]","[4, 7]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
shared_p4_target_candidate_registry,output_files,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/p4_target_candidate_registry.csv,3e48aaea329c4df989af2e078635fd7d7cd1677d5afd6c99d5f106e6313b5247,3e48aaea329c4df989af2e078635fd7d7cd1677d5afd6c99d5f106e6313b5247,True,"[6, 4]","[6, 4]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
decision_log,local1_logs,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/logs/local1/decision_log.jsonl,f97f96c57575d91494b96f1ad8691dbc8ce677e6e6995fc8250827acc8281973,f97f96c57575d91494b96f1ad8691dbc8ce677e6e6995fc8250827acc8281973,True,,"[17, 13]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
transformation_log,local1_logs,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/logs/local1/transformation_log.jsonl,9b2dbee2823f2d6c5b434a624dc3782a7224887e6169c73af235abd03b33cd5c,9b2dbee2823f2d6c5b434a624dc3782a7224887e6169c73af235abd03b33cd5c,True,,"[4, 23]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
merge_audit,local1_logs,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/logs/local1/merge_audit.csv,0cf9601d2de588cc6939055dc72006629d95e17f8e4c1f483bb2fc8eb445ff25,0cf9601d2de588cc6939055dc72006629d95e17f8e4c1f483bb2fc8eb445ff25,True,,"[3, 17]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
schema_deviation_report,local1_logs,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/logs/local1/schema_deviation_report.csv,051a145e92aaf7aaf3e8464c22eed7ff699ca244b2d4d160a5a5aaa4cdb39abb,051a145e92aaf7aaf3e8464c22eed7ff699ca244b2d4d160a5a5aaa4cdb39abb,True,,"[4, 6]",True,2026-07-12T21:47:51,2026-07-12T21:47:51,False,PASS
local2_D07_handoff,local2,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/shared_handoff/goms_major_profile_recent.parquet,f44c6f9e7a7539361dce301686144780e0ce588deb929b625ebe811674bb621f,f44c6f9e7a7539361dce301686144780e0ce588deb929b625ebe811674bb621f,True,"[7, 29]","[7, 29]",True,2026-07-12T21:47:51,2026-07-12T21:38:43,False,PASS
LOCAL2_HANDOFF_MANIFEST,local2,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/shared_handoff/LOCAL2_HANDOFF_MANIFEST.json,24609ead002563288af769758e91bf26b82f972e0be7e14c2b2ea607b707df6a,24609ead002563288af769758e91bf26b82f972e0be7e14c2b2ea607b707df6a,True,,,True,2026-07-12T21:47:51,2026-07-12T21:38:43,False,PASS
