feature,expected_block,actual_block,exists,manual_approved,denylisted,dtype,missing_pct_structure,missing_pct_selectivity,status,reason
has_employment,,manual_approved_extra,True,True,True,boolean,0.0,0.0,EXTRA,target_or_grade_signal_leakage
has_major_group_7_high_medium,,manual_approved_extra,True,True,False,boolean,0.0,0.0,EXTRA,
has_progression,,manual_approved_extra,True,True,True,boolean,0.0,0.0,EXTRA,target_or_grade_signal_leakage
has_selectivity,,manual_approved_extra,True,True,False,boolean,0.0,0.0,EXTRA,
has_structure_context,,manual_approved_extra,True,True,False,boolean,0.0,0.0,EXTRA,
hc_major_group_7,,manual_approved_extra,True,True,False,string,0.0,0.0,EXTRA,
headcount_grain_uid,,manual_approved_extra,True,True,True,string,0.0,0.0,EXTRA,id_or_name
headcount_grain_version,,manual_approved_extra,True,True,False,str,0.0,0.0,EXTRA,
headcount_match_flag,,manual_approved_extra,True,True,True,bool,0.0,0.0,EXTRA,metadata_leakage
international_students_n,,manual_approved_extra,True,True,False,Int32,0.0,0.0,EXTRA,
kedi_dept_code,,manual_approved_extra,True,True,False,string,0.0,0.0,EXTRA,
leave_students_n,,manual_approved_extra,True,True,False,Int32,0.0,0.0,EXTRA,
major7_candidate_count,,manual_approved_extra,True,True,False,int64,0.0,0.0,EXTRA,
major7_mapping_confidence,,manual_approved_extra,True,True,False,str,0.0,0.0,EXTRA,
major7_mapping_method,,manual_approved_extra,True,True,False,str,0.0,0.0,EXTRA,
major7_sample_exclusion_rule,,manual_approved_extra,True,True,False,str,0.0,0.0,EXTRA,
major_conflict_flag,,manual_approved_extra,True,True,False,bool,0.0,0.0,EXTRA,
masters_students_n,,manual_approved_extra,True,True,False,Int32,0.0,0.0,EXTRA,
match_method,,manual_approved_extra,True,True,True,str,0.0,0.0,EXTRA,metadata_leakage
match_score,,manual_approved_extra,True,True,True,float64,0.0,0.0,EXTRA,metadata_leakage
match_stage,,manual_approved_extra,True,True,True,str,0.0,0.0,EXTRA,metadata_leakage
match_status,,manual_approved_extra,True,True,True,str,0.0,0.0,EXTRA,metadata_leakage
nonfulltime_faculty_n,,manual_approved_extra,True,True,False,Int32,0.0,0.0,EXTRA,
overseas_progression_rate_pct,,manual_approved_extra,True,True,True,Float32,0.25263435194942047,0.2382173773645399,EXTRA,progression_outcome_leakage
rate_range_qa,,manual_approved_extra,True,True,False,category,0.0,0.0,EXTRA,
raw_row_lineage,,manual_approved_extra,True,True,True,string,0.0,0.0,EXTRA,metadata_leakage
recruitment_n,,manual_approved_extra,True,True,False,Int32,0.0,0.0,EXTRA,
region_sigungu,,manual_approved_extra,True,True,False,string,0.0,0.0,EXTRA,
row_qa_status,,manual_approved_extra,True,True,False,str,0.0,0.0,EXTRA,
school_uid,,manual_approved_extra,True,True,True,str,0.0,0.0,EXTRA,id_or_name
school_uid_x,,manual_approved_extra,True,True,False,string,0.0,0.0,EXTRA,
school_uid_y,,manual_approved_extra,True,True,False,string,0.0,0.0,EXTRA,
university_progression_rate_pct,,manual_approved_extra,True,True,True,Float32,0.25263435194942047,0.2382173773645399,EXTRA,progression_outcome_leakage
unmatched_reason,,manual_approved_extra,True,True,True,str,0.0,0.0,EXTRA,metadata_leakage
vocational_college_progression_rate_pct,,manual_approved_extra,True,True,True,Float32,0.25263435194942047,0.2382173773645399,EXTRA,progression_outcome_leakage
