school_uid,row_n,major7_n
SCH_a3e83fb32317,2,2
SCH_a70179c6531f,42,6
SCH_ab9f4dbc01f8,30,5
SCH_ad7734bfb732,2,2
SCH_ade07091689d,112,7
SCH_ae0579c61fd2,71,7
SCH_ae7d6447ea08,10,2
SCH_b3c5162386a0,12,5
SCH_b4c24dedeac1,24,3
SCH_b518403952c6,16,7
SCH_b602aec81b24,1,1
SCH_b87e76b8f78a,45,7
SCH_b8901e036949,24,6
SCH_b909076be38e,1,1
SCH_b95165ee3f1c,6,4
SCH_bc4c3907faea,1,1
SCH_bcc7b61d775b,16,7
SCH_bcfc477eeec3,66,7
SCH_bd24ab6964ce,108,7
SCH_bddec49f1888,2,2
SCH_bfb4ffe4d1d0,5,4
SCH_c00040e7413a,40,7
SCH_c235744d252d,40,6
SCH_c417cf41afe0,34,6
SCH_c4deb88e2c2a,33,7
SCH_c5a1533526c1,13,1
SCH_c61963963f37,7,2
SCH_c80253ebd31c,28,6
SCH_c82adbe73aeb,58,6
SCH_cba7fc3f2ea2,42,6
SCH_cda53f0ed06d,31,5
SCH_ceca21d22b99,51,7
SCH_d03fc6d40277,80,7
SCH_d0774c2b8283,42,7
SCH_d094cba6e6e0,94,7
SCH_d439accb1575,17,4
SCH_d49a078a4713,11,2
SCH_d4b90d7a1e57,12,2
SCH_d4dadcb61205,47,7
SCH_d4e36f66c72f,21,5
SCH_d605db23ebce,25,5
SCH_d7cf6b01676b,41,7
SCH_d8d3233deb6a,16,4
SCH_d9b848d6dac0,91,7
SCH_d9cc9b5ef13c,33,7
SCH_dd703f1e1d10,29,3
SCH_dffcffc2a336,51,7
SCH_e46f0f22fdd7,58,7
SCH_e4fe3edfd86a,75,6
SCH_e5edbc74bc0b,4,3
SCH_e623714dcb5f,82,7
SCH_e665793836cb,39,5
SCH_e737ecda2ac3,7,2
SCH_ea94589fd8d8,12,2
SCH_eaaf89439c64,24,6
SCH_ead4aa8b8153,6,3
SCH_eb90ff65b86d,37,6
SCH_ecb0409798f9,68,6
SCH_ed1a93cb5155,40,5
SCH_eecea44f3c54,67,7
SCH_ef74b9791330,21,5
SCH_f035f77086f3,24,3
SCH_f0a7062f14b7,57,7
SCH_f11056a7ff4e,36,7
SCH_f1b78fc627f6,35,7
SCH_f20a031e8dce,91,7
SCH_f2b39b741d67,14,1
SCH_f38e74825865,27,6
SCH_f52ce678f2b3,50,7
SCH_f55d29b69bf5,6,4
SCH_f6cf771efddb,88,7
SCH_f759dc0a8ccd,22,7
SCH_f88bc2b7f75b,11,5
SCH_fa153e645e1e,18,6
SCH_fa66da814b2a,71,6
SCH_fc474c91d6f5,26,4
SCH_fc53ac39a5c3,99,7
SCH_fd343c02a3d4,22,3
SCH_fe14f3441845,39,7
SCH_ff31901b4f59,52,7
SCH_ff53ff346c39,39,7
