dataset,raw_value,standard_value,basis,confidence,approval_status
D01,전북대학교 의학전문대학원,전북대학교의학전문대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,전북대학교 생명자원과학대학원,전북대학교생명자원과학대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,전북대학교 유연인쇄전자전문대학원,전북대학교유연인쇄전자전문대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,전북대학교 수의방역대학원,전북대학교수의방역대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,전북대학교 식물방역대학원,전북대학교식물방역대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,제주대학교,제주대학교,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,제주대학교대학원,제주대학교대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,제주대학교경영대학원,제주대학교경영대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,제주대학교교육대학원,제주대학교교육대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,제주대학교 사회교육대학원,제주대학교사회교육대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,제주대학교산업대학원,제주대학교산업대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,제주대학교 통역번역대학원,제주대학교통역번역대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,제주대학교행정대학원,제주대학교행정대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,제주대학교 보건복지대학원,제주대학교보건복지대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,제주대학교 법학전문대학원,제주대학교법학전문대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,제주대학교 의학전문대학원,제주대학교의학전문대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,국립창원대학교,창원대학교,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,국립창원대학교 대학원,창원대학교대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,국립창원대학교 경영대학원,창원대학교경영대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,국립창원대학교 교육대학원,창원대학교교육대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,국립창원대학교 보건대학원,창원대학교보건대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,국립창원대학교 사회복지대학원,창원대학교사회복지대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,국립창원대학교 산업대학원,창원대학교산업대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,국립창원대학교 행정대학원,창원대학교행정대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교,충남대학교,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교대학원,충남대학교대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교경영대학원,충남대학교경영대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교교육대학원,충남대학교교육대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교보건대학원,충남대학교보건대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교산업대학원,충남대학교산업대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교특허법무대학원,충남대학교특허법무대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교행정대학원,충남대학교행정대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교 법학전문대학원,충남대학교법학전문대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교평화안보대학원,충남대학교평화안보대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교 분석과학기술대학원,충남대학교분석과학기술대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교 신약전문대학원,충남대학교신약전문대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교 국가정책대학원,충남대학교국가정책대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교 에너지과학기술대학원,충남대학교에너지과학기술대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충남대학교 스마트농업대학원,충남대학교스마트농업대학원,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
D01,충북대학교,충북대학교,"NFKC, whitespace/punctuation fold, remove parenthetical campus, remove national prefix",high,rule_approved
