topic_id,topic_group,topic_name,measure,classification_version,kind,status,file_path,file_size,sha256
GOMS_026,근로소득,직업별 월평균 근로소득(~2016),mean,pre_2017,continuous,success,raw_downloads/mean/GOMS_026_직업별_월평균_근로소득2016_mean.xls,14151,5d7fd9cf69baf23f0d3eb222ec6de9c710606666cf2c182190c60a5f2fc09b8b
GOMS_027,근로소득,직업별 월평균 근로소득(2017~),mean,post_2017,continuous,success,raw_downloads/mean/GOMS_027_직업별_월평균_근로소득2017_mean.xls,3512,ee9e1b97ec94bf4a8fcb10e505571071a4ac5de9576bba8ea4c7531e3c41961d
GOMS_028,근로소득,사업체 규모별 월평균 근로소득,mean,all,continuous,success,raw_downloads/mean/GOMS_028_사업체_규모별_월평균_근로소득_mean.xls,7671,fc1a7de672df0101ab66d926f4ffed5d81ddddb6da9d744f4aff97c0b08026fc
GOMS_029,근로소득,사업체 유형별 월평균 근로소득,mean,all,continuous,success,raw_downloads/mean/GOMS_029_사업체_유형별_월평균_근로소득_mean.xls,7964,dbd2c78118bd02d7721077d0dbcb0cccbc52d0eb833523e363f2a1ad0057775a
GOMS_030,근로소득,종사상지위별 월평균 근로소득,mean,all,continuous,success,raw_downloads/mean/GOMS_030_종사상지위별_월평균_근로소득_mean.xls,5813,9dd9ab8c837eb73bc5c75e83d8e3a4de97c9fc75943faaf348eaf623478b857b
GOMS_031,근로시간,성별 주당 평균 근로시간,mean,all,continuous,success,raw_downloads/mean/GOMS_031_성별_주당_평균_근로시간_mean.xls,3187,ced6774f3ffdabccab7ce09203d951e1bd8088a6b6ff4a8cbb4181ffc4413f6f
GOMS_032,근로시간,학교유형별 주당 평균 근로시간,mean,all,continuous,success,raw_downloads/mean/GOMS_032_학교유형별_주당_평균_근로시간_mean.xls,3806,7dc19a01540d21221fb8d3761522c453eac158f072edcafabcd0728114ca5952
GOMS_033,근로시간,전공계열별 주당 평균 근로시간,mean,all,continuous,success,raw_downloads/mean/GOMS_033_전공계열별_주당_평균_근로시간_mean.xls,6250,a4ce35906bd88fa2ec5f826cdaf8b0ca79842752d13951fa15365f8838628ba8
GOMS_034,근로시간,산업별 주당 평균 근로시간,mean,all,continuous,success,raw_downloads/mean/GOMS_034_산업별_주당_평균_근로시간_mean.xls,15366,c4f6427e1c399746e678185cf03348a709e7ec592763937afb4342ac83ea26b7
GOMS_035,근로시간,직업별 주당 평균 근로시간(~2016),mean,pre_2017,continuous,success,raw_downloads/mean/GOMS_035_직업별_주당_평균_근로시간2016_mean.xls,13901,a26482934215bf7999738f85ecc9b3d8900ec05ceac489dfd2021b1a6158a4d0
GOMS_036,근로시간,직업별 주당 평균 근로시간(2017~),mean,post_2017,continuous,success,raw_downloads/mean/GOMS_036_직업별_주당_평균_근로시간2017_mean.xls,3479,0930121d9d96e9d5dd9a72d1d9e2cabffa86deb7bff08bfc9ca1ecfbf766eaa4
GOMS_037,근로시간,사업체 규모별 주당 평균 근로시간,mean,all,continuous,success,raw_downloads/mean/GOMS_037_사업체_규모별_주당_평균_근로시간_mean.xls,7541,470992df6ebd59b5ad5144c08216abf558ac33ac3f8b7d8fcb1cbf2ac50b55df
GOMS_038,근로시간,사업체 유형별 주당 평균 근로시간,mean,all,continuous,success,raw_downloads/mean/GOMS_038_사업체_유형별_주당_평균_근로시간_mean.xls,7834,f67bd464c27a60e08cda0a4a71d4e6a8e139d468f2644b3f2589ae3b9c4acfc9
GOMS_039,근로시간,종사상지위별 주당 평균 근로시간,mean,all,continuous,success,raw_downloads/mean/GOMS_039_종사상지위별_주당_평균_근로시간_mean.xls,5747,1a642e8abcab4c3e269d0cd84ba6d4ddca5adde5451261366bf5213963a6c950
