outcome_row_id,major7_mapping_method,major7_mapping_confidence,dept_name_raw,major7_evidence,split,major_group_7
OC2024_01406,inherited_headcount,high,간호학과,D01 v2 high-confidence match 대계열=의약계열,train,
OC2024_04236,inherited_headcount,high,의학과,D01 v2 high-confidence match 대계열=의약계열,train,
OC2024_06637,inherited_headcount,high,응용화학생명공학과,D01 v2 high-confidence match 대계열=자연계열,test,
OC2024_05139,inherited_headcount,high,스마트팜학과,D01 v2 high-confidence match 대계열=자연계열,train,
OC2024_01454,inherited_headcount,high,아동가족학과,D01 v2 high-confidence match 대계열=자연계열,train,
OC2024_05387,inherited_headcount,high,식품영양학과,D01 v2 high-confidence match 대계열=자연계열,train,
OC2024_07897,inherited_headcount,high,통계학과,D01 v2 high-confidence match 대계열=자연계열,train,
OC2024_07434,inherited_headcount,high,스마트팜학과,D01 v2 high-confidence match 대계열=자연계열,train,
OC2024_06906,inherited_headcount,high,식품영양학과,D01 v2 high-confidence match 대계열=자연계열,train,
OC2024_07439,inherited_headcount,high,와인식음료학과,D01 v2 high-confidence match 대계열=자연계열,train,
OC2024_02490,inherited_headcount,high,환경대기과학전공,D01 v2 high-confidence match 대계열=자연계열,train,
OC2024_05543,inherited_headcount,high,화학과,D01 v2 high-confidence match 대계열=자연계열,train,
OC2024_03316,inherited_headcount,high,사회복지학과,D01 v2 high-confidence match 대계열=사회계열,train,
OC2024_00244,inherited_headcount,high,실버산업학과,D01 v2 high-confidence match 대계열=사회계열,train,
OC2024_08399,inherited_headcount,high,경찰탐정수사학전공,D01 v2 high-confidence match 대계열=사회계열,train,
OC2024_09430,inherited_headcount,high,경영정보학과,D01 v2 high-confidence match 대계열=사회계열,train,
OC2024_05227,inherited_headcount,high,경찰행정전공,D01 v2 high-confidence match 대계열=사회계열,train,
OC2024_08612,inherited_headcount,high,경영학과,D01 v2 high-confidence match 대계열=사회계열,test,
OC2024_02803,inherited_headcount,high,사법학전공,D01 v2 high-confidence match 대계열=사회계열,test,
OC2024_09810,inherited_headcount,high,관광학부,D01 v2 high-confidence match 대계열=사회계열,val,
OC2024_04051,inherited_headcount,high,관광경영학전공,D01 v2 high-confidence match 대계열=사회계열,train,
OC2024_10032,inherited_headcount,high,호텔경영학과,D01 v2 high-confidence match 대계열=사회계열,val,
OC2024_06332,keyword_rule,medium,예술창작학부 문예창작전공,ART:예술,train,
OC2024_07726,keyword_rule,medium,패션산업학과,ART:패션,train,
OC2024_07600,keyword_rule,medium,미디어커뮤니케이션학과,ART:미디어,train,
OC2024_06309,keyword_rule,medium,글로벌미디어학부,ART:미디어,train,
OC2024_00573,keyword_rule,medium,동화미디어콘텐츠전공,ART:콘텐츠/미디어,train,
OC2024_06679,keyword_rule,medium,게임콘텐츠학과,ART:콘텐츠,train,
OC2024_09561,keyword_rule,medium,미디어스쿨,ART:미디어,train,
OC2024_00454,keyword_rule,medium,스포츠웰니스전공,ART:스포츠,train,
OC2024_04471,keyword_rule,medium,디자인학부 영상디자인전공,ART:디자인/영상,val,
OC2024_07569,keyword_rule,medium,커뮤니케이션·미디어학부,ART:미디어,train,
OC2024_09027,keyword_rule,medium,스마트콘텐츠전공 | 스마트콘텐츠학과,ART:콘텐츠,test,
OC2024_03417,keyword_rule,medium,미술치료학전공,ART:미술,train,
OC2024_04505,keyword_rule,medium,만화애니콘텐츠학과,ART:만화/콘텐츠,val,
OC2024_00286,keyword_rule,medium,글로벌미디어커뮤니케이션전공,ART:미디어,train,
OC2024_09305,keyword_rule,medium,미디어커뮤니케이션학부,ART:미디어,train,
OC2024_07429,keyword_rule,medium,뷰티화장품학과,ART:뷰티,train,
OC2024_04365,keyword_rule,medium,미디어커뮤니케이션학과,ART:미디어,train,
OC2024_00505,keyword_rule,medium,미디어커뮤니케이션학과,ART:미디어,train,
OC2024_08134,keyword_rule,medium,스마트미디어학과,ART:미디어,train,
OC2024_08462,keyword_rule,medium,공연영상창작학부(공간연출전공) | 공연영상창작학부(연극전공) | 공연영상창작학부(영화전공),ART:연극/영화/영상,test,
OC2024_01245,keyword_rule,medium,미디어콘텐츠학과,ART:콘텐츠/미디어,train,
OC2024_03482,keyword_rule,medium,토탈뷰티전공,ART:뷰티,train,
OC2024_08444,keyword_rule,medium,토탈패션산업학과,ART:패션,train,
OC2024_08429,keyword_rule,medium,엔터테인먼트학전공,ART:엔터테인먼트,train,
OC2024_04503,keyword_rule,medium,디지털미디어학과,ART:미디어,val,
OC2024_05571,keyword_rule,medium,멀티미디어전공,ART:미디어,train,
OC2024_01482,keyword_rule,medium,조리&푸드디자인학과,ART:디자인,train,
OC2024_08618,keyword_rule,medium,멀티미디어학과,ART:미디어,test,
OC2024_00582,keyword_rule,medium,뷰티화장품전공 | 뷰티화장품학과,ART:뷰티,train,
OC2024_03847,keyword_rule,medium,정원디자인전공,ART:디자인,train,
OC2024_04933,keyword_rule,medium,시민영어교육학과,EDU:교육/영어교육,train,
OC2024_06587,keyword_rule,medium,유아통합교육학과,EDU:교육,train,
OC2024_01928,keyword_rule,medium,어린이영어교육학과,EDU:교육/영어교육,train,
OC2024_03484,keyword_rule,medium,평생교육복지전공,EDU:교육,train,
OC2024_02948,keyword_rule,medium,수어통역교육전공,EDU:교육,test,
OC2024_04630,keyword_rule,medium,피아노학부 피아노교육전공,EDU:교육,val,
OC2024_06271,keyword_rule,medium,외국어로서의 한국어교육학전공,EDU:교육/국어교육,train,
OC2024_09331,keyword_rule,medium,외국어로서의한국어교육전공,EDU:교육/국어교육,train,
OC2024_06710,keyword_rule,medium,글로벌기초교육학부,EDU:교육,train,
OC2024_08170,keyword_rule,medium,평생교육계열,EDU:교육,train,
OC2024_03008,keyword_rule,medium,드론공간정보공학과,ENG:공학,val,
OC2024_09895,keyword_rule,medium,수리데이터사이언스학과,ENG:데이터사이언스/데이터,val,
OC2024_01433,keyword_rule,medium,빅데이터응용학과,ENG:데이터,train,
OC2024_08108,keyword_rule,medium,농생명ICT학과,ENG:ict,train,
OC2024_01554,keyword_rule,medium,식품가공학과,ENG:공학,val,
OC2024_03447,keyword_rule,medium,식품생명공학과,ENG:공학,train,
OC2024_09894,keyword_rule,medium,생명나노공학과,ENG:공학,val,
OC2024_02238,keyword_rule,medium,이차전지・에너지학부,ENG:에너지,train,
OC2024_06838,keyword_rule,medium,의공학부,ENG:공학/의공학,train,
OC2024_00378,keyword_rule,medium,자원공학과,ENG:공학,train,
OC2024_04025,keyword_rule,medium,항공서비스학과,ENG:항공,train,
OC2024_07878,keyword_rule,medium,임산공학과,ENG:공학,train,
OC2024_07022,keyword_rule,medium,해운항공・드론물류학과,ENG:항공,test,
OC2024_08235,keyword_rule,medium,분자생명공학전공,ENG:공학,val,
OC2024_08726,keyword_rule,medium,항공서비스학과,ENG:항공,train,
OC2024_03062,keyword_rule,medium,산업보안학과,ENG:보안,train,
OC2024_05959,keyword_rule,medium,공간정보공학과,ENG:공학,val,
OC2024_02914,keyword_rule,medium,스마트물류시스템공학과,ENG:공학,test,
OC2024_06276,keyword_rule,medium,의공학과,ENG:공학/의공학,train,
OC2024_01972,keyword_rule,medium,전자・반도체공학부 | 전자・반도체공학부(반도체공학전공) | 전자・반도체공학부(전자공학전공),ENG:전자/반도체/공학,train,
OC2024_03463,keyword_rule,medium,인체정화생명공학과,ENG:공학,train,
OC2024_01697,keyword_rule,medium,생명정보공학과,ENG:공학,train,
OC2024_04723,keyword_rule,medium,헬스케어생명공학전공,ENG:공학,train,
OC2024_05107,keyword_rule,medium,글로벌항공서비스학과,ENG:항공,train,
OC2024_01885,keyword_rule,medium,식품생명공학과,ENG:공학,train,
OC2024_02902,keyword_rule,medium,ICT군사학부(드론봇전공),ENG:ict,test,
OC2024_04212,keyword_rule,medium,생명공학과,ENG:공학,train,
OC2024_01260,keyword_rule,medium,식품생명공학과,ENG:공학,train,
OC2024_00968,keyword_rule,medium,생명공학부,ENG:공학,val,
OC2024_01570,keyword_rule,medium,의용공학과,ENG:공학,val,
OC2024_03355,keyword_rule,medium,지역사회개발・복지학과,HUM:역사,train,
OC2024_03222,keyword_rule,medium,언어청각치료학과,HUM:언어,train,
OC2024_03486,keyword_rule,medium,한국문화산업전공,HUM:국문,train,
OC2024_03762,keyword_rule,medium,영어영문학부 영어문학전공,HUM:영문/문학,train,
OC2024_02018,keyword_rule,medium,동양철학과,HUM:철학,train,
OC2024_03332,keyword_rule,medium,언어치료학과,HUM:언어,train,
OC2024_02955,keyword_rule,medium,언어치료학과,HUM:언어,test,
OC2024_02956,keyword_rule,medium,언어치료학전공,HUM:언어,test,
OC2024_10004,keyword_rule,medium,언어치료학과,HUM:언어,val,
OC2024_01890,keyword_rule,medium,언어치료학과,HUM:언어,train,
OC2024_02184,keyword_rule,medium,지역사회개발학과,HUM:역사,train,
OC2024_02185,keyword_rule,medium,지역사회개발학전공,HUM:역사,train,
OC2024_10139,keyword_rule,medium,언어치료학과,HUM:언어,train,
OC2024_04460,keyword_rule,medium,언어치료학과,HUM:언어,train,
OC2024_01680,keyword_rule,medium,독일문화정보학과,HUM:일문,train,
OC2024_05148,keyword_rule,medium,언어청각치료학과,HUM:언어,train,
OC2024_09577,keyword_rule,medium,언어청각학부,HUM:언어,train,
OC2024_05149,keyword_rule,medium,언어치료전공 | 언어치료학과,HUM:언어,train,
OC2024_04144,keyword_rule,medium,언어치료학과,HUM:언어,val,
OC2024_08192,keyword_rule,medium,언어치료학과,HUM:언어,test,
OC2024_04765,keyword_rule,medium,언어청각치료학과,HUM:언어,train,
OC2024_01738,keyword_rule,medium,언어치료학과,HUM:언어,val,
OC2024_01929,keyword_rule,medium,언어치료학과,HUM:언어,train,
OC2024_05210,keyword_rule,medium,영문학부(미국문화전공) | 영문학부(영미어문전공),HUM:국문/영문/문학,train,
OC2024_02698,keyword_rule,medium,글로벌해양인문학부(동아시아문화전공) | 글로벌해양인문학부(해양영어영문학전공),HUM:영문/문학/인문,test,
OC2024_08350,keyword_rule,medium,언어치료학과,HUM:언어,train,
OC2024_09576,keyword_rule,medium,언어병리학전공,HUM:언어,train,
OC2024_02987,keyword_rule,medium,언어치료학과,HUM:언어,train,
OC2024_08448,keyword_rule,medium,한방보건제약학과,MED:약학/보건,train,
OC2024_00010,keyword_rule,medium,안경광학과,MED:안경광,train,
OC2024_10090,keyword_rule,medium,안전보건학과,MED:보건,train,
OC2024_06823,keyword_rule,medium,보건의료정보관리학전공,MED:보건/의료,train,
OC2024_00157,keyword_rule,medium,치매전문재활학과,MED:재활,test,
OC2024_00134,keyword_rule,medium,안경광학과,MED:안경광,test,
OC2024_04741,keyword_rule,medium,안경광학과,MED:안경광,train,
OC2024_01730,keyword_rule,medium,보건의료정보관리전공,MED:보건/의료,val,
OC2024_03458,keyword_rule,medium,안전보건전공,MED:보건,train,
OC2024_00517,keyword_rule,medium,수의학과,MED:의학/수의,train,
OC2024_07331,keyword_rule,medium,안전보건학과,MED:보건,train,
OC2024_08002,keyword_rule,medium,수의예과,MED:의예/수의,train,
OC2024_00886,keyword_rule,medium,안경광학과,MED:안경광,train,
OC2024_08247,keyword_rule,medium,수의학과,MED:의학/수의,val,
OC2024_09930,keyword_rule,medium,운동처방재활학과,MED:재활,train,
OC2024_02039,keyword_rule,medium,식물의학과,MED:의학,train,
OC2024_00355,keyword_rule,medium,식물의학전공,MED:의학,train,
OC2024_10238,keyword_rule,medium,의료복지학과,MED:의료,train,
OC2024_07481,keyword_rule,medium,중독재활복지학과,MED:재활,val,
OC2024_04598,keyword_rule,medium,식품제약학부 식품전공,MED:약학,val,
OC2024_02918,keyword_rule,medium,안경광학과,MED:안경광,test,
OC2024_01395,keyword_rule,medium,조기취업형계약학부 스마트전력인프라학과,MED:약학,test,
OC2024_08944,keyword_rule,medium,식물의학과,MED:의학,train,
OC2024_02526,keyword_rule,medium,식물의학과,MED:의학,train,
OC2024_02588,keyword_rule,medium,생명보건학부,MED:보건,train,
OC2024_08940,keyword_rule,medium,수의예과,MED:의예/수의,train,
OC2024_05559,keyword_rule,medium,재활복지학과,MED:재활,train,
OC2024_03825,keyword_rule,medium,안전보건전공,MED:보건,train,
OC2024_02970,keyword_rule,medium,재활학트랙,MED:재활,test,
OC2024_00457,keyword_rule,medium,안경광학과,MED:안경광,train,
OC2024_10112,keyword_rule,medium,화장품과학과,NAT:과학,train,
OC2024_08318,keyword_rule,medium,독일어문화학과,NAT:화학,train,
OC2024_05574,keyword_rule,medium,바이오코스메틱전공 | 바이오코스메틱학과,NAT:바이오,train,
OC2024_05878,keyword_rule,medium,프랑스어문·문화학과,NAT:화학,train,
OC2024_06729,keyword_rule,medium,사회과학계열,NAT:과학,train,
OC2024_06931,keyword_rule,medium,정책과학전공,NAT:과학,train,
OC2024_01022,keyword_rule,medium,"응용생명과학부(식물생명과학전공, 환경생명화학전공)",NAT:화학/생명과학/환경/과학,val,
OC2024_10125,keyword_rule,medium,군사과학기술학과,NAT:과학,train,
OC2024_00122,keyword_rule,medium,산림치유학과,NAT:산림,test,
OC2024_07580,keyword_rule,medium,화학・나노과학전공,NAT:화학/과학,train,
OC2024_05284,keyword_rule,medium,글로벌한국어문화학부,NAT:화학,val,
OC2024_09740,keyword_rule,medium,독일어문화학,NAT:화학,train,
OC2024_00391,keyword_rule,medium,종이소재과학전공,NAT:과학,train,
OC2024_01674,keyword_rule,medium,국가통계전공,NAT:통계,train,
OC2024_03909,keyword_rule,medium,사회과학부 아동학전공,NAT:과학,train,
OC2024_04477,keyword_rule,medium,생명과학정보학과 | 생명과학정보학부,NAT:생명과학/과학,val,
OC2024_00210,keyword_rule,medium,일어일본문화학과,NAT:화학,val,
OC2024_03368,keyword_rule,medium,화장품바이오학부(바이오메디컬전공) | 화장품바이오학부(화장품제약전공),NAT:바이오,train,
OC2024_03011,keyword_rule,medium,바이오헬스컨디셔닝학과,NAT:바이오,val,
OC2024_02046,keyword_rule,medium,원예육종학과,NAT:원예,train,
OC2024_02504,keyword_rule,medium,기초의.화학부,NAT:화학,train,
OC2024_06855,keyword_rule,medium,화학및의화학전공,NAT:화학,train,
OC2024_00306,keyword_rule,medium,목재과학전공,NAT:과학,train,
OC2024_07655,keyword_rule,medium,환경조각과,NAT:환경,train,
OC2024_04112,keyword_rule,medium,K-남도문화학과,NAT:화학,val,
OC2024_02385,keyword_rule,medium,공업화학전공,NAT:화학,train,
OC2024_05832,keyword_rule,medium,글로벌의과학과,NAT:과학,train,
OC2024_00217,keyword_rule,medium,프랑스어문화학과,NAT:화학,val,
OC2024_00955,keyword_rule,medium,바이오섬유소재학과,NAT:바이오,val,
OC2024_05732,keyword_rule,medium,사회과학부,NAT:과학,train,
OC2024_04530,keyword_rule,medium,유통산업경영학과,SOC:경영/유통,val,
OC2024_05234,keyword_rule,medium,국제비즈니스어학부,SOC:비즈니스/국제,train,
OC2024_07392,keyword_rule,medium,외식조리창업전공,SOC:창업,val,
OC2024_01923,keyword_rule,medium,상담심리학과,SOC:심리/상담,train,
OC2024_03405,keyword_rule,medium,글로벌푸드비즈니스전공,SOC:비즈니스,train,
OC2024_08582,keyword_rule,medium,상담심리학과,SOC:심리/상담,train,
OC2024_08760,keyword_rule,medium,호텔조리베이커리학과,SOC:호텔,test,
OC2024_00997,keyword_rule,medium,심리학과,SOC:심리,val,
OC2024_06112,keyword_rule,medium,도시부동산학,SOC:부동산,train,
OC2024_02392,keyword_rule,medium,국제지역학부,SOC:국제,train,
OC2024_03322,keyword_rule,medium,소방안전방재학과,SOC:소방,train,
OC2024_00649,keyword_rule,medium,심리상담치료학과,SOC:심리/상담,test,
OC2024_00479,keyword_rule,medium,지역경제전공 | 지역경제학과,SOC:경제,train,
OC2024_04497,keyword_rule,medium,경영대학,SOC:경영,val,
OC2024_04121,keyword_rule,medium,국제한국어학과,SOC:국제,val,
OC2024_01713,keyword_rule,medium,정부행정학부,SOC:행정,train,
OC2024_02940,keyword_rule,medium,기독교상담학전공,SOC:상담,test,
OC2024_03434,keyword_rule,medium,상담심리학과 | 상담심리전공,SOC:심리/상담,train,
OC2024_09929,keyword_rule,medium,심리상담학과,SOC:심리/상담,train,
OC2024_00360,keyword_rule,medium,심리학전공,SOC:심리,train,
OC2024_04920,keyword_rule,medium,사이버경찰학과 | 사이버경찰전공 | 사이버경찰학과,SOC:경찰,train,
OC2024_06808,keyword_rule,medium,글로벌행정학전공,SOC:행정,train,
OC2024_04137,keyword_rule,medium,상담심리학과,SOC:심리/상담,val,
OC2024_06375,keyword_rule,medium,소방방재드론학과,SOC:소방,train,
OC2024_08749,keyword_rule,medium,외식조리창업학과,SOC:창업,test,
OC2024_09460,keyword_rule,medium,상담심리학과,SOC:심리/상담,train,
OC2024_00239,keyword_rule,medium,부동산건설학부,SOC:부동산,train,
OC2024_08315,keyword_rule,medium,글로벌비즈니스커뮤니케이션학과,SOC:비즈니스,train,
OC2024_06197,keyword_rule,medium,소비자경제학과,SOC:경제,val,
OC2024_08953,keyword_rule,medium,심리학과,SOC:심리,train,
OC2024_02025,exact_dictionary,medium,미술학과,unique dictionary inherited from matched rows: dept_field_std=미술,train,
OC2024_01488,exact_dictionary,medium,체육학과,unique dictionary inherited from matched rows: dept_field_std=체육,train,
OC2024_05251,exact_dictionary,medium,뮤지컬전공 | 뮤지컬학과,unique dictionary inherited from matched rows: dept_field_std=뮤지컬,train,
OC2024_09394,exact_dictionary,medium,스포츠산업학과,unique dictionary inherited from matched rows: dept_field_std=스포츠산업,train,
OC2024_03704,exact_dictionary,medium,텍스타일디자인학과 | 텍스타일디자인전공,unique dictionary inherited from matched rows: dept_field_std=텍스타일디자인,train,
OC2024_10161,exact_dictionary,medium,공연예술학부(뮤지컬전공) | 공연예술학부(실용음악전공),unique dictionary inherited from matched rows: dept_field_std=공연예술,train,
OC2024_01448,exact_dictionary,medium,스포츠의학과,unique dictionary inherited from matched rows: dept_field_std=스포츠의,train,
OC2024_00584,exact_dictionary,medium,산업디자인전공 | 산업디자인학과,unique dictionary inherited from matched rows: dept_field_std=산업디자인,train,
OC2024_06471,exact_dictionary,medium,실내건축디자인전공 | 실내건축디자인학과,unique dictionary inherited from matched rows: dept_field_std=실내건축디자인,train,
OC2024_02907,exact_dictionary,medium,공연예술학과 | 공연예술학부(공연예술전공) | 공연예술학부(뷰티케어전공),unique dictionary inherited from matched rows: dept_field_std=공연예술,test,
OC2024_06657,exact_dictionary,medium,디지털미디어디자인학과 | 디지털미디어디자인학과(공학) | 디지털미디어디자인전공 | 디지털미디어디자인학과(공학) | 디지털미디어디자인전공,unique dictionary inherited from matched rows: dept_field_std=디지털미디어디자인,train,
OC2024_06997,exact_dictionary,medium,미용예술학과,unique dictionary inherited from matched rows: dept_field_std=미용예술,test,
OC2024_01411,exact_dictionary,medium,골프산업학과,unique dictionary inherited from matched rows: dept_field_std=골프산업,train,
OC2024_00601,exact_dictionary,medium,실내디자인전공 | 실내디자인학과,unique dictionary inherited from matched rows: dept_field_std=실내디자인,train,
OC2024_00133,exact_dictionary,medium,실용음악전공 | 실용음악학과,unique dictionary inherited from matched rows: dept_field_std=실용음악,test,
OC2024_08507,exact_dictionary,medium,미술학부(서양화전공) | 미술학부(조소전공) | 미술학부(한국화전공),unique dictionary inherited from matched rows: dept_field_std=미술,test,
OC2024_03341,exact_dictionary,medium,융합예술학부(아트앤디자인전공),unique dictionary inherited from matched rows: dept_field_std=융합예술,train,
OC2024_04531,exact_dictionary,medium,융합디자인학과,unique dictionary inherited from matched rows: dept_field_std=융합디자인,val,
OC2024_04513,exact_dictionary,medium,미용예술학과,unique dictionary inherited from matched rows: dept_field_std=미용예술,val,
OC2024_03682,exact_dictionary,medium,실내디자인학과 | 실내디자인전공 | 실내디자인전공,unique dictionary inherited from matched rows: dept_field_std=실내디자인,train,
OC2024_02008,exact_dictionary,medium,교육공학과,unique dictionary inherited from matched rows: dept_field_std=교육공,train,
OC2024_05319,exact_dictionary,medium,초등교육학과(심화과정),unique dictionary inherited from matched rows: dept_field_std=초등교육,train,
OC2024_01333,exact_dictionary,medium,초등과학교육과(심화과정),unique dictionary inherited from matched rows: dept_field_std=초등과학교육과,test,
OC2024_01342,exact_dictionary,medium,초등윤리교육과(심화과정),unique dictionary inherited from matched rows: dept_field_std=초등윤리교육과,test,
OC2024_01345,exact_dictionary,medium,초등컴퓨터교육과(심화과정),unique dictionary inherited from matched rows: dept_field_std=초등컴퓨터교육과,test,
OC2024_01337,exact_dictionary,medium,초등사회과교육과(심화과정),unique dictionary inherited from matched rows: dept_field_std=초등사회과교육과,test,
OC2024_01344,exact_dictionary,medium,초등체육교육과(심화과정),unique dictionary inherited from matched rows: dept_field_std=초등체육교육과,test,
OC2024_01341,exact_dictionary,medium,초등유아교육과(심화과정),unique dictionary inherited from matched rows: dept_field_std=초등유아교육과,test,
OC2024_01346,exact_dictionary,medium,특수(통합)교육과(심화과정),unique dictionary inherited from matched rows: dept_field_std=특수교육과,test,
OC2024_05879,exact_dictionary,medium,한문교육과,unique dictionary inherited from matched rows: dept_field_std=한문교육과,train,
OC2024_01335,exact_dictionary,medium,초등국어교육과(심화과정),unique dictionary inherited from matched rows: dept_field_std=초등국어교육과,test,
OC2024_01338,exact_dictionary,medium,초등생활과학교육과(심화과정),unique dictionary inherited from matched rows: dept_field_std=초등생활과학교육과,test,
OC2024_01339,exact_dictionary,medium,초등수학교육과(심화과정),unique dictionary inherited from matched rows: dept_field_std=초등수학교육과,test,
OC2024_09294,exact_dictionary,medium,독일어교육전공,unique dictionary inherited from matched rows: dept_field_std=독일어교육,train,
OC2024_01936,exact_dictionary,medium,특수교육과(중등특수교육전공) | 특수교육과(초등특수교육전공),unique dictionary inherited from matched rows: dept_field_std=특수교육과,train,
OC2024_02035,exact_dictionary,medium,수학교육과,unique dictionary inherited from matched rows: dept_field_std=수학교육과,train,
OC2024_02048,exact_dictionary,medium,윤리교육과,unique dictionary inherited from matched rows: dept_field_std=윤리교육과,train,
OC2024_07440,exact_dictionary,medium,유아교육과,unique dictionary inherited from matched rows: dept_field_std=유아교육과,train,
OC2024_03712,exact_dictionary,medium,가정교육과,unique dictionary inherited from matched rows: dept_field_std=가정교육과,train,
OC2024_02068,exact_dictionary,medium,컴퓨터교육과,unique dictionary inherited from matched rows: dept_field_std=컴퓨터교육과,train,
OC2024_07966,exact_dictionary,medium,기계시스템공학부 | 기계시스템공학부(응용기계공학전공) | 기계시스템공학부(정밀기계공학전공),unique dictionary inherited from matched rows: dept_field_std=기계시스템공,train,
OC2024_04476,exact_dictionary,medium,산업경영공학과,unique dictionary inherited from matched rows: dept_field_std=산업경영공,val,
OC2024_09971,exact_dictionary,medium,건축학과 | 건축학부,unique dictionary inherited from matched rows: dept_field_std=건축,val,
OC2024_06405,exact_dictionary,medium,건축학전공(5년제),unique dictionary inherited from matched rows: dept_field_std=건축학,train,
